Jurisdiction,site,year,plotid,obs,pre_post_fire,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,0.05E_percent,0.05E_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,CWD,CONES,Boulder/Bedrock,SMROCK,ROCK,ASH,BASALVEG,CRYPTOGRAMS,STUMPS,RD,TOT_Black_percent,PRE % SHRUB COVER,% SHRUB TORCHED,% SHRUB SCORCHED,% SHRUB UNBURNED,History,NOTES,
UC_Reserve,Valentine,2020,VR31N,AG,postthin,NA,no,0,9,23,LL,LL,PINCON/ABICON/PINJEF/POPTRE,2.3,36,575,85,60,,8,,60,,5,,3,0.9,,,10,0.5,0,,0,,5,0.6,10,0.5,15,0.3,0.05,0.1,2,79,0,10,5 pico,2,0,0.5,0,2,,0,0,,,,,,,,
UC_Reserve,Valentine,2020,VR33,AG,postthin,NA,no,0,25,318,LL,LL,PINCON/ABIMAG/ABICON/POPTRE,3,6,661,95,95,20,1,,95,,3,3,2,0.6,,,5,0.6,0,,0,,5,0.6,5,0.6,3,0.4,3,0.7,2,79,0,7,,0,0,0,0,1,,,0,,,,,,,,
UC_Reserve,Valentine,2020,VR33N,AG,postthin,NA,no,0,10,74,CC,LL,ALNINC/POPTRE/PINCON,8.7,40,990,80,80,6,0,,80,6,40,3,0.05,0.1,,,0.05,0.3,0,,0,,0,,0.05,0.3,10,0.6,20,0.8,3,86,0,10,0.05,0,0,0,0,1.5,,0.05,0,,,,,,,,
UC_Reserve,Valentine,2020,VR34,AG,postthin,NA,no,0,4,60,LL,LL,POPTRE/ABICON/PINCON,9.5,137,664,95,45,,0.05,,45,,0.05,2,0.05,0.05,,,20,0.6,0.05,0.2,0,,20,0.6,20,0.5,20,0.9,30,1.2,4,73,0,9,2 pico,0,0,0,0,1,,1,0,,,,,,,,
UC_Reserve,Valentine,2020,VR35,AG,postthin,NA,no,0,8,18,LL,LL,ABIMAG/PINCON/ABICON/PINJEF,,,,45,45,19,0.5,18,45,19,0,0,0.05,0.5,,,0.05,0.4,0,0,0,0,0,0,0.5,0.4,0.5,0.3,1,0.2,1,82,0,6,,10,0,0.05,0,2,,,0,,,,,,,,
UC_Reserve,Valentine,2020,VR35N,AG,postthin,NA,no,0,6,30,LL,LL,PINCON/ABICON/POPTRE,,,,80,55,27,0.5,,55,27,0.05,3,0.05,0.5,,,1,0.4,0.05,0.1,0,0,0,0,1,0.4,23,0.2,2,0.5,0.05,93,0,5,,0,0,0,0,2.5,,,0,,,,,,,,
UC_Reserve,Valentine,2020,VR3N ,AG,postthin,NA,no,0,50,50,LL,LL,ABICON/ABIMAG/POPTRE,9.7,40,395,56,50,,10,,50,,0,,0.05,0.1,,,2,0.5,0,,0,,0.05,0.6,2,0.5,1,0.8,5,0.3,2,63.5,0,20,0,2,0,0.05,0,1,,0,0,,,,,,,,
UC_Reserve,Valentine,2020,VR4,AG,postthin,NA,no,0,20,22,PA,PA,POPTRE/ABICON,8.6,33,369,80,58,,2,,50,,8,3,0.05,0.6,,,20,0.8,0.05,0.1,0,,15,0.8,20,0.5,0.05,0.2,3,0.3,2,82.5,0,2,0,10,0.5,0.05,0,2,,0.05,0,,,,,,,,
UC_Reserve,Valentine,2020,VR40,AG,postthin,NA,no,0,5,145,LL,LL,PINJEF/PINCON/ABICON/ABIMAG/ABICON,6,42,544,80,70,,0.05,,65,,10,2,3,0.4,,,10,0.7,0,,0,,10,0.7,10,0.5,3,0.2,12,0.3,15,70,0,10,2 pije,0,1,0.05,0,2,,0,0,,,,,,,,
UC_Reserve,Valentine,2020,VR40E,AG,postthin,NA,no,0,10,82,LL,LL,ABIMAG/PINJEF/PINCON/ABICON,10,44,573,80,50,,0.05,,50,,2,4,0.05,0.3,,,30,0.7,0.05,0.1,0,,25,0.7,30,0.5,5,0.4,0.05,0.1,5,70,0,12,10 pije,0,0,1,0,2,,0,0,,,,,,,,
UC_Reserve,Valentine,2020,VR43,AG,postthin,NA,no,0,2,172,LL,LL,POPTRE/PINCON/ABICON,,18,681,100,95,20,3,18,85,20,35,2.5,20,0.5,,,20,0.6,0.05,0.1,0,,15,0.6,20,0.5,75,0.3,12,0.7,1,80,0,12,0.05,0,0,0,,,,0.05,0,,,,,,,,
UC_Reserve,Valentine,2020,VR44,AG,postthin,NA,no,0,11,0,LL,LL,ABIMAG/POPTRE/PINCON,,,,100,99,,1,,95,19,5,4,0.05,0.1,,,0,,0,,0,,0,,0,,10,0.2,50,0.6,,,,,,0,0,,0,1.5,,,0,,,,,,,,
UC_Reserve,Valentine,2020,VR4N,AG,postthin,NA,no,0,15,2,LL,LL,ABICON/PINCON/POPTRE,12.3,54,357,60,42,,0,,40,,0.05,2.5,2,1,,,10,0.8,0.05,0.1,0,,10,0.8,10,0.5,5,0.4,3,0.3,5,48.5,0,20,0.05 pico,1,0,0.05,,,,0.05,25,,,,,,,,
