Jurisdiction,site,year,plotid,obs,pre_post_fire,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,0.05E_percent,0.05E_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,CWD,CONES,Boulder/Bedrock,SMROCK,ROCK,ASH,BASALVEG,CRYPTOGRAMS,STUMPS,RD,TOT_Black_percent,PRE % SHRUB COVER,% SHRUB TORCHED,% SHRUB SCORCHED,% SHRUB UNBURNED,History,NOTES,
TNC,Independence,2020,Indy35,"km, pm",prefire,NA,no,0,8,132,LL,LL,"CEVE, ABCO, RICE",7,29,1554,87,21,4,0,na,20,4.333333333,0.5,1.7,0.05,0.1,0,na,75,1,0.5,0.15,0,na,69,1,75,0.5,1,0.2,0.05,0.2,1,93.5,0,0.05,".5, PIJE",1.5,2,1,0,0.5,0.05,0,0,,,,,,,masticated,
TNC,Independence,2020,Indy01,"km, pm",prefire,NA,no,0,2,65,LL,LL,"PICO, carex, aster",4,20,1565,98,62,14,0.5,9,60,14,8,3,0.5,0.03,0,na,0,na,0,na,0,na,0,na,0,na,25,0.07,80,0.1,1,75,0,1.5,"0.5, PICO",0.25,0.5,1,0,20,0.05,0.25,0,,,,,,,heavily grazed,
TNC,Independence,2020,Indy12,"km, pm",prefire,NA,no,0,7,29,LL,LL,"PICO, MONODO, penstamon",9.3,34,1251,55,22,14,0,na,20,14,3,1.5,1.75,0.05,0,na,5,0.6,0,na,0,na,4,0.6,5,0.5,27,0.25,8,0.25,0.5,96.75,0,0.5,0.05,0.25,0.25,0.05,0,0.75,0.05,1,0,,,,,,,"masticated, chipping on site",
TNC,Independence,2020,Indy13,"km, pm",prefire,NA,no,0,11,21,LL,LL,"ABCO, ABMA, MONODO",10.1,163,1264,46,42.25,14,0.05,2.6,42,14,0.25,2.4,0.25,0.3,0,na,0.05,0.4,0,na,0,na,0,na,0.05,0.4,0.75,0.3,0.05,0.2,3,91.75,0,1,0.05,2,0.5,0.05,0,1.5,0.05,0.25,0,,,,,,,masticated,
TNC,Independence,2020,Indy19,"km, pm",prefire,NA,no,0,3,5,LL,LL,"PIJE, CEVE, ABCO",3.2,9,1272,54,43,17,0,na,42,17,1,2.2,1.25,0.7,0,na,15,1.5,0,na,3,1.9,15,1.5,15,0.5,1,0.25,0.05,0.2,0.05,91.75,0,1.5,"0.75, PIJE",5,0.05,0.05,0,0.75,0.05,0.25,0,,,,,,,,
StanislausNF,BearMountain,2019,BM1,nr rh la ms,prefire,NA,no,0,6,348,,,,4.1,18,975,35,30,14,0.05,5.9,,14,0,0,,0.27,0.05,0.17,,,0,0,,,,,,,10,,,,0.05,99.5,0,0.05,0.05,0,0,0,0,0.5,0,,0,,,,,,"this plot pis on small tablet. all plots in rim fire burned 2012, low tomoderate severity",,
StanislausNF,BearMountain,2019,BM2,nr rh la ms,prefire,NA,no,0,21,106,LL,LL,,7.4,53,976,98,7,22,0.05,59.1,7,22,0,0,0.05,0.19,1,,93,,0,0,0,0,0.05,,93,,0.05,,0.05,,0.05,97.5,0,0.5,0.5,0,0.05,1,0,0.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM3,nr rh la ms,prefire,NA,no,0,14,38,LL,LL,"pipo,cade,psme",7,68,977,97,9,12,0,0,9,12,0,0,0.05,0.1,0.05,0.75,70,,0.05,,0,0,0.05,0.45,70,0.25,0.05,0.15,0.05,0.4,0.05,97,0,2,0.05,0,0.05,0,0,1,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM4,nr rh la ms,prefire,NA,no,0,28,140,LL,LL,"pipo,cade,quke",6.6,14,978,96,30,9,3,4,28,9,0.05,2,0.05,0.1,0.05,,60,0.3,0.5,0.75,0,0,30,0.45,60,0.2,0.05,15,4,0.5,0.5,98,0,0.5,0.05,0,0.05,0.05,0,1,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM5,nr rh la ms,prefire,NA,no,0,16,197,LL,LL,"pipo,cade,quke",6.1,4,979,99,10,8.6,2,9,8,8.6,0,2,,,0.5,1.3,50.5,,0,0,0,0,30,0.45,50.5,0.2,2.5,0.15,2.5,0.45,0.05,97,0,1,0.05,0,0.05,0.05,0,2,0.05,,0,,,,,,,drainage runs through plot,
StanislausNF,BearMountain,2019,BM6,nr rh la ms,prefire,NA,no,0,21,86,LL,LL,"pipo, cade, quke",2.9,34,980,99,10,16,0.05,4,10,16,1,1,0.05,7,0,0,95,,2,1.35,0,0,30,0.45,95,0.25,1,0.25,1,0.3,0.05,98,0,2,0.05,0,0.05,0.05,0,0.05,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM7,nr rh la ms,prefire,NA,no,0,15,96,LL,LL,"pipo, cade, quke",11,33,981,99,7,25,0.05,30,7,25,0.05,2,0.5,0.2,0.05,2,55,0.2,0,0,0,0,0.05,0.45,55,0.25,1,0.2,2,0.4,0.05,98,0,1.5,0.05,0,0.05,0.05,0,0.5,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM8,nr rh la ms,prefire,NA,no,0,14,88,LL,LL,"cade,pipo,quke",2.5,39,982,90,35,34,0,0,35,34,0.05,1.5,0,0,0.05,1.5,55,0.2,0,0,0,0,20,0.45,55,0.35,1,0.2,1,0.4,2,97.5,0,0.05,0.05,0,0.05,0.05,0,0.5,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM9,nr rh la ms,prefire,NA,no,0,12,86,UN,LL,"pipo,cade,quke",10.45,241,983,95,2,12.4,6,28.2,1.5,12.4,0.05,3,18,1,0.05,0.75,1.5,0.4,0,0,0,0,0.5,0.75,1.5,0.3,5,0.2,5,0.4,0.05,95.5,0,4,0.05,0,0.05,0.05,0,0.5,0,,0,,,,,,,witness tree in southast quadrant (first live tree)/ 2 drainages run through plot,
StanislausNF,BearMountain,2019,BM10,nr rh la ms,prefire,NA,no,0,4,30,LL,LL,"pipo,cade,quke",2.8,29,984,96,30,26,0.05,1.7,30,26,0,0,0.05,0.043,0,0,0.05,0.35,0,0,0,0,0,x,0.05,0.3,20,0.25,20,0.45,0.05,98,0,1.5,0.05,0,0,0,0,0.5,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM11,nr rh la ms,prefire,NA,no,0,10,89,LL,LL,"pipo,cade,quke",6.1,220,985,99,3,6,1,4,2,6,0,0,0.05,1.25,0,0,50,,0,0,0,0,20,0.46,50,0.28,5,0.3,5,0.35,0.05,99.5,0,0.05,0,0,0.05,0,0,0.5,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM12,nr rh la ms,prefire,NA,no,0,8,53,LL,LL,"pipo,pila,cade",4.7,207,986,45,11,35,0.5,30,11,35,0,0,25,1,0,0,4,0.75,0,0,0.05,2.4,2,1.2,3,0.3,2,0.1,4,0.4,1,85,0,12,0.5,0,0,0,0,1.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM13,nr rh la ms,prefire,NA,no,0,15,46,LL,LL,"pipo, cade, quke",8.9,141,987,97,8,10,0.05,4,8,10,0,0,0.05,0.7,0.5,1.5,95,0.35,0,0,0,0,45,0.45,95,0.3,0.5,0.15,0.5,0.4,1,98,0,0.5,0.05,0,0,0,0,0.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM14,nr rh la ms,prefire,NA,no,0,19,147,LL,LL,"pipo,cade,quke",2.1,110,988,60,12,10,1.5,7,10.5,10,0,0,0.05,0.6,0.5,1.5,30,0.2,0,0,0,0,5,0.5,30,0.25,10,0.3,10,0.5,15,84,0,0.05,0.05,0,0.5,0.05,0,0.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM15,nr rh la ms,prefire,NA,no,0,21,35,LL,CV,"pipo, cade, quke",7.9,19,989,70,15,13.1,0.05,3.5,15,13.1,0,0,0.05,0.3,5,1.5,52,,0,0,0,0,22,0.65,52,0.25,1,0.2,1.5,0.3,4,93.5,0,1.5,0.05,0,0.05,0.5,0,0.5,0.05,,0,,,,,,,plot boundary 10 m from hand line :/,
StanislausNF,BearMountain,2019,BM16,nr rh la ms,prefire,NA,no,0,15,317,LL,LL,"pipo, cade, quke",2.2,73,990,98,30,19,2,13,28,19,0,0,0.05,0.07,0.05,1.5,70.5,0.35,0,0,0,0,30.5,0.45,70.5,1,1,0.25,3,0.4,2,93,0,3,0.5,0,0.05,0,0,1.5,0,,0,,,,,,,"trees id as pipo but hybridization is likely. both prickly and gentle cones were found, jeffery smell was light",
StanislausNF,BearMountain,2019,BM17,nr rh la ms,prefire,NA,no,0,32,270,LL,LL,"pipo,quke,cade",,,NA,65,2,3.5,2,3.5,0.05,3.5,0.05,2.5,3,0.75,4,2.5,50,0.35,0,0,0,0,45,1.25,50,0.4,4,0.5,4,0.4,4,91.5,0,4,0.05,0,0.05,0.05,0,0.5,0,,0,,,,,,,"no witness tree due to no live tree in plot, no tagged tree",
StanislausNF,BearMountain,2019,BM18,nr rh la ms,prefire,NA,no,0,21,299,LL,LL,"cade,quke,pipo",3,19,991,70,33.5,16,3.5,6,30,16,0.05,2.5,2,0.65,0.5,1.5,30,,0,0,0,0,25,0.75,30,0.3,1.5,0.35,2,0.75,1,96,0,1.5,0.05,0,0.05,0.05,0,1.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM19,nr rh la ms,prefire,NA,no,0,19,199,LL,LL,"pipo,cade,quke",5.6,32,992,73,21,117.1,3,42.75,18,117.1,0,0,1.5,1,0,0,45,0.3,0,0,0,0,43,0.75,45,0.3,3,0.35,3,0.8,4,90,0,4,0.05,0,0.05,0.05,0,2,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM20,nr rh la ms,prefire,NA,no,0,21,176,LL,LL,"pipo,cade,quke",10.3,95,993,94.5,13,21,0,0,13,21,0.05,2.5,0.05,0.1,0.05,1.5,80,0.4,0,0,0,0,70,0.45,80,0.4,0.5,0.35,1,0.7,4,92,0,3,0.05,0,0.05,0.05,0,1,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM21,nr rh la ms,prefire,NA,no,0,13,231,LL,LL,"pipo,quke,cade",7.3,79,994,97,19,9,6,7,13,9,0,0,0.05,0.075,2,1.72,75,,0,0,0,0,0,0.5,75,0.3,0.05,0.4,1,0.5,2,97,0,0.5,0.05,0,0.05,0.05,0,0.5,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM22,la rh nr ms,prefire,NA,no,0,24,220,LL,LL,"quch,pipo,cade",5,81,995,95,30,5.5,10,5.5,20,5.5,0,0,0.05,0.4,24,1.75,62,,12,2.5,0,0,40,0.8,50,0.35,1,0.55,1,0.2,1,93.4,0,3,0.05,0,0.05,1,0,1.5,0.05,,0,,,,,,,polygon is higher severity,
StanislausNF,BearMountain,2019,BM23,la rh nr ms,prefire,NA,no,0,10,202,LL,LL,"pipo,quch,quke,",,,NA,33.5,0,0,0,0,0,0,0.05,2.4,3,0.75,0,0,23.5,0.5,0,0,0,0,21.5,1,23.5,0.35,1.5,0.55,5.5,1.3,3.5,90,0,3.5,0.05,0,0.05,0,0,1,0,,0,,,,,,,no witness tree due to no tov/no pila seed source seen from plot ,
StanislausNF,BearMountain,2019,BM24,la rh nr ms,prefire,NA,no,0,16,221,LL,BR,"pipo,cade,quke",5.3,59,996,70,14,11,1,9,13,1,0,0,0.5,1,0.5,1,56,,0,0,0,0,54,0.45,56,0.35,0.5,0.4,2.5,0.8,3,90.5,0,6,0.05,0,0.05,0.5,0,,0.05,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM25,la rh nr ms,prefire,NA,no,0,14,184,LL,BR,"pipo,cade,psme",7.4,158,997,99,7,17.5,2,17.5,5,17.5,5.5,2.5,30,1,10,3,48,,0,0,0,0,42.5,0.55,48,0.4,0.05,0.55,0.5,0.55,0.5,89,0,10,0.05,0,0.05,0,0,0.5,0,,0,,,,,,,,
StanislausNF,BearMountain,2019,BM26,la rh nr ms,prefire,NA,no,0,23,214,LL,BR,"quke,sasc,pipo",,,NA,40,12.5,3,8,15.5,0,0,0,0,0.05,1,12.5,3,22.5,0.75,0.5,0.45,0,0,19.5,0.75,22,0.35,2,0.45,2,0.25,2.5,93,0,3,0.05,0,0.05,0,0,1.5,0,,0,,,,,,,no witness tree due to no live tree in plot,
StanislausNF,BearMountain,2019,BM27,la rh nr ms,prefire,NA,no,0,10,235,LL,BR,"cade,sasc,pipo",,,NA,37,5,11.25,3,11.25,0,11.25,0,0,10,1,6.5,2.5,9.5,0.75,0,0,0,0,6.5,1,9.5,0.5,3,0.45,3,0.45,4,87.5,0,7.5,0.05,0,0.05,0,0,1,0,,0,,,,,,,no witness tree due to no live tree in plot/cow trail going through  south west end of plot (could behave as fire line),
StanislausNF,BearMountain,2019,BM1,nr rh la ms,postfire,immediate,yes,2,6,348,LL,LL,"pipo,cade,quke",4.1,18,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,62.5,35,0.5,0.05,,,,0.5,,,,,,,30,70,tr,,some seedlings appear to have little to no scorch (pipo) ,
StanislausNF,BearMountain,2019,BM2,nr rh la ms,postfire,immediate,yes,3,21,106,LL,LL,"pipo,cade,quke",7.4,53,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.5,83,0.5,0.05,,,,10,,,,,,93,99,1,0,,,
StanislausNF,BearMountain,2019,BM3,nr rh la ms,postfire,immediate,yes,3,14,38,LL,LL,"pipo,cade,psme",7,68,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.5,93,0.5,0.05,,,,6,,,,,,70,99.5,0.5,0,,100% seeeling mortality,
StanislausNF,BearMountain,2019,BM4,nr rh la ms,postfire,immediate,yes,2,28,140,LL,LL,"pipo,cade,quke",6.6,14,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,96.5,0.05,0.05,,,,1.5,,,,,,60,60,39,1,,"100% scorched seedlings, tr unburnned herbs",
StanislausNF,BearMountain,2019,BM5,nr rh la ms,postfire,immediate,yes,2,16,197,LL,LL,"pipo,cade,quke",6.1,4,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,94.5,0.5,0.05,,,,3,,,,,,50.5,75,25,0,,"100% seedlings scorched, some forbs unburned",
StanislausNF,BearMountain,2019,BM6,nr rh la ms,postfire,immediate,yes,3,21,86,LL,LL,"pipo, cade, quke",2.9,34,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.05,72,1.5,0.05,,,,25,,,,,,95,100,0,0,,,
StanislausNF,BearMountain,2019,BM7,nr rh la ms,postfire,immediate,yes,2,15,96,LL,LL,"pipo, cade, quke",11,33,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,67,0.05,0.05,,,,30,,,,,,55,99,0.5,0.5,,"1.5%seedlings/.5%saplings (cade,pipo/pipo) mostly scorched, some unburned",
StanislausNF,BearMountain,2019,BM8,nr rh la ms,postfire,immediate,yes,2,14,88,LL,LL,"cade,pipo,quke",2.5,39,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,42,52,0.05,0.05,,,,1.5,,,,,,55,50,20,30,,,
StanislausNF,BearMountain,2019,BM9,nr rh la ms,postfire,immediate,yes,2,12,86,UN,LL,"pipo,cade,quke",10.45,241,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.5,76.5,8,0.05,,,,8.5,,,,,,1.5,33,33,33,,"BS, most seedlings scorched, some torched. not all forbs comsumed",
StanislausNF,BearMountain,2019,BM10,nr rh la ms,postfire,immediate,yes,2,4,30,LL,LL,"pipo,cade,quke",2.8,29,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,83.5,2,0.05,,,,7,,,,,,tr,100,0,0,,some forbs and grasses remaining unburned (.5)// BS,
StanislausNF,BearMountain,2019,BM11,nr rh la ms,postfire,immediate,yes,2,10,89,LL,LL,"pipo,cade,quke",6.1,220,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,82,1,,,,,2,,,,,,50,50,49,1,,"scorched and torched seelings, scorched torched and unburned shrubs (chfo&arvi)",
StanislausNF,BearMountain,2019,BM12,nr rh la ms,postfire,immediate,yes,3,8,53,LL,LL,"pipo,pila,cade",4.7,207,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.05,63.5,7,0.05,,,,25,,,,,,4,95,5,tr,,nearly 100% seedling mortality,
StanislausNF,BearMountain,2019,BM13,nr rh la ms,postfire,immediate,yes,3,15,46,LL,LL,"pipo, cade, quke",8.9,141,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,93.5,1.5,,,,,2.5,,,,,,95,97,3,0,,mortality of all seedlings,
StanislausNF,BearMountain,2019,BM14,nr rh la ms,postfire,immediate,yes,2,19,147,LL,LL,"pipo,cade,quke",2.1,110,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,61.5,3,0.05,,,,0.5,,,,,,30,70,25,5,,not all forbs and grasses consumed,
StanislausNF,BearMountain,2019,BM15,nr rh la ms,postfire,immediate,yes,3,21,35,LL,CV,"pipo, cade, quke",7.9,19,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.5,89.5,4.5,0.05,,,,4,,,,,,52,85,15,tr,,,
StanislausNF,BearMountain,2019,BM16,nr rh la ms,postfire,immediate,yes,3,15,317,LL,LL,"pipo, cade, quke",2.2,73,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,92.5,0.5,0.05,,,,3,,,,,,70.5,80,10,10,,NW quad unburned,
StanislausNF,BearMountain,2019,BM17,nr rh la ms,postfire,immediate,yes,3,32,270,LL,LL,"pipo,quke,cade",,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,42.5,20,5,0.05,,,,30,,,,,,50,50,25,25,,,
StanislausNF,BearMountain,2019,BM18,nr rh la ms,postfire,immediate,yes,1,21,299,LL,LL,"cade,quke,pipo",3,19,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,89.5,2,4,0.05,,,,4.5,,,,,,30,tr,15,85,,mostly unburned in plot,
StanislausNF,BearMountain,2019,BM19,nr rh la ms,postfire,immediate,yes,3,19,199,LL,LL,"pipo,cade,quke",5.6,32,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.5,83.5,6,0.05,,,,10,,,,,,45,95,5,0,,,
StanislausNF,BearMountain,2019,BM20,nr rh la ms,postfire,immediate,yes,2,21,176,LL,LL,"pipo,cade,quke",10.3,95,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.5,77.5,5,0.05,,,,8,,,,,,80,60,25,15,,,
StanislausNF,BearMountain,2019,BM21,nr rh la ms,postfire,immediate,yes,3,13,231,LL,LL,"pipo,quke,cade",7.3,79,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,94,1.5,0.05,,,,3,,,,,,75,90,10,0,,,
StanislausNF,BearMountain,2019,BM22,la rh nr ms,postfire,immediate,yes,3,24,220,LL,LL,"quch,pipo,cade",5,81,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,63.5,10,0.05,,,,25,,,,,,62,75,25,tr,,nearly all of resprouts and low shrub consumed. Arvi shrub med tr unburned,
StanislausNF,BearMountain,2019,BM23,la rh nr ms,postfire,immediate,yes,2,10,202,LL,LL,"pipo,quch,quke,",,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,63.5,0.5,0.05,,,,35,,,,,,23.5,50,25,25,,"most seedlings schorched, many arvi litttle scorch, lost low shurb torched",
StanislausNF,BearMountain,2019,BM24,la rh nr ms,postfire,immediate,yes,3,16,221,LL,BR,"pipo,cade,quke",5.3,59,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.05,75.5,2,0.05,,,,20,,,,,,56,85,16,0,,"full seedling mortality, some arvi may recover",
StanislausNF,BearMountain,2019,BM25,la rh nr ms,postfire,immediate,yes,4,14,184,LL,BR,"pipo,cade,psme",7.4,158,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05,39,10,0.05,,,,50,,,,,,48,95,5,0,,100% understory motality. some scorched resprouts may recover,
StanislausNF,BearMountain,2019,BM26,la rh nr ms,postfire,immediate,yes,3,23,214,LL,BR,"quke,sasc,pipo",,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,52,6,0.05,,,,40,,,,,,22.5,45,40,15,,gps location very off from previous gps point. not sure which is more accurate,
StanislausNF,BearMountain,2019,BM27,la rh nr ms,postfire,immediate,yes,2,10,235,LL,BR,"cade,sasc,pipo",,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,39,15,0.05,,,,15,,,,,,9.5,25,20,55,,"patchy burning within plot, unconsumed forbs and grasses",
LakesDistrict,BlissSP,2019,bliss1,rh.ms.nr.ag,prefire,NA,no,0,5,43,LL,LL,"abco, pije, quva",3.8,34,,35,34,25,1,10,33,25,0,0,0.05,0.02,0,0,1,0.4,0,0,0,,0.05,0.6,1,0.4,0,0,0,,1,77,0,1,0.05,0,5,15,0,1,0,,0,,,,,,,close to bottom near rd ,
LakesDistrict,BlissSP,2019,bliss2,rh.ms.nr.ag,prefire,NA,no,0,15,297,LL,LL,"abco, cade, pila",11,2,,65,45,15,0.05,7,45,15,0.05,2,0.05,0.4,0,0,30,0.5,1,0.4,0,,20,0.7,30,0.4,0.05,0.25,0,,1,84,0,5,0.05,0,3,6,0,1,0.05,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss3,rh.ms.nr.ag,prefire,NA,no,0,25,358,LL,LL,"abco, cade, pila",1.7,34,,63,35,15,0.05,7,35,15,0,0,0.05,0.2,0,0,35,0.8,0.05,0.5,0.05,2.2,29,1,35,0.35,0.05,0.2,0,,1,71,0,5,0.05,0,2,20,0,1,0,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss4,rh.ms.nr.ag,prefire,NA,no,0,30,358,LL,LL,"pila, abco, cade",11.25,78,,45,25,15,0.05,7,25,15,0,0,0.05,0.3,0,,35,1,0.05,0.6,0.05,2,34,1,35,0.4,0.05,0.2,0,,2,73,0,7,0.05,0,2,15,0,1,0,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss5,rh.ms.nr.ag,prefire,NA,no,0,30,324,LL,LL,"pila, pije, abco",8.9,30,,75,40,25,0,0,40,25,0,0,0.05,0.4,0,0,43,0.8,0,0,0.05,2.1,35,0.7,43,0.4,0.05,0.2,0,,0.05,93,0,2,0.05,0,1,3,0,1,0.05,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss6,rh.ms.nr.ag,prefire,NA,no,0,15,313,LL,LL,"pila,abco,quva",7.2,93,,80,12,25.5,0.05,2.5,12,25.5,0.05,3.25,0.05,0.3,0,0,70,,1,1.5,0,,63,1.4,69,0.3,0,,0,,0.05,81,0,2,0.05,0,1,15,0,1,0.05,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss7,rh.ms.nr.ag,prefire,NA,no,0,14,314,LL,LL,"pije,abco,pila",11.2,11,,65,12,12,0.05,10,12,12,0.05,3.5,0.05,0.3,0,0,46,0.3,0.05,,0,,0,,0.05,0.3,0.05,0.5,0,,0.05,97,0,0.05,0.05,0,0.05,1,0.05,2,0,,0,,,,,,pile burn last fall with slop over / scorch on trees,,
LakesDistrict,BlissSP,2019,bliss8,rh.ms.nr.ag,prefire,NA,no,0,28,278,LL,LL,"pije,abco,pila",6,5,,56,10,15,0.05,10,10,15,0.05,1.5,0.05,0.4,0,0,53,0.5,0,,4,2.2,43,0.75,46,0.3,0.05,0.3,0,,1,98,0,1,0.05,0,0.05,0.05,0.05,0.05,0.05,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss9,rh.ms.nr.ag,prefire,NA,no,0,30,278,LL,LL,"abco,pipo,arpa",3.2,146,,90,10,12,0.05,2,10,12,0.05,2,0.05,0.3,0,0,80,1.3,3,0.2,3,2,80,1.3,80,0.4,0.05,0.2,0,,0.05,94,0,2,0.05,0,0.05,3,0.05,1,0,,0,,,,,,,plot center at clearing near abcos surrounded by shrubs ,
LakesDistrict,BlissSP,2019,bliss10,rh.ms.nr.ag,prefire,NA,no,0,23,328,LL,LL,"abco, pila, abma",3.7,23,,70,42,16,0.05,1.9,42,16,0.05,0.5,0.05,0.02,0,0,6,0.8,0,0,0,,5,0.8,1,0.2,0.05,0.12,0,,0.05,94,0,4,0.05,0.05,0.05,1,0,1,0,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss11,rh.ms.nr.ag,prefire,NA,no,0,14,265,LL,LL,"abco, pije, pila",5.3,2,,50,38,20,1,2.75,37,17,0.05,0.56,0.05,0.1,0,0,15,0.5,2,0.6,0,,9,0.5,6,0.2,0.05,0.17,0,,0.05,78,0,2,0.05,0.05,8,10,0.05,2,0,,0,,,,,,pile burn last fall with slop over / scorch on trees,,
LakesDistrict,BlissSP,2019,bliss12,rh.ms.nr.ag,prefire,NA,no,0,21,181,LL,LL,"pila,abco,pije",7.6,198,,45,35,15,5,22,35,15,5,2.1,0.05,0.03,0,0,15,0.6,5,0.6,0,,3,0.8,7,0.2,0.05,0.01,0,,3,95,0,2,0.05,0,0.05,0.05,0.05,0.05,0,,0,,,,,,pile burn last fall with slop over / scorch on trees,,
LakesDistrict,BlissSP,2019,bliss13,rh.ms.nr.ag,prefire,NA,no,0,31,211,LL,LL,"abco, pila, pije",1.6,24,,85,40,16,0.05,14,40,16,0,0,0.05,0.4,0,0,60,1.2,1,0.75,3,2,58,0.5,60,0.3,0.05,0.06,0,,3,94,0,2,0.05,0,0.05,0.05,0,1,0,,0,,,,,,,,
LakesDistrict,BlissSP,2019,bliss14,rh.ms.nr.ag,prefire,NA,no,0,27,252,LL,LL,"abco, pila, pije",3.4,7,,70,35,18,0.05,10,35,18,0,0,0.05,0.5,0,0,48,1.2,0,0,0.05,2,47,0.6,48,0.4,0.05,0.3,0,,2,92.5,0,4,0.05,0,0.05,0.05,0.05,1.5,0,,0,,,,,,pile burn last fall with slop over / scorch on trees,,
LakesDistrict,BlissSP,2019,bliss15,rh.ms.nr.ag,prefire,NA,no,0,21,242,LL,LL,"abco, pije, pila",6.4,7,,55,40,14,2,20,38,14,0.05,1.5,0.05,0.4,0,0,21,0.7,0.05,0.5,0,,20,1.2,21,0.5,0.05,0.2,0,,1.5,95,0,2.5,0.05,0,0.05,0.05,0.05,1,0,,0,,,,,,pile burn last fall with slop over / scorch on trees,,
LakesDistrict,BurtonSP,2019,burton1,all,prefire,NA,no,0,13,314,LL,LL,"abco, abma, cepr",8.5,20,423,67,35,24,0.05,1.6,35,24,0,,0.05,0.07,0,,32,0.05,0,,0,,0.05,1,32,0.05,0.05,0.3,0,,0.25,97.75,0,1,0.05,0,0.05,0,0,1,0,,0,,,,,,,,
LakesDistrict,BurtonSP,2019,burton2,all,prefire,NA,no,0,4,103,LL,LL,"abco, abma, cepr",8,5,432,67,55,17,1,2.5,50,17,0.05,1.5,4,0.6,0,,12,0.05,0,,0,,0.5,0.6,12,0.05,0.05,0.3,0,,0.05,85,0,12,0.05,0,0.05,0.05,0,3,0,,0,,,,,,,fabma1d10002 plot,
