project,site,year,plotid,pre_post_fire,postFire,tag_id,status,species,dbh_cm,ht_m,ht2crown_m,livecrownratio_perc,crownclass,crownwidth_m,decay,scorch_ht_m,torch_ht_m,bolechar_m,healthCode,notes,ht2dead_m,scorch_percent,torch_percent,healthCode2,resprout,stump_diameter_cm,stump_ht_m,presentPostThin,StatusPostThin,samplingTime,Beetles2019,DeadPriorFire
CPFMP,Antelope,2020,Antelope01,prefire,"",1449,live,PIJE,33.5,11.1,4.4,98,"",3.75,na,,,,na,"",2.5,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1450,live,PIJE,9.4,2.7,1.2,98,"",1.5,na,,,,na,"",0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1451,live,PIJE,25.8,9.3,3.6,98,"",5,na,,,,na,"",1.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1452,live,PIJE,35,9.8,4.2,96,"",5,na,,,,na,"",0.9,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1453,live,PIJE,37.8,10.8,4.5,95,"",7,na,,,,na,"",1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1454,live,PIJE,25.1,9.2,4.6,93,"",3,na,,,,na,"",4.2,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1455,live,PIJE,16.05,5.6,2.3,98,"",2,na,,,,na,"",0.8,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1456,live,PIJE,11.45,5.1,1.8,99,"",1.5,na,,,,na,"",0.1,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1457,live,PIJE,35.15,8.2,3.2,93,"",4.5,na,,,,dead top,"",0.6,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1458,live,PIJE,22.6,6.6,1.9,96,"",4,na,,,,na,"",0.4,,,na,"","","","","",,,
CPFMP,Antelope,2020,Antelope01,prefire,"",1459,live,PIJE,14.7,4.9,2.3,95,"",2.2,na,,,,pitching on bole of tree,"",0.4,,,na,"","","","","",,,
