project,site,plot_id,year,pre_post_fire,postTime,azimuth,intersect_cm,species,large_cm,small_cm,distance_m,length_m,decay,FieldNotes
CPFMP,BearMountain,BM27,2019,postfire,immediate,0,16,,14.4,6.2,,8.4,3,
CPFMP,BearMountain,BM27,2019,postfire,immediate,180,8,,8,8,,0.38,2,
CPFMP,BearMountain,BM27,2019,postfire,immediate,180,18,,19,6.5,,6.3,2,
CPFMP,BearMountain,BM3,2019,postfire,immediate,0,27,,39,9,,18.6,2,
CPFMP,BearMountain,BM3,2019,postfire,immediate,0,11,,20,11,,15,3,
CPFMP,BearMountain,BM3,2019,postfire,immediate,90,35,,39,9,,18.6,2,
CPFMP,BearMountain,BM5,2019,postfire,immediate,270,20,,20,9,,0.65,3,
CPFMP,BearMountain,BM5,2019,postfire,immediate,180,10,,10,10,,0.7,4,
CPFMP,BearMountain,BM5,2019,postfire,immediate,180,15,,14,14,,0.82,4,
CPFMP,BearMountain,BM5,2019,postfire,immediate,180,17.4,,27,1,,10.8,1,
CPFMP,BearMountain,BM5,2019,postfire,immediate,180,17,,19,13,,4.05,1,
CPFMP,BearMountain,BM5,2019,postfire,immediate,180,15,,15,13,,1,4,
CPFMP,BearMountain,BM5,2019,postfire,immediate,0,11,,11,5,,0.35,4,
CPFMP,BearMountain,BM5,2019,postfire,immediate,0,10,,13,8.5,,0.75,4,
CPFMP,BearMountain,BM5,2019,postfire,immediate,0,13,,10,9,,0.27,4,
CPFMP,BearMountain,BM6,2019,postfire,immediate,270,12,,12,8,,0.7,3,
CPFMP,BearMountain,BM9,2019,postfire,immediate,90,42,,33,13,,17.1,2,
CPFMP,BearMountain,BM9,2019,postfire,immediate,90,18,,25,10,,12.2,1,
CPFMP,BearMountain,BM9,2019,postfire,immediate,0,38,,38,22,,15.5,3,
CPFMP,BearMountain,BM9,2019,postfire,immediate,180,15,,13,13,,1.67,2,
CPFMP,BearMountain,BM9,2019,postfire,immediate,180,22,,25,10,,12.2,1,
CPFMP,BearMountain,BM9,2019,postfire,immediate,180,37,,42,38,,15.6,3,
CPFMP,BurtonSP,burton07,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,BurtonSP,burton08,2019,postfire,immediate,0,14,,18,1,,9.2,2,unburned
CPFMP,BurtonSP,burton08,2019,postfire,immediate,90,13,,13,10,,3.2,2,unburned
CPFMP,BurtonSP,burton08,2019,postfire,immediate,90,15,,15,13,,1,2,partiallyburned
CPFMP,BurtonSP,burton08,2019,postfire,immediate,90,15,,10,10,,3.65,2,"unburned,fuelsrearrangedbyfirefighterstojackpot"
CPFMP,BurtonSP,burton08,2019,postfire,immediate,270,12,,19,12,,10,3,"unburned,lengthmorelike10m"
CPFMP,BurtonSP,burton08,2019,postfire,immediate,270,13,,18,13,,0.75,2,unburned
CPFMP,BurtonSP,burton09,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,BurtonSP,burton10,2019,postfire,immediate,180,34,,72,15,,3,3,partiallyburned
CPFMP,BurtonSP,burton14,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,MountainHome,26,2019,postfire,,108,,,,,,,C4,
CPFMP,MountainHome,26,2019,postfire,,168,,,,,,,,NO1000HOURS
CPFMP,MountainHome,27,2019,postfire,,346,,,,,,,,NO1000HOURS
CPFMP,MountainHome,27,2019,postfire,,46,,,,,,,B4,
CPFMP,MountainHome,29,2019,postfire,,156,,,,,,,,NO1000HOURS
CPFMP,MountainHome,29,2019,postfire,,216,,,,,,,,NO1000HOURS
CPFMP,MountainHome,30,2019,postfire,,150,,,,,,,B5,
CPFMP,MountainHome,30,2019,postfire,,150,,,,,,,B4,
CPFMP,MountainHome,30,2019,postfire,,210,,,,,,,,NO1000HOURS
CPFMP,MountainHome,31,2019,postfire,,202,,,,,,,C16,
CPFMP,MountainHome,31,2019,postfire,,142,,,,,,,,NO1000HOURS
CPFMP,MountainHome,33,2019,postfire,,178,,,,,,,C3,
CPFMP,MountainHome,33,2019,postfire,,178,,,,,,,C7,
CPFMP,MountainHome,33,2019,postfire,,118,,,,,,,C9,
CPFMP,MountainHome,33,2019,postfire,,118,,,,,,,D9,
CPFMP,MountainHome,34,2019,postfire,,238,,,,,,,D6,
CPFMP,MountainHome,34,2019,postfire,,178,,,,,,,,NO1000HOURS
CPFMP,MountainHome,38,2019,postfire,,178,,,,,,,,NO1000HOURS
CPFMP,MountainHome,38,2019,postfire,,238,,,,,,,,NO1000HOURS
CPFMP,MountainHome,39,2019,postfire,,186,,,,,,,C3,
CPFMP,MountainHome,39,2019,postfire,,126,,,,,,,,NO1000HOURS
CPFMP,MountainHome,40,2019,postfire,,178,,,,,,,B16,
CPFMP,MountainHome,40,2019,postfire,,178,,,,,,,B9,
CPFMP,MountainHome,40,2019,postfire,,238,,,,,,,C3,
CPFMP,slypark,spi1,2019,postfire,immediate,270,20,,20,18,,0.66,1,"present,noconsumption"
CPFMP,slypark,spi1,2019,postfire,immediate,270,14,,14,6.6,,0.83,3,"present,noconsumption"
CPFMP,slypark,spi10,2019,postfire,immediate,0,12,,12,12,,0.75,5,"present,noconsumption"
CPFMP,slypark,spi10,2019,postfire,immediate,180,9.5,,7.5,6,,1.5,4,"present,noconsumption"
CPFMP,slypark,spi11,2019,postfire,immediate,270,15,,8,6,,3.8,4,"present,noconsumption"
CPFMP,slypark,spi2,2019,postfire,immediate,na,na,,na,na,,na,na,"missing,probablycutandmoved(nearfireline)"
CPFMP,slypark,spi2,2019,postfire,immediate,na,na,,na,na,,na,na,"missing,probablycutandmoved(nearfireline)"
CPFMP,slypark,spi2,2019,postfire,immediate,180,24,,24,24,,1,1,"notoriginallyindata,butpresentonline.Logwascutfromlineconstruction,shoulddiscardfromanalysis"
CPFMP,slypark,spi2,2019,postfire,immediate,270,14,,14,14,,6,4,"notoriginallyindata,butpresentonline.Blackenednotreducedindiameter"
CPFMP,slypark,spi3,2019,postfire,immediate,270,9,,9,6.5,,2.3,1,present
CPFMP,slypark,spi4,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,slypark,spi4,2019,postfire,immediate,0,10.5,,12.1,11.9,,1.6,3,"logpartiallyconsumed,newdiamis10.5atintersect"
CPFMP,slypark,spi4,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,slypark,spi4,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,slypark,spi6,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,slypark,spi6,2019,postfire,immediate,na,na,,na,na,,na,na,100%consumed
CPFMP,slypark,spi7,2019,postfire,immediate,0,9,,11,7,,1.6,4,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,90,16,,26,8,,3.4,4,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,90,14,,22,13,,4.9,5,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,90,10.5,,12,10.5,,2,5,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,180,15,,15,13,,0.85,5,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,180,11.5,,12,11,,0.7,4,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,180,9,,9,13,,1.9,5,"present,noconsumption"
CPFMP,slypark,spi7,2019,postfire,immediate,270,21,,21,16,,6,3,"notoriginallyindata,butpresentonline(noconsumption)"
CPFMP,slypark,spi7,2019,postfire,immediate,270,16,,16,16,,5,4,"notoriginallyindata,butpresentonline(noconsumption)"
CPFMP,slypark,spi8,2019,postfire,immediate,90,6,,30,6,,8.6,1,"present,noconsumption"
CPFMP,slypark,spi8,2019,postfire,immediate,180,20,,20,16,,1,3,"notoriginallyindata,butpresentonline(noconsumption)"
CPFMP,springsfire,springs1,2019,postfire,immediate,270,32,,20,17,,2.3,3,
CPFMP,springsfire,springs1,2019,postfire,immediate,90,13,,13,5,,1.4,3,
CPFMP,springsfire,springs11,2019,postfire,immediate,180,12.5,,13.5,8,,2.8,3,
CPFMP,springsfire,springs11,2019,postfire,immediate,90,7.6,,13,3,,0.45,3,
CPFMP,springsfire,springs11,2019,postfire,immediate,90,8,,8,5,,0.15,3,
CPFMP,springsfire,springs12,2019,postfire,immediate,270,8.5,,8.5,6,,0.25,3,
CPFMP,springsfire,springs13,2019,postfire,immediate,90,10.5,,3,10.5,,0.6,2,
