site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
BearMountain,BM12,2019,prefire,NA,rh,CADE,live,TSE,3,0.6,5,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,CADE,live,TSE,12,0.65,6,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PILA,live,TSE,6,0.24,4,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PILA,live,TSE,5,0.53,5,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PILA,live,TSE,7,0.55,6,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PIPO,live,TSE,5,0.15,2,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PIPO,live,TSE,12,0.42,3,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PIPO,live,TSE,9,0.72,4,,,,,,,,,,
BearMountain,BM12,2019,prefire,NA,rh,PIPO,live,TSE,23,1.38,5,,,,,,,,,,
BearMountain,BM13,2019,prefire,NA,la,QUEKEL,live,TRE,,,,,,,,,12,2.7,6,,
BearMountain,BM13,2019,prefire,NA,la,QUEKEL,dead,TRE,,,,,,,,,2,2.9,7,,
BearMountain,BM14,2019,prefire,NA,ms,PIPO,live,TSE,1,0.42,5,,,,,,,,,,
BearMountain,BM14,2019,prefire,NA,ms,PIPO,live,TSE,1,0.5,8,,,,,,,,,,
BearMountain,BM14,2019,prefire,NA,ms,PIPO,dead,TSE,4,0.04,1,,,,,,,,,,
BearMountain,BM15,2019,prefire,NA,rh,CADE,live,TSE,2,0.26,5,,,,,,,,,,
BearMountain,BM15,2019,prefire,NA,rh,PIPO,live,TSE,2,0.48,3,,,,,,,,,,
BearMountain,BM15,2019,prefire,NA,rh,QUEKEL,live,TSE,2,0.1,1,,,,,,,,,,
BearMountain,BM15,2019,prefire,NA,rh,QUEKEL,live,TSE,1,0.3,4,,,,,,,,,,
BearMountain,BM15,2019,prefire,NA,rh,QUEKEL,live,TSE,1,0.62,5,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,CADE,live,TSE,17,0.07,0,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,CADE,dead,TSE,30,0.06,0,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,CADE,dead,TSE,8,0.07,0,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,PIJE,live,TSE,7,0.08,0,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,PIJE,live,TSE,1,0.09,2,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,PIJE,live,TSE,4,0.21,3,,,,,,,,,,
BearMountain,BM16,2019,prefire,NA,la,PIJE,live,TSE,1,0.35,5,,,,,,,,,,
BearMountain,BM17,2019,prefire,NA,ms,PIPO,live,TSE,1,105,9,,,,,,,,,,
BearMountain,BM18,2019,prefire,NA,rh,CADE,live,TSE,25,0.06,1,,,,,,,,,,
BearMountain,BM18,2019,prefire,NA,rh,CADE,live,TSE,22,0.12,2,,,,,,,,,,
BearMountain,BM18,2019,prefire,NA,rh,CADE,live,TSE,37,0.11,3,,,,,,,,,,
BearMountain,BM18,2019,prefire,NA,rh,CADE,live,TSE,5,0.17,4,,,,,,,,,,
BearMountain,BM18,2019,prefire,NA,rh,CADE,live,TSE,1,0.53,6,,,,,,,,,,
