project,site,year,plotid,obs,pre_post_fire,pre_post_thin,postTime,burn_y/n,FireSeverity,slope_percent,aspect_degree,Horz_Shape,Ver_Shape,ExistingVeg,WTreeDistance_m1,WTreeAzimuth_deg1,WTreeTagNo1,TOT_VEG_percent,TOT_all_percent,TOT_HT_m,DT_all_percent,DT_HT_m,TOV_percent,TOV_HT_m,TSA_percent,TSA_HT_m,TSE_percent,TSE_HT_m,TRE_percent,TRE_HT_m,TOS_percent,TOS_HT_m,DS_percent,DS_HT_m,ST_percent,ST_HT_m,SM_percent,SM_HT_m,SL_percent,SL_HT_m,TOF_percent,TOF_HT_m,TOG_percent,TOG_HT_m,BARESOIL,LITTER,BlackLitter,ASH,CWD,stumps,CONES,Boulder/Bedrock,ROCK,SMROCK,BASALVEG,CRYPTOGRAMS,RD,BURNPILE,TOT_Black_percent,PRE % SHRUB COVER,%FORB SCORCH,%GRAM SCORCH,shrub_scorch_percent,shrub_torch_percent,shrub_unburn_percent,%UNDERSTORY TORCH,%UNDERSTORY SCORCH,history,NOTES,
CPFMP,caples,2013,8,"CR,AP",prefire,,NA,no,,15,128,LL,LL,"CADE,PIJE,ABCO",,,,95,95,25,0.5,3,95,25,,,0.5,0.1,,,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0,0.5,94,,0,4,,,0,0,,0.5,0,8,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,9,"HEP, ZTC, TRP",postfire,,1yr,yes,4,,,,,"PIJE, ABCO, CADE",,,,25,0,0,na,na,0,0,0,0,na,na,na,na,25,0.36,na,na,0,0,5,1.5,20,0.36,0.5,0.3,0,0,53.5,0.5,na,na,0.5,,na,na,45,na,0.5,0,0,,,,,,,,,,,,,
CPFMP,caples,2019,9,"KB,MP",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,9,"CR,AP",prefire,,NA,no,,35,104,LL,LL,"ABCO,PIJE,QUKE",,,,95,0.5,5.8,0,0,0.5,5.8,,,0.5,1.8,,,95,1.2,0.5,0.2,20,1.9,95,1.2,40,0.2,0.5,0.1,0,0,1,96,,0,0,,,1,0,,0.5,0,9,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,10,"TRP, ZTC, HEP",postfire,,1yr,yes,4,,,,,"PIJE, ABCO, CADE",,,,25,0.5,0.04,na,na,0,0,0.5,0.04,na,na,na,na,20,0.45,na,na,0,0,0.5,0.75,20,0.35,3,22.5,2,61.5,76,3,na,na,0.5,,na,na,20,na,0.5,0,0,,,,,,,,,,,,,
CPFMP,caples,2019,10,"KB,MP",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,10,"CR,AP",prefire,,NA,no,,9,130,CV,LL,"PIJE,ABCO,QUKE",,,,90,2,10,0,0,2,10,,,0.5,0.3,,,75,1.4,0.5,0.2,5,1.9,75,1.4,10,0.3,0.5,0.3,0,0,1,97,,0,0,,,0,0.5,,0.5,0,10,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,11,"HEP, TRP, ZTC",postfire,,1yr,yes,3,,,,,"CADE, PIJE, ABCO",,,,65,65,14.7,na,na,65,14.7,0.5,0.04,na,na,na,na,0.5,0.03,na,na,0,0,0,0,0,0.5,0.5,4,0,0,40,50,na,na,2,,na,na,7,na,1,0,0,,,,,,,,,,,,,
CPFMP,caples,2019,11,"MP, KB",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,11,"CR,AP",prefire,,NA,no,,3,128,LL,CC,"PIJE,ABCO,CADE",,,,78,75,11,0.5,14,75,11,,,0.5,0.4,,,3,1.2,0.5,0.1,0.5,2,3,1.2,2,0.3,0.5,0.1,0,0,0.5,95.5,,0,1,,,0.5,1,,0.5,0,11,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,12,"TRP, ZTC, HEP",postfire,,1yr,yes,4,,,,,"ABCO, CADE, PIJE",,,,5,5,22.1,na,na,10,22.1,0.5,0.03,na,na,na,na,0.5,0.04,na,na,0,0,0,0,1,0.06,0,0,0,0,25,50.5,na,na,4,,na,na,20,na,0.5,0,0,,,,,,,,,,,,,
CPFMP,caples,2019,12,"AR, MP",postfire,,immediate,yes,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,,
CPFMP,caples,2013,12,"CR,AP",prefire,,NA,no,,17,52,LL,CV,"ABCO,PICO,CADE",,,,62,62,10,2,7,60,10,,,0.5,0.1,,,0.5,0.1,0,0,0,0,0,0,0.5,0.1,0.5,0.5,0.5,0.2,0.5,96,,0,1,,,1,0.5,,0.5,0,12,0,,,,,,,,,,,TSE includes TSA and TSE (considered all understory),
CPFMP,caples,2020,13,"ag, mm",postfire,,1yr,yes,2,,,,,"cade, abco, pije",,,,35,25,5,7,5,25,13,tr,1.4,tr,0.05,0,na,tr,0.1,tr,0.2,0,na,0,na,tr,0.1,7,0.15,3,0.4,0.5,95,tr,tr,0.5,,tr,1,2,tr,1,tr,0,,,,,,,,,,,,,
