site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm
Antelope,Antelope10,2020,prefire,,270,,2,2,4,11.3,0,0,0,0,0,0,0.2,0,11.7,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope10,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,1,8,3.8,0,9.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope11,2020,prefire,,0,34,2,2,3,11.3,0,1,0,0.5,0.3,1,0.5,3.4,4,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope11,2020,prefire,,180,27,2,2,3,11.3,1,0,0,0,6.9,4,7,0,4.2,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope11,2020,prefire,,270,,2,2,3,11.3,0,1,0,0.5,2.2,0,2.7,0,0.3,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope11,2020,prefire,,90,,2,2,3,11.3,0,0,0,0,1.5,5.4,1.8,0,6.3,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope12,2020,prefire,,0,,2,2,4,11.3,1,0,1,0,4,4.5,15.3,0.5,16.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope12,2020,prefire,,180,,2,2,4,11.3,5,11,2,0,1.5,4.5,6.9,0,8.7,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope12,2020,prefire,,270,,2,2,4,11.3,0,0,0,2,3.5,5,18.2,0,28,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope12,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,4.5,6,29.3,0,11.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope13,2020,prefire,,0,,2,2,3,11.3,0,0,3,0,2.7,0.3,2.3,0,0.5,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope13,2020,prefire,,180,,2,2,3,11.3,1,1,0,0,4.2,3.7,4,0,4,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope13,2020,prefire,,270,,2,2,3,11.3,1,0,0,0,0,4.8,0.3,0,5,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope13,2020,prefire,,90,,2,2,3,11.3,2,3,3,0,5,3,5.5,5.5,7,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope14,2020,prefire,,0,,2,2,4,11.3,0,1,0,1.5,3.5,6.5,22.5,0,63.2,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope14,2020,prefire,,180,,2,2,4,11.3,4,2,2,0,2,0,4.2,0,4.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope14,2020,prefire,,270,,2,2,4,11.3,7,3,0,0,1.5,2.5,4.3,1,22.5,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope14,2020,prefire,,90,,2,2,4,11.3,2,1,2,1,4.5,20,36.8,1,33,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope15,2020,prefire,,0,,2,2,3,11.3,1,1,0,0,2.7,2,1.2,0.3,1.5,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope15,2020,prefire,,180,,2,2,3,11.3,0,1,0,0.3,2.7,2.6,3,0,2.8,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope15,2020,prefire,,270,,2,2,3,11.3,0,1,1,0,0,2,0.3,0,3.4,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope15,2020,prefire,,90,,2,2,3,11.3,1,1,0,3.7,4.8,7.3,5.2,4.5,8,,,CPFMP,mm,,,NA,NA,NA
Antelope,Antelope16,2020,prefire,,0,,2,2,4,11.3,1,2,0,0,3.5,0.5,70.2,0,23.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope16,2020,prefire,,180,,2,2,4,11.3,1,0,0,0,0.5,0,23.2,0,5.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope16,2020,prefire,,270,,2,2,4,11.3,4,2,0,6,2,0.25,3.7,0,12.8,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope16,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,1.5,2,24.8,0,65.3,,,CPFMP,pm,,,NA,NA,NA
Antelope,Antelope17,2020,prefire,,0,,2,2,3,11.3,1,1,0,0,0.1,0.1,0.3,0,0.5,,,CPFMP,mm,,,NA,NA,NA
