site,plot_id,burn,preSurvey,postSurvey_immediate,postSurvey_1year,postSurvey_2year,X,Y,burn_unit
Calaveras,BigTrees22,no,8.17.2020,,,,736124,4240608,
Calaveras,BigTrees24,no,8.17.2020,,,,736223,4240687,
Calaveras,BigTrees36,no,8.18.2020,,,,736330,4240574,
Calaveras,BigTrees27,no,8.18.2020,,,,736339,4240678,
Calaveras,BigTrees25,no,8.18.2020,,,,736212,4240758,
Calaveras,BigTrees29,no,8.19.2020,,,,736727,4240602,
Calaveras,BigTrees01,no,8.19.2020,,,,736635,4240511,
Calaveras,BigTrees35,no,8.19.2020,,,,736532,4240497,
Calaveras,BigTrees06,no,8.19.2020,,,,736241,4239994,
Calaveras,BigTrees32,no,8.20.2020,,,,735846,4239893,
Calaveras,BigTrees14,no,8.21.2020,,,,736129,4239902,
Calaveras,BigTrees04,no,8.21.2020,,,,736241,4240075,
Calaveras,BigTrees05,no,8.22.2020,,,,7236140,4239995,
Calaveras,BigTrees34,no,8.22.2020,,,,735744,4239804,
Calaveras,BigTrees21,no,8.17.2020,,,,736016,4240574,
Calaveras,BigTrees23,no,8.17.2020,,,,,,
Calaveras,BigTrees28,no,8.18.2020,,,,735847,4240400,
Calaveras,BigTrees20,no,8.18.2020,,,,735828,4240497,
Calaveras,BigTrees19,no,8.18.2020,,,,735742,4240390,
Calaveras,BigTrees18 ,no,8.18.2020,,,,735742,4240293,
Calaveras,BigTrees17,no,8.18.2020,,,,,,
Calaveras,BigTrees09,no,8.19.2020,,,,736425,4240383,
Calaveras,BigTrees08,no,8.19.2020,,,,736327,4240281,
Calaveras,BigTrees02,no,8.19.2020,,,,736333,4240192,
Calaveras,BigTrees03,no,8.20.2020,,,,736337,4240083,
Calaveras,BigTrees31,no,8.20.2020,,,,735854,4239985,
Calaveras,BigTrees30,no,8.20.2020,,,,735728,4239888,
Calaveras,BigTrees13,no,8.21.2020,,,,736033,4239894,
Calaveras,BigTrees11,no,8.21.2020,,,,736033,4239988,
Calaveras,BigTrees12,no,8.21.2020,,,,735930,4239994,
Calaveras,BigTrees10,no,8.21.2020,,,,736030,4240088,
Calaveras,BigTrees07,no,8.21.2020,,,,736140,4240116,
Calaveras,BigTrees15,no,8.21.2020,,,,736230,4240189,
Calaveras,BigTrees33,no,8.21.2020,,,,735936,4239885,
Antelope,Antelope01,no,8.3.2020,,,,334524,4176668,antelope2/11b
Antelope,Antelope02,no,8.3.2020,,,,334727,4176421,antelope2/11b
Antelope,Antelope03,no,8.5.2020,,,,333196.6151,4175000.786,antelope2/11b
Antelope,Antelope04,no,8.4.2020,,,,334623,4174922,antelope2/11b
Antelope,Antelope05,no,8.5.2020,,,,333704.1695,4174978.386,antelope2/11b
Antelope,Antelope06,no,8.4.2020,,,,334471,4175193,antelope2/11b
Antelope,Antelope07,no,8.5.2020,,,,333461,4175243,antelope2/11b
Antelope,Antelope08,no,8.4.2020,,,,334728,4175462,antelope2/11b
Antelope,Antelope09,no,8.5.2020,,,,333955,4175232,antelope2/11b
Antelope,Antelope10,no,8.4.2020,,,,334283,4175466,antelope2/11b
Antelope,Antelope11,no,8.5.2020,,,,333732.6162,4175500.82,antelope2/11b
Antelope,Antelope12,no,8.4.2020,,,,333518,4175712,antelope2/11b
Antelope,Antelope13,no,8.5.2020,,,,334500,4176211.18,antelope2/11b
Antelope,Antelope14,no,8.5.2020,,,,333250,4176012,antelope2/11b
Antelope,Antelope15,no,8.5.2020,,,,334739,4175955,antelope2/11b
Antelope,Antelope16,no,8.5.2020,,,,333779,4175983,antelope2/11b
Antelope,Antelope17,no,8.5.2020,,,,334484,4175706.41,antelope2/11b
Antelope,Antelope18,no,8.5.2020,,,,334003,4175703,antelope2/11b
Antelope,Antelope19,no,8.5.2020,,,,334246,4175966,antelope2/11b
DryCreek,DryCreek21,no,8.6.2020,,,,325286,4176549,drycreek41
DryCreek,DryCreek22,no,8.6.2020,,,,325531,4176542,drycreek41
DryCreek,DryCreek23,no,8.6.2020,,,,325794,4176532,drycreek41
DryCreek,DryCreek24,no,8.6.2020,,,,325256,4176287.42,drycreek41
DryCreek,DryCreek25,no,8.6.2020,,,,325509,4176289,drycreek41
DryCreek,DryCreek26,no,8.6.2020,,,,325768,4176268,drycreek41
DryCreek,DryCreek27,no,8.6.2020,,,,325238,4176038.03,drycreek20
DryCreek,DryCreek28,no,8.6.2020,,,,325506,4176039.02,drycreek20
DryCreek,DryCreek29,no,8.6.2020,,,,325795,4176032,drycreek41
DryCreek,DryCreek30,no,8.6.2020,,,,325494,4175783.93,drycreek20
DryCreek,DryCreek31,no,8.6.2020,,,,325768.8201,4175777.355,drycreek20
DryCreek,DryCreek32,yes,,,,8.7.2020,323293,4177633.66,drycreek7
DryCreek,DryCreek33,yes,,,,8.7.2020,323281,4177351.92,drycreek7
DryCreek,DryCreek34,yes,,,,8.7.2020,323274.263,4177121.516,drycreek7
DryCreek,DryCreek35,yes,,,,8.7.2020,323569,4177585.58,drycreek7
DryCreek,DryCreek36,yes,,,,8.7.2020,323541,4177347.48,drycreek7
DryCreek,DryCreek37,yes,,,,8.7.2020,323544,4177122,drycreek7
DryCreek,DryCreek38,yes,,,,8.7.2020,323857,4177598,drycreek7
DryCreek,DryCreek39,yes,,,,8.7.2020,323786,4177342,drycreek7
DryCreek,DryCreek40,yes,,,,8.7.2020,323782,4177110,drycreek7
DryCreek,DryCreek41,yes,,,,8.7.2020,324140,4177327,drycreek7
DryCreek,DryCreek43,yes,,,,8.7.2020,324121,4177584,drycreek7
DryCreek,DryCreek46,no,8.8.2020,,,,323586,4176053,control
DryCreek,DryCreek48,no,8.8.2020,,,,323094,4176533.32,control
DryCreek,DryCreek50,no,8.8.2020,,,,323929,4175968,control
DryCreek,DryCreek52,no,8.8.2020,,,,323169,4176807.02,control
Independence,Indy26,no,8.30.2020,,,,733602,4370431,
Independence,Indy07,no,9.1.2020,,,,733653,4371301,
Independence,Indy08,no,9.1.2020,,,,733788,4371158,
Independence,Indy10,no,9.1.2020,,,,733911,4371008,
Independence,Indy09,no,9.1.2020,,,,733628,4371018,
Independence,Indy24,no,9.2.2020,,,,733470,4370609,
Independence,Indy17,no,9.2.2020,,,,733613,4370739,
Independence,Indy16,no,9.2.2020,,,,733485,4370887,
Independence,Indy06,no,9.2.2020,,,,733930,4371286,
Independence,Indy40,no,9.2.2020,,,,734061,4371143,
Independence,Indy38,no,9.3.2020,,,,734007,4370010,
Independence,Indy05,no,9.3.2020,,,,734073,4371421,
Independence,Indy03,no,9.3.2020,,,,734347,4371123,
Independence,Indy11,no,9.3.2020,,,,734199,4370993,
Independence,Indy14,no,9.4.2020,,,,734046,4370857,
Independence,Indy20,no,9.4.2020,,,,734472,4370690,
Independence,Indy21,no,9.4.2020,,,,734322,4370562,
Independence,Indy29,no,9.4.2020,,,,734445,4370416,
Independence,Indy36,no,9.5.2020,,,,734433,4370133,
Independence,Indy30,no,9.5.2020,,,,734310,4370278,
Independence,Indy28,no,9.5.2020,,,,734177,4370424,
Independence,Indy31,no,9.5.2020,,,,734022,4370291,
Independence,Indy37,no,9.6.2020,,,,734288,4369995,
Independence,Indy25,no,8.31.2020,,,,733322,4370479,
Independence,Indy39,no,9.1.2020,,,,733668,4369997,
Independence,Indy34,no,9.1.2020,,,,733877,4370166,
Independence,Indy32,no,9.1.2020,,,,733744,4370306,
Independence,Indy33,no,9.1.2020,,,,733583,4370164,
Independence,Indy23,no,9.2.2020,,,,733769,4370594,
Independence,Indy18,no,9.2.2020,,,,733891,4370721,
Independence,Indy22,no,9.2.2020,,,,734041,4370575,
Independence,Indy27,no,9.2.2020,,,,733909,4370437,
Independence,Indy35,no,9.3.2020,,,,734163,4370152,
Independence,Indy01,no,9.4.2020,,,,734357,4371409,
Independence,Indy12,no,9.5.2020,,,,734475,4370984,
Independence,Indy13,no,9.5.2020,,,,734334,4370845,
Independence,Indy19,no,9.5.2020,,,,734196,4370716,
springsfire,springs1,yes,8.8.19,8.24.19,7/6/2020,,333890.6342,4191367.019,nopriorburn
springsfire,springs2,yes,8.8.19,8.24.19,7/8/2020,,333330.2204,4190736.813,nopriorburn
springsfire,springs3,yes,8.8.19,8.24.19,7/8/2020,,333524.5803,4190745.789,nopriorburn
springsfire,springs4,yes,8.8.19,8.24.19,7/8/2020,,333523.4562,4190941.516,nopriorburn
springsfire,springs5,yes,8.8.19,,7/8/2020,,332498,4190834,nopriorburn
springsfire,springs6,yes,8.9.19,,7/9/2020,,333985,4189921,nopriorburn
springsfire,springs7,yes,8.9.19,,7/10/2020,,334189,4190083,nopriorburn
springsfire,springs8,yes,8.8.19,,7/10/2020,,333989,4190067,nopriorburn
springsfire,springs9,yes,8.8.19,,7/9/2020,,334202,4189775,nopriorburn
springsfire,springs10,yes,8.8.19,,7/9/2020,,334053,4189549,nopriorburn
springsfire,springs11,yes,8.10.19,8.24.19,7/8/2020,,333005.3316,4190535.594,2007rx
springsfire,springs12,yes,8.10.19,8.24.19,7/8/2020,,333225.3795,4190463.887,2007rx
springsfire,springs13,yes,8.10.19,8.24.19,7/8/2020,,333325.5842,4190347.068,2007rx
springsfire,springs14,yes,8.10.19,8.24.19,7/8/2020,,332903.3219,4190596.084,2007rx
springsfire,springs15,yes,8.11.19,8.24.19,7/7/2020,,333351,4189363,2007rx
springsfire,springs16,yes,8.11.19,8.24.19,7/7/2020,,333517,4189665,2007rx
springsfire,springs17,yes,8.11.19,8.24.19,7/7/2020,,333241,4189811,2007rx
springsfire,springs18,yes,8.11.19,8.24.19,7/6/2020,,333349.2578,4191189.065,nopriorburn
springsfire,springs19,yes,8.11.19,8.24.19,7/9/2020,,333209.5892,4191333.641,nopriorburn
springsfire,springs20,yes,8.11.19,8.24.19,7/9/2020,,332942.4152,4191362.495,nopriorburn
springsfire,springs21,yes,8.11.19,8.24.19,7/8/2020,,333099.8289,4191139.822,nopriorburn
springsfire,springs22,yes,8.12.19,8.24.19,7/6/2020,,333588.9753,4191609.32,nopriorburn
springsfire,springs23,yes,8.12.19,8.24.19,7/6/2020,,333570.2128,4191317.6,nopriorburn
springsfire,springs24,yes,8.12.19,8.24.19,7/8/2020,,332702,4191161,nopriorburn
springsfire,springs25,yes,8.12.19,8.24.19,7/9/2020,,332376,4191349,nopriorburn
springsfire,springs26,yes,8.13.19,8.23.19,7/7/2020,,333297,4189088,2010rx
springsfire,springs27,yes,8.13.19,8.23.19,7/7/2020,,333520,4188964,2010rx
springsfire,springs28,yes,8.13.19,8.23.19,7/7/2020,,333399,4188816,2010rx
springsfire,springs29,yes,8.13.19,8.23.19,7/7/2020,,333227,4188893,2010rx
springsfire,springs30,yes,8.13.19,8.23.19,7/7/2020,,333410,4188619,2010rx
springsfire,springs37,yes,8.23.19,,7/11/2020,,329779,4188145,nopriorburn
springsfire,springs38,yes,8.23.19,,7/11/2020,,329855,4189559,2013rx
springsfire,springs39,yes,8.23.19,,7/11/2020,,329876,4189747,2013rx
springsfire,springs40,yes,8.23.19,,7/11/2020,,329901,4190102,nopriorburn
springsfire,springs41,no,7.12.20,,,,330439.4953,4191865.245,control
springsfire,springs42,no,7.12.20,,,,330462.3872,4192159.408,control
springsfire,springs43,no,7.12.20,,,,330824.5028,4192302.986,control
springsfire,springs44,no,7.12.20,,,,330503.8517,4192418.921,control
springsfire,springs45,no,7.12.20,,,,330857.5538,4192656.182,control
springsfire,springs46,no,7.12.20,,,,335358.5524,4190581.089,control
springsfire,springs47,no,7.12.20,,,,335170.7853,4190752.39,control
springsfire,springs48,no,7.12.20,,,,,,control
springsfire,springs49,no,7.12.20,,,,334863.5041,4190503.377,control
springsfire,springs50,no,7.12.20,,,,335080.1772,4190217.708,control
springsfire,springs51,no,7.12.20,,,,335449.0585,4190200.456,control
downieville,RedAnt46,no,9.28.2020,,,,683672,4384180,
downieville,RedAnt49,no,9.29.2020,,,,685134,4384295,
downieville,RedAnt50,no,9.29.2020,,,,684220,4384219,
downieville,RedAnt39,no,9.29.2020,,,,684280,4384072,
downieville,RedAnt38,no,9.30.2020,,,,684475,4384079,
downieville,RedAnt51,no,9.30.2020,,,,684405,4384615,
downieville,RedAnt28,no,10.1.2020,,,,,,
downieville,RedAnt52,no,10.2.2020,,,,684411,4384835,
downieville,RedAnt44,no,10.2.2020,,,,683971,4384414,
downieville,RedAnt42,no,10.2.2020,,,,683963,4384205,
downieville,RedAnt41,no,10.2.2020,,,,684061,4384096,
downieville,RedAnt40,no,10.2.2020,,,,684160,4383981,
downieville,RedAnt59,no,10.2.2020,,,,684007,4385051,
downieville,RedAnt56,no,10.2.2020,,,,684102,4384937,
downieville,RedAnt55,no,10.2.2020,,,,684098,4384738,
downieville,RedAnt57,no,10.2.2020,,,,683989,4384842,
downieville,RedAnt54,no,10.2.2020,,,,683983,4384637,
downieville,RedAnt29,no,10.14.2020,,,,684131,4383137,
downieville,RedAnt30,no,10.14.2020,,,,684141,4383343,
downieville,RedAnt45,no,10.15.2020,,,,683645,4384327,
downieville,RedAnt43,no,10.15.2020,,,,683862,4384327,
downieville,RedAnt62,no,10.16.2020,,,,683461,4384755,
downieville,RedAnt30,no,10.16.2020,,,,684239,4383234,
downieville,RedAnt32,no,10.16.2020,,,,684130,4383564,
downieville,RedAnt35,no,10.16.2020,,,,684242,4383660,
downieville,RedAnt36,no,10.16.2020,,,,683866,4383477,
downieville,RedAnt37,no,10.16.2020,,,,683888,4383736,
downieville,RedAnt60,no,10.16.2020,,,,683687,4384778,
downieville,RedAnt61,no,10.16.2020,,,,683772,4384890,
downieville,RedAnt53,no,10.16.2020,,,,684289,4384746,
downieville,RedAnt58,no,10.16.2020,,,,683880,4384740,
frenchmeadows,fm10-1,no,7.13.19,,,,719822,4331262,
frenchmeadows,fm10-10,no,7.15.19,,,,720120,4331317,
frenchmeadows,fm10-11,no,7.15.19,,,,720194,4331392,
frenchmeadows,fm10-12,no,7.16.19,,,,720003,4331390,
frenchmeadows,fm10-13,no,7.16.19,,,,719888,4331376,
frenchmeadows,fm10-14,no,7.16.19,,,,719686,4331490,
frenchmeadows,fm10-15,no,7.16.19,,,,719810,4331533,
frenchmeadows,fm10-2,no,7.13.19,,,,719875,4331106,
frenchmeadows,fm10-3,no,7.13.19,,,,719958,4331268,
frenchmeadows,fm10-4,no,7.14.19,,,,719811,4331030,
frenchmeadows,fm10-5,no,7.14.19,,,,719794,4331160,
frenchmeadows,fm10-6,no,7.14.19,,,,719987,4331169,
frenchmeadows,fm10-7,no,7.14.19,,,,720124,4331179,
frenchmeadows,fm10-8,no,7.15.19,,,,720243,4331214,
frenchmeadows,fm10-9,no,7.15.19,,,,720315,4331297,
frenchmeadows,fm19-1,no,7.11.19,,,,724112,4340587,
frenchmeadows,fm19-2,no,7.11.19,,,,723774,4340476,
frenchmeadows,fm19-3,no,7.11.19,,,,723639,4340371,
frenchmeadows,fm19-4,no,7.11.19,,,,724118,4340332,
frenchmeadows,fm19-5,no,7.12.19,,,,723489,4340820,
frenchmeadows,fm19-6,no,7.12.19,,,,723481,4340558,
