site,plot_id,year,pre_post_fire,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes
Antelope,Antelope17,2020,prefire,na,na,na,na,na,na,
Antelope,Antelope19,2020,prefire,S,18.5,30,18,4.5,2,
DryCreek,DryCreek31,2020,prefire,W,13.6,8,6,1,4,
DryCreek,DryCreek31,2020,prefire,W,11,14,5,1.2,4,
DryCreek,DryCreek31,2020,prefire,W,9.6,9.8,7.3,1.5,2,
DryCreek,DryCreek31,2020,prefire,W,1,8.9,8.4,1.8,4,
DryCreek,DryCreek31,2020,prefire,W,10.5,8.4,4,1.1,4,
DryCreek,DryCreek31,2020,prefire,W,9,11.5,6,0.8,3,
DryCreek,DryCreek31,2020,prefire,W,7.3,7.8,5,1,5,
DryCreek,DryCreek30,2020,prefire,E,9.3,10,5.4,1.8,1,
DryCreek,DryCreek28,2020,prefire,N,12,13,11,1.2,4,
DryCreek,DryCreek28,2020,prefire,E,9.5,10,8.7,1.2,2,
DryCreek,DryCreek28,2020,prefire,E,10.2,18,10.2,2.4,3,
DryCreek,DryCreek27,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek24,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek32,2020,postfire,S,10.1,8,7,1.2,2,
DryCreek,DryCreek32,2020,postfire,W,45,18,8,14.2,3,
DryCreek,DryCreek35,2020,postfire,na,na,na,na,na,na,
DryCreek,DryCreek36,2020,postfire,W,10.5,11.1,6.7,1.5,3,
DryCreek,DryCreek36,2020,postfire,W,12.8,13,11.2,1.1,3,
DryCreek,DryCreek36,2020,postfire,W,28,34,8.4,15,3,
DryCreek,DryCreek34,2020,postfire,W,20,20,7,1,5,
DryCreek,DryCreek34,2020,postfire,N,20,20,23,5,5,
DryCreek,DryCreek33,2020,postfire,W,30,28,20,4,3,
DryCreek,DryCreek33,2020,postfire,S,13.3,15,12,0.8,3,
DryCreek,DryCreek33,2020,postfire,E,26,26,21.2,2,3,
DryCreek,DryCreek48,2020,prefire,na,na,na,na,na,na,
DryCreek,DryCreek52,2020,prefire,na,na,na,na,na,na,
springsfire,springs1,2019,postfire,W,32,20,17,2.3,3,
springsfire,springs1,2019,postfire,E,13,13,5,1.4,3,
springsfire,springs11,2019,postfire,S,12.5,13.5,8,2.8,3,
springsfire,springs11,2019,postfire,E,7.6,13,3,0.45,3,
springsfire,springs11,2019,postfire,E,8,8,5,0.15,3,
springsfire,springs12,2019,postfire,W,8.5,8.5,6,0.25,3,
springsfire,springs13,2019,postfire,E,10.5,3,10.5,0.6,2,
springsfire,springs13,2019,postfire,E,8.5,2,8.5,0.17,3,
springsfire,springs13,2019,postfire,E,8,10,4,1.3,2,
springsfire,springs14,2019,postfire,N,32.6,20.2,5.7,10.35,2,
springsfire,springs16,2019,postfire,E,15,19,10,0.66,4,
springsfire,springs17,2019,postfire,N,11.5,15,6,2,2,
springsfire,springs17,2019,postfire,N,12,13.5,3,1.05,2,
springsfire,springs18,2019,postfire,W,10,14,5,0.6,3,
springsfire,springs18,2019,postfire,W,14,14,4,1.6,2,
springsfire,springs18,2019,postfire,E,22,24,9,1.3,2,
springsfire,springs19,2019,postfire,S,8,8,6,28,4,
springsfire,springs19,2019,postfire,W,13.5,14,3,0.9,2,
springsfire,springs19,2019,postfire,W,12,14,3,0.45,3,
springsfire,springs22,2019,postfire,S,20,22,11,2.9,2,
springsfire,springs26,2019,postfire,N,13,10,8,1.55,2,
springsfire,springs26,2019,postfire,N,6.8,6.9,6.8,1.18,2,
springsfire,springs26,2019,postfire,E,11,10,8,1.88,3,
springsfire,springs26,2019,postfire,W,9,13,9,0.25,3,
springsfire,springs26,2019,postfire,W,13,13,9,2.45,3,
springsfire,spring24,2019,postfire,N,9,4,11,0.8,3,
springsfire,spring25,2019,postfire,W,10,11,8,0.33,3,
springsfire,spring4,2019,postfire,N,12,12,8,1.15,3,
springsfire,Springs22,2020,postfire,S,18.5,21,16.5,2.8,2,
springsfire,Springs18,2020,postfire,E,22.5,23.5,22,1.5,3,
springsfire,Springs17,2020,postfire,N,9,8.5,3,1.35,3,
springsfire,Springs17,2020,postfire,N,8,9,8,1.6,3,
springsfire,Springs17,2020,postfire,N,11,13,3.5,1.45,3,
springsfire,Springs16,2020,postfire,E,15.5,20,9,0.67,3,
springsfire,Springs15,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs26,2020,postfire,N,17.5,20,6,1.5,2,
springsfire,Springs26,2020,postfire,N,10.5,9,1,0.8,2,
springsfire,Springs26,2020,postfire,E,11,6,5,2.4,2,
springsfire,Springs26,2020,postfire,S,8,7,3,0.75,3,
springsfire,Springs26,2020,postfire,W,9,6,1.5,2,2,
springsfire,Springs27,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs11,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs14,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs13,2020,postfire,E,10,15,9,0.8,3,
springsfire,Springs12,2020,postfire,N,10.5,5,3.5,0.3,3,
springsfire,Springs12,2020,postfire,W,8.5,9,4,0.2,2,
springsfire,Springs21,2020,postfire,W,10.5,9.5,5,2.7,2,
springsfire,Springs24,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs10,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs06,2020,postfire,W,8,8.5,4,0.6,2,
springsfire,Springs09,2020,postfire,N,12.5,13,1,4,1,
springsfire,Springs09,2020,postfire,N,11.5,11,7,0.9,1,
springsfire,Springs09,2020,postfire,N,9,9,4.5,1.5,2,
springsfire,Springs09,2020,postfire,N,29,91.5,23.5,18,4,
springsfire,Springs09,2020,postfire,N,33.5,91.5,29.5,18,4,
springsfire,Springs09,2020,postfire,E,9,11.5,1,3.5,1,
springsfire,Springs09,2020,postfire,E,8,91.5,23.5,18,4,
springsfire,Springs09,2020,postfire,E,16.5,21.5,1,4.7,2,
springsfire,Springs09,2020,postfire,E,29,91.5,29.5,18,4,
springsfire,Springs40,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs39,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs38,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs31,2020,postfire,E,17.5,30.5,3,7.8,2,
springsfire,Springs35,2020,postfire,W,8,8.5,1,2,1,
springsfire,Springs35,2020,postfire,W,9.5,10,1,3,1,
springsfire,Springs35,2020,postfire,W,12,13,1,3,1,
springsfire,Springs35,2020,postfire,W,10.5,9,1,4,1,
springsfire,Springs42,2020,postfire,W,8.5,10.5,5,1,2,
springsfire,Springs42,2020,postfire,W,10,6.5,2,1.2,2,
springsfire,Springs42,2020,postfire,W,9,11,6,1.1,2,
springsfire,Springs42,2020,postfire,W,12,16,10,0.4,3,
springsfire,Springs42,2020,postfire,W,13.5,13,8.5,1.9,2,
springsfire,Springs42,2020,postfire,S,12,27,7,4.3,3,
springsfire,Springs44,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs45,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs49,2020,postfire,N,13.5,20.5,1.5,6.3,2,
springsfire,Springs49,2020,postfire,S,14,17,2,5.7,2,
springsfire,Springs50,2020,postfire,W,30,30.5,27.5,0.9,2,
springsfire,Springs51,2020,postfire,N,13.5,29.5,10,9.9,2,
springsfire,Springs51,2020,postfire,E,13.5,11.5,7.5,2.8,3,
springsfire,Springs51,2020,postfire,E,21,60,2,8.1,5,
springsfire,Springs51,2020,postfire,E,8,7,2.5,2.6,2,
springsfire,Springs01,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs23,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs30,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs29,2020,postfire,S,9.3,12.5,7,0.5,3,
springsfire,Springs28,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs03,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs04,2020,postfire,N,17,18,13,6.7,4,
springsfire,Springs04,2020,postfire,N,4.8,5,3.5,7.8,4,
springsfire,Springs04,2020,postfire,W,8.5,7.8,7.5,4,3,
springsfire,Springs02,2020,postfire,E,4.2,18,4,7.6,4,
springsfire,Springs05,2020,postfire,W,6.6,14.5,6.6,0.54,3,
springsfire,Springs05,2020,postfire,N,12.4,18.8,10.5,5.4,3,
springsfire,Springs19,2020,postfire,W,11.8,11,10.8,0.5,4,
springsfire,Springs20,2020,postfire,S,11.2,14.2,10.1,2.7,3,
springsfire,Springs25,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs08,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs07,2020,postfire,E,6.5,6.5,5.5,1,4,
springsfire,Springs37,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs34,2020,postfire,W,16,16,14.5,1.1,3,
springsfire,Springs33,2020,postfire,W,24,24,12,6.7,3,
springsfire,Springs41,2020,postfire,N,6.6,6.6,6.3,0.28,3,
springsfire,Springs41,2020,postfire,S,3.9,5.8,2.6,1.51,2,
springsfire,Springs43,2020,postfire,N,no cwd,,,,,:)
springsfire,Springs48,2020,postfire,N,8.4,9.3,4.5,16,2,
springsfire,Springs48,2020,postfire,E,8.4,9.3,4.5,16,2,
springsfire,Springs48,2020,postfire,W,15,7.7,7,1,3,
springsfire,Springs46,2020,postfire,S,10,11,9,1.3,4,
springsfire,Springs47,2020,postfire,N,8,10,8.5,1.6,3,
springsfire,Springs47,2020,postfire,N,10.5,10,8,2.5,3,
springsfire,Springs47,2020,postfire,N,10.5,12,5.5,0.6,3,
springsfire,Springs47,2020,postfire,N,8.5,10.5,6.5,1.4,3,
springsfire,Springs47,2020,postfire,W,37,32,21,6.2,4,
springsfire,Springs47,2020,postfire,E,4.7,3.6,1.8,0.8,4,
springsfire,Springs47,2020,postfire,E,2.7,8.4,2.7,0.56,4,
bearmountain,BM6,2019,postfire,W,12,12,8,0.7,3,
bearmountain,BM10,2019,postfire,N,10,7,6,0.7,4,
bearmountain,BM10,2019,postfire,W,20,21,8,4.82,2,
bearmountain,BM10,2019,postfire,W,29,37,21,7,1,
bearmountain,BM11,2019,postfire,N,24,15,9,1.4,2,
bearmountain,BM11,2019,postfire,W,14.5,17.9,0.6,5.55,1,
bearmountain,BM23,2019,postfire,W,15,16,9,2.52,3,
bearmountain,BM24,2019,postfire,N,9.5,17,7,3.6,2,
bearmountain,BM12,2019,postfire,S,30,28,22,12.7,2,
bearmountain,BM12,2019,postfire,S,25,24,12,10.7,1,
bearmountain,BM12,2019,postfire,E,13,13,6,1,3,
bearmountain,BM12,2019,postfire,W,20,23,20,4.7,3,
bearmountain,BM12,2019,postfire,W,20,20,9,8.29,3,
bearmountain,BM9,2019,postfire,E,42,33,13,17.1,2,
bearmountain,BM9,2019,postfire,E,18,25,10,12.2,1,
bearmountain,BM9,2019,postfire,N,38,38,22,15.5,3,
bearmountain,BM9,2019,postfire,S,15,13,13,1.67,2, 
bearmountain,BM9,2019,postfire,S,22,25,10,12.2,1,
bearmountain,BM9,2019,postfire,S,37,42,38,15.6,3,
bearmountain,BM13,2019,postfire,S,40,29,3,18.5,3,
bearmountain,BM13,2019,postfire,E,18,29,3,18.5,3,
bearmountain,BM14,2019,postfire,N,20,35,2.5,8.8,1,one tree
bearmountain,BM14,2019,postfire,N,8,35,6.5,5,1,one tree
bearmountain,BM14,2019,postfire,N,23,35,14,5.9,1,one tree
bearmountain,BM14,2019,postfire,N,17,8,6,1,5,
bearmountain,BM15,2019,postfire,E,22,10,0.5,5.55,1,
bearmountain,BM15,2019,postfire,E,8,10.5,3.2,2.9,2,
bearmountain,BM20,2019,postfire,W,20,30,15,0.43,3,
bearmountain,BM20,2019,postfire,S,15,17.5,2,7.95,2,
bearmountain,BM20,2019,postfire,N,16,24,11,11.7,1,
bearmountain,BM20,2019,postfire,N,27,3.5,19.9,9.7,3,
bearmountain,BM18,2019,postfire,E,19,11,7,4.55,2,
bearmountain,BM18,2019,postfire,S,10.1,19,5.5,11.2,2,
bearmountain,BM17,2019,postfire,E,48,40,1.8,23,1,
bearmountain,BM17,2019,postfire,W,32,35,13,3,1,
bearmountain,BM17,2019,postfire,N,30.7,40,1.8,23,1,
bearmountain,BM19,2019,postfire,S,36,42,12.3,12.9,2,
bearmountain,BM25,2019,postfire,S,40,43.8,35,5.75,3,
bearmountain,BM25,2019,postfire,W,40,28.5,5,28.6,2,
bearmountain,BM25,2019,postfire,W,30,40,29,1.1,3,
bearmountain,BM26,2019,postfire,N,9,9,5,1.4,2,
bearmountain,BM26,2019,postfire,E,10.5,11,7,2.1,3,
bearmountain,BM26,2019,postfire,W,8.5,8,5,2.2,2,
bearmountain,BM27,2019,postfire,E,10,20,11,1.2,4,
bearmountain,BM27,2019,postfire,W,13,13,10,0.95,3,
bearmountain,BM27,2019,postfire,W,20,14.4,6.2,8.4,3,
bearmountain,BM27,2019,postfire,N,17.3,17.3,5,9.95,3,
bearmountain,BM27,2019,postfire,N,16,14.4,6.2,8.4,3,
bearmountain,BM27,2019,postfire,S,8,8,8,0.38,2,
bearmountain,BM27,2019,postfire,S,18,19,6.5,6.3,2,
bearmountain,BM3,2019,postfire,N,27,39,9,18.6,2,
bearmountain,BM3,2019,postfire,N,11,20,11,15,3,
bearmountain,BM3,2019,postfire,E,35,39,9,18.6,2,
bearmountain,BM5,2019,postfire,W,20,20,9,0.65,3,
bearmountain,BM5,2019,postfire,S,10,10,10,0.7,4,
bearmountain,BM5,2019,postfire,S,15,14,14,0.82,4,
bearmountain,BM5,2019,postfire,S,17.4,27,1,10.8,1,
bearmountain,BM5,2019,postfire,S,17,19,13,4.05,1,
bearmountain,BM5,2019,postfire,S,15,15,13,1,4,
bearmountain,BM5,2019,postfire,N,11,11,5,0.35,4,
bearmountain,BM5,2019,postfire,N,10,13,8.5,0.75,4,
bearmountain,BM5,2019,postfire,N,13,10,9,0.27,4,
bearmountain,BM1,2019,prefire,N,11,14,11,1.4,3,
bearmountain,BM2,2019,prefire,E,13,20,10,73,3,
bearmountain,BM3,2019,prefire,E,20,18,11,0.8,3,
bearmountain,BM3,2019,prefire,E,45,87,9,26.1,2,
bearmountain,BM3,2019,prefire,N,31,87,9,26.1,2,
bearmountain,BM3,2019,prefire,S,13,13,11,1.1,4,
bearmountain,BM3,2019,prefire,S,13,21,7.5,9.8,2,
bearmountain,BM4,2019,prefire,S,18,18,15,0.52,2,
bearmountain,BM6,2019,prefire,W,16,21,1,5.7,1,
bearmountain,BM6,2019,prefire,W,49,27,29,22.9,3,
bearmountain,BM6,2019,prefire,W,19,19,17,4.95,4,
bearmountain,BM7,2019,prefire,W,19.8,20,7,5,2,
bearmountain,BM9,2019,prefire,S,19,22.5,10,11.5,2,
bearmountain,BM9,2019,prefire,S,22,22.2,9,12.6,2,
bearmountain,BM9,2019,prefire,E,45,50,25,12,2,
bearmountain,BM9,2019,prefire,E,17,22.2,9,12.6,2,
bearmountain,BM10,2019,prefire,E,18,18,3,5,2,
bearmountain,BM10,2019,prefire,E,26,33,20,6,2,
bearmountain,BM10,2019,prefire,N,10.5,10.5,6,0.75,3,
bearmountain,BM10,2019,prefire,S,14,16,14,1,2,
bearmountain,BM11,2019,prefire,N,13,15,12,1.5,3,
bearmountain,BM12,2019,prefire,W,55,65,46,10,3,
bearmountain,BM12,2019,prefire,W,17,20,17,7,2,
bearmountain,BM12,2019,prefire,E,16,20,10,0.38,4,
bearmountain,BM12,2019,prefire,N,78,65,46,10,2,
bearmountain,BM12,2019,prefire,N,20,23,12,9,2,
bearmountain,BM12,2019,prefire,S,27,35,10,20,2,
bearmountain,BM12,2019,prefire,S,34,92,25,18,2,
bearmountain,BM13,2019,prefire,E,17,28,2.6,18.9,2,
bearmountain,BM13,2019,prefire,S,24,28,2.6,18.9,2,
bearmountain,BM15,2019,prefire,W,11,30,11,13,2,
bearmountain,BM16,2019,prefire,E,18,18,1,5.6,1,
bearmountain,BM16,2019,prefire,E,42.1,42.1,1,11.2,2,
bearmountain,BM17,2019,prefire,N,27,45.5,2,23,1,
bearmountain,BM17,2019,prefire,E,9.2,10.3,8,2.45,1,
bearmountain,BM17,2019,prefire,E,52,45.5,2,23,1,
bearmountain,BM17,2019,prefire,E,9.3,7.4,1,2.2,1,
bearmountain,BM17,2019,prefire,E,9.2,9.2,2,2.1,1,
bearmountain,BM17,2019,prefire,E,9,9,2,2.3,1,
bearmountain,BM17,2019,prefire,E,8.3,7.7,1.5,3,1,
bearmountain,BM17,2019,prefire,W,33.5,33.5,19,3,2,
bearmountain,BM18,2019,prefire,S,10,17,5.5,12.6,2,
bearmountain,BM18,2019,prefire,E,18,20,10,10,2,
bearmountain,BM18,2019,prefire,E,25,25,22,29,2,
bearmountain,BM19,2019,prefire,S,40.7,46,13,17.9,1,
bearmountain,BM19,2019,prefire,E,30,30,17,12,2,
bearmountain,BM19,2019,prefire,W,20,25,12,11,2,
bearmountain,BM20,2019,prefire,W,13,35,12,16.9,1,
bearmountain,BM20,2019,prefire,W,37.4,37.5,1,13.3,1,
bearmountain,BM20,2019,prefire,W,18,18,4.6,9.6,3,
bearmountain,BM20,2019,prefire,W,16,20,12,5.2,2,
bearmountain,BM20,2019,prefire,N,10,30,8,15.2,1,
bearmountain,BM20,2019,prefire,N,13,13,3,6,1,
bearmountain,BM20,2019,prefire,N,52.5,35,12,16,1,
bearmountain,BM20,2019,prefire,S,13,13,10,0.47,4,
bearmountain,BM20,2019,prefire,S,15,50,2,6.3,3,
bearmountain,BM20,2019,prefire,S,8,50,6,9.5,3,
bearmountain,BM21,2019,prefire,N,27,15,8,1.1,,
bearmountain,BM22,2019,prefire,E,10,45,16,6.3,2,
bearmountain,BM22,2019,prefire,W,12,12,11,2.75,3,
bearmountain,BM23,2019,prefire,N,16,17,13,2.3,3,
bearmountain,BM23,2019,prefire,E,14,15.4,10.5,2.55,3,
bearmountain,BM23,2019,prefire,E,8.3,46,2.7,13.2,3,
bearmountain,BM23,2019,prefire,E,17,18,15,4.7,2,
bearmountain,BM23,2019,prefire,W,16,16,10.6,3.4,3,
bearmountain,BM23,2019,prefire,W,27,29,22.2,8.4,3,
bearmountain,BM24,2019,prefire,S,12,15,12,5,1,
