jurisdiction,site,plot_id,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,,
InyoNF,Antelope,Antelope12,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,4.5,29.3,0,6,11.3,,,,
InyoNF,Antelope,Antelope12,2020,prefire,,270,,2,2,4,11.3,0,0,0,2,3.5,18.2,0,5,28,,,,
InyoNF,Antelope,Antelope13,2020,prefire,,0,,2,2,4,11.3,0,0,3,0,2.7,2.3,0,0.3,0.5,,,,
InyoNF,Antelope,Antelope13,2020,prefire,,180,,2,2,4,11.3,1,1,0,0,4.2,4,0,3.7,4,,,,
InyoNF,Antelope,Antelope13,2020,prefire,,90,,2,2,4,11.3,2,3,3,0,5,5.5,5.5,3,7,,,,
InyoNF,Antelope,Antelope13,2020,prefire,,270,,2,2,4,11.3,1,0,0,0,0,0.3,0,4.8,5,,,,
InyoNF,Antelope,Antelope14,2020,prefire,,0,,2,2,4,11.3,0,1,0,1.5,3.5,22.5,0,6.5,63.2,,,,
InyoNF,Antelope,Antelope14,2020,prefire,,180,,2,2,4,11.3,4,2,2,0,2,4.2,0,0,4.8,,,,
InyoNF,Antelope,Antelope14,2020,prefire,,90,,2,2,4,11.3,2,1,2,1,4.5,36.8,1,20,33,,,,
InyoNF,Antelope,Antelope14,2020,prefire,,270,,2,2,4,11.3,7,3,0,0,1.5,4.3,1,2.5,22.5,,,,
InyoNF,Antelope,Antelope15,2020,prefire,,0,,2,2,4,11.3,1,1,0,0,2.7,1.2,0.3,2,1.5,,,,
InyoNF,Antelope,Antelope15,2020,prefire,,180,,2,2,4,11.3,0,1,0,0.3,2.7,3,0,2.6,2.8,,,,
InyoNF,Antelope,Antelope15,2020,prefire,,90,,2,2,4,11.3,1,1,0,3.7,4.8,5.2,4.5,7.3,8,,,,
InyoNF,Antelope,Antelope15,2020,prefire,,270,,2,2,4,11.3,0,1,1,0,0,0.3,0,2,3.4,,,,
InyoNF,Antelope,Antelope16,2020,prefire,,0,,2,2,4,11.3,1,2,0,0,3.5,70.2,0,0.5,23.8,,,,
InyoNF,Antelope,Antelope16,2020,prefire,,180,,2,2,4,11.3,1,0,0,0,0.5,23.2,0,0,5.8,,,,
InyoNF,Antelope,Antelope16,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,1.5,24.8,0,2,65.3,,,,
InyoNF,Antelope,Antelope16,2020,prefire,,270,,2,2,4,11.3,4,2,0,6,2,3.7,0,0.25,12.8,,,,
InyoNF,Antelope,Antelope17,2020,prefire,,0,,2,2,4,11.3,1,1,0,0,0.1,0.3,0,0.1,0.5,,,,
InyoNF,Antelope,Antelope17,2020,prefire,,180,,2,2,4,11.3,22,0,0,0,1.1,3.7,0,0,4,,,,
InyoNF,Antelope,Antelope17,2020,prefire,,90,,2,2,4,11.3,3,0,0,0,0,0.2,0,1.2,2.2,,,,
InyoNF,Antelope,Antelope17,2020,prefire,,270,,2,2,4,11.3,2,0,2,4.2,3.4,7.3,0,0.3,15,,,,
InyoNF,Antelope,Antelope18,2020,prefire,,0,,2,2,4,11.3,5,3,0,0,1,13.5,7,1.5,22,,,,
InyoNF,Antelope,Antelope18,2020,prefire,,180,,2,2,4,11.3,1,0,0,0,3.5,56.8,0,0.5,38.7,,,,
InyoNF,Antelope,Antelope18,2020,prefire,,90,,2,2,4,11.3,0,0,0,0,5.5,12.5,0,1.5,38.2,,,,
InyoNF,Antelope,Antelope18,2020,prefire,,270,,2,2,4,11.3,0,1,3,1,8.5,12.7,0.25,3,10,,,,
InyoNF,Antelope,Antelope19,2020,prefire,,0,,2,2,4,11.3,6,4,0,0,2,1.8,0,2.7,3,,,,
InyoNF,Antelope,Antelope19,2020,prefire,,180,,2,2,4,11.3,2,5,0,0,0.8,1.1,3.2,0.5,1.2,,,,
InyoNF,Antelope,Antelope19,2020,prefire,,90,,2,2,4,11.3,11,1,0,0.2,1.1,1,0.3,3.7,1.8,,,,
InyoNF,Antelope,Antelope19,2020,prefire,,270,,2,2,4,11.3,0,1,0,0,0,0.8,3.2,2.4,4.5,,,,
StanislausNF,BearMountain,BM1,2019,prefire,,0,,2,2,4,11.3,0,3,0,0.5,3,0.05,2,,,,,,
StanislausNF,BearMountain,BM1,2019,prefire,,180,,2,2,4,11.3,0,0,2,0.05,0,0.05,2,,,,,,
StanislausNF,BearMountain,BM1,2019,prefire,,90,,2,2,4,11.3,3,3,0,0.05,2,0.5,2,,,,,,
StanislausNF,BearMountain,BM1,2019,prefire,,270,,2,2,4,11.3,3,0,0,0.05,2,0.05,2,,,,,,
StanislausNF,BearMountain,BM1,2019,postfire,,0,,2,2,4,11.3,0,2,0,2,3,0,4,,,,,,
StanislausNF,BearMountain,BM1,2019,postfire,,180,,2,2,4,11.3,3,3,1,0,0.05,0.05,1.5,,,,,,
StanislausNF,BearMountain,BM1,2019,postfire,,90,,2,2,4,11.3,5,4,0,0,2,0,1,,,,,,
StanislausNF,BearMountain,BM1,2019,postfire,,270,,2,2,4,11.3,2,1,0,0,1,0,2,,,,,,
StanislausNF,BearMountain,BM10,2019,prefire,,0,,2,2,4,11.3,0,1,0,0.05,2,0.05,2.5,,,,,,
StanislausNF,BearMountain,BM10,2019,prefire,,180,,2,2,4,11.3,0,0,0,2,3,0,1,,,,,,
StanislausNF,BearMountain,BM10,2019,prefire,,90,,2,2,4,11.3,0,1,1,0,1,1,0,,,,,,
StanislausNF,BearMountain,BM10,2019,prefire,,270,,2,2,4,11.3,2,0,0,0,2,0,3,,,,,,
StanislausNF,BearMountain,BM10,2019,postfire,,0,,2,2,4,11.3,0,0,2,0.05,2.5,0,2,,,,,,
StanislausNF,BearMountain,BM10,2019,postfire,,180,,2,2,4,11.3,0,0,1,0,1.5,0,0.05,,,,,,
StanislausNF,BearMountain,BM10,2019,postfire,,90,,2,2,4,11.3,2,0,1,0,0,0,1.9,,,,,,
StanislausNF,BearMountain,BM10,2019,postfire,,270,,2,2,4,11.3,0,0,0,0.05,1,0.5,1,,,,,,
StanislausNF,BearMountain,BM11,2019,prefire,,0,,2,2,4,11.3,5,0,0,0,2,0,3,,,,,,
StanislausNF,BearMountain,BM11,2019,prefire,,180,,2,2,4,11.3,3,1,0,0,6,0,2,,,,,,
StanislausNF,BearMountain,BM11,2019,prefire,,90,,2,2,4,11.3,8,1,1,h.5,0.05,0.5,0.5,,,,,,
StanislausNF,BearMountain,BM11,2019,prefire,,270,,2,2,4,11.3,7,0,0,0.05,0.05,1,0.05,,,,,,
StanislausNF,BearMountain,BM11,2019,postfire,,0,,2,2,4,11.3,2,0,0,0.05,0.05,0,0.05,,,,,,
StanislausNF,BearMountain,BM11,2019,postfire,,180,,2,2,4,11.3,12,0,0,0,0.5,0,0.5,,,,,,
StanislausNF,BearMountain,BM11,2019,postfire,,90,,2,2,4,11.3,4,2,1,0,2,0,1,,,,,,
StanislausNF,BearMountain,BM11,2019,postfire,,270,,2,2,4,11.3,5,1,0,0.05,2,0.05,0.05,,,,,,
StanislausNF,BearMountain,BM12,2019,prefire,,0,,2,2,4,11.3,9,2,0,0,1,0,1,,,,,,
