"","site_plotid_time_azimuth","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"436","calaveras_BigTrees30_2022_postfire_immediate_0",0,1566
"437","calaveras_BigTrees30_2022_postfire_immediate_180",400,0
"438","calaveras_BigTrees30_2022_postfire_immediate_270",0,11925
"439","calaveras_BigTrees30_2022_postfire_immediate_90",0,1669
"440","Calaveras_BigTrees31_2020_prefire_NA_180",324,0
"441","Calaveras_BigTrees32_2020_prefire_NA_0",0,834.75
"442","Calaveras_BigTrees32_2020_prefire_NA_180",620.5,2608.25
"443","Calaveras_BigTrees32_2020_prefire_NA_270",529,2815
"444","Calaveras_BigTrees32_2020_prefire_NA_90",0,304.5
"445","calaveras_BigTrees32_2022_postfire_immediate_0",0,539.06
"446","calaveras_BigTrees32_2022_postfire_immediate_180",0,225
"447","calaveras_BigTrees32_2022_postfire_immediate_270",1225,1395
"448","Calaveras_BigTrees33_2020_prefire_NA_0",0,484
"449","Calaveras_BigTrees33_2020_prefire_NA_90",0,3025
"450","Calaveras_BigTrees34_2020_prefire_NA_0",1260.25,2812.75
"451","Calaveras_BigTrees34_2020_prefire_NA_180",5625,0
"452","Calaveras_BigTrees34_2020_prefire_NA_270",0,413.5
"453","Calaveras_BigTrees34_2020_prefire_NA_90",3136,427.25
"454","calaveras_BigTrees34_2022_postfire_immediate_0",0,2028.24
"455","calaveras_BigTrees34_2022_postfire_immediate_180",0,267.88
"456","calaveras_BigTrees34_2022_postfire_immediate_270",0,225
"457","calaveras_BigTrees34_2022_postfire_immediate_90",0,569.94
"458","calaveras_BigTrees35_2022_postfire_immediate_0",0,132.25
"459","Calaveras_BigTrees36_2020_prefire_NA_270",0,4897.25
"460","caples_1_2013-2018_prefire_NA_0",0,121
"461","caples_1_2013-2018_prefire_NA_270",7800,821
"462","caples_1_2013-2018_prefire_NA_90",4761,324
"463","caples_1_2019_postfire_immediate_0",1444,0
"464","caples_1_2019_postfire_immediate_270",0,4624
"465","caples_1_2020_postfire_1yr_0",0,605.16
"466","caples_1_2020_postfire_1yr_270",0,2894.44
"467","caples_100_2013-2018_prefire_NA_0",0,4928.04
"468","caples_100_2013-2018_prefire_NA_180",0,8584
"469","caples_100_2019_postfire_immediate_180",0,210.25
"470","caples_100_2020_postfire_1yr_180",0,225
"471","caples_103_2013-2018_prefire_NA_0",5184,1089
"472","caples_103_2013-2018_prefire_NA_180",256,676
"473","caples_103_2013-2018_prefire_NA_270",4900,0
"474","caples_103_2013-2018_prefire_NA_90",19496,0
"475","caples_103_2020_postfire_1yr_180",0,1201
"476","caples_104_2013-2018_prefire_NA_0",5749,2890
"477","caples_104_2013-2018_prefire_NA_180",0,957
"478","caples_104_2013-2018_prefire_NA_270",0,1936
"479","caples_104_2013-2018_prefire_NA_90",784,400
"480","caples_105_2013-2018_prefire_NA_270",8065,0
"481","caples_105_2013-2018_prefire_NA_90",1296,121
"482","caples_105_2019_postfire_immediate_270",0,2304
"483","caples_105_2019_postfire_immediate_90",625,0
"484","caples_105_2020_postfire_1yr_270",0,2601
"485","caples_106_2013-2018_prefire_NA_0",0,2916
"486","caples_106_2013-2018_prefire_NA_180",5041,0
"487","caples_108_2013-2018_prefire_NA_180",0,1314
"488","caples_108_2013-2018_prefire_NA_270",0,361
"489","caples_108_2013-2018_prefire_NA_90",0,169
"490","caples_109_2013-2018_prefire_NA_0",0,8355
"491","caples_109_2013-2018_prefire_NA_270",225,265
"492","caples_109_2013-2018_prefire_NA_90",0,3786
"493","caples_11_2013-2018_prefire_NA_0",900,356
"494","caples_11_2013-2018_prefire_NA_180",0,10000
"495","caples_11_2019_postfire_immediate_270",0,144
"496","caples_11_2020_postfire_1yr_270",0,110.25
"497","caples_110_2013-2018_prefire_NA_180",49284,485
"498","caples_110_2013-2018_prefire_NA_90",169,0
"499","caples_111_2013-2018_prefire_NA_0",0,441
"500","caples_111_2013-2018_prefire_NA_180",400,1024
"501","caples_111_2013-2018_prefire_NA_270",0,169
"502","caples_111_2013-2018_prefire_NA_90",0,325
"503","caples_111_2019_postfire_immediate_180",0,2025
"504","caples_111_2019_postfire_immediate_90",0,169
"505","caples_112_2013-2018_prefire_NA_180",0,1465
"506","caples_112_2013-2018_prefire_NA_90",2248,0
"507","caples_113_2013-2018_prefire_NA_180",0,64
"508","caples_114_2013-2018_prefire_NA_0",0,81
"509","caples_114_2013-2018_prefire_NA_90",6084,0
"510","caples_116_2013-2018_prefire_NA_0",0,769
"511","caples_116_2013-2018_prefire_NA_270",0,265
"512","caples_117_2013-2018_prefire_NA_180",0,121
"513","caples_117_2013-2018_prefire_NA_90",0,400
"514","caples_117_2019_postfire_immediate_180",0,144
"515","caples_117_2020_postfire_1yr_180",0,144
"516","caples_118_2013-2018_prefire_NA_270",1053,0
"517","caples_118_2013-2018_prefire_NA_90",0,72.25
"518","caples_118_2019_postfire_immediate_270",900,0
"519","caples_118_2020_postfire_1yr_270",0,1024
"520","caples_118_2020_postfire_1yr_90",0,325
"521","caples_119_2013-2018_prefire_NA_0",5184,0
"522","caples_119_2013-2018_prefire_NA_180",0,1369
"523","caples_119_2013-2018_prefire_NA_270",2304,0
"524","caples_12_2013-2018_prefire_NA_0",0,2809
"525","caples_12_2013-2018_prefire_NA_180",0,169
"526","caples_12_2013-2018_prefire_NA_90",0,289
"527","caples_12_2019_postfire_immediate_180",0,729
"528","caples_12_2019_postfire_immediate_270",484,676
"529","caples_12_2020_postfire_1yr_0",0,970
"530","caples_120_2013-2018_prefire_NA_0",0,2294
"531","caples_120_2013-2018_prefire_NA_180",2809,1675
"532","caples_120_2013-2018_prefire_NA_270",0,900
"533","caples_120_2013-2018_prefire_NA_90",0,289
"534","caples_121_2013-2018_prefire_NA_270",0,169
"535","caples_122_2013-2018_prefire_NA_0",1764,0
"536","caples_122_2013-2018_prefire_NA_270",0,400
"537","caples_122_2013-2018_prefire_NA_90",1810,0
"538","caples_123_2013-2018_prefire_NA_0",0,961
"539","caples_123_2013-2018_prefire_NA_270",0,1073
"540","caples_124_2013-2018_prefire_NA_270",14641,0
"541","caples_126_2013-2018_prefire_NA_180",0,317
"542","caples_126_2013-2018_prefire_NA_270",0,781
"543","caples_126_2013-2018_prefire_NA_90",0,689
"544","caples_127_2013-2018_prefire_NA_0",169,0
"545","caples_127_2013-2018_prefire_NA_180",0,4356
"546","caples_127_2013-2018_prefire_NA_90",0,961
"547","caples_128_2013-2018_prefire_NA_180",0,441
"548","caples_128_2013-2018_prefire_NA_270",0,625
"549","caples_128_2013-2018_prefire_NA_90",0,1021
"550","caples_129_2013-2018_prefire_NA_270",0,196
"551","caples_129_2019_postfire_immediate_270",0,1058
"552","caples_129_2019_postfire_immediate_90",0,543
"553","caples_129_2020_postfire_1yr_270",0,784
"554","caples_13_2013-2018_prefire_NA_0",0,1210
"555","caples_13_2013-2018_prefire_NA_180",0,100
"556","caples_13_2013-2018_prefire_NA_270",784,0
"557","caples_13_2019_postfire_immediate_0",0,121
"558","caples_13_2019_postfire_immediate_90",0,3540.25
"559","caples_130_2013-2018_prefire_NA_0",144,0
"560","caples_130_2013-2018_prefire_NA_270",0,1764
"561","caples_130_2013-2018_prefire_NA_90",0,100
"562","caples_131_2013-2018_prefire_NA_0",772,100
"563","caples_131_2013-2018_prefire_NA_180",784,1346
"564","caples_131_2013-2018_prefire_NA_270",0,3621
"565","caples_131_2013-2018_prefire_NA_90",100,200
"566","caples_133_2013-2018_prefire_NA_0",898,0
"567","caples_133_2013-2018_prefire_NA_180",0,144
"568","caples_133_2013-2018_prefire_NA_90",0,121
"569","caples_14_2013-2018_prefire_NA_270",0,81
"570","caples_14_2019_postfire_immediate_0",0,64
"571","caples_16_2013-2018_prefire_NA_0",3481,400
"572","caples_16_2013-2018_prefire_NA_270",36100,441
"573","caples_16_2013-2018_prefire_NA_90",0,81
"574","caples_17_2013-2018_prefire_NA_0",0,2209
"575","caples_17_2013-2018_prefire_NA_180",0,100
"576","caples_17_2013-2018_prefire_NA_270",0,1129
"577","caples_2_2013-2018_prefire_NA_0",0,2025
"578","caples_20_2013-2018_prefire_NA_0",0,400
"579","caples_20_2013-2018_prefire_NA_180",0,625
"580","caples_20_2013-2018_prefire_NA_90",0,1024
"581","caples_20_2019_postfire_immediate_180",0,380.25
"582","caples_20_2019_postfire_immediate_90",132.25,289
"583","caples_21_2013-2018_prefire_NA_180",0,196
"584","caples_23_2013-2018_prefire_NA_270",0,484
"585","caples_23_2013-2018_prefire_NA_90",0,208
"586","caples_24_2013-2018_prefire_NA_180",0,853
"587","caples_24_2013-2018_prefire_NA_270",0,676
"588","caples_24_2013-2018_prefire_NA_90",4900,676
"589","caples_24_2019_postfire_immediate_90",1600,0
"590","caples_24_2020_postfire_1yr_0",0,100
"591","caples_24_2020_postfire_1yr_270",0,307.36
"592","caples_24_2020_postfire_1yr_90",0,784
"593","caples_28_2013-2018_prefire_NA_0",0,500
"594","caples_28_2013-2018_prefire_NA_180",0,922
"595","caples_28_2019_postfire_immediate_0",0,110.25
"596","caples_29_2013-2018_prefire_NA_0",529,256
"597","caples_29_2013-2018_prefire_NA_270",0,1089
"598","caples_29_2013-2018_prefire_NA_90",0,1024
"599","caples_29_2019_postfire_immediate_270",0,529
"600","caples_29_2019_postfire_immediate_90",0,1072
"601","caples_3_2013-2018_prefire_NA_270",0,4225
"602","caples_30_2013-2018_prefire_NA_0",0,121
"603","caples_30_2013-2018_prefire_NA_180",0,676
"604","caples_30_2019_postfire_immediate_90",0,256
"605","caples_32_2013-2018_prefire_NA_0",0,552
"606","caples_32_2013-2018_prefire_NA_270",0,441
"607","caples_32_2019_postfire_immediate_180",289,1933
"608","caples_33_2013-2018_prefire_NA_0",0,185
"609","caples_33_2013-2018_prefire_NA_180",0,405
"610","caples_33_2013-2018_prefire_NA_270",0,468
"611","caples_33_2013-2018_prefire_NA_90",0,920
"612","caples_33_2019_postfire_immediate_180",0,169
"613","caples_33_2020_postfire_1yr_180",0,335.24
"614","caples_34_2019_postfire_immediate_90",0,100
"615","caples_35_2013-2018_prefire_NA_270",0,361
"616","caples_36_2013-2018_prefire_NA_180",0,961
"617","caples_36_2019_postfire_immediate_270",289,0
"618","caples_36_2020_postfire_1yr_180",0,900
"619","caples_36_2020_postfire_1yr_270",0,272.25
"620","caples_37_2013-2018_prefire_NA_0",0,225
"621","caples_37_2013-2018_prefire_NA_180",1024,0
"622","caples_37_2013-2018_prefire_NA_270",0,181
"623","caples_37_2019_postfire_immediate_270",0,81
"624","caples_37_2019_postfire_immediate_90",506.25,169
"625","caples_37_2020_postfire_1yr_90",0,484
"626","caples_39_2013-2018_prefire_NA_0",0,3969
"627","caples_39_2013-2018_prefire_NA_180",0,1936
"628","caples_39_2013-2018_prefire_NA_90",0,9409
"629","caples_4_2013-2018_prefire_NA_0",0,5364
"630","caples_4_2013-2018_prefire_NA_180",1600,884
"631","caples_4_2013-2018_prefire_NA_270",0,808
"632","caples_4_2013-2018_prefire_NA_90",3136,1788
"633","caples_4_2019_postfire_immediate_180",0,265
"634","caples_40_2013-2018_prefire_NA_0",0,2019
"635","caples_40_2013-2018_prefire_NA_270",0,985
"636","caples_40_2013-2018_prefire_NA_90",0,370
"637","caples_40_2020_postfire_1yr_0",0,2445
"638","caples_40_2020_postfire_1yr_270",0,596
"639","caples_40_2020_postfire_1yr_90",0,361
"640","caples_42_2013-2018_prefire_NA_180",0,544
"641","caples_43_2013-2018_prefire_NA_90",0,169
"642","caples_45_2013-2018_prefire_NA_0",0,1805
"643","caples_45_2013-2018_prefire_NA_180",0,196
"644","caples_45_2013-2018_prefire_NA_90",144,0
"645","caples_46_2013-2018_prefire_NA_0",0,100
"646","caples_46_2013-2018_prefire_NA_180",0,1305
"647","caples_46_2013-2018_prefire_NA_270",0,2031
"648","caples_46_2013-2018_prefire_NA_90",0,289
"649","caples_47_2013-2018_prefire_NA_270",0,424
"650","caples_49_2013-2018_prefire_NA_0",0,324
"651","caples_49_2013-2018_prefire_NA_180",3600,0
"652","caples_49_2013-2018_prefire_NA_90",1225,1217
"653","caples_5_2013-2018_prefire_NA_0",169,0
"654","caples_5_2013-2018_prefire_NA_180",0,233
"655","caples_5_2013-2018_prefire_NA_270",0,497
"656","caples_5_2013-2018_prefire_NA_90",0,64
"657","caples_5_2019_postfire_immediate_0",0,2162.25
"658","caples_5_2019_postfire_immediate_270",0,156.25
"659","caples_5_2020_postfire_1yr_0",0,1646
"660","caples_5_2020_postfire_1yr_270",0,1089
"661","caples_50_2013-2018_prefire_NA_270",4096,841
"662","caples_52_2013-2018_prefire_NA_90",625,0
"663","caples_54_2013-2018_prefire_NA_180",0,10000
"664","caples_56_2013-2018_prefire_NA_0",0,289
"665","caples_56_2013-2018_prefire_NA_270",0,365
"666","caples_57_2013-2018_prefire_NA_180",0,256
"667","caples_58_2013-2018_prefire_NA_0",0,121
"668","caples_58_2013-2018_prefire_NA_180",4900,0
"669","caples_58_2013-2018_prefire_NA_270",252.81,0
"670","caples_58_2013-2018_prefire_NA_90",0,424
"671","caples_59_2013-2018_prefire_NA_180",408.04,144
"672","caples_59_2013-2018_prefire_NA_90",2304,0
"673","caples_6_2013-2018_prefire_NA_180",0,593
"674","caples_65_2013-2018_prefire_NA_0",17855.01,10433
"675","caples_65_2013-2018_prefire_NA_180",0,182.25
"676","caples_65_2013-2018_prefire_NA_270",0,9025
"677","caples_65_2013-2018_prefire_NA_90",0,306.25
"678","caples_65_2019_postfire_immediate_0",0,1201
"679","caples_65_2019_postfire_immediate_270",4489,0
"680","caples_65_2020_postfire_1yr_0",0,1225
"681","caples_65_2020_postfire_1yr_270",0,5041
"682","caples_7_2013-2018_prefire_NA_0",0,6596
"683","caples_7_2013-2018_prefire_NA_180",676,4339
"684","caples_7_2013-2018_prefire_NA_270",0,7346
"685","caples_7_2013-2018_prefire_NA_90",0,2007
"686","caples_7_2019_postfire_immediate_0",0,1326
"687","caples_7_2019_postfire_immediate_180",210.25,1044
"688","caples_7_2019_postfire_immediate_270",0,7418
"689","caples_7_2019_postfire_immediate_90",0,12.25
"690","caples_7_2020_postfire_1yr_0",0,1370
"691","caples_7_2020_postfire_1yr_180",676,361
"692","caples_7_2020_postfire_1yr_270",0,5041
"693","caples_7_2020_postfire_1yr_90",0,324
"694","caples_75_2013-2018_prefire_NA_0",5550.25,0
"695","caples_75_2013-2018_prefire_NA_90",0,7466.5
"696","caples_75_2019_postfire_immediate_90",1764,0
"697","caples_76_2013-2018_prefire_NA_0",772.84,2225.7
"698","caples_76_2013-2018_prefire_NA_180",0,1239.04
"699","caples_76_2013-2018_prefire_NA_270",0,1848.19
"700","caples_76_2013-2018_prefire_NA_90",163.84,467.49
"701","caples_77_2013-2018_prefire_NA_0",0,999.94
"702","caples_77_2013-2018_prefire_NA_270",0,156.25
"703","caples_77_2013-2018_prefire_NA_90",0,856.25
"704","caples_8_2013-2018_prefire_NA_0",900,2991
"705","caples_8_2013-2018_prefire_NA_180",0,2319
"706","caples_8_2013-2018_prefire_NA_270",0,3226
"707","caples_8_2013-2018_prefire_NA_90",0,2665
"708","caples_8_2019_postfire_immediate_0",0,6889
"709","caples_8_2019_postfire_immediate_270",0,1600
"710","caples_8_2019_postfire_immediate_90",1225,0
"711","caples_8_2020_postfire_1yr_0",0,1211
"712","caples_8_2020_postfire_1yr_180",0,484
"713","caples_8_2020_postfire_1yr_270",0,2304
"714","caples_8_2020_postfire_1yr_90",2601,0
"715","caples_82_2013-2018_prefire_NA_270",0,4225
"716","caples_82_2013-2018_prefire_NA_90",201.64,0
"717","caples_82_2020_postfire_1yr_180",0,484
"718","caples_82_2020_postfire_1yr_270",0,4096
"719","caples_83_2013-2018_prefire_NA_270",0,1681
"720","caples_83_2013-2018_prefire_NA_90",0,3600
"721","caples_84_2013-2018_prefire_NA_0",2116,0
"722","caples_84_2013-2018_prefire_NA_270",2433.04,0
"723","caples_84_2013-2018_prefire_NA_90",0,617.25
"724","caples_85_2013-2018_prefire_NA_270",0,169
"725","caples_92_2013-2018_prefire_NA_0",0,2601
"726","caples_92_2013-2018_prefire_NA_180",0,1465
"727","caples_92_2013-2018_prefire_NA_270",3025,625
"728","caples_93_2013-2018_prefire_NA_0",0,2914.69
"729","caples_93_2013-2018_prefire_NA_270",900,1521
"730","caples_93_2013-2018_prefire_NA_90",0,961
"731","caples_94_2013-2018_prefire_NA_180",0,325.52
"732","caples_94_2013-2018_prefire_NA_270",4624,0
"733","caples_94_2013-2018_prefire_NA_90",4788.64,81
"734","caples_95_2013-2018_prefire_NA_270",0,234.09
"735","ConcowPyro_CONCOW001_2021_prefire_NA_0",0,380.25
"736","ConcowPyro_CONCOW001_2021_prefire_NA_270",0,67.24
"737","ConcowPyro_CONCOW002_2021_prefire_NA_0",0,630
"738","ConcowPyro_CONCOW002_2021_prefire_NA_180",0,424
"739","ConcowPyro_CONCOW002_2021_prefire_NA_90",0,1310
"740","ConcowPyro_CONCOW003_2021_prefire_NA_90",100,0
"741","ConcowPyro_CONCOW004_2021_prefire_NA_0",0,290
"742","ConcowPyro_CONCOW004_2021_prefire_NA_270",0,2775
"743","ConcowPyro_CONCOW004_2021_prefire_NA_90",0,64
"744","ConcowPyro_CONCOW005_2021_prefire_NA_180",0,549
"745","ConcowPyro_CONCOW005_2021_prefire_NA_270",0,745.96
"746","ConcowPyro_CONCOW005_2021_prefire_NA_90",0,1016
"747","ConcowPyro_CONCOW006_2021_prefire_NA_0",0,784
"748","ConcowPyro_CONCOW006_2021_prefire_NA_270",0,309.76
"749","ConcowPyro_CONCOW007_2021_prefire_NA_0",0,306.25
"750","ConcowPyro_CONCOW007_2021_prefire_NA_180",0,81
"751","ConcowPyro_CONCOW007_2021_prefire_NA_90",0,729
"752","ConcowPyro_CONCOW008_2021_prefire_NA_270",0,961
"753","ConcowPyro_CONCOW008_2021_prefire_NA_90",0,225
"754","ConcowPyro_CONCOW010_2021_prefire_NA_180",0,324
"755","ConcowPyro_CONCOW010_2021_prefire_NA_270",0,1764
"756","ConcowPyro_CONCOW010_2021_prefire_NA_90",0,100
"757","ConcowPyro_CONCOW011_2021_prefire_NA_0",0,100
"758","ConcowPyro_CONCOW011_2021_prefire_NA_270",0,506.25
"759","ConcowPyro_CONCOW013_2021_prefire_NA_0",0,1089
"760","ConcowPyro_CONCOW013_2021_prefire_NA_180",0,858.49
"761","ConcowPyro_CONCOW014_2021_prefire_NA_0",0,1141.53
"762","ConcowPyro_CONCOW014_2021_prefire_NA_180",0,1853
"763","ConcowPyro_CONCOW014_2021_prefire_NA_270",961,441
"764","ConcowPyro_CONCOW014_2021_prefire_NA_90",163.84,92.16
"765","ConcowPyro_CONCOW015_2021_prefire_NA_0",0,169
"766","ConcowPyro_CONCOW015_2021_prefire_NA_90",0,956.25
"767","ConcowPyro_CONCOW016_2021_prefire_NA_180",0,216.09
"768","ConcowPyro_CONCOW017_2021_prefire_NA_0",0,625
"769","ConcowPyro_CONCOW017_2021_prefire_NA_180",625,529
"770","ConcowPyro_CONCOW017_2021_prefire_NA_90",0,144
"771","downieville_RedAnt28_2020_prefire_NA_180",0,384.16
"772","downieville_RedAnt30b_2020_prefire_NA_180",0,526.25
"773","downieville_RedAnt30b_2020_prefire_NA_270",0,240.25
"774","downieville_RedAnt32_2020_prefire_NA_0",0,584
"775","downieville_RedAnt32_2020_prefire_NA_270",0,324
"776","downieville_RedAnt36_2020_prefire_NA_180",0,1024
"777","downieville_RedAnt37_2020_prefire_NA_0",324,2449.25
"778","downieville_RedAnt37_2020_prefire_NA_180",3025,0
"779","downieville_RedAnt37_2020_prefire_NA_270",121,0
"780","downieville_RedAnt37_2020_prefire_NA_90",2373.84,1975
"781","downieville_RedAnt39_2020_prefire_NA_180",1089,1415.5
"782","downieville_RedAnt39_2020_prefire_NA_270",870.25,0
"783","downieville_RedAnt39_2020_prefire_NA_90",0,64
"784","downieville_RedAnt40_2020_prefire_NA_0",0,905.25
"785","downieville_RedAnt40_2020_prefire_NA_180",0,225
"786","downieville_RedAnt40_2020_prefire_NA_270",0,459.09
"787","downieville_RedAnt41_2020_prefire_NA_0",0,885.69
"788","downieville_RedAnt41_2020_prefire_NA_180",0,196
"789","downieville_RedAnt41_2020_prefire_NA_270",0,1159.12
"790","downieville_RedAnt42_2020_prefire_NA_180",0,338.56
"791","downieville_RedAnt42_2020_prefire_NA_270",0,324
"792","downieville_RedAnt44_2020_prefire_NA_0",0,2097
"793","downieville_RedAnt44_2020_prefire_NA_90",108.16,909.93
"794","downieville_RedAnt46_2020_prefire_NA_0",0,1282.69
"795","downieville_RedAnt46_2020_prefire_NA_180",59.29,3207.47
"796","downieville_RedAnt46_2020_prefire_NA_270",0,114.49
"797","downieville_RedAnt46_2020_prefire_NA_90",249.64,826.98
"798","downieville_RedAnt49_2020_prefire_NA_0",0,4361.25
"799","downieville_RedAnt49_2020_prefire_NA_180",0,256
"800","downieville_RedAnt49_2020_prefire_NA_270",576,762.75
"801","downieville_RedAnt50_2020_prefire_NA_0",0,3770
"802","downieville_RedAnt50_2020_prefire_NA_180",0,90.25
"803","downieville_RedAnt50_2020_prefire_NA_270",0,4579.25
"804","downieville_RedAnt50_2020_prefire_NA_90",0,1620
"805","downieville_RedAnt51_2020_prefire_NA_180",0,1677.25
"806","downieville_RedAnt51_2020_prefire_NA_270",1722.25,1522.25
"807","downieville_RedAnt51_2020_prefire_NA_90",0,361
"808","downieville_RedAnt52_2020_prefire_NA_0",0,96.04
"809","downieville_RedAnt52_2020_prefire_NA_180",0,3136
"810","downieville_RedAnt52_2020_prefire_NA_270",0,320.75
"811","downieville_RedAnt52_2020_prefire_NA_90",0,3969
"812","downieville_RedAnt53_2020_prefire_NA_0",158.76,219.04
"813","downieville_RedAnt53_2020_prefire_NA_180",0,1197.16
"814","downieville_RedAnt53_2020_prefire_NA_270",86.49,77.44
"815","downieville_RedAnt53_2020_prefire_NA_90",0,1041.48
"816","downieville_RedAnt54_2020_prefire_NA_0",2538.76,0
"817","downieville_RedAnt54_2020_prefire_NA_180",0,1419.09
"818","downieville_RedAnt54_2020_prefire_NA_270",576,2650
"819","downieville_RedAnt54_2020_prefire_NA_90",0,4125.44
"820","downieville_RedAnt55_2020_prefire_NA_0",0,676
"821","downieville_RedAnt55_2020_prefire_NA_270",493,982.25
"822","downieville_RedAnt55_2020_prefire_NA_90",0,1521
"823","downieville_RedAnt56_2020_prefire_NA_0",484,3076
"824","downieville_RedAnt56_2020_prefire_NA_180",1102.24,0
"825","downieville_RedAnt56_2020_prefire_NA_90",225,346
"826","downieville_RedAnt57_2020_prefire_NA_90",0,151.29
"827","downieville_RedAnt58_2020_prefire_NA_0",0,595.36
"828","downieville_RedAnt58_2020_prefire_NA_180",144,569
"829","downieville_RedAnt58_2020_prefire_NA_270",0,2776.81
"830","downieville_RedAnt58_2020_prefire_NA_90",81,144
"831","downieville_RedAnt59_2020_prefire_NA_0",0,174.24
"832","downieville_RedAnt59_2020_prefire_NA_180",2016.34,0
"833","downieville_RedAnt59_2020_prefire_NA_90",2787.84,0
"834","downieville_RedAnt60_2020_prefire_NA_0",0,708.69
"835","downieville_RedAnt60_2020_prefire_NA_180",0,1188.25
"836","downieville_RedAnt60_2020_prefire_NA_270",0,676
"837","downieville_RedAnt60_2020_prefire_NA_90",0,806.99
"838","downieville_RedAnt61_2020_prefire_NA_0",0,144
"839","downieville_RedAnt61_2020_prefire_NA_270",169,400
"840","downieville_RedAnt61_2020_prefire_NA_90",0,121
"841","DryCreek_DryCreek22_2020_prefire_NA_0",0,388
"842","DryCreek_DryCreek22_2020_prefire_NA_270",0,132.25
"843","DryCreek_DryCreek22_2020_prefire_NA_90",8100,0
"844","DryCreek_DryCreek23_2020_prefire_NA_0",0,210.25
"845","DryCreek_DryCreek23_2020_prefire_NA_270",0,361
"846","drycreek_DryCreek23_2022_postfire_1yr_0",0,156.25
"847","drycreek_DryCreek23_2022_postfire_1yr_270",0,656
"848","DryCreek_DryCreek26_2020_prefire_NA_180",0,357.25
"849","drycreek_DryCreek26_2022_postfire_1yr_180",132.25,121
"850","drycreek_DryCreek26_2022_postfire_1yr_270",0,484
"851","DryCreek_DryCreek28_2020_prefire_NA_0",144,0
"852","DryCreek_DryCreek28_2020_prefire_NA_90",0,194.29
"853","drycreek_DryCreek28_2022_postfire_1yr_270",144,0
"854","drycreek_DryCreek28_2022_postfire_1yr_90",0,121
"855","DryCreek_DryCreek29_2020_prefire_NA_0",9025,0
"856","DryCreek_DryCreek29_2020_prefire_NA_270",0,6084
"857","DryCreek_DryCreek29_2020_prefire_NA_90",1531,289
"858","drycreek_DryCreek29_2022_postfire_1yr_270",0,324
"859","DryCreek_DryCreek30_2020_prefire_NA_90",0,86.49
"860","DryCreek_DryCreek31_2020_prefire_NA_270",470.5,173.16
"861","drycreek_DryCreek31_2022_postfire_1yr_270",0,204.34
"862","DryCreek_DryCreek32_2020_postfire_2yr_180",0,102.01
"863","DryCreek_DryCreek32_2020_postfire_2yr_270",0,2025
"864","DryCreek_DryCreek33_2020_postfire_2yr_180",0,176.89
"865","DryCreek_DryCreek33_2020_postfire_2yr_270",0,900
"866","DryCreek_DryCreek33_2020_postfire_2yr_90",0,676
"867","DryCreek_DryCreek34_2020_postfire_2yr_0",400,0
"868","DryCreek_DryCreek34_2020_postfire_2yr_270",400,0
"869","DryCreek_DryCreek36_2020_postfire_2yr_270",0,1058.09
"870","DryCreek_DryCreek37_2020_postfire_2yr_180",144,276.25
"871","DryCreek_DryCreek37_2020_postfire_2yr_270",0,272.25
"872","DryCreek_DryCreek38_2020_postfire_2yr_0",0,767.25
"873","DryCreek_DryCreek38_2020_postfire_2yr_270",0,144
"874","DryCreek_DryCreek46_2020_prefire_NA_0",2825,0
"875","frenchmeadows_FM046_2022_postfire_1yr_0",0,90.25
"876","frenchmeadows_FM046_2022_postfire_1yr_180",0,72.25
"877","frenchmeadows_FM047_2022_postfire_1yr_0",0,5878.48
"878","frenchmeadows_FM047_2022_postfire_1yr_180",0,2070.25
"879","frenchmeadows_fm10-1_2019_prefire_NA_0",0,100
"880","frenchmeadows_fm10-1_2019_prefire_NA_180",0,1424
"881","frenchmeadows_fm10-1_2019_prefire_NA_270",2669,0
"882","frenchmeadows_fm10-1_2019_prefire_NA_90",976,0
"883","frenchmeadows_fm10-10_2019_prefire_NA_0",3246.84,0
"884","frenchmeadows_fm10-10_2019_prefire_NA_180",6400,0
"885","frenchmeadows_fm10-10_2019_prefire_NA_90",324,64
"886","frenchmeadows_fm10-11_2019_prefire_NA_0",0,7954
"887","frenchmeadows_fm10-11_2019_prefire_NA_180",5300,144
"888","frenchmeadows_fm10-11_2019_prefire_NA_270",64,0
"889","frenchmeadows_fm10-11_2019_prefire_NA_90",576,0
"890","frenchmeadows_fm10-12_2019_prefire_NA_0",2741,0
"891","frenchmeadows_fm10-12_2019_prefire_NA_270",100,3330
"892","frenchmeadows_fm10-13_2019_prefire_NA_180",121,0
"893","frenchmeadows_fm10-13_2019_prefire_NA_270",0,64
"894","frenchmeadows_fm10-13_2019_prefire_NA_90",0,144
"895","frenchmeadows_fm10-14_2019_prefire_NA_0",196,0
"896","frenchmeadows_fm10-14_2019_prefire_NA_270",1089,0
"897","frenchmeadows_fm10-14_2019_prefire_NA_90",226,0
"898","frenchmeadows_fm10-15_2019_prefire_NA_0",3721,985
"899","frenchmeadows_fm10-15_2019_prefire_NA_180",625,221
"900","frenchmeadows_fm10-15_2019_prefire_NA_270",144,0
"901","frenchmeadows_fm10-15_2019_prefire_NA_90",1715,0
"902","frenchmeadows_fm10-2_2019_prefire_NA_0",0,25
"903","frenchmeadows_fm10-2_2019_prefire_NA_180",0,644
"904","frenchmeadows_fm10-2_2019_prefire_NA_270",0,100
