"","site_plotid_time_azimuth","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"104","BearMountain_BM26_2021_postfire_2yr_0",0,886.98
"105","BearMountain_BM26_2021_postfire_2yr_180",0,77.44
"106","BearMountain_BM26_2021_postfire_2yr_90",0,90.25
"107","BearMountain_BM27_2019_postfire_immediate_0",0,555.29
"108","BearMountain_BM27_2019_postfire_immediate_180",0,388
"109","BearMountain_BM27_2019_postfire_immediate_270",0,569
"110","BearMountain_BM27_2019_postfire_immediate_90",100,0
"111","BearMountain_BM27_2019_prefire_NA_0",0,485
"112","BearMountain_BM27_2019_prefire_NA_180",0,685
"113","BearMountain_BM27_2019_prefire_NA_270",0,221
"114","BearMountain_BM27_2019_prefire_NA_90",0,868
"115","BearMountain_BM27_2021_postfire_2yr_0",0,325
"116","BearMountain_BM27_2021_postfire_2yr_180",0,400
"117","BearMountain_BM27_2021_postfire_2yr_270",0,288
"118","BearMountain_BM27_2021_postfire_2yr_90",0,156.25
"119","BearMountain_BM3_2019_postfire_immediate_0",0,850
"120","BearMountain_BM3_2019_postfire_immediate_90",0,1225
"121","BearMountain_BM3_2019_prefire_NA_0",0,961
"122","BearMountain_BM3_2019_prefire_NA_180",169,169
"123","BearMountain_BM3_2019_prefire_NA_90",0,2425
"124","BearMountain_BM3_2021_postfire_2yr_0",0,784
"125","BearMountain_BM3_2021_postfire_2yr_90",0,1421.29
"126","BearMountain_BM4_2019_prefire_NA_180",0,324
"127","BearMountain_BM5_2019_postfire_immediate_0",390,0
"128","BearMountain_BM5_2019_postfire_immediate_180",550,591.76
"129","BearMountain_BM5_2019_postfire_immediate_270",0,400
"130","BearMountain_BM5_2021_postfire_2yr_0",0,169
"131","BearMountain_BM5_2021_postfire_2yr_180",0,1054.54
"132","BearMountain_BM6_2019_postfire_immediate_270",0,144
"133","BearMountain_BM6_2019_prefire_NA_270",361,2657
"134","BearMountain_BM6_2021_postfire_2yr_270",0,182.25
"135","BearMountain_BM7_2019_prefire_NA_270",0,392.04
"136","BearMountain_BM9_2019_postfire_immediate_0",0,1444
"137","BearMountain_BM9_2019_postfire_immediate_180",0,2078
"138","BearMountain_BM9_2019_postfire_immediate_90",0,2088
"139","BearMountain_BM9_2019_prefire_NA_180",0,845
"140","BearMountain_BM9_2019_prefire_NA_90",0,2314
"141","BearMountain_BM9_2021_postfire_2yr_180",0,1274.25
"142","BearMountain_BM9_2021_postfire_2yr_90",0,3461
"143","BlissSP_bliss1_2019_prefire_NA_180",0,729
"144","BlissSP_bliss1_2019_prefire_NA_270",15625,0
"145","BlissSP_bliss1_2019_prefire_NA_90",0,1225
"146","BlissSP_bliss10_2019_prefire_NA_0",0,225
"147","BlissSP_bliss10_2019_prefire_NA_180",12665,0
"148","BlissSP_bliss10_2019_prefire_NA_270",324,225
"149","BlissSP_bliss10_2019_prefire_NA_90",1665,784
"150","BlissSP_bliss11_2019_prefire_NA_0",4489,121
"151","BlissSP_bliss11_2019_prefire_NA_180",0,1156
"152","BlissSP_bliss11_2019_prefire_NA_270",0,289
"153","BlissSP_bliss12_2019_prefire_NA_180",2045,0
"154","BlissSP_bliss13_2019_prefire_NA_0",0,121
"155","BlissSP_bliss13_2019_prefire_NA_90",0,196
"156","BlissSP_bliss14_2019_prefire_NA_0",0,179.09
"157","BlissSP_bliss14_2019_prefire_NA_180",0,395.09
"158","BlissSP_bliss14_2019_prefire_NA_270",0,4020
"159","BlissSP_bliss14_2019_prefire_NA_90",0,529
"160","BlissSP_bliss15_2019_prefire_NA_180",635.56,719.24
"161","BlissSP_bliss15_2019_prefire_NA_270",1585,0
"162","BlissSP_bliss2_2019_prefire_NA_0",22500,0
"163","BlissSP_bliss2_2019_prefire_NA_180",2925,0
"164","BlissSP_bliss2_2019_prefire_NA_270",462.25,0
"165","BlissSP_bliss3_2019_prefire_NA_0",0,850
"166","BlissSP_bliss3_2019_prefire_NA_180",8100,5790
"167","BlissSP_bliss3_2019_prefire_NA_270",1156,1089
"168","BlissSP_bliss3_2019_prefire_NA_90",0,729
"169","BlissSP_bliss4_2019_prefire_NA_180",0,9936
"170","BlissSP_bliss4_2019_prefire_NA_270",0,1021
"171","BlissSP_bliss4_2019_prefire_NA_90",164,1225
"172","BlissSP_bliss5_2019_prefire_NA_0",4900,0
"173","BlissSP_bliss5_2019_prefire_NA_270",1600,2500
"174","BlissSP_bliss5_2019_prefire_NA_90",81,3913
"175","BlissSP_bliss6_2019_prefire_NA_0",0,18754
"176","BlissSP_bliss6_2019_prefire_NA_180",8100,0
"177","BlissSP_bliss6_2019_prefire_NA_270",0,10269.81
"178","BlissSP_bliss6_2019_prefire_NA_90",0,1908.76
"179","BlissSP_bliss7_2019_prefire_NA_0",900,36
"180","BlissSP_bliss7_2019_prefire_NA_180",3988,0
"181","BlissSP_bliss7_2019_prefire_NA_270",942.5,529
"182","BlissSP_bliss8_2019_prefire_NA_0",0,394
"183","BlissSP_bliss8_2019_prefire_NA_180",0,289
"184","BlissSP_bliss8_2019_prefire_NA_270",0,81
"185","BlissSP_bliss8_2019_prefire_NA_90",1450,221
"186","BlissSP_bliss9_2019_prefire_NA_0",1066,1600
"187","BlissSP_bliss9_2019_prefire_NA_180",36,0
"188","BlissSP_bliss9_2019_prefire_NA_270",361,2421
"189","BlissSP_bliss9_2019_prefire_NA_90",0,799.24
"190","Bouverie_BOUV001_2021_prefire_NA_0",0,431
"191","Bouverie_BOUV001_2021_prefire_NA_270",0,1080.94
"192","Bouverie_BOUV001_2021_prefire_NA_90",0,229.24
"193","Bouverie_BOUV002_2021_prefire_NA_0",0,1696.5
"194","Bouverie_BOUV002_2021_prefire_NA_180",0,890.92
"195","Bouverie_BOUV002_2021_prefire_NA_270",0,308
"196","Bouverie_BOUV002_2021_prefire_NA_90",0,465
"197","Bouverie_BOUV003_2021_prefire_NA_180",0,275.25
"198","Bouverie_BOUV003_2021_prefire_NA_90",0,493
"199","Bouverie_BOUV004_2021_prefire_NA_0",0,64
"200","Bouverie_BOUV004_2021_prefire_NA_180",0,743.5
"201","Bouverie_BOUV004_2021_prefire_NA_270",0,555.5
"202","Bouverie_BOUV005_2021_prefire_NA_0",0,1108.89
"203","Bouverie_BOUV007_2021_prefire_NA_0",0,464
"204","Bouverie_BOUV007_2021_prefire_NA_180",0,181
"205","Bouverie_BOUV007_2021_prefire_NA_90",0,317
"206","Bouverie_BOUV008_2021_prefire_NA_0",0,150.05
"207","Bouverie_BOUV009_2021_prefire_NA_180",0,611.25
"208","Bouverie_BOUV010_2021_prefire_NA_0",0,126.53
"209","Bouverie_BOUV010_2021_prefire_NA_180",0,267.5
"210","Bouverie_BOUV010_2021_prefire_NA_90",0,729
"211","Bouverie_BOUV011_2021_prefire_NA_0",0,49
"212","Bouverie_BOUV011_2021_prefire_NA_90",0,9
"213","Bouverie_BOUV012_2021_prefire_NA_0",0,121
"214","Bouverie_BOUV012_2021_prefire_NA_180",0,100
"215","Bouverie_BOUV012_2021_prefire_NA_270",0,64
"216","Bouverie_BOUV012_2021_prefire_NA_90",0,909
"217","BurtonSP_burton01_2019_prefire_NA_0",2993,0
"218","BurtonSP_burton01_2019_prefire_NA_270",4225,400
"219","BurtonSP_burton01_2019_prefire_NA_90",900,0
"220","BurtonSP_burton02_2019_prefire_NA_0",337,0
"221","BurtonSP_burton02_2019_prefire_NA_180",5006,100
"222","BurtonSP_burton02_2019_prefire_NA_270",100,0
"223","BurtonSP_burton03_2019_prefire_NA_0",0,1467.69
"224","BurtonSP_burton03_2019_prefire_NA_180",0,412.25
"225","BurtonSP_burton03_2019_prefire_NA_270",0,324
"226","BurtonSP_burton03_2019_prefire_NA_90",256,3078
"227","BurtonSP_burton06_2019_prefire_NA_180",676,0
"228","BurtonSP_burton06_2019_prefire_NA_270",1669,494
"229","BurtonSP_burton06_2019_prefire_NA_90",900,0
"230","BurtonSP_burton07_2019_prefire_NA_0",0,576
"231","BurtonSP_burton07_2019_prefire_NA_180",0,64
"232","BurtonSP_burton08_2019_postfire_immediate_0",0,196
"233","BurtonSP_burton08_2019_postfire_immediate_270",0,313
"234","BurtonSP_burton08_2019_postfire_immediate_90",0,619
"235","BurtonSP_burton08_2019_prefire_NA_0",0,452
"236","BurtonSP_burton08_2019_prefire_NA_270",0,313
"237","BurtonSP_burton08_2019_prefire_NA_90",0,718
"238","BurtonSP_burton09_2019_prefire_NA_90",0,100
"239","BurtonSP_burton10_2019_postfire_immediate_180",0,1156
"240","BurtonSP_burton10_2019_prefire_NA_0",0,529
"241","BurtonSP_burton10_2019_prefire_NA_180",0,2025
"242","BurtonSP_burton10_2019_prefire_NA_90",0,458
"243","BurtonSP_burton11_2019_prefire_NA_180",4900,0
"244","BurtonSP_burton11_2019_prefire_NA_270",441,441
"245","BurtonSP_burton11_2019_prefire_NA_90",3600,0
"246","BurtonSP_burton12_2019_prefire_NA_0",0,673
"247","BurtonSP_burton12_2019_prefire_NA_180",0,898
"248","BurtonSP_burton12_2019_prefire_NA_270",0,144
"249","BurtonSP_burton12_2019_prefire_NA_90",100,841
"250","BurtonSP_burton13_2019_prefire_NA_0",3251,400
"251","BurtonSP_burton13_2019_prefire_NA_180",676,1301
"252","BurtonSP_burton13_2019_prefire_NA_270",324,400
"253","BurtonSP_burton13_2019_prefire_NA_90",0,6469
"254","BurtonSP_burton14_2019_prefire_NA_0",64,200
"255","BurtonSP_burton14_2019_prefire_NA_270",0,317.25
"256","BurtonSP_burton15_2019_prefire_NA_0",400,3600
"257","BurtonSP_burton15_2019_prefire_NA_180",0,981
"258","BurtonSP_burton15_2019_prefire_NA_270",81,1149.76
"259","BurtonSP_burton15_2019_prefire_NA_90",841,0
"260","BurtonSP_burton16_2019_prefire_NA_0",81,0
"261","BurtonSP_burton16_2019_prefire_NA_180",2809,0
"262","BurtonSP_burton16_2019_prefire_NA_270",1424,121
"263","BurtonSP_burton17_2019_prefire_NA_0",100,0
"264","BurtonSP_burton17_2019_prefire_NA_180",0,169
"265","BurtonSP_burton17_2019_prefire_NA_270",256,1025
"266","BurtonSP_burton17_2019_prefire_NA_90",4900,0
"267","BurtonSP_burton18_2019_prefire_NA_0",8965,1145
"268","BurtonSP_burton18_2019_prefire_NA_90",1272,433
"269","BurtonSP_burton19_2019_prefire_NA_0",1764,0
"270","BurtonSP_burton19_2019_prefire_NA_270",1225,0
"271","BurtonSP_burton19_2019_prefire_NA_90",1936,0
"272","BurtonSP_burton19_2020_postfire_1yr_270",1521,0
"273","BurtonSP_burton20_2019_prefire_NA_0",5629,754
"274","BurtonSP_burton20_2019_prefire_NA_270",729,1849
"275","BurtonSP_burton20_2020_postfire_1yr_270",841,2304
"276","BurtonSP_burton21_2019_prefire_NA_0",4201,0
"277","BurtonSP_burton21_2019_prefire_NA_270",5281,0
"278","BurtonSP_burton21_2019_prefire_NA_90",3600,0
"279","BurtonSP_burton22_2019_prefire_NA_0",0,132.25
"280","BurtonSP_burton22_2019_prefire_NA_180",4225,2129
"281","BurtonSP_burton22_2019_prefire_NA_270",0,225
"282","BurtonSP_burton22_2019_prefire_NA_90",0,144
"283","BurtonSP_burton24_2019_prefire_NA_0",64,289
"284","BurtonSP_burton25_2020_postfire_1yr_0",0,1089
"285","BurtonSP_burton25_2020_postfire_1yr_90",2078,0
"286","BurtonSP_burton26_2020_postfire_1yr_0",2068.56,0
"287","BurtonSP_burton28_2020_postfire_1yr_0",1764,0
"288","BurtonSP_burton28_2020_postfire_1yr_180",100,0
"289","BurtonSP_burton28_2020_postfire_1yr_90",144,0
"290","BurtonSP_burton29_2020_postfire_1yr_0",529,0
"291","BurtonSP_burton29_2020_postfire_1yr_180",289,2305
"292","BurtonSP_burton29_2020_postfire_1yr_270",569,1116.16
"293","BurtonSP_burton29_2020_postfire_1yr_90",0,378.76
"294","BurtonSP_burton30_2020_postfire_1yr_90",324,0
"295","BurtonSP_burton33_2020_postfire_1yr_90",654.44,0
"296","BurtonSP_burton38_2020_postfire_1yr_0",144,0
"297","BurtonSP_burton38_2020_postfire_1yr_270",324,0
"298","BurtonSP_burton38_2020_postfire_1yr_90",324,0
"299","BurtonSP_burton39_2020_postfire_1yr_0",0,204.04
"300","BurtonSP_burton41_2020_postfire_1yr_0",0,1462.44
"301","BurtonSP_burton43_2020_postfire_1yr_270",0,900
"302","BurtonSP_burton43_2020_postfire_1yr_90",0,285.61
"303","BurtonSP_burton44_2020_postfire_1yr_90",900,0
"304","Calaveras_BigTrees01_2020_prefire_NA_0",0,3969
"305","Calaveras_BigTrees01_2020_prefire_NA_180",7225,11050
"306","Calaveras_BigTrees01_2020_prefire_NA_270",379.25,436.25
"307","Calaveras_BigTrees01_2020_prefire_NA_90",0,624.25
"308","calaveras_BigTrees01_2022_postfire_immediate_0",0,2256.25
"309","calaveras_BigTrees01_2022_postfire_immediate_180",1521,9673
"310","calaveras_BigTrees01_2022_postfire_immediate_270",0,324
"311","Calaveras_BigTrees02_2020_prefire_NA_180",1936,256
"312","Calaveras_BigTrees02_2020_prefire_NA_270",919.84,3364
