project,site,plotid,observer,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,offset_dist_direction,notes,burnpile_ht_m
CPFMP,modoc,MOD043,mm,2021,prefire,,W,0,2,2,3,11.3,34,15,0,0,1.8,2,0,1,0.8,,,,
CPFMP,modoc,MOD046,mm,2021,prefire,,N,0,2,2,3,11.3,1,5,0,3.2,6.9,7.7,2.2,8.2,8.4,,,,
CPFMP,modoc,MOD046,mm,2021,prefire,,S,0,2,2,3,11.3,8,15,1,2.7,5.6,6.3,0.8,5.6,5,,,,
CPFMP,modoc,MOD046,mm,2021,prefire,,E,0,2,2,3,11.3,1,1,0,3.6,8.2,8.2,3.3,8.7,8.8,,,,
CPFMP,modoc,MOD046,mm,2021,prefire,,W,0,2,2,3,11.3,0,0,0,4,9.6,10.1,2.3,6.6,6.9,,,,
CPFMP,modoc,MOD047,mm,2021,prefire,,N,0,2,2,3,11.3,67,3,1,0,3.8,4.8,0,1.9,3.6,,,,
CPFMP,modoc,MOD047,mm,2021,prefire,,S,0,2,2,3,11.3,88,4,1,1.5,5.5,4.6,2.5,8.1,4.8,,,,
CPFMP,modoc,MOD047,mm,2021,prefire,,E,0,2,2,3,11.3,51,10,0,2.5,7.7,6.2,5.5,6,6.5,,,,
CPFMP,modoc,MOD047,mm,2021,prefire,,W,0,2,2,3,11.3,2,2,0,0,3.4,2.2,0,1.6,2.2,,,,
CPFMP,BearMountain,BM1,mv,2021,postfire,2yr,N,0,2,2,3,11.3,0,4,1,0,4.7,3.6,0,2,2.3,,,,
CPFMP,BearMountain,BM1,mv,2021,postfire,2yr,S,0,2,2,3,11.3,3,0,0,0,1.1,0.7,0,0.7,1.4,,,,
CPFMP,BearMountain,BM1,mv,2021,postfire,2yr,E,0,2,2,3,11.3,0,1,0,0,0.5,0.6,0,0.5,0.3,,,,
CPFMP,BearMountain,BM1,mv,2021,postfire,2yr,W,0,2,2,3,11.3,1,2,0,0,4,2.8,0,3.1,3.5,,,,
CPFMP,BearMountain,BM1,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,2,0,2,3,,0,4,,,,,
CPFMP,BearMountain,BM1,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,3,3,1,0,0.05,,0.05,1.5,,,,,
CPFMP,BearMountain,BM1,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,5,4,0,0,2,,0,1,,,,,
CPFMP,BearMountain,BM1,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,2,1,0,0,1,,0,2,,,,,
CPFMP,BearMountain,BM10,mv,2021,postfire,2yr,N,0,2,2,3,11.3,0,2,0,0,0.5,1.9,0,6,4,,,,
CPFMP,BearMountain,BM10,mv,2021,postfire,2yr,S,0,2,2,3,11.3,2,2,2,0,2,0.8,0,1.4,1.8,,,,
CPFMP,BearMountain,BM10,mv,2021,postfire,2yr,E,0,2,2,3,11.3,2,1,1,0,0.5,0.6,0,3.6,3.9,,,,
CPFMP,BearMountain,BM10,mv,2021,postfire,2yr,W,0,2,2,3,11.3,6,2,0,0,1.5,1.4,0,0.5,1.3,,,,
CPFMP,BearMountain,BM10,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,0,0,2,0.05,2.5,,0,2,,,,,
CPFMP,BearMountain,BM10,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,0,0,1,0,1.5,,0,0.05,,,,,
CPFMP,BearMountain,BM10,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,2,0,1,0,0,,0,1.9,,,,,
CPFMP,BearMountain,BM10,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,0,0,0,0.05,1,,0.5,1,,,,,
CPFMP,BearMountain,BM11,mv,2021,postfire,2yr,N,0,2,2,3,11.3,11,0,0,0,0,0.3,0,1,1.1,,,,
CPFMP,BearMountain,BM11,mv,2021,postfire,2yr,S,0,2,2,3,11.3,8,0,0,0,0.5,1.1,0,1.5,1.5,,,,
CPFMP,BearMountain,BM11,mv,2021,postfire,2yr,E,0,2,2,3,11.3,24,3,2,0,1.3,1.2,0,3,1.8,,,,
CPFMP,BearMountain,BM11,mv,2021,postfire,2yr,W,0,2,2,3,11.3,9,2,0,0,0,0.3,0,3,2.3,,,,
CPFMP,BearMountain,BM11,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,2,0,0,0.05,0.05,,0,0.05,,,,,
CPFMP,BearMountain,BM11,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,12,0,0,0,0.5,,0,0.5,,,,,
CPFMP,BearMountain,BM11,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,4,2,1,0,2,,0,1,,,,,
CPFMP,BearMountain,BM11,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,5,1,0,0.05,2,,0.05,0.05,,,,,
CPFMP,BearMountain,BM12,mv,2021,postfire,2yr,N,0,2,2,3,11.3,1,0,0,0,2.9,3,0,1.4,1.7,,,,
CPFMP,BearMountain,BM12,mv,2021,postfire,2yr,S,0,2,2,3,11.3,0,2,0,0,3.7,2.4,0,3.7,2.6,,,,
CPFMP,BearMountain,BM12,mv,2021,postfire,2yr,E,0,2,2,3,11.3,12,4,1,0,0.5,0.8,0,3,3,,,,
CPFMP,BearMountain,BM12,mv,2021,postfire,2yr,W,0,2,2,3,11.3,4,0,0,0,1,1.8,0,8.5,5,,,,
CPFMP,BearMountain,BM12,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,2,1,1,0,2,,0,0,,,,,
CPFMP,BearMountain,BM12,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,0,4,0,0,0.05,,0.05,0.05,,,,,
CPFMP,BearMountain,BM12,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,2,4,0,0,1,,0,1,,,,,
CPFMP,BearMountain,BM12,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,4,3,0,0,2,,0,2,,,,,
CPFMP,BearMountain,BM13,mv,2021,postfire,2yr,N,0,2,2,3,11.3,2,2,2,0,2.8,1.2,0,0.2,0.5,,,,
CPFMP,BearMountain,BM13,mv,2021,postfire,2yr,S,0,2,2,3,11.3,1,2,0,0,0.5,0.7,0,0.5,0.6,,,,
CPFMP,BearMountain,BM13,mv,2021,postfire,2yr,E,0,2,2,3,11.3,5,0,0,0,0.4,0.6,0,0.6,1.2,,,,
CPFMP,BearMountain,BM13,mv,2021,postfire,2yr,W,0,2,2,3,11.3,0,4,0,0,1.8,4.5,0,1.1,1,,,,
CPFMP,BearMountain,BM13,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,2,0,0,0,0,,0.05,2,,,,,
CPFMP,BearMountain,BM13,"RH, MS",2019,postfire,immediate,180,,2,2,4,11.3,3,3,0,0,0.05,,0,0.05,,,,,
CPFMP,BearMountain,BM13,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,2,0,0,0,0.05,,0,1,,,,,
CPFMP,BearMountain,BM13,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,1,4,0,0,2,,0,0.05,,,,,
CPFMP,BearMountain,BM14,mv,2021,postfire,2yr,N,0,2,2,3,11.3,4,8,0,0,1.9,3,0,3.4,2.6,,,,
CPFMP,BearMountain,BM14,mv,2021,postfire,2yr,S,0,2,2,3,11.3,0,1,1,0,0,0,0,0.5,0.6,,,,
CPFMP,BearMountain,BM14,mv,2021,postfire,2yr,E,0,2,2,3,11.3,1,0,0,0,1.6,1.2,0,0.5,1.4,,,,
CPFMP,BearMountain,BM14,mv,2021,postfire,2yr,W,0,2,2,3,11.3,2,1,0,0,0.5,0.3,0,1.4,0.8,,,,
CPFMP,BearMountain,BM14,"RH, MS",2019,postfire,immediate,0,,2,2,4,11.3,20,3,0,0.05,0.05,,0.05,1.5,,,,,
CPFMP,BearMountain,BM14,"RH, MS",2019,postfire,immediate,180,20,2,2,4,11.3,5,1,1,0,0,,0,2,,,,,
CPFMP,BearMountain,BM14,"RH, MS",2019,postfire,immediate,90,,2,2,4,11.3,1,1,0,0,0.05,,0,0.05,,,,,
CPFMP,BearMountain,BM14,"RH, MS",2019,postfire,immediate,270,,2,2,4,11.3,2,0,0,0,0.05,,0.05,1,,,,,
