site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,project,burnpile_ht_m,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth
Antelope,Antelope08,2020,prefire,,180,0,2,2,4,11.3,1,3,1,4,1,21.8,0,1,19.3,,,CPFMP,,,,12.9,0.5,10.15,Antelope_Antelope08_2020_prefire_NA_180
Antelope,Antelope08,2020,prefire,,270,0,2,2,4,11.3,0,5,1,5.5,7,9,0,4,6.5,,,CPFMP,,,,7.25,3.5,5.25,Antelope_Antelope08_2020_prefire_NA_270
Antelope,Antelope08,2020,prefire,,90,0,2,2,4,11.3,0,1,0,0,1.5,3,0,0.25,7.6,,,CPFMP,,,,1.5,0.75,3.925,Antelope_Antelope08_2020_prefire_NA_90
Antelope,Antelope09,2020,prefire,,0,0,2,2,4,11.3,8,1,0,2.4,6.3,7,0,4.8,5,,,CPFMP,,,,4.7,3.15,4.9,Antelope_Antelope09_2020_prefire_NA_0
Antelope,Antelope09,2020,prefire,,180,0,2,2,4,11.3,4,4,1,3.2,1.8,8.2,0,1.2,0.8,,,CPFMP,,,,5.7,0.9,1,Antelope_Antelope09_2020_prefire_NA_180
Antelope,Antelope09,2020,prefire,,270,0,2,2,4,11.3,5,1,0,0,1.5,1,0,0.3,0.5,,,CPFMP,,,,0.5,0.75,0.4,Antelope_Antelope09_2020_prefire_NA_270
Antelope,Antelope09,2020,prefire,,90,0,2,2,4,11.3,2,0,0,2.7,6.4,7.3,0,1.5,1.2,,,CPFMP,,,,5,3.2,1.35,Antelope_Antelope09_2020_prefire_NA_90
Antelope,Antelope10,2020,prefire,,0,0,2,2,4,11.3,1,2,1,0,9.5,27.5,0,0,0.3,,,CPFMP,,,,13.75,4.75,0.15,Antelope_Antelope10_2020_prefire_NA_0
Antelope,Antelope10,2020,prefire,,180,0,2,2,4,11.3,0,0,0,1,27,33.3,13.5,8.5,20.3,,,CPFMP,,,,17.15,20.25,14.4,Antelope_Antelope10_2020_prefire_NA_180
Antelope,Antelope10,2020,prefire,,270,0,2,2,4,11.3,0,0,0,0,0,0.2,0,0,11.7,,,CPFMP,,,,0.1,0,5.85,Antelope_Antelope10_2020_prefire_NA_270
Antelope,Antelope10,2020,prefire,,90,0,2,2,4,11.3,0,0,0,0,1,3.8,0,8,9.8,,,CPFMP,,,,1.9,0.5,8.9,Antelope_Antelope10_2020_prefire_NA_90
Antelope,Antelope11,2020,prefire,,0,0,2,2,4,11.3,0,1,0,0.5,0.3,0.5,3.4,1,4,,,CPFMP,,,,0.5,1.85,2.5,Antelope_Antelope11_2020_prefire_NA_0
Antelope,Antelope11,2020,prefire,,180,0,2,2,4,11.3,1,0,0,0,6.9,7,0,4,4.2,,,CPFMP,,,,3.5,3.45,4.1,Antelope_Antelope11_2020_prefire_NA_180
Antelope,Antelope11,2020,prefire,,270,0,2,2,4,11.3,0,1,0,0.5,2.2,2.7,0,0,0.3,,,CPFMP,,,,1.6,1.1,0.15,Antelope_Antelope11_2020_prefire_NA_270
Antelope,Antelope11,2020,prefire,,90,0,2,2,4,11.3,0,0,0,0,1.5,1.8,0,5.4,6.3,,,CPFMP,,,,0.9,0.75,5.85,Antelope_Antelope11_2020_prefire_NA_90
Antelope,Antelope12,2020,prefire,,0,0,2,2,4,11.3,1,0,1,0,4,15.3,0.5,4.5,16.3,,,CPFMP,,,,7.65,2.25,10.4,Antelope_Antelope12_2020_prefire_NA_0
Antelope,Antelope12,2020,prefire,,180,0,2,2,4,11.3,5,11,2,0,1.5,6.9,0,4.5,8.7,,,CPFMP,,,,3.45,0.75,6.6,Antelope_Antelope12_2020_prefire_NA_180
Antelope,Antelope12,2020,prefire,,270,0,2,2,4,11.3,0,0,0,2,3.5,18.2,0,5,28,,,CPFMP,,,,10.1,1.75,16.5,Antelope_Antelope12_2020_prefire_NA_270
Antelope,Antelope12,2020,prefire,,90,0,2,2,4,11.3,0,0,0,0,4.5,29.3,0,6,11.3,,,CPFMP,,,,14.65,2.25,8.65,Antelope_Antelope12_2020_prefire_NA_90
Antelope,Antelope13,2020,prefire,,0,0,2,2,4,11.3,0,0,3,0,2.7,2.3,0,0.3,0.5,,,CPFMP,,,,1.15,1.35,0.4,Antelope_Antelope13_2020_prefire_NA_0
Antelope,Antelope13,2020,prefire,,180,0,2,2,4,11.3,1,1,0,0,4.2,4,0,3.7,4,,,CPFMP,,,,2,2.1,3.85,Antelope_Antelope13_2020_prefire_NA_180
