plot_id,fuel_size,mass,treatment_type
springs1,mass_1hr,0.0145326819512195,control
springs1,mass_10hr,1.18210374878049,control
springs1,mass_100hr,1.10679365853659,control
springs1,mass_cwd_sound,1.18080331260139,control
springs1,mass_cwd_rotten,0,control
springs10,mass_1hr,0.0726634097560976,control
springs10,mass_10hr,0.278142058536585,control
springs10,mass_100hr,0.553396829268293,control
springs10,mass_cwd_sound,0.386307537333736,control
springs10,mass_cwd_rotten,5.52299057208809,control
springs11,mass_1hr,0.0181658524390244,2007rx
springs11,mass_10hr,1.11256823414634,2007rx
springs11,mass_100hr,2.76698414634146,2007rx
springs11,mass_cwd_sound,2.82567553038924,2007rx
springs11,mass_cwd_rotten,0,2007rx
springs12,mass_1hr,0.0475909711159655,2007rx
springs12,mass_10hr,0.903961690243902,2007rx
springs12,mass_100hr,1.10679365853659,2007rx
springs12,mass_cwd_sound,2.73336153330857,2007rx
springs12,mass_cwd_rotten,0.081486746156335,2007rx
springs13,mass_1hr,0.0508643868292683,2007rx
springs13,mass_10hr,0.903961690243902,2007rx
springs13,mass_100hr,5.53396829268293,2007rx
springs13,mass_cwd_sound,10.2424312867324,2007rx
springs13,mass_cwd_rotten,0.439123020807549,2007rx
springs14,mass_1hr,0.0435980458536585,2007rx
springs14,mass_10hr,0.973497204878049,2007rx
springs14,mass_100hr,1.10679365853659,2007rx
springs14,mass_cwd_sound,0,2007rx
springs14,mass_cwd_rotten,0,2007rx
springs15,mass_1hr,0.058130727804878,2007rx
springs15,mass_10hr,0.903961690243902,2007rx
springs15,mass_100hr,4.98057146341464,2007rx
springs15,mass_cwd_sound,0.048288442166717,2007rx
springs15,mass_cwd_rotten,0,2007rx
springs16,mass_1hr,0.0254321934146341,2007rx
springs16,mass_10hr,0.76489066097561,2007rx
springs16,mass_100hr,1.38349207317073,2007rx
springs16,mass_cwd_sound,0,2007rx
springs16,mass_cwd_rotten,0,2007rx
springs17,mass_1hr,0.00363317048780488,2007rx
springs17,mass_10hr,0.347677573170732,2007rx
springs17,mass_100hr,1.10679365853659,2007rx
springs17,mass_cwd_sound,0,2007rx
springs17,mass_cwd_rotten,0,2007rx
springs18,mass_1hr,0.0472312163414634,control
springs18,mass_10hr,0.973497204878049,control
springs18,mass_100hr,1.93688890243902,control
springs18,mass_cwd_sound,1.1515661696277,control
springs18,mass_cwd_rotten,0,control
springs19,mass_1hr,0.0108995114634146,control
springs19,mass_10hr,0.278142058536585,control
springs19,mass_100hr,1.93688890243902,control
springs19,mass_cwd_sound,1.07894487956523,control
springs19,mass_cwd_rotten,0.282940090820608,control
springs2,mass_1hr,0.14169364902439,control
springs2,mass_10hr,0.695355146341463,control
springs2,mass_100hr,1.93688890243902,control
springs2,mass_cwd_sound,0.0709915550439402,control
springs2,mass_cwd_rotten,0.935965820580604,control
springs20,mass_1hr,0.0254321934146342,control
springs20,mass_10hr,0.903961690243902,control
springs20,mass_100hr,1.66019048780488,control
springs20,mass_cwd_sound,0.645435390093358,control
springs20,mass_cwd_rotten,0.451804395850084,control
springs21,mass_1hr,0.0363317048780488,control
springs21,mass_10hr,0.556284117073171,control
springs21,mass_100hr,1.10679365853659,control
springs21,mass_cwd_sound,1.16571317437562,control
springs21,mass_cwd_rotten,0.818262742653197,control
springs22,mass_1hr,0.0653970687804878,control
springs22,mass_10hr,1.11256823414634,control
springs22,mass_100hr,1.66019048780488,control
springs22,mass_cwd_sound,0.393098099513431,control
springs22,mass_cwd_rotten,0.0565880181641215,control
springs23,mass_1hr,0.00363317048780488,control
springs23,mass_10hr,0.417213087804878,control
springs23,mass_100hr,0.276698414634146,control
springs23,mass_cwd_sound,0,control
springs23,mass_cwd_rotten,0,control
springs24,mass_1hr,0.00726634097560976,control
springs24,mass_10hr,0.208606543902439,control
springs24,mass_100hr,0.553396829268293,control
springs24,mass_cwd_sound,0.196171796302288,control
springs24,mass_cwd_rotten,0,control
springs25,mass_1hr,0.101728773658537,control
springs25,mass_10hr,1.25163926341463,control
springs25,mass_100hr,0.276698414634146,control
springs25,mass_cwd_sound,0,control
springs25,mass_cwd_rotten,1.37225944062598,control
springs26,mass_1hr,0.0617638982926829,2010rx
springs26,mass_10hr,1.8079233804878,2010rx
springs26,mass_100hr,1.38349207317073,2010rx
springs26,mass_cwd_sound,0.745830079378783,2010rx
springs26,mass_cwd_rotten,0,2010rx
springs27,mass_1hr,0.112628285121951,2010rx
springs27,mass_10hr,1.11256823414634,2010rx
springs27,mass_100hr,0,2010rx
springs27,mass_cwd_sound,0,2010rx
springs27,mass_cwd_rotten,0,2010rx
springs28,mass_1hr,0.0217990229268293,2010rx
springs28,mass_10hr,0.0695355146341463,2010rx
springs28,mass_100hr,1.93688890243902,2010rx
springs28,mass_cwd_sound,0,2010rx
springs28,mass_cwd_rotten,0,2010rx
