plot_id,treatment_type,fuel_size,mass
springs1,control,mass_1hr,0.00726634097560976
springs1,control,mass_10hr,0.278142058536585
springs1,control,mass_100hr,0
springs1,control,mass_cwd_sound,1.80025348452792
springs1,control,mass_cwd_rotten,0
springs1,control,total_fuel,2.08566188404012
springs11,2007rx,mass_1hr,0
springs11,2007rx,mass_10hr,0.695355146341463
springs11,2007rx,mass_100hr,1.10679365853659
springs11,2007rx,mass_cwd_sound,0.419520931461531
springs11,2007rx,mass_cwd_rotten,0
springs11,2007rx,total_fuel,2.22166973633958
springs12,2007rx,mass_1hr,0.00733829193051018
springs12,2007rx,mass_10hr,0.55766119164047
springs12,2007rx,mass_100hr,1.10679365853659
springs12,2007rx,mass_cwd_sound,0.218052496659082
springs12,2007rx,mass_cwd_rotten,0
springs12,2007rx,total_fuel,1.88984563876665
springs13,2007rx,mass_1hr,0.00726634097560976
springs13,2007rx,mass_10hr,0.486748602439024
springs13,2007rx,mass_100hr,1.10679365853659
springs13,2007rx,mass_cwd_sound,0.743943812130984
springs13,2007rx,mass_cwd_rotten,0
springs13,2007rx,total_fuel,2.34475241408221
springs14,2007rx,mass_1hr,0
springs14,2007rx,mass_10hr,0.486748602439024
springs14,2007rx,mass_100hr,1.38349207317073
springs14,2007rx,mass_cwd_sound,3.20743904981876
springs14,2007rx,mass_cwd_rotten,0
springs14,2007rx,total_fuel,5.07767972542851
springs15,2007rx,mass_1hr,0.0920403190243903
springs15,2007rx,mass_10hr,0.741712156097561
springs15,2007rx,mass_100hr,1.84465609756098
springs15,2007rx,mass_cwd_sound,0
springs15,2007rx,mass_cwd_rotten,0
springs15,2007rx,total_fuel,2.67840857268293
springs16,2007rx,mass_1hr,0.0217990229268293
springs16,2007rx,mass_10hr,0.834426175609756
springs16,2007rx,mass_100hr,0.830095243902439
springs16,2007rx,mass_cwd_sound,0
springs16,2007rx,mass_cwd_rotten,0.509292163477094
springs16,2007rx,total_fuel,2.19561260591612
springs17,2007rx,mass_1hr,0.00726634097560976
springs17,2007rx,mass_10hr,0.834426175609756
springs17,2007rx,mass_100hr,1.93688890243902
springs17,2007rx,mass_cwd_sound,0.833730134284724
springs17,2007rx,mass_cwd_rotten,0
springs17,2007rx,total_fuel,3.61231155330911
springs18,control,mass_1hr,0.029065363902439
springs18,control,mass_10hr,0.139071029268293
springs18,control,mass_100hr,0.276698414634146
springs18,control,mass_cwd_sound,1.17703077781373
springs18,control,mass_cwd_rotten,0
springs18,control,total_fuel,1.62186558561861
springs19,control,mass_1hr,0.0326985343902439
springs19,control,mass_10hr,0.347677573170732
springs19,control,mass_100hr,1.10679365853659
springs19,control,mass_cwd_sound,0.984631516055714
springs19,control,mass_cwd_rotten,0.144865326500151
springs19,control,total_fuel,2.61666660865343
springs2,control,mass_1hr,0.0653970687804878
springs2,control,mass_10hr,0.417213087804878
springs2,control,mass_100hr,1.38349207317073
springs2,control,mass_cwd_sound,0
springs2,control,mass_cwd_rotten,0
springs2,control,total_fuel,1.8661022297561
springs20,control,mass_1hr,0.00726634097560976
springs20,control,mass_10hr,0.0695355146341463
springs20,control,mass_100hr,0.553396829268293
springs20,control,mass_cwd_sound,0
springs20,control,mass_cwd_rotten,0
springs20,control,total_fuel,0.630198684878049
springs21,control,mass_1hr,0.0108995114634146
springs21,control,mass_10hr,0
springs21,control,mass_100hr,0
springs21,control,mass_cwd_sound,0
springs21,control,mass_cwd_rotten,0
springs21,control,total_fuel,0.0108995114634146
springs22,control,mass_1hr,0
springs22,control,mass_10hr,0.834426175609756
springs22,control,mass_100hr,0.830095243902439
springs22,control,mass_cwd_sound,1.20721105416793
springs22,control,mass_cwd_rotten,0
springs22,control,total_fuel,2.87173247368013
springs23,control,mass_1hr,0.0435980458536585
springs23,control,mass_10hr,0.695355146341463
springs23,control,mass_100hr,0.276698414634146
springs23,control,mass_cwd_sound,0
springs23,control,mass_cwd_rotten,0
springs23,control,total_fuel,1.01565160682927
springs24,control,mass_1hr,0.0217990229268293
springs24,control,mass_10hr,0.417213087804878
springs24,control,mass_100hr,0.276698414634146
springs24,control,mass_cwd_sound,0
springs24,control,mass_cwd_rotten,0
springs24,control,total_fuel,0.715710525365853
springs25,control,mass_1hr,0
springs25,control,mass_10hr,0.278142058536585
springs25,control,mass_100hr,0.830095243902439
springs25,control,mass_cwd_sound,0
springs25,control,mass_cwd_rotten,0
springs25,control,total_fuel,1.10823730243902
springs26,2010rx,mass_1hr,0.0363317048780488
springs26,2010rx,mass_10hr,0.417213087804878
springs26,2010rx,mass_100hr,0.553396829268293
springs26,2010rx,mass_cwd_sound,0.589762840329504
springs26,2010rx,mass_cwd_rotten,0
springs26,2010rx,total_fuel,1.59670446228072
springs27,2010rx,mass_1hr,0.0108995114634146
springs27,2010rx,mass_10hr,0.278142058536585
springs27,2010rx,mass_100hr,0
springs27,2010rx,mass_cwd_sound,0
springs27,2010rx,mass_cwd_rotten,0
springs27,2010rx,total_fuel,0.28904157
springs28,2010rx,mass_1hr,0
springs28,2010rx,mass_10hr,0.0695355146341463
springs28,2010rx,mass_100hr,0
springs28,2010rx,mass_cwd_sound,0
springs28,2010rx,mass_cwd_rotten,0
springs28,2010rx,total_fuel,0.0695355146341463
springs29,2010rx,mass_1hr,0.0108995114634146
springs29,2010rx,mass_10hr,0.834426175609756
springs29,2010rx,mass_100hr,0
springs29,2010rx,mass_cwd_sound,0
springs29,2010rx,mass_cwd_rotten,0
springs29,2010rx,total_fuel,0.845325687073171
springs3,control,mass_1hr,0.00363317048780488
