Site,year,plot_id,species_id,status,lifeform,layer_code,percent,notes
lakesdistrict,2019,burton14,abco,dead,TR,TOV,tr,
lakesdistrict,2019,burton14,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton14,abma,live,TR,TOV,5,
lakesdistrict,2019,burton14,apan,live,SH,SL,0.5,
lakesdistrict,2019,burton14,arpa,live,SH,SL,0.5,
lakesdistrict,2019,burton14,arpa,live,SH,SM,0.5,
lakesdistrict,2019,burton14,ceco,live,SH,SL,tr,
lakesdistrict,2019,burton14,ceco,live,SH,SM,tr,
lakesdistrict,2019,burton14,cepr,live,SH,SL,2,
lakesdistrict,2019,burton14,chrsem,live,SH,SL,0.5,
lakesdistrict,2019,burton14,chrsem,live,SH,SM,0.5,
lakesdistrict,2019,burton14,ortsec,live,FB,,tr,
lakesdistrict,2019,burton14,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton14,pije,live,TR,TOV,4,
lakesdistrict,2019,burton14,pila,live,TR,TOV,6,
lakesdistrict,2019,burton14,pila,dead,TR,TOV,tr,
lakesdistrict,2019,burton14,pila,live,TR,TSE,tr,
lakesdistrict,2019,burton14,prem,live,SH,SL,0.5,
lakesdistrict,2019,burton14,prem,live,SH,SL,1.5,
lakesdistrict,2019,burton14,ptan,live,FB,,tr,
lakesdistrict,2019,burton14,pypi,live,FB,,tr,
lakesdistrict,2019,burton14,quva,live,SH,SL,6,
lakesdistrict,2019,burton14,quva,live,SH,SM,5,
lakesdistrict,2019,burton14,symo,live,SH,SL,1.5,
lakesdistrict,2019,burton14,syro,live,SH,SL,tr,
lakesdistrict,2019,burton14,syro,live,SH,SM,tr,
lakesdistrict,2019,burton15,abco,live,TR,TOV,31,
lakesdistrict,2019,burton15,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton15,abma,live,TR,TOV,10,
lakesdistrict,2019,burton15,abma,live,TR,TSE,tr,
lakesdistrict,2019,burton15,apan,live,SH,SL,tr,
lakesdistrict,2019,burton15,arne,live,SH,SL,0.5,
lakesdistrict,2019,burton15,cepr,live,SH,SL,tr,
lakesdistrict,2019,burton15,gaydif,live,FB,,tr,
lakesdistrict,2019,burton15,ortsec,live,FB,,tr,
lakesdistrict,2019,burton15,pije,live,TR,TOV,5,
lakesdistrict,2019,burton15,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton15,pila,live,TR,TOV,4,
lakesdistrict,2019,burton15,pila,live,TR,TSE,tr,
lakesdistrict,2019,burton16,abco,live,TR,TOV,15,
lakesdistrict,2019,burton16,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton16,abco,live,TR,TSA,0.5,
lakesdistrict,2019,burton16,abma,live,TR,TOV,7,
lakesdistrict,2019,burton16,abma,live,TR,TSE,tr,
lakesdistrict,2019,burton16,amut,live,SH,SL,tr,
lakesdistrict,2019,burton16,amut,live,SH,SM,tr,
lakesdistrict,2019,burton16,arne,live,SH,SL,tr,
lakesdistrict,2019,burton16,arpa,live,SH,SL,tr,
lakesdistrict,2019,burton16,arpa,live,SH,SM,tr,
lakesdistrict,2019,burton16,ceco,live,SH,SL,4,
lakesdistrict,2019,burton16,ceco,live,SH,SM,3,
lakesdistrict,2019,burton16,cepr,live,SH,SL,30,
lakesdistrict,2019,burton16,chum,live,FB,,tr,
lakesdistrict,2019,burton16,cormac,live,FB,,tr,
lakesdistrict,2019,burton16,elel,live,GR,,tr,
lakesdistrict,2019,burton16,gaydif,live,FB,,tr,
lakesdistrict,2019,burton16,lupalf,live,FB,,0.5,
lakesdistrict,2019,burton16,lupbre,live,FB,,tr,
lakesdistrict,2019,burton16,monodo,live,FB,,tr,
lakesdistrict,2019,burton16,pije,live,TR,TOV,3,
lakesdistrict,2019,burton16,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton16,potgla,live,FB,,tr,
lakesdistrict,2019,burton16,ptan,live,FB,,tr,
lakesdistrict,2019,burton16,pypi,live,FB,,tr,
lakesdistrict,2019,burton16,quva,live,SH,SL,tr,
lakesdistrict,2019,burton16,quva,live,SH,SM,tr,
lakesdistrict,2019,burton16,rice,live,SH,SL,0.5,
lakesdistrict,2019,burton16,rice,live,SH,SM,0.5,
lakesdistrict,2019,burton16,riro,live,SH,SL,tr,
lakesdistrict,2019,burton16,symo ,live,SH,SL,tr,
lakesdistrict,2019,burton16,,live,FB,,tr,left blank
lakesdistrict,2019,burton17,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton17,abco,dead,TR,TOV,0.5,
lakesdistrict,2019,burton17,abco,live,TR,TOV,30,
lakesdistrict,2019,burton17,abma,live,TR,TSE,tr,
lakesdistrict,2019,burton17,arne,live,SH,SL,,
lakesdistrict,2019,burton17,cepr,live,SH,SL,1.5,
lakesdistrict,2019,burton17,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton17,pypi,live,FB,,tr,
lakesdistrict,2019,burton17,quva,live,SH,SL,0.5,
lakesdistrict,2019,burton17,quva,live,SH,SM,0.5,
lakesdistrict,2019,burton17,symo,live,SH,SL,0.5,
lakesdistrict,2019,burton18,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton18,abco,live,TR,TOV,28,
lakesdistrict,2019,burton18,abco,dead,TR,TOV,tr,
lakesdistrict,2019,burton18,abco,live,TR,TSA,tr,
lakesdistrict,2019,burton18,amut,live,SH,SL,0.5,
lakesdistrict,2019,burton18,amut,live,SH,SM,tr,
lakesdistrict,2019,burton18,arne,live,SH,SL,tr,
lakesdistrict,2019,burton18,cepr,live,SH,SL,1,
lakesdistrict,2019,burton18,chrsem,live,SH,SL,0.5,
lakesdistrict,2019,burton18,chum,live,FB,,tr,
lakesdistrict,2019,burton18,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton18,pije,live,TR,TOV,14,
lakesdistrict,2019,burton18,prem,live,SH,SL,5,
lakesdistrict,2019,burton18,prem,live,SH,SM,5,
lakesdistrict,2019,burton18,prem,live,SH,ST,0.5,
lakesdistrict,2019,burton18,ptan,live,FB,,tr,
lakesdistrict,2019,burton18,quva,live,SH,SL,35,
lakesdistrict,2019,burton18,quva,live,SH,SM,28,
lakesdistrict,2019,burton18,rice,live,SH,SL,tr,
lakesdistrict,2019,burton18,rice,live,SH,SM,tr,
lakesdistrict,2019,burton18,symo,live,SH,SL,2,
lakesdistrict,2019,burton19,abco,live,TR,TSE,1,
lakesdistrict,2019,burton19,abco,live,TR,TSA,3,
lakesdistrict,2019,burton19,abco,live,TR,TOV,61,
lakesdistrict,2019,burton19,acgl,live,TR,TSE,tr,
lakesdistrict,2019,burton19,apan,live,SH,SL,tr,
lakesdistrict,2019,burton19,arahol,live,FB,,tr,
lakesdistrict,2019,burton19,arco,live,FB,,tr,
lakesdistrict,2019,burton19,arco,dead,FB,,tr,
lakesdistrict,2019,burton19,arne,live,SH,SL,6.5,
lakesdistrict,2019,burton19,casapp,live,FB,,tr,
lakesdistrict,2019,burton19,ceco,live,SH,SL,tr,
lakesdistrict,2019,burton19,ceco,live,SH,SM,tr,
lakesdistrict,2019,burton19,cepr,live,SH,SL,13,
lakesdistrict,2019,burton19,elci,live,GR,,tr,
lakesdistrict,2019,burton19,elel,live,GR,,tr,
lakesdistrict,2019,burton19,erinud,live,GR,,tr,
lakesdistrict,2019,burton19,hial,live,FB,,tr,
lakesdistrict,2019,burton19,monodo,live,FB,,tr,
lakesdistrict,2019,burton19,monspp,live,FB,,tr,
lakesdistrict,2019,burton19,monspp,live,FB,,tr,
lakesdistrict,2019,burton19,penpar,live,FB,,tr,
lakesdistrict,2019,burton19,pese,live,FB,,tr,
lakesdistrict,2019,burton19,ptan,live,FB,,tr,
lakesdistrict,2019,burton19,pypi,live,FB,,tr,
lakesdistrict,2019,burton19,rice,live,SH,SL,0.5,
lakesdistrict,2019,burton19,rice,live,SH,SM,tr,
lakesdistrict,2019,burton19,riro,live,SH,SL,tr,
lakesdistrict,2019,burton19,symo,live,SH,SL,tr,
lakesdistrict,2019,burton19,syro,live,SH,SL,tr,
lakesdistrict,2019,burton19,syro,live,SH,SM,tr,
lakesdistrict,2019,burton19,wymo,live,FB,,tr,
lakesdistrict,2019,burton2,abco,live,TR,TOV,46,
lakesdistrict,2019,burton2,abco,live,TR,TSE,4,
lakesdistrict,2019,burton2,abco,dead,TR,TOV,0.5,
lakesdistrict,2019,burton2,abco,live,TR,TSA,tr,
lakesdistrict,2019,burton2,abma,dead,TR,TOV,0.5,
lakesdistrict,2019,burton2,abma,live,TR,TOV,4,
lakesdistrict,2019,burton2,abma,live,TR,TSE,tr,
lakesdistrict,2019,burton2,arahol,live,FB,,tr,
lakesdistrict,2019,burton2,arne,live,SH,SL,tr,
lakesdistrict,2019,burton2,ceco,live,SH,SL,0.5,
lakesdistrict,2019,burton2,ceco,live,SH,SM,0.5,
lakesdistrict,2019,burton2,cepr,live,SH,SL,12,
lakesdistrict,2019,burton2,chme,live,FB,,tr,
lakesdistrict,2019,burton2,chum,live,FB,,tr,
lakesdistrict,2019,burton2,cormac,live,FB,,tr,
lakesdistrict,2019,burton2,gaydif,live,FB,,tr,
lakesdistrict,2019,burton2,phahas,live,FB,,tr,
lakesdistrict,2019,burton2,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton2,pila,live,TR,TSE,tr,
lakesdistrict,2019,burton2,pypi,live,FB,,tr,
lakesdistrict,2019,burton2,quva,live,SH,SL,tr,
lakesdistrict,2019,burton2,rine,live,SH,SL,tr,
lakesdistrict,2019,burton2,riro,live,SH,SL,tr,
lakesdistrict,2019,burton2,stla,live,FB,,tr,
lakesdistrict,2019,burton20,abco,live,TR,TSE,tr,
lakesdistrict,2019,burton20,abco,live,TR,TOV,,
lakesdistrict,2019,burton20,amut,live,SH,SL,tr,
lakesdistrict,2019,burton20,amut,live,SH,SM,tr,
lakesdistrict,2019,burton20,arahol,live,FB,,tr,
lakesdistrict,2019,burton20,arne,live,SH,SL,1,
lakesdistrict,2019,burton20,cade,live,TR,TSA,tr,
lakesdistrict,2019,burton20,cade,live,TR,TOV,,
lakesdistrict,2019,burton20,cepa,live,SH,SL,,
lakesdistrict,2019,burton20,coltor,live,FB,,tr,
lakesdistrict,2019,burton20,elci,live,GR,,tr,
lakesdistrict,2019,burton20,elel,live,GR,,tr,
lakesdistrict,2019,burton20,gaydif,live,FB,,tr,
lakesdistrict,2019,burton20,lupbre,live,FB,,tr,
lakesdistrict,2019,burton20,monodo,live,FB,,tr,
lakesdistrict,2019,burton20,penpar,live,FB,,tr,
lakesdistrict,2019,burton20,ptan,live,FB,,tr,
lakesdistrict,2019,burton20,quva,live,SH,SL,1,
lakesdistrict,2019,burton20,quva,live,SH,SM,1,
lakesdistrict,2019,burton20,sasa,live,FB,,tr,
lakesdistrict,2019,burton20,sile,live,FB,,tr,
lakesdistrict,2019,burton20,symo,live,SH,SL,tr,
lakesdistrict,2019,burton20,wyan,live,FB,,tr,
lakesdistrict,2019,burton21,abco,live,TR,TSE,5,
lakesdistrict,2019,burton21,abco,dead,TR,TSA,tr,
lakesdistrict,2019,burton21,abco,dead,TR,TOV,tr,
lakesdistrict,2019,burton21,abco,live,TR,TOV,60,
lakesdistrict,2019,burton21,apan,live,SH,SL,tr,
lakesdistrict,2019,burton21,arpa,live,SH,SL,tr,
lakesdistrict,2019,burton21,arpa,live,SH,SM,tr,
lakesdistrict,2019,burton21,cepr,live,SH,SL,1,
lakesdistrict,2019,burton21,chrnau,live,FB,,tr,
lakesdistrict,2019,burton21,chum,live,FB,,tr,
lakesdistrict,2019,burton21,penpar,live,FB,,tr,
lakesdistrict,2019,burton21,pije,live,TR,TSE,tr,
lakesdistrict,2019,burton21,pije,live,TR,TOV,20,
lakesdistrict,2019,burton21,ptan,live,FB,,tr,
lakesdistrict,2019,burton21,pypi,live,FB,,tr,
lakesdistrict,2019,burton21,quva,live,SH,SL,7,
