site,year,plot_id,species_id,status,BAF,count,stand_BA_ft2acre
frenchmeadows ,7.13.19,fm10-1,pila,live,40,3,120
frenchmeadows ,7.13.19,fm10-1,abma,live,40,2,80
frenchmeadows ,7.13.19,fm10-1,abco,live,40,1,40
frenchmeadows ,7.13.19,fm10-1,abco,dead,40,1,40
frenchmeadows ,7.15.19,fm10-10,pila,live,40,1,40
frenchmeadows ,7.15.19,fm10-10,abco,live,40,3,120
frenchmeadows ,7.15.19,fm10-10,cade,live,40,2,80
frenchmeadows ,7.15.19,fm10-11,cade,live,20,3,60
frenchmeadows ,7.15.19,fm10-11,pila,live,20,1,20
frenchmeadows ,7.15.19,fm10-11,abco,live,20,4,80
frenchmeadows ,7.16.19,fm10-12,abco,live,40,6,240
frenchmeadows ,7.16.19,fm10-12,cade,live,40,3,120
frenchmeadows ,7.16.19,fm10-12,pila,live,40,1,40
frenchmeadows ,7.16.19,fm10-12,abma,live,40,1,40
frenchmeadows ,7.16.19,fm10-13,pipo,live,10,6,60
frenchmeadows ,7.16.19,fm10-13,abco,live,10,2,20
frenchmeadows ,7.16.19,fm10-13,cade,live,10,1,10
frenchmeadows ,7.16.19,fm10-14,cade,live,40,2,80
frenchmeadows ,7.16.19,fm10-14,cade,dead,40,1,40
frenchmeadows ,7.16.19,fm10-14,abco,live,40,2,80
frenchmeadows ,7.16.19,fm10-14,abma,live,40,4,160
frenchmeadows ,7.16.19,fm10-14,pila,live,40,1,40
frenchmeadows ,7.16.19,fm10-15,pila,live,20,3,60
frenchmeadows ,7.16.19,fm10-15,abco,live,20,1,20
frenchmeadows ,7.16.19,fm10-15,abco,dead,20,2,40
frenchmeadows ,7.16.19,fm10-15,cade,live,20,1,20
frenchmeadows ,7.13.19,fm10-2,abma,live,40,6,240
frenchmeadows ,7.13.19,fm10-2,abco,live,40,2,80
frenchmeadows ,7.13.19,fm10-2,cade,live,40,1,40
frenchmeadows ,7.13.19,fm10-3,cade,live,40,3,120
frenchmeadows ,7.13.19,fm10-3,abco,live,40,2,80
frenchmeadows ,7.13.19,fm10-3,abma,live,40,3,120
frenchmeadows ,7.14.19,fm10-4,cade,live,20,2,40
frenchmeadows ,7.14.19,fm10-4,abco,dead,20,1,20
frenchmeadows ,7.14.19,fm10-4,abco,live,20,4,80
frenchmeadows ,7.14.19,fm10-4,pila,live,20,1,20
frenchmeadows ,7.14.19,fm10-4,cade,live,20,3,60
frenchmeadows ,7.14.19,fm10-4,abco,live,20,2,40
frenchmeadows ,7.14.19,fm10-4,pila,live,20,2,40
frenchmeadows ,7.14.19,fm10-4,abma,dead,20,2,40
frenchmeadows ,7.14.19,fm10-4,abma,live,20,1,20
frenchmeadows ,7.14.19,fm10-6,pila,live,40,4,160
frenchmeadows ,7.14.19,fm10-6,abco,dead,40,3,120
frenchmeadows ,7.14.19,fm10-6,abco,live,40,1,40
frenchmeadows ,7.14.19,fm10-7,abco,live,40,6,240
frenchmeadows ,7.14.19,fm10-7,cade,live,40,2,80
frenchmeadows ,7.15.19,fm10-8,abco,live,20,2,40
frenchmeadows ,7.15.19,fm10-8,pila,live,20,5,100
frenchmeadows ,7.15.19,fm10-9,abco,live,20,4,80
frenchmeadows ,7.15.19,fm10-9,abco,dead,20,2,40
frenchmeadows ,7.15.19,fm10-9,cade,live,20,1,20
frenchmeadows ,7.15.19,fm10-9,pila,live,20,1,20
frenchmeadows ,7.11.19,fm19-1,pipo,live,40,1,40
frenchmeadows ,7.11.19,fm19-1,abco,live,40,3,120
frenchmeadows ,7.11.19,fm19-1,abco,dead,40,1,40
frenchmeadows ,7.11.19,fm19-1,cade,live,40,2,80
frenchmeadows ,7.11.19,fm19-1,cade,dead,40,1,40
frenchmeadows ,7.12.19,fm19-2,abco,live,40,5,40
frenchmeadows ,7.12.19,fm19-2,abco,dead,40,1,40
frenchmeadows ,7.12.19,fm19-2,cade,live,40,1,40
frenchmeadows ,7.11.19,fm19-3,pila,live,40,1,40
frenchmeadows ,7.11.19,fm19-3,abco,live,40,2,80
frenchmeadows ,7.11.19,fm19-3,amba,live,40,3,120
frenchmeadows ,7.11.19,fm19-4,cade,live,40,5,200
frenchmeadows ,7.11.19,fm19-4,abco,live,40,1,40
frenchmeadows ,7.11.19,fm19-4,pije,live,40,2,80
frenchmeadows ,7.11.19,fm19-4,pije,dead,40,1,40
frenchmeadows ,7.12.19,fm19-5,abco,live,20,16,320
frenchmeadows ,7.12.19,fm19-5,abma,live,20,2,40
frenchmeadows ,7.12.19,fm19-6,abco,dead,20,3,60
frenchmeadows ,7.12.19,fm19-6,pije,live,20,4,80
frenchmeadows ,7.12.19,fm19-7,abma,live,40,6,240
frenchmeadows ,7.12.19,fm19-7,abma,dead,40,1,40
frenchmeadows ,7.12.19,fm19-7,pimo,live,40,1,40
frenchmeadows ,7.16.19,fm19-8,cade,live,40,7,280
frenchmeadows ,7.16.19,fm19-8,abco,live,40,3,120
frenchmeadows ,7.25.19,fm19-9,pije,live,20,2,40
frenchmeadows ,7.25.19,fm19-9,cade,live,20,3,60
frenchmeadows ,7.25.19,fm19-9,abma,live,20,1,20
frenchmeadows ,7.25.19,fm19-10,abma,live,40,2,80
frenchmeadows ,7.25.19,fm19-10,abco,live,40,6,240
frenchmeadows ,7.25.19,fm19-10,abco,dead,40,2,80
frenchmeadows ,7.25.19,fm19-10,pila,dead,40,4,160
frenchmeadows ,7.25.19,fm19-11,abco,live,20,3,60
frenchmeadows ,7.25.19,fm19-11,abco,dead,20,2,40
frenchmeadows ,7.25.19,fm19-11,pije,live,20,1,20
frenchmeadows ,7.25.19,fm19-11,pila,live,20,1,20
frenchmeadows ,7.26.19,fm19-12,pije,live,40,2,80
frenchmeadows ,7.26.19,fm19-12,cade,live,40,2,80
frenchmeadows ,7.26.19,fm19-12,abco,live,40,2,80
frenchmeadows ,7.26.19,fm19-12,abco,dead,40,1,40
frenchmeadows ,7.26.19,fm19-13,abco,live,40,4,160
frenchmeadows ,7.26.19,fm19-13,abco,dead,40,1,40
frenchmeadows ,7.26.19,fm19-13,abma,live,40,3,120
frenchmeadows ,10.15.19,fm19-14,cade,live,5,4,20
frenchmeadows ,10.15.19,fm19-14,abco,live,5,1,5
frenchmeadows ,10.15.19,fm19-14,abco,dead,5,1,5
frenchmeadows ,10.15.19,fm19-15,pila,live,40,1,40
frenchmeadows ,10.15.19,fm19-15,abco,live,40,8,320
frenchmeadows ,10.15.19,fm19-15,abco,dead,40,2,80
frenchmeadows ,10.15.19,fm19-16,abco,live,40,6,240
frenchmeadows ,10.15.19,fm19-16,abco,dead,40,1,40
frenchmeadows ,10.15.19,fm19-16,abma,live,40,2,80
frenchmeadows ,10.16.19,fm19-17,pipo,live,20,11,220
frenchmeadows ,10.16.19,fm19-18,abco,live,40,3,120
frenchmeadows ,10.16.19,fm19-18,pipo,live,40,2,80
frenchmeadows ,10.16.19,fm19-18,cade,live,40,1,40
frenchmeadows ,10.16.19,fm19-19,abco,live,10,3,30
frenchmeadows ,10.16.19,fm19-19,cade,live,10,3,30
frenchmeadows ,10.16.19,fm19-19,abco,dead,10,1,10
frenchmeadows ,10.16.19,fm19-19,pila,live,10,1,10
frenchmeadows ,10.16.19,fm19-19,pipo,live,10,1,10
frenchmeadows ,10.17.19,fm19-20,abco,live,40,5,200
frenchmeadows ,10.17.19,fm19-20,abco,dead,40,2,80
frenchmeadows ,10.17.19,fm19-20,pipo,live,40,1,40
frenchmeadows ,10.17.19,fm19-21,abco,live,10,9,90
frenchmeadows ,10.17.19,fm19-21,abma,live,10,1,10
frenchmeadows ,10.17.19,fm19-21,cade,live,10,1,10
frenchmeadows ,10.17.19,fm19-21,abco ,dead,10,2,20
