site,month,day,year,plot_id,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,photos,NOTES
,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
frenchmeadows,7,12,2019,fm19-5,723489,4340820,no,,,,,,,,,,,,,,32,150,LL,LL,BS,100,9,"abco, abma, cade",8,14,81,65,65,19,tr,6,65,19,tr,3,tr,0.02,0,,tr,0.3,0,,0,,0,,tr,0.3,tr,0.1,tr,0.3,tr,96,1,tr,0,tr,1,0,2,0,0,100,yes,tons of Caterpillar  frass!!
frenchmeadows,7,12,2019,fm19-6,723481,4340558,no,,,,,13,93,abco,,,,,,,36,89,LL,LL,SH,100,9,"pije,abco,qmba",7,110,82,60,7,15,tr,5,7,15,tr,1.5,tr,7,0,,45,0.6,tr,0.2,0,,10,0.6,45,0.4,2,0.35,tr,0.2,0,69,tr,tr,10,20,tr,0,1,0,0,100,yes,no cade nearest regen was found
frenchmeadows,7,12,2019,fm19-7,723254,4340475,no,,,,,,,,,,,,,,50,70,LL,LL,BS,100,9,"abma,pimo,quva",8,72,83,65,23,7.9,tr,9,22,7.9,1,3,2,1,0,,40,0.5,0,,0,,10,0.6,40,0.3,tr,0.4,tr,0.3,tr,95,3,tr,tr,1,tr,0,1,0,0,100,yes,
frenchmeadows,7,17,2019,fm19-8,724078,4339760,no,,,,,,,,,,,,,,41,87,LL,LL,BS,100,9,"cade, abco, pije",3.7,5,99,66,65,10,tr,4.5,65,10,1,3,tr,0.02,0,,2,0.4,tr,0.3,0,,1,0.7,2,0.4,tr,0.3,tr,0.3,2,92,3,tr,tr,1,tr,0,2,tr,0,100,yes,
frenchmeadows,7,25,2019,fm19-9,723857,4340162,no,,,,,21.3,215,abco,,,,,,,44,128,LL,LL,BS,100,9,"cade, pije, quva",4.3,1,100,65,25,13,0,,25,13,tr,3,tr,0.02,0,,50,0.7,tr,0.3,0,,30,1,50,0.3,tr,0.1,tr,0.4,tr,94,tr,tr,tr,4,1,0,1,tr,0,100,yes,
frenchmeadows,7,25,2019,fm19-10,723330,4340078,no,,,,,,,,,,,,,,55,126,LL,LL,BS,100,9,"abma,  abco, pila",6,20,1,70,70,28,1,12,70,28,tr,4,tr,0.02,0,,tr,0.4,0,,tr,2.2,tr,0.6,tr,0.3,1,0.4,tr,0.3,0,95.5,2,tr,0,tr,tr,0,2.5,tr,0,100,yes,
frenchmeadows,7,25,2019,fm19-11,723276,4339746,no,,,,,50,207,abma,,,,,,,44,94,LL,LL,BS,100,9,"abco, abma, pije",6,19,2,90,30,15,1,15,28,15,1,2,tr,0.02,0,,75,1,tr,0.2,0,,60,1.2,75,0.4,2,0.6,tr,0.5,tr,95.5,2,tr,0,1,tr,0,1.5,tr,0,100,yes,
frenchmeadows,7,26,2019,fm19-12,723605,4339861,no,,,,,55,155,abma,,,,,,,30,117,LL,LL,BS,100,9,"abco, cade pije",4.4,2,3,70,51,19,1,6.5,51,19,1,1.8,tr,0.02,0,,34,0.4,0,,0,,tr,1.3,20,0.4,2,0.5,tr,0.5,tr,96,2,tr,0,tr,tr,0,2,0,0,100,yes,
frenchmeadows,7,26,2019,fm19-13,723557,4339544,no,,,,,12.1,196,pije,100,54,cade,,,,31,20,LL,LL,SH,100,9,"abco, abma, acgl",2,9,4,70,20,33,tr,33,20,33,2,1.4,2,0.01,0,,16,0.02,0,,0,,1,1.1,16,0.02,2,0.01,tr,0.01,tr,95,3,tr,tr,tr,tr,0,2,0,0,100,yes,
frenchmeadows,10,15,2019,fm19-14,723942,4339489,no,,,,,,,,,,,,,,25,273,LL,LL,BS,100,9,"abco, cade, quva",9.8,42,2182,56,1,4,tr,1.4,1,4,tr,2,1,1,0,,55,0.6,0,,0,,50,0.6,55,0.3,0.5,0.2,tr,0.4,0.5,45,tr,0,0,53,1.5,0,tr,tr,0,100,yes,
frenchmeadows,10,15,2019,fm19-15,723580,4339208,no,,,,,,,,,,,,,,31,157,LL,LL,SH,100,9,"abco,pila,pipo",6,41,2186,87.5,85,23,5,32,80,23,5,2,tr,0.45,0,,2.5,0.35,0,,0,,2,0.55,2.5,0.4,tr,0.25,tr,0.45,1,69,25,1.5,0,tr,0.5,0,3,0,0,100,yes,
frenchmeadows,10,15,2019,fm19-16,723139,4339219,no,,,,,,,,,,,,,,46,100,LL,LL,SH,100,9,"abco,abma,acgl",7.4,38,2218,90,86,,1,,85,,5,2.5,3,0.4,0,,8.5,,tr,0.3,0,,5.5,0.55,8.5,0.45,tr,0.3,tr,0.4,tr,88,7,tr,0,tr,tr,0,5,0,0,100,yes,
frenchmeadows,10,16,2019,fm19-17,724312,4339094,no,,,,,,,,,,,,,,17,118,LL,LL,BS,99,9,"pipo,sasc,cade",8.8,9,2251,100,85,,tr,3,75,,50,2.5,0.5,,50,2.5,37,0.45,0,,0,,10,2,37,0.45,tr,0.3,tr,0.3,0,95,0.5,tr,0,tr,1.5,0,3,0,0,100,yes,
frenchmeadows,10,16,2019,fm19-18,723882,4338972,no,,,,,,,,,,,,,,24,161,LL,LL,BS,100,9,"cade,abco,pipo",7.4,24,2276,70,70,24,5,20,65,24,0,,0.5,2,0,,0,,0,,0,,0,,0,,0,,tr,0.35,0,67,30,1,0,tr,0,0,2,0,0,100,yes,
frenchmeadows,10,16,2019,fm19-19,723945,4338685,no,,,,,,,,,,,,,,29,161,LL,LL,BS,100,9,"cade,abco,pila",4.1,11,2230,43,40,,1,,40,,,,tr,0.1,0,,3,0.6,0,,0,,3,0.6,3,0.4,0,,0,,tr,73.5,25,tr,0,0.5,0,0,1,0,0,100,yes,
frenchmeadows,10,17,2019,fm19-20,724057,4340010,no,,28.7,80,abco,,,,,,,,,,34,176,LL,LL,BS,100,9,"abco,pipo,sasc",10.2,5,898,80,80,,0.5,,79.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,tr,78,20,tr,,tr,0.5,0,1.5,tr,0,100,yes,
frenchmeadows,10,17,2019,fm19-21,723184,4338929,no,,,,,,,,,,,,,,33,138,LL,LL,BS,100,9,"abco,abma,cade",2.45,48,744,95,90,,,,90,,tr,2.3,tr,1.2,0,,18,0.75,0,,0,,17.5,0.75,18,0.4,0.5,0.35,tr,0.25,tr,83.5,15,tt,0,tr,tr,0,1.5,0,0,100,yes,
