site,year,plot_id,azimuth,slope_percent,1hr_count,10hr_count,100hr_count,duff1_cm,litter1_cm,duff2_cm,litter2,Notes:
frenchmeadows,2019,fm19-6,W,35,2,2,0,0,0.05,1,4,
frenchmeadows,2019,fm19-7,N,0,24,2,0,0.05,5,0.5,0.05,
frenchmeadows,2019,fm19-7,S,0,88,32,0,6,3,4,2,
frenchmeadows,2019,fm19-7,E,45,2,3,0,2,3,2,4,
frenchmeadows,2019,fm19-7,W,0,18,6,5,2,3,2,0.5,
frenchmeadows,2019,fm19-8,N,0,47,21,3,2,1,3,2,
frenchmeadows,2019,fm19-8,S,0,19,5,1,0,1,3,3,
frenchmeadows,2019,fm19-8,E,41,11,7,0,1,5,2,5,
frenchmeadows,2019,fm19-8,W,40,67,20,0,7,2,3,4,
frenchmeadows,2019,fm19-9,N,30,3,1,0,0.05,1,1,1,
frenchmeadows,2019,fm19-9,S,24,4,0,0,0.5,0.5,0.05,0.05,
frenchmeadows,2019,fm19-9,E,30,59,20,0,4,1,0,0.05,
frenchmeadows,2019,fm19-9,W,29,47,5,0,0,0.05,0,0.05,
frenchmeadows,2019,fm19-10,N,20,38,4,0,2,3,1,3,
frenchmeadows,2019,fm19-10,S,21,22,3,3,1,6,4,2,
frenchmeadows,2019,fm19-10,E,41,58,14,0,6,0.05,6,0.05,
frenchmeadows,2019,fm19-10,W,44,21,3,3,5,1,5,2,
frenchmeadows,2019,fm19-11,N,0,25,9,8,2,3,2,3,
frenchmeadows,2019,fm19-11,S,0,18,3,0,3,3,3,2,
frenchmeadows,2019,fm19-11,E,53,56,8,3,4,3,4,8,
frenchmeadows,2019,fm19-11,W,38,25,5,2,0,3,0.05,4,
frenchmeadows,2019,fm19-12,N,0,25,20,1,0.05,0.05,3,2,
frenchmeadows,2019,fm19-12,S,0,86,20,9,5,1,5,2,
frenchmeadows,2019,fm19-12,E,30,52,21,3,5,6,5,5,
frenchmeadows,2019,fm19-12,W,27,14,8,0,0.05,2,0.05,4,
frenchmeadows,2019,fm19-13,N,30,21,10,2,1,0.05,5,1,
frenchmeadows,2019,fm19-13,S,29,13,13,4,8,3,2,1,
