plot_id,location,fuel_size,mass
BM1,BearMtn,mass_1hr,0.0217990229268293
BM1,BearMtn,mass_10hr,0.417213087804878
BM1,BearMtn,mass_100hr,0.553396829268293
BM1,BearMtn,mass_cwd_sound,0.365181343885798
BM1,BearMtn,mass_cwd_rotten,0
BM1,BearMtn,total_fuel,1.3575902838858
BM10,BearMtn,mass_1hr,0.00726634097560976
BM10,BearMtn,mass_10hr,0.139071029268293
BM10,BearMtn,mass_100hr,0.276698414634146
BM10,BearMtn,mass_cwd_sound,3.94229859876713
BM10,BearMtn,mass_cwd_rotten,0
BM10,BearMtn,total_fuel,4.36533438364518
BM11,BearMtn,mass_1hr,0.0835629212195122
BM11,BearMtn,mass_10hr,0.139071029268293
BM11,BearMtn,mass_100hr,0.276698414634146
BM11,BearMtn,mass_cwd_sound,0.510046670385949
BM11,BearMtn,mass_cwd_rotten,0
BM11,BearMtn,total_fuel,1.0093790355079
BM12,BearMtn,mass_1hr,0.214357058780488
BM12,BearMtn,mass_10hr,1.0430327195122
BM12,BearMtn,mass_100hr,2.76698414634146
BM12,BearMtn,mass_cwd_sound,35.2596168646097
BM12,BearMtn,mass_cwd_rotten,0.579461306000604
BM12,BearMtn,total_fuel,39.8634520952445
BM13,BearMtn,mass_1hr,0.0181658524390244
BM13,BearMtn,mass_10hr,0.208606543902439
BM13,BearMtn,mass_100hr,0
BM13,BearMtn,mass_cwd_sound,2.61059390463814
BM13,BearMtn,mass_cwd_rotten,0
BM13,BearMtn,total_fuel,2.8373663009796
BM14,BearMtn,mass_1hr,0.0292092658122399
BM14,BearMtn,mass_10hr,0.139759566551942
BM14,BearMtn,mass_100hr,0.278068341755595
BM14,BearMtn,mass_cwd_sound,0
BM14,BearMtn,mass_cwd_rotten,0
BM14,BearMtn,total_fuel,0.447037174119777
BM15,BearMtn,mass_1hr,0.0696482128579205
BM15,BearMtn,mass_10hr,0.84189613869386
BM15,BearMtn,mass_100hr,0
BM15,BearMtn,mass_cwd_sound,0.36845052603464
BM15,BearMtn,mass_cwd_rotten,0
BM15,BearMtn,total_fuel,1.27999487758642
BM16,BearMtn,mass_1hr,0.0508643868292683
BM16,BearMtn,mass_10hr,1.39071029268293
BM16,BearMtn,mass_100hr,1.38349207317073
BM16,BearMtn,mass_cwd_sound,6.32702331517045
BM16,BearMtn,mass_cwd_rotten,0
BM16,BearMtn,total_fuel,9.15209006785338
BM17,BearMtn,mass_1hr,0.081926091367541
BM17,BearMtn,mass_10hr,0.855266962259579
BM17,BearMtn,mass_100hr,2.83609286793113
BM17,BearMtn,mass_cwd_sound,15.3461110755847
BM17,BearMtn,mass_cwd_rotten,0
BM17,BearMtn,total_fuel,19.119396997143
BM18,BearMtn,mass_1hr,0.152593160487805
BM18,BearMtn,mass_10hr,1.73838786585366
BM18,BearMtn,mass_100hr,1.38349207317073
BM18,BearMtn,mass_cwd_sound,3.16591098955539
BM18,BearMtn,mass_cwd_rotten,0
BM18,BearMtn,total_fuel,6.44038408906759
BM19,BearMtn,mass_1hr,0.0472312163414634
BM19,BearMtn,mass_10hr,0.834426175609756
BM19,BearMtn,mass_100hr,0
BM19,BearMtn,mass_cwd_sound,8.92276852384233
BM19,BearMtn,mass_cwd_rotten,0
BM19,BearMtn,total_fuel,9.80442591579355
BM2,BearMtn,mass_1hr,0.0661102929991673
BM2,BearMtn,mass_10hr,0.140587745965853
BM2,BearMtn,mass_100hr,0.279716103565278
BM2,BearMtn,mass_cwd_sound,0.51560926890542
BM2,BearMtn,mass_cwd_rotten,0
BM2,BearMtn,total_fuel,1.00202341143572
BM20,BearMtn,mass_1hr,0.0624064901764973
BM20,BearMtn,mass_10hr,0.843107549404334
BM20,BearMtn,mass_100hr,0.559154372442321
BM20,BearMtn,mass_cwd_sound,16.6560019093533
BM20,BearMtn,mass_cwd_rotten,0.386514898729685
BM20,BearMtn,total_fuel,18.5071852201061
BM21,BearMtn,mass_1hr,0.14169364902439
BM21,BearMtn,mass_10hr,0.0695355146341463
BM21,BearMtn,mass_100hr,1.10679365853659
BM21,BearMtn,mass_cwd_sound,0
BM21,BearMtn,mass_cwd_rotten,0
BM21,BearMtn,total_fuel,1.31802282219513
BM22,BearMtn,mass_1hr,0.0508643868292683
BM22,BearMtn,mass_10hr,1.0430327195122
BM22,BearMtn,mass_100hr,1.38349207317073
BM22,BearMtn,mass_cwd_sound,0.736398743042435
BM22,BearMtn,mass_cwd_rotten,0
BM22,BearMtn,total_fuel,3.21378792255463
BM23,BearMtn,mass_1hr,0.0326985343902439
BM23,BearMtn,mass_10hr,1.0430327195122
BM23,BearMtn,mass_100hr,9.96114292682927
BM23,BearMtn,mass_cwd_sound,5.41702762253867
BM23,BearMtn,mass_cwd_rotten,0
BM23,BearMtn,total_fuel,16.4539018032704
BM24,BearMtn,mass_1hr,0.112628285121951
BM24,BearMtn,mass_10hr,1.18210374878049
BM24,BearMtn,mass_100hr,1.38349207317073
BM24,BearMtn,mass_cwd_sound,0.98085898151144
BM24,BearMtn,mass_cwd_rotten,0
BM24,BearMtn,total_fuel,3.65908308858461
BM25,BearMtn,mass_1hr,0.181658524390244
BM25,BearMtn,mass_10hr,2.57281404146341
BM25,BearMtn,mass_100hr,2.21358731707317
BM25,BearMtn,mass_cwd_sound,16.9853388110373
BM25,BearMtn,mass_cwd_rotten,0
BM25,BearMtn,total_fuel,21.9533986939641
BM26,BearMtn,mass_1hr,0.0944624326829268
BM26,BearMtn,mass_10hr,1.0430327195122
BM26,BearMtn,mass_100hr,1.10679365853659
BM26,BearMtn,mass_cwd_sound,4.05396562127767
BM26,BearMtn,mass_cwd_rotten,0
BM26,BearMtn,total_fuel,6.29825443200939
BM27,BearMtn,mass_1hr,0.0435980458536585
BM27,BearMtn,mass_10hr,0.834426175609756
BM27,BearMtn,mass_100hr,1.10679365853659
BM27,BearMtn,mass_cwd_sound,6.81772442841336
BM27,BearMtn,mass_cwd_rotten,0
BM27,BearMtn,total_fuel,8.80254230841337
BM3,BearMtn,mass_1hr,0.0363317048780488
BM3,BearMtn,mass_10hr,0.347677573170732
BM3,BearMtn,mass_100hr,4.70387304878049
BM3,BearMtn,mass_cwd_sound,10.7290882439174
BM3,BearMtn,mass_cwd_rotten,0.382535002789461
BM3,BearMtn,total_fuel,16.1995055735361
BM4,BearMtn,mass_1hr,0.0799297507317073
BM4,BearMtn,mass_10hr,0.208606543902439
