site,plot_id,status,BA_sum_sqft_acre
lakesdistrict,burton1,dead,0.582449835426887
lakesdistrict,burton1,live,230.086623702161
lakesdistrict,burton10,dead,24.0710140071913
lakesdistrict,burton10,live,198.886285050943
lakesdistrict,burton11,dead,77.0922113571307
lakesdistrict,burton11,live,197.457342581999
lakesdistrict,burton12,dead,45.8447795779791
lakesdistrict,burton12,live,90.3247884717572
lakesdistrict,burton13,dead,10.9851273359478
lakesdistrict,burton13,live,219.55255891114
lakesdistrict,burton14,dead,66.7603849180247
lakesdistrict,burton14,live,287.410120707425
lakesdistrict,burton15,dead,48.9709347042542
lakesdistrict,burton15,live,320.692110889786
lakesdistrict,burton16,live,150.028644406708
lakesdistrict,burton17,dead,101.773068688888
lakesdistrict,burton17,live,206.354815492579
lakesdistrict,burton18,dead,82.2817556884563
lakesdistrict,burton18,live,335.970829457043
lakesdistrict,burton19,dead,29.83150967233
lakesdistrict,burton19,live,198.307978058009
lakesdistrict,burton2,dead,124.840246595626
lakesdistrict,burton2,live,224.100131751626
lakesdistrict,burton20,dead,21.8187450035715
lakesdistrict,burton20,live,214.968715061887
lakesdistrict,burton21,dead,38.7429329708971
lakesdistrict,burton21,live,366.273524052124
lakesdistrict,burton22,dead,20.3471904404121
lakesdistrict,burton22,live,244.956130888452
lakesdistrict,burton23,live,244.299025340341
lakesdistrict,burton24,dead,2.75194653698792
lakesdistrict,burton24,live,270.830972336322
lakesdistrict,burton3,dead,4.99931176786062
lakesdistrict,burton3,live,375.049501765504
lakesdistrict,burton4,dead,0.82865304645361
lakesdistrict,burton4,live,283.407712119927
lakesdistrict,burton5,live,245.095634768327
lakesdistrict,burton6,dead,105.705218049613
lakesdistrict,burton6,live,346.656065725164
lakesdistrict,burton7,dead,70.674102857045
lakesdistrict,burton7,live,284.230615915574
lakesdistrict,burton8,dead,51.3259292921451
lakesdistrict,burton8,live,235.501403388629
lakesdistrict,burton9,dead,90.0140752847643
lakesdistrict,burton9,live,113.878961740966
slypark,hcp1,dead,5.62784015754903
slypark,hcp1,live,264.937821163594
slypark,hcp10,live,211.188498108516
slypark,hcp11,live,184.203121229041
slypark,hcp2,dead,18.9958628573626
