Site,Date,Plot ID,Observers,Tag#,Status,SPP,DBH(cm),Height(m),HTtoCrown_live(m),HTtoCrown_Dead(m),CrownWidth,Stump Diameter (cm),Stump Height (m),Decay,ScorchHT,Scorch(%),TorchHT,Torch(%),BoleCharHT,Resprouting?,Notes
modoc,6/27/2020,modoc26,"km, ag",2444,live,abco,33.9,15,2,0.1,4.5,,,,,,,,,,
modoc,6/27/2020,modoc26,"km, ag",2445,live,cade,19,8,2,0,3,,,,,,,,,,
modoc,6/27/2020,modoc26,"km, ag",2446,live,abco,32.9,19,5,1.2,4,,,,,,,,,,
modoc,6/27/2020,modoc28,pm,2447,live,cade,29.2,10,2,1.2,4,,,,,,,,,,
modoc,6/25/2020,modoc9,"KM, MM",76,live,ABCO,41.6,22,14,0.9,4,,,,14,80,5,20,0,,
modoc,6/25/2020,modoc9,"KM, MM",,dead,ABCO,38.5,21,11,1.5,na,,,1,21,100,8,60,3,,
modoc,6/25/2020,modoc9,"KM, MM",77,live,ABCO,37.6,25,10,0.5,2.8,,,,10.5,60,4,40,0.7,,
modoc,6/25/2020,modoc9,"KM, MM",78,live,ABCO,39.1,23,10,0.5,3.4,,,,12,50,7,5,4.5,,
modoc,6/25/2020,modoc9,"KM, MM",79,live,PIPO,70.1,33,12,2.5,4,,,,13,40,6,5,3.2,,
modoc,6/25/2020,modoc9,"KM, MM",80,live,ABCO,35.2,20,12,2,3.75,,,,13,50,4,5,3,,
modoc,6/25/2020,modoc9,"KM, MM",81,live,PIPO,66.5,35,14,10,3.75,,,,na,na,na,na,3.75,,
modoc,6/25/2020,modoc9,"KM, MM",82,live,ABCO,25.8,17,3,0.1,3.75,,,,8,20,2.5,5,0.2,,
modoc,6/25/2020,modoc9,"KM, MM",83,live,ABCO,40.1,19,9,0.5,4,,,,14,70,4,5,3,,
