"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"75","bearmountain","BM16","prefire","2019","LIVE",30.0342606892988,7,70,172.9735
"76","bearmountain","BM17","postfire","2021","DEAD",5.68023030733336,1,10,24.7105
"77","bearmountain","BM17","prefire","2019","DEAD",5.80692299816834,1,10,24.7105
"78","bearmountain","BM18","postfire","2021","DEAD",12.4743005215909,6,60,148.263
"79","bearmountain","BM18","postfire","2021","LIVE",29.9843055749898,10,100,247.105
"80","bearmountain","BM18","prefire","2019","DEAD",14.9640214983764,7,70,172.9735
"81","bearmountain","BM18","prefire","2019","LIVE",31.4211458577667,11,110,271.8155
"82","bearmountain","BM19","postfire","2021","DEAD",3.1363427710931,1,10,24.7105
"83","bearmountain","BM19","postfire","2021","LIVE",29.6410630918238,2,20,49.421
"84","bearmountain","BM19","prefire","2019","DEAD",7.12524118184456,2,20,49.421
"85","bearmountain","BM19","prefire","2019","LIVE",30.0066437010852,2,20,49.421
"86","bearmountain","BM20","postfire","2021","LIVE",49.6824377915137,3,30,74.1315
"87","bearmountain","BM20","prefire","2019","LIVE",49.7558372640532,3,30,74.1315
"88","bearmountain","BM21","postfire","2021","DEAD",9.77612271388341,6,60,148.263
"89","bearmountain","BM21","postfire","2021","LIVE",1.13658559222727,1,10,24.7105
"90","bearmountain","BM21","prefire","2019","DEAD",5.75211598853017,4,40,98.842
"91","bearmountain","BM21","prefire","2019","LIVE",6.26214722553127,4,40,98.842
"92","bearmountain","BM22","postfire","2021","DEAD",8.62144925586904,6,60,148.263
"93","bearmountain","BM22","postfire","2021","LIVE",22.2479584726471,3,30,74.1315
"94","bearmountain","BM22","prefire","2019","DEAD",13.8156166891273,14,140,345.947
"95","bearmountain","BM22","prefire","2019","LIVE",27.9037740426841,4,40,98.842
"96","bearmountain","BM24","postfire","2021","DEAD",8.82138615859299,4,40,98.842
"97","bearmountain","BM24","postfire","2021","LIVE",12.0574256749096,2,20,49.421
"98","bearmountain","BM24","prefire","2019","DEAD",5.63968786996291,3,30,74.1315
"99","bearmountain","BM24","prefire","2019","LIVE",19.2803452135208,5,50,123.5525
"100","bearmountain","BM25","postfire","2021","DEAD",10.6064372653529,3,30,74.1315
"101","bearmountain","BM25","postfire","2021","LIVE",4.85189532915816,1,10,24.7105
"102","bearmountain","BM25","prefire","2019","DEAD",16.2994765763552,3,30,74.1315
"103","bearmountain","BM25","prefire","2019","LIVE",3.39097023796732,1,10,24.7105
"104","bearmountain","BM26","postfire","2021","DEAD",43.606409270809,12,120,296.526
"105","bearmountain","BM26","prefire","2019","DEAD",60.7874752284722,14,140,345.947
"106","bearmountain","BM27","postfire","2021","DEAD",34.6501598296467,6,60,148.263
"107","bearmountain","BM27","prefire","2019","DEAD",42.9151500394732,8,80,197.684
"108","blisssp","BLISS01","prefire","2019","DEAD",21.6571916973688,7,70,172.9735
"109","blisssp","BLISS01","prefire","2019","LIVE",36.8284861642069,22,220,543.631
"110","blisssp","BLISS02","prefire","2019","DEAD",22.0177700025458,3,30,74.1315
"111","blisssp","BLISS02","prefire","2019","LIVE",27.9504153124833,10,100,247.105
"112","blisssp","BLISS03","prefire","2019","DEAD",10.4031816662238,3,30,74.1315
"113","blisssp","BLISS03","prefire","2019","LIVE",35.6260700561536,15,150,370.6575
"114","blisssp","BLISS04","prefire","2019","DEAD",13.9044840039762,3,30,74.1315
"115","blisssp","BLISS04","prefire","2019","LIVE",11.9995910825861,4,40,98.842
"116","blisssp","BLISS05","prefire","2019","LIVE",44.3738626663939,8,80,197.684
"117","blisssp","BLISS06","prefire","2019","DEAD",26.9773337409534,1,10,24.7105
"118","blisssp","BLISS06","prefire","2019","LIVE",29.7900696492776,7,70,172.9735
"119","blisssp","BLISS07","prefire","2019","DEAD",6.37310036791846,6,60,148.263
"120","blisssp","BLISS07","prefire","2019","LIVE",71.887621954939,32,320,790.736
"121","blisssp","BLISS08","prefire","2019","DEAD",9.06390329472563,2,20,49.421
"122","blisssp","BLISS08","prefire","2019","LIVE",21.4568666430185,6,60,148.263
"123","blisssp","BLISS09","prefire","2019","DEAD",3.84103204870003,2,20,49.421
"124","blisssp","BLISS09","prefire","2019","LIVE",11.5128295355836,5,50,123.5525
"125","blisssp","BLISS10","prefire","2019","DEAD",4.69285020026836,2,20,49.421
"126","blisssp","BLISS10","prefire","2019","LIVE",91.7676614311437,19,190,469.4995
"127","blisssp","BLISS11","prefire","2019","DEAD",20.4792485493558,4,40,98.842
"128","blisssp","BLISS11","prefire","2019","LIVE",51.6672705403471,16,160,395.368
"129","blisssp","BLISS12","prefire","2019","DEAD",5.86926014935736,7,70,172.9735
"130","blisssp","BLISS12","prefire","2019","LIVE",45.5297296906592,5,50,123.5525
"131","blisssp","BLISS13","prefire","2019","DEAD",7.5985532749946,2,20,49.421
"132","blisssp","BLISS13","prefire","2019","LIVE",43.6382377041683,11,110,271.8155
"133","blisssp","BLISS14","prefire","2019","DEAD",4.48091941229073,2,20,49.421
"134","blisssp","BLISS14","prefire","2019","LIVE",37.433401066265,9,90,222.3945
"135","blisssp","BLISS15","prefire","2019","DEAD",9.13903004200231,2,20,49.421
"136","blisssp","BLISS15","prefire","2019","LIVE",47.3527129151025,14,140,345.947
