"","project","site","year","plotid","pre_post_fire","postFire","tag_id","status","species","dbh_cm","ht_m","ht2crown_m","livecrownratio_perc","crownclass","crownwidth_m","bolechar_m","decay","scorch_ht_m","scorch_percent","torch_ht_m","torch_percent","healthCode","healthCode2","notes","ht2dead_m","torch_percent.1","resprout","stump_diameter_cm","stump_ht_m","presentPostThin","StatusPostThin","samplingTime","Beetles2019","DeadPriorFire"
"14","CPFMP","SugarPineSP","2020","sugarpine1","prefire",NA,NA,"DEAD","CADE","6.3","1.6",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CPFMP","caples","2020","121","postfire","1yr","97","LIVE","CADE","6.5","17","0.9",60,"OT",NA,"0",NA,NA,NA,NA,NA,NA,NA,"HTD: 0.7",NA,NA,NA,NA,NA,NA,NA,2,NA,"N"
"16","CPFMP","valentine","2021","VR1","prefire",NA,"484","LIVE","ABMA","6.5",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CPFMP","shaverlake","2021","SHL024","prefire",NA,"4593","LIVE","ABCO","6.6","4.7","2",NA,NA,"2.2","0.2","na",NA,NA,NA,NA,NA,NA,"DBH not a tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CPFMP","valentine","2021","VR14","prefire",NA,"312","LIVE","ABCO","6.9",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CPFMP","concow","2021","CONCOW005","prefire",NA,"na","DEAD","CADE","7.2","2.5","na",NA,NA,"na","na","1","na","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CPFMP","springsfire","2020","springs26","postfire","1yr","253","DEAD","PICO","7.2","5.7",NA,NA,NA,NA,"5.7",NA,"5.7","100","5.7","100",NA,NA,NA,1.1,"100",NA,NA,NA,NA,NA,NA,NA,NA
"21","CPFMP","valentine","2021","VR22N","prefire",NA,"1068","LIVE","ALNINC","7.2",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CPFMP","frenchmeadows","2020","FM047","prefire",NA,"na","DEAD","ABCO","7.3","21.2",NA,0,NA,NA,NA,"2",NA,NA,NA,NA,"na",NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CPFMP","downieville","2020","RedAnt52","prefire",NA,"1621","LIVE","PIPO","7.3","34.2","15.4",70,NA,"7",NA,"na",NA,NA,NA,NA,"na","na",NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CPFMP","wilderranch","2021","WIL015","prefire",NA,"na","DEAD","ARBMEN","7.5","5","na",NA,NA,"na",NA,"1",NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CPFMP","valentine","2021","VR4N","prefire",NA,"368","LIVE","ABMA","7.5",NA,NA,NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CPFMP","springsfire","2020","springs06","postfire","1yr","48","LIVE","PICO","7.5","4.3","3.1",NA,NA,NA,"0.2","na","4.3","80","1","5",NA,NA,NA,0.2,"5",NA,NA,NA,NA,NA,NA,NA,NA
"27","CPFMP","caples","2013-2018","120","prefire",NA,"55","DEAD","ABCO","7.6",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"28","CPFMP","caples","2020","117","postfire","1yr","760","DEAD","CADE","7.6","2.9","0",0,"OT",NA,"0","2",NA,NA,NA,NA,NA,NA,"1.7 HTD",NA,NA,NA,NA,NA,NA,NA,2,NA,"Y"
"29","CPFMP","caples","2020","121","postfire","1yr","0","DEAD","CADE","7.6","2.2","0",0,NA,NA,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Y"
"30","CPFMP","BlissSP","2019","bliss12","prefire",NA,NA,"DEAD","ABCO","7.6","4.5","0.75",NA,"OV","0.5","0.5","1","4.5","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CPFMP","frenchmeadows","2020","FM044","prefire",NA,"na","DEAD","ABCO","7.6","2.1",NA,0,NA,NA,NA,"3",NA,NA,NA,NA,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CPFMP","concow","2021","CONCOW008","prefire",NA,"na","DEAD","NODE","7.6","6.1","na",NA,NA,"na","na","1","na","0",NA,NA,NA,NA,"this group of nodes same root system and resprouts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CPFMP","caples","2013-2018","105","prefire",NA,"538","LIVE","ABCO","7.6",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
