"","plotid_time","spp","BA_m2_ha_spp","BA_m2_ha_plot","pBA_m2_ha"
"1","antelope_antelope01_prefire_2020","PIJE",29.4023112205424,29.4023112205424,1
"2","antelope_antelope02_prefire_2020","PIJE",30.2570403152324,30.2570403152324,1
"3","antelope_antelope03_prefire_2020","PIJE",6.83183736749971,6.83183736749971,1
"4","antelope_antelope04_prefire_2020","PIJE",5.29203986583807,7.2944752909256,0.725486022609663
"5","antelope_antelope04_prefire_2020","PIMO1",2.00243542508752,7.2944752909256,0.274513977390337
"6","antelope_antelope05_prefire_2020","PIJE",7.75237776451023,7.75237776451023,1
"7","antelope_antelope06_prefire_2020","PIJE",2.3774287112875,2.3774287112875,1
"8","antelope_antelope07_prefire_2020","PIJE",8.94122797322319,8.94122797322319,1
"9","antelope_antelope08_prefire_2020","PIJE",26.9952906055666,26.9952906055666,1
"10","antelope_antelope09_prefire_2020","PIJE",19.3375975784049,19.3375975784049,1
"11","antelope_antelope10_prefire_2020","PIJE",24.410273552621,24.410273552621,1
"12","antelope_antelope11_prefire_2020","PIJE",32.7575130920674,32.7575130920674,1
"13","antelope_antelope12_prefire_2020","PIJE",32.3227153440402,32.3227153440402,1
"14","antelope_antelope13_prefire_2020","PIJE",19.9064920095393,19.9064920095393,1
"15","antelope_antelope14_prefire_2020","PIJE",13.3703679585611,13.3703679585611,1
"16","antelope_antelope15_prefire_2020","PIJE",26.5676008841966,26.5676008841966,1
"17","antelope_antelope16_prefire_2020","PIJE",6.27627594472978,6.27627594472978,1
"18","antelope_antelope17_prefire_2020","PIJE",3.423497344254,3.423497344254,1
"19","antelope_antelope18_prefire_2020","PIJE",5.91304365280769,5.91304365280769,1
"20","antelope_antelope19_prefire_2020","PIJE",17.4796515962197,17.4796515962197,1
"21","bearmountain_bm1_postfire_2021","ALLSPP",11.9644245452403,18.255527882096,0.655386391591248
"22","bearmountain_bm1_postfire_2021","PIPO",6.29110333685569,18.255527882096,0.344613608408752
"23","bearmountain_bm1_prefire_2019","ALLSPP",11.5041737543164,17.4957792962938,0.657539944891358
"24","bearmountain_bm1_prefire_2019","PIPO",5.99160554197741,17.4957792962938,0.342460055108642
"25","bearmountain_bm10_postfire_2021","ALLSPP",6.87387418863153,33.381641499629,0.205917800318715
"26","bearmountain_bm10_postfire_2021","PIPO",26.5077673109974,33.381641499629,0.794082199681285
"27","bearmountain_bm10_prefire_2019","ALLSPP",6.97683140751627,33.3199447986234,0.209389044600233
"28","bearmountain_bm10_prefire_2019","PIPO",26.3431133911071,33.3199447986234,0.790610955399767
"29","bearmountain_bm11_postfire_2021","ALLSPP",2.31309257922286,3.09717827199614,0.746838695123632
"30","bearmountain_bm11_postfire_2021","PIPO",0.784085692773276,3.09717827199614,0.253161304876368
"31","bearmountain_bm11_prefire_2019","ALLSPP",2.07173989796922,2.79465289443247,0.741322796149947
"32","bearmountain_bm11_prefire_2019","PIPO",0.72291299646325,2.79465289443247,0.258677203850053
"33","bearmountain_bm12_postfire_2021","PILA",20.2709081639217,33.7053017332465,0.601416012363621
"34","bearmountain_bm12_postfire_2021","PIPO",13.4343935693247,33.7053017332465,0.398583987636379
"35","bearmountain_bm12_prefire_2019","PILA",19.5242014727643,32.7976091550675,0.59529343680064
"36","bearmountain_bm12_prefire_2019","PIPO",13.2734076823033,32.7976091550675,0.40470656319936
"37","bearmountain_bm13_postfire_2021","ALLSPP",4.32168020758776,9.36959210804391,0.461245287708687
"38","bearmountain_bm13_postfire_2021","PIPO",5.04791190045615,9.36959210804391,0.538754712291313
"39","bearmountain_bm13_prefire_2019","ALLSPP",4.31515926026537,7.59350730385227,0.568269587108482
"40","bearmountain_bm13_prefire_2019","PIPO",3.2783480435869,7.59350730385227,0.431730412891518
"41","bearmountain_bm14_postfire_2021","ALLSPP",4.18990273044782,5.13778840953348,0.815507061885461
"42","bearmountain_bm14_postfire_2021","PIPO",0.947885679085655,5.13778840953348,0.184492938114539
"43","bearmountain_bm14_prefire_2019","ALLSPP",3.89304436662861,4.724639818465,0.823987545339155
"44","bearmountain_bm14_prefire_2019","PIPO",0.831595451836392,4.724639818465,0.176012454660845
"45","bearmountain_bm15_postfire_2021","ALLSPP",2.01225566123374,10.4310509529945,0.19291015548688
"46","bearmountain_bm15_postfire_2021","PIPO",8.41879529176076,10.4310509529945,0.80708984451312
"47","bearmountain_bm15_prefire_2019","ALLSPP",2.20609858342427,10.6245445387213,0.207641708817174
"48","bearmountain_bm15_prefire_2019","PIPO",8.41844595529706,10.6245445387213,0.792358291182826
"49","bearmountain_bm16_postfire_2021","ALLSPP",8.82332691672465,25.7515314974135,0.342633094175811
"50","bearmountain_bm16_postfire_2021","PIJE",13.2894965672147,25.7515314974135,0.516066260701797
"51","bearmountain_bm16_postfire_2021","PIPO",3.63870801347414,25.7515314974135,0.141300645122392
"52","bearmountain_bm16_prefire_2019","ALLSPP",8.71534313427891,30.0342606892988,0.290180045529943
"53","bearmountain_bm16_prefire_2019","PIJE",13.1936231155106,30.0342606892988,0.439285762749321
"54","bearmountain_bm16_prefire_2019","PIPO",8.12529443950932,30.0342606892988,0.270534191720736
"55","bearmountain_bm18_postfire_2021","ALLSPP",28.9921123877583,29.9843055749898,0.966909582589796
"56","bearmountain_bm18_postfire_2021","PIPO",0.992193187231527,29.9843055749898,0.0330904174102043
"57","bearmountain_bm18_prefire_2019","ALLSPP",29.9868867833049,31.4211458577667,0.954353699226813
"58","bearmountain_bm18_prefire_2019","PIPO",1.43425907446179,31.4211458577667,0.0456463007731866
