site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
bearmountain,bm12,prefire,2019,CADE27,DEAD,1.98324424531225,3,30,19.8324424531225,12.14058,8.02591180658433
bearmountain,bm12,prefire,2019,PILA,LIVE,0.790117620961304,1,10,7.90117620961304,4.04686,3.19749539556346
bearmountain,bm12,prefire,2019,PIPO,LIVE,0.537156580494254,1,10,5.37156580494254,4.04686,2.17379747933897
bearmountain,bm13,postfire,2021,CADE27,LIVE,0.174892463025344,3,30,1.74892463025344,12.14058,0.707765312918743
bearmountain,bm13,postfire,2021,PIPO,LIVE,0.204282062299676,1,10,2.04282062299676,4.04686,0.826700906638068
bearmountain,bm13,prefire,2019,CADE27,DEAD,0.00502654824574367,1,10,0.0502654824574367,4.04686,0.0203417370337702
bearmountain,bm13,prefire,2019,CADE27,LIVE,0.174628569242442,3,30,1.74628569242442,12.14058,0.70669737172447
bearmountain,bm13,prefire,2019,PIPO,DEAD,0.158773736517938,2,20,1.58773736517938,8.09372,0.642535083364982
bearmountain,bm13,prefire,2019,PIPO,LIVE,0.13267024315926,1,10,1.3267024315926,4.04686,0.536897900231485
bearmountain,bm13,prefire,2019,QUKE,DEAD,0.147857487444877,2,20,1.47857487444877,8.09372,0.598358551641174
bearmountain,bm14,postfire,2021,CADE27,DEAD,0.261675033089945,7,70,2.61675033089945,28.32802,1.05896222441037
bearmountain,bm14,postfire,2021,CADE27,LIVE,0.169559609495875,2,20,1.69559609495875,8.09372,0.686184001284477
bearmountain,bm14,postfire,2021,PIPO,LIVE,0.0383596316984948,1,10,0.383596316984948,4.04686,0.155236059135371
bearmountain,bm14,prefire,2019,CADE27,DEAD,0.280387144332889,8,80,2.80387144332889,32.37488,1.134687518915
bearmountain,bm14,prefire,2019,CADE27,LIVE,0.157546159188548,2,20,1.57546159188548,8.09372,0.637567249773766
bearmountain,bm14,prefire,2019,PIPO,LIVE,0.0336535259034173,1,10,0.336535259034173,4.04686,0.136191107837503
bearmountain,bm15,postfire,2021,CADE27,DEAD,0.0206119894002026,1,10,0.206119894002026,4.04686,0.083413835424104
bearmountain,bm15,postfire,2021,PIPO,LIVE,0.340697083902016,3,30,3.40697083902016,12.14058,1.37875340095971
bearmountain,bm15,postfire,2021,QUKE,DEAD,0.111036450748478,1,10,1.11036450748478,4.04686,0.449348971075984
bearmountain,bm15,postfire,2021,QUKE,LIVE,0.081433223173701,1,10,0.814332231737011,4.04686,0.329548853532724
bearmountain,bm15,prefire,2019,CADE27,DEAD,0.0397505718458716,2,20,0.397505718458717,8.09372,0.160864999180184
bearmountain,bm15,prefire,2019,PIPO,DEAD,0.0387075630848798,1,10,0.387075630848798,4.04686,0.156644088745677
bearmountain,bm15,prefire,2019,PIPO,LIVE,0.340682946735075,3,30,3.40682946735075,12.14058,1.3786961898243
bearmountain,bm15,prefire,2019,QUKE,DEAD,0.439468756930879,2,20,4.39468756930879,8.09372,1.7784685336733
bearmountain,bm15,prefire,2019,QUKE,LIVE,0.0892777800297147,2,20,0.892777800297148,8.09372,0.361294676891051
bearmountain,bm16,postfire,2021,CADE27,LIVE,0.357067923219872,2,20,3.57067923219872,8.09372,1.44500389576157
bearmountain,bm16,postfire,2021,PIJE,LIVE,0.53780767557171,3,30,5.3780767557171,12.14058,2.17643236996413
bearmountain,bm16,postfire,2021,PILA,DEAD,0.081433223173701,1,10,0.814332231737011,4.04686,0.329548853532724
bearmountain,bm16,postfire,2021,PIPO,LIVE,0.147253516257224,1,10,1.47253516257224,4.04686,0.59591436480071
bearmountain,bm16,prefire,2019,CADE27,DEAD,0.0437435361085843,1,10,0.437435361085843,4.04686,0.177023966536385
bearmountain,bm16,prefire,2019,CADE27,LIVE,0.352697967838729,2,20,3.52697967838729,8.09372,1.42731929812784
bearmountain,bm16,prefire,2019,PIJE,LIVE,0.533927808644527,3,30,5.33927808644527,12.14058,2.16073109169119
bearmountain,bm16,prefire,2019,PIPO,DEAD,0.119985277422228,2,20,1.19985277422228,8.09372,0.485563619788918
bearmountain,bm16,prefire,2019,PIPO,LIVE,0.328819507476956,2,20,3.28819507476956,8.09372,1.33068651202819
bearmountain,bm16,prefire,2019,QUKE,DEAD,0.121922069293166,1,10,1.21922069293166,4.04686,0.493401545339743
bearmountain,bm17,postfire,2021,PIPO,DEAD,0.229871119861329,1,10,2.29871119861329,4.04686,0.930256240122016
bearmountain,bm17,prefire,2019,PIPO,DEAD,0.234998199071987,1,10,2.34998199071987,4.04686,0.951004811896462
bearmountain,bm18,postfire,2021,CADE27,DEAD,0.140696226991019,2,20,1.40696226991019,8.09372,0.569377933160875
bearmountain,bm18,postfire,2021,CADE27,LIVE,1.091331168393,6,60,10.91331168393,24.28116,4.41646445212291
bearmountain,bm18,postfire,2021,PIPO,DEAD,0.342217614746353,3,30,3.42217614746353,12.14058,1.38490677641243
bearmountain,bm18,postfire,2021,PIPO,LIVE,0.0401526957055311,3,30,0.401526957055311,12.14058,0.162492338142886
bearmountain,bm18,postfire,2021,QUKE,DEAD,0.0219039693789914,1,10,0.219039693789914,4.04686,0.0886422975210653
bearmountain,bm18,postfire,2021,QUKE,LIVE,0.0819398049890924,1,10,0.819398049890924,4.04686,0.331598919218158
bearmountain,bm18,prefire,2019,CADE27,DEAD,0.154130462575932,2,20,1.54130462575932,8.09372,0.623744403780037
bearmountain,bm18,prefire,2019,CADE27,LIVE,1.13460425100171,6,60,11.3460425100171,24.28116,4.59158455920879
bearmountain,bm18,prefire,2019,PIPO,DEAD,0.429538967951045,4,40,4.29538967951045,16.18744,1.73828406784237
bearmountain,bm18,prefire,2019,PIPO,LIVE,0.0580424950713982,4,40,0.580424950713982,16.18744,0.234889851604639
bearmountain,bm18,prefire,2019,QUKE,DEAD,0.0219039693789914,1,10,0.219039693789914,4.04686,0.0886422975210653
bearmountain,bm18,prefire,2019,QUKE,LIVE,0.0789238760416462,1,10,0.789238760416462,4.04686,0.319393876997896
bearmountain,bm19,postfire,2021,CADE27,LIVE,1.06230520846832,1,10,10.6230520846832,4.04686,4.29900045594212
bearmountain,bm19,postfire,2021,PIPO,DEAD,0.126923484797681,1,10,1.26923484797681,4.04686,0.513641573688344
bearmountain,bm19,postfire,2021,PIPO,LIVE,0.137227908701456,1,10,1.37227908701456,4.04686,0.555342134607573
bearmountain,bm19,prefire,2019,CADE27,LIVE,1.08803485230122,1,10,10.8803485230122,4.04686,4.40312472238373
bearmountain,bm19,prefire,2019,PIPO,DEAD,0.288348725515249,2,20,2.88348725515249,8.09372,1.16690692333864
bearmountain,bm19,prefire,2019,PIPO,LIVE,0.126292810072473,1,10,1.26292810072473,4.04686,0.511089321369888
bearmountain,bm2,postfire,2021,CADE27,LIVE,0.289844123618358,2,20,2.89844123618358,8.09372,1.17295859010619
bearmountain,bm2,postfire,2021,PIPO,DEAD,0.0754767635024948,1,10,0.754767635024948,4.04686,0.305443895147706
bearmountain,bm2,postfire,2021,PIPO,LIVE,0.563926091495492,3,30,5.63926091495492,12.14058,2.28212994262945
bearmountain,bm2,prefire,2019,CADE27,LIVE,0.307287031429252,2,20,3.07287031429252,8.09372,1.24354759600978
bearmountain,bm2,prefire,2019,PIPO,DEAD,0.543671458259635,1,10,5.43671458259635,4.04686,2.20016227757259
bearmountain,bm2,prefire,2019,PIPO,LIVE,0.570681301098874,3,30,5.70681301098874,12.14058,2.30946733016499
bearmountain,bm2,prefire,2019,QUKE,DEAD,0.045238934211693,1,10,0.45238934211693,4.04686,0.183075633303932
bearmountain,bm20,postfire,2021,CADE27,LIVE,1.67186214785904,1,10,16.7186214785904,4.04686,6.76579205168485
bearmountain,bm20,postfire,2021,PIPO,LIVE,0.338717880530254,2,20,3.38717880530254,8.09372,1.37074384200266
bearmountain,bm20,prefire,2019,CADE27,LIVE,1.69716689128555,1,10,16.9716689128555,4.04686,6.86819680566782
bearmountain,bm20,prefire,2019,PIPO,LIVE,0.316383512957721,2,20,3.16383512957721,8.09372,1.28035978324808
bearmountain,bm21,postfire,2021,CADE27,DEAD,0.227138719650869,4,40,2.27138719650869,16.18744,0.919198599006315
bearmountain,bm21,postfire,2021,CADE27,LIVE,0.0459960580412082,1,10,0.459960580412082,4.04686,0.186139607444644
bearmountain,bm21,postfire,2021,PIPO,DEAD,0.0829576810088555,1,10,0.829576810088555,4.04686,0.335718120967497
bearmountain,bm21,postfire,2021,PSME,DEAD,0.0855298599939821,1,10,0.855298599939821,4.04686,0.346127369215246
bearmountain,bm21,prefire,2019,ABCO,DEAD,0.113493961601748,2,20,1.13493961601748,8.09372,0.459294173447651
bearmountain,bm21,prefire,2019,CADE27,DEAD,0.0295592452776264,1,10,0.295592452776264,4.04686,0.119622127344215
bearmountain,bm21,prefire,2019,CADE27,LIVE,0.253420498392638,4,40,2.53420498392638,16.18744,1.02555727812523
bearmountain,bm21,prefire,2019,PIPO,DEAD,0.0897270277791781,1,10,0.897270277791781,4.04686,0.363112719638445
bearmountain,bm22,postfire,2021,PIPO,LIVE,0.900344326203318,3,30,9.00344326203318,12.14058,3.64356743993916
bearmountain,bm22,postfire,2021,QUCH,DEAD,0.348898211524212,6,60,3.48898211524212,24.28116,1.41194221628887
bearmountain,bm22,prefire,2019,CADE27,DEAD,0.00817128249198705,1,10,0.0817128249198705,4.04686,0.0330680362655227
bearmountain,bm22,prefire,2019,PIPO,LIVE,0.885558420379198,3,30,8.85558420379198,12.14058,3.58373094909576
bearmountain,bm22,prefire,2019,QUCH,DEAD,0.542268737139807,12,120,5.42268737139807,48.56232,2.1944856615816
bearmountain,bm22,prefire,2019,QUCH,LIVE,0.243668994795895,1,10,2.43668994795895,4.04686,0.986094308279715
bearmountain,bm22,prefire,2019,QUKE,DEAD,0.00865901475145687,1,10,0.0865901475145687,4.04686,0.0350418204370807
bearmountain,bm24,postfire,2021,CADE27,DEAD,0.356989383403532,4,40,3.56989383403532,16.18744,1.44468605612042
bearmountain,bm24,postfire,2021,CADE27,LIVE,0.190890238215586,1,10,1.90890238215586,4.04686,0.772506069425128
bearmountain,bm24,postfire,2021,PIPO,LIVE,0.297057220351,1,10,2.97057220351,4.04686,1.20214898274965
bearmountain,bm24,prefire,2019,CADE27,DEAD,0.130916449060394,2,20,1.30916449060394,8.09372,0.529800541044546
bearmountain,bm24,prefire,2019,CADE27,LIVE,0.457755182369262,3,30,4.57755182369262,12.14058,1.85247113732287
bearmountain,bm24,prefire,2019,PIPO,DEAD,0.0973139740375975,1,10,0.973139740375975,4.04686,0.393816028973792
bearmountain,bm24,prefire,2019,PIPO,LIVE,0.322493910668953,2,20,3.22493910668953,8.09372,1.30508770732976
bearmountain,bm25,postfire,2021,PIPO,DEAD,0.117021184753566,1,10,1.17021184753566,4.04686,0.473568351731817
bearmountain,bm25,postfire,2021,PIPO,LIVE,0.196349540849362,1,10,1.96349540849362,4.04686,0.794599102881649
bearmountain,bm25,postfire,2021,QUKE,DEAD,0.312206765524773,2,20,3.12206765524773,8.09372,1.26345707113158
bearmountain,bm25,prefire,2019,PIPO,DEAD,0.120072456618365,1,10,1.20072456618365,4.04686,0.485916421790598
bearmountain,bm25,prefire,2019,PIPO,LIVE,0.137227908701456,1,10,1.37227908701456,4.04686,0.555342134607573
bearmountain,bm25,prefire,2019,QUKE,DEAD,0.539544976309145,2,20,5.39544976309145,8.09372,2.18346298282643
bearmountain,bm26,postfire,2021,CADE27,DEAD,0.382605929900904,3,30,3.82605929900904,12.14058,1.54835263347877
bearmountain,bm26,postfire,2021,PIPO,DEAD,1.12184231624467,4,40,11.2184231624467,16.18744,4.53993879591789
bearmountain,bm26,postfire,2021,PSME,DEAD,0.154133604168586,1,10,1.54133604168586,4.04686,0.623757117365683
bearmountain,bm26,postfire,2021,QUKE,DEAD,0.106109648069485,4,40,1.06109648069485,16.18744,0.429410890386478
bearmountain,bm26,prefire,2019,CADE27,DEAD,0.708137760665878,3,30,7.08137760665878,12.14058,2.86573437812831
bearmountain,bm26,prefire,2019,PIPO,DEAD,1.45335024163493,4,40,14.5335024163493,16.18744,5.88150495886274
bearmountain,bm26,prefire,2019,PSME,DEAD,0.152053084433746,1,10,1.52053084433746,4.04686,0.615337545271549
bearmountain,bm26,prefire,2019,QUKE,DEAD,0.146444556148925,6,60,1.46444556148925,24.28116,0.592640616496838
bearmountain,bm27,postfire,2021,CADE27,DEAD,1.14238754680098,3,30,11.4238754680098,12.14058,4.62308246764702
bearmountain,bm27,postfire,2021,PIPO,DEAD,0.0401149965936881,1,10,0.401149965936881,4.04686,0.162339775115133
bearmountain,bm27,postfire,2021,PSME,DEAD,0.112220831178881,1,10,1.12220831178881,4.04686,0.454141992864566
bearmountain,bm27,postfire,2021,QUKE,DEAD,0.107521008569111,1,10,1.07521008569111,4.04686,0.435122468737991
bearmountain,bm27,prefire,2019,CADE27,DEAD,1.31932361584748,4,40,13.1932361584748,16.18744,5.33911796802855
bearmountain,bm27,prefire,2019,PIPO,DEAD,0.0426384808926841,1,10,0.426384808926841,4.04686,0.172551962785367
bearmountain,bm27,prefire,2019,PSME,DEAD,0.210725468832189,2,20,2.10725468832189,8.09372,0.852776470798232
bearmountain,bm27,prefire,2019,QUKE,DEAD,0.164029621027394,1,10,1.64029621027394,4.04686,0.663804912150918
bearmountain,bm3,postfire,2021,CADE27,DEAD,0.0260155287643771,1,10,0.260155287643771,4.04686,0.105281202735407
bearmountain,bm3,postfire,2021,CADE27,LIVE,0.0510705155749191,1,10,0.510705155749191,4.04686,0.206675226659517
bearmountain,bm3,postfire,2021,PSME,LIVE,0.243668994795895,1,10,2.43668994795895,4.04686,0.986094308279715
bearmountain,bm3,prefire,2019,CADE27,LIVE,0.076957239040499,2,20,0.76957239040499,8.09372,0.311435172383434
bearmountain,bm3,prefire,2019,PSME,LIVE,0.238447667805629,1,10,2.38447667805629,4.04686,0.964964328935887
bearmountain,bm4,postfire,2021,CADE27,DEAD,0.29043867002805,5,50,2.9043867002805,20.2343,1.17536463618971
bearmountain,bm4,postfire,2021,CADE27,LIVE,0.514737389920073,9,90,5.14737389920073,36.42174,2.08307015377195
bearmountain,bm4,postfire,2021,PIPO,DEAD,0.00693977817177985,1,10,0.0693977817177985,4.04686,0.028084310692249
bearmountain,bm4,postfire,2021,PIPO,LIVE,0.42278061675501,2,20,4.2278061675501,8.09372,1.71093396672118
bearmountain,bm4,prefire,2019,CADE27,DEAD,0.101917978071433,5,50,1.01917978071433,20.2343,0.41244778873816
bearmountain,bm4,prefire,2019,CADE27,LIVE,0.729404772134354,11,110,7.29404772134354,44.51546,2.95179899615963
bearmountain,bm4,prefire,2019,PIPO,LIVE,0.420686745251392,3,30,4.20686745251392,12.14058,1.70246036188805
bearmountain,bm5,postfire,2021,CADE27,DEAD,0.0736467857817787,3,30,0.736467857817787,12.14058,0.298038231508849
bearmountain,bm5,postfire,2021,CADE27,LIVE,0.145635596040625,3,30,1.45635596040625,12.14058,0.589366868192965
bearmountain,bm5,postfire,2021,PIPO,LIVE,0.225641750751433,1,10,2.25641750751433,4.04686,0.913140575445945
bearmountain,bm5,postfire,2021,QUKE,DEAD,0.00502654824574367,1,10,0.0502654824574367,4.04686,0.0203417370337702
bearmountain,bm5,postfire,2021,QUKE,LIVE,0.0543252055640381,1,10,0.543252055640381,4.04686,0.219846501388883
bearmountain,bm5,prefire,2019,CADE27,DEAD,0.0929126027299181,4,40,0.929126027299181,16.18744,0.376004295483597
bearmountain,bm5,prefire,2019,CADE27,LIVE,0.0675206801072786,2,20,0.675206801072786,8.09372,0.273246739498942
bearmountain,bm6,postfire,2021,CADE27,LIVE,0.769480498819872,2,20,7.69480498819872,8.09372,3.11397985145419
bearmountain,bm6,prefire,2019,CADE27,DEAD,0.0274645883758454,1,10,0.274645883758454,4.04686,0.111145344114674
bearmountain,bm6,prefire,2019,CADE27,LIVE,0.792466746868025,2,20,7.92466746868025,8.09372,3.20700197923034
bearmountain,bm7,postfire,2021,CADE27,LIVE,0.916931150016109,2,20,9.16931150016109,8.09372,3.71069199375419
bearmountain,bm7,postfire,2021,PIPO,LIVE,0.466463677205013,2,20,4.66463677205013,8.09372,1.88771319673388
bearmountain,bm7,prefire,2019,CADE27,LIVE,0.923942399420758,2,20,9.23942399420758,8.09372,3.73906553851989
bearmountain,bm7,prefire,2019,PIPO,DEAD,0.00477836242611008,1,10,0.0477836242611008,4.04686,0.0193373637677278
bearmountain,bm7,prefire,2019,PIPO,LIVE,0.433069332695516,2,20,4.33069332695516,8.09372,1.75257095971218
bearmountain,bm8,prefire,2019,CADE27,DEAD,0.00502654824574367,1,10,0.0502654824574367,4.04686,0.0203417370337702
bearmountain,bm8,prefire,2019,CADE27,LIVE,0.430250538687083,6,60,4.30250538687083,24.28116,1.74116369499121
bearmountain,bm8,prefire,2019,PIPO,DEAD,1.39480509173896,4,40,13.9480509173896,16.18744,5.64458093355473
bearmountain,bm8,prefire,2019,PIPO,LIVE,0.172406677838191,3,30,1.72406677838191,12.14058,0.697705688276261
bearmountain,bm8,prefire,2019,QUKE,DEAD,0.287475362757551,1,10,2.87475362757551,4.04686,1.16337254652902
blisssp,bliss1,prefire,2019,ABCO,DEAD,0.8764368061095,7,70,8.764368061095,28.32802,3.54681705317229
blisssp,bliss1,prefire,2019,ABCO,LIVE,1.49039825840055,22,220,14.9039825840055,89.03092,6.03143309599086
blisssp,bliss10,prefire,2019,ABCO,DEAD,0.18991320290032,2,20,1.8991320290032,8.09372,0.768552144289189
blisssp,bliss10,prefire,2019,ABCO,LIVE,2.05108222627754,17,170,20.5108222627754,68.79662,8.30044261823353
blisssp,bliss10,prefire,2019,ABMA,LIVE,0.220618344098343,1,10,2.20618344098343,4.04686,0.892811551997821
blisssp,bliss10,prefire,2019,PILA,LIVE,1.4420106629518,1,10,14.420106629518,4.04686,5.83561527147312
blisssp,bliss11,prefire,2019,ABCO,DEAD,0.364369769944978,2,20,3.64369769944978,8.09372,1.47455344719953
blisssp,bliss11,prefire,2019,ABCO,LIVE,1.64447767009586,11,110,16.4447767009587,44.51546,6.65497090400415
blisssp,bliss11,prefire,2019,CADE27,DEAD,0.0107513154587477,1,10,0.107513154587477,4.04686,0.0435090684773876
blisssp,bliss11,prefire,2019,PIJE,LIVE,0.370461318100289,4,40,3.70461318100289,16.18744,1.49920508976733
blisssp,bliss11,prefire,2019,PILA,DEAD,0.453645979178366,1,10,4.53645979178366,4.04686,1.83584176729776
blisssp,bliss11,prefire,2019,PILA,LIVE,0.0759644957619646,1,10,0.759644957619646,4.04686,0.307417679319264
blisssp,bliss12,prefire,2019,ABCO,DEAD,0.0261270553035795,4,40,0.261270553035795,16.18744,0.105732535025844
blisssp,bliss12,prefire,2019,ABCO,LIVE,0.0186265028431339,1,10,0.186265028431339,4.04686,0.0753788492957648
blisssp,bliss12,prefire,2019,CADE27,DEAD,0.21139384266924,3,30,2.1139384266924,12.14058,0.855481286144441
blisssp,bliss12,prefire,2019,PIJE,LIVE,0.142865693067863,1,10,1.42865693067863,4.04686,0.578157458648614
blisssp,bliss12,prefire,2019,PILA,LIVE,1.68103343856258,3,30,16.8103343856258,12.14058,6.80290698118135
blisssp,bliss13,prefire,2019,ABCO,DEAD,0.125036173011037,1,10,1.25036173011037,4.04686,0.506003887111446
blisssp,bliss13,prefire,2019,ABCO,LIVE,1.16621338548581,8,80,11.6621338548581,32.37488,4.71950230118709
blisssp,bliss13,prefire,2019,CADE27,LIVE,0.0642424281732577,1,10,0.642424281732577,4.04686,0.25998011287723
blisssp,bliss13,prefire,2019,PILA,DEAD,0.182466842913149,1,10,1.82466842913149,4.04686,0.738417767911505
blisssp,bliss13,prefire,2019,PILA,LIVE,0.53552373771255,2,20,5.3552373771255,8.09372,2.16718959319941
blisssp,bliss14,prefire,2019,ABCO,DEAD,0.129461891661782,1,10,1.29461891661782,4.04686,0.523914150890398
blisssp,bliss14,prefire,2019,ABCO,LIVE,0.985032239366139,5,50,9.85032239366139,20.2343,3.98628756820125
blisssp,bliss14,prefire,2019,PIJE,LIVE,0.15067392525882,1,10,1.5067392525882,4.04686,0.609756281172909
blisssp,bliss14,prefire,2019,PILA,DEAD,0.0518747632942381,1,10,0.518747632942381,4.04686,0.20992990458492
blisssp,bliss14,prefire,2019,PILA,LIVE,0.37917216913053,3,30,3.7917216913053,12.14058,1.53445668436758
blisssp,bliss15,prefire,2019,ABCO,DEAD,0.369843995143858,2,20,3.69843995143858,8.09372,1.49670687018787
blisssp,bliss15,prefire,2019,ABCO,LIVE,0.704493513187714,7,70,7.04493513187714,28.32802,2.85098661877883
blisssp,bliss15,prefire,2019,PIJE,LIVE,0.712188058994518,2,20,7.12188058994518,8.09372,2.88212536842256
blisssp,bliss15,prefire,2019,PILA,LIVE,0.499617689876509,5,50,4.99617689876509,20.2343,2.02188284445365
blisssp,bliss2,prefire,2019,ABCO,DEAD,0.161918470764181,2,20,1.61918470764181,8.09372,0.655261382596735
blisssp,bliss2,prefire,2019,ABCO,LIVE,0.615525180034378,4,40,6.15525180034378,16.18744,2.49094423007392
blisssp,bliss2,prefire,2019,ABCO ,LIVE,0.081433223173701,1,10,0.814332231737011,4.04686,0.329548853532724
blisssp,bliss2,prefire,2019,CADE27,DEAD,0.729110444172621,1,10,7.29110444172621,4.04686,2.95060789210441
blisssp,bliss2,prefire,2019,CADE27,LIVE,0.180327614665595,3,30,1.80327614665595,12.14058,0.72976061068561
blisssp,bliss2,prefire,2019,PILA,LIVE,0.253828905437604,2,20,2.53828905437604,8.09372,1.02721004425922
blisssp,bliss3,prefire,2019,ABCO,DEAD,0.406261337184271,2,20,4.06261337184271,8.09372,1.64408275499754
blisssp,bliss3,prefire,2019,ABCO,LIVE,1.08714028379311,12,120,10.8714028379311,48.56232,4.399504528871
blisssp,bliss3,prefire,2019,ABCO ,DEAD,0.0147411381288067,1,10,0.147411381288067,4.04686,0.0596553222479427
blisssp,bliss3,prefire,2019,ABCO ,LIVE,0.0903899038290855,2,20,0.903899038290855,8.09372,0.365795286209773
blisssp,bliss3,prefire,2019,PIJE,LIVE,0.264207942166902,1,10,2.64207942166902,4.04686,1.06921255283755
blisssp,bliss4,prefire,2019,ABCO,DEAD,0.562695372573448,3,30,5.62695372573448,12.14058,2.27714939545258
