site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
antelope,antelope01,prefire,2020,PIJE,LIVE,1.18987115681765,22,220,11.8987115681765,89.03092,4.81524198967906
antelope,antelope02,prefire,2020,PIJE,LIVE,1.22446086947785,12,120,12.2446086947785,48.56232,4.95522171425513
antelope,antelope03,prefire,2020,PIJE,LIVE,0.276475076081006,3,30,2.76475076081006,12.14058,1.11885592638918
antelope,antelope04,prefire,2020,PIJE,LIVE,0.214161585797053,6,60,2.14161585797053,24.28116,0.866681955098661
antelope,antelope04,prefire,2020,PIMO1,LIVE,0.0810358117030219,6,60,0.810358117030219,24.28116,0.327940584948491
antelope,antelope05,prefire,2020,PIJE,LIVE,0.313728081767274,3,30,3.13728081767274,12.14058,1.26961362498071
antelope,antelope06,prefire,2020,PIJE,DEAD,0.409415496208475,1,10,4.09415496208475,4.04686,1.65684719498623
antelope,antelope06,prefire,2020,PIJE,LIVE,0.0962112750161874,1,10,0.962112750161874,4.04686,0.389353560412008
antelope,antelope07,prefire,2020,PIJE,LIVE,0.361839217062512,14,140,3.61839217062512,56.65604,1.4643126539616
antelope,antelope08,prefire,2020,PIJE,LIVE,1.09246233809784,6,60,10.9246233809784,24.28116,4.42104213755461
antelope,antelope09,prefire,2020,PIJE,LIVE,0.782566017620237,17,170,7.82566017620237,68.79662,3.16693511406663
antelope,antelope10,prefire,2020,PIJE,LIVE,0.987850247976409,2,20,9.87850247976409,8.09372,3.99769165452581
antelope,antelope11,prefire,2020,PIJE,DEAD,0.303857983047858,1,10,3.03857983047858,4.04686,1.22967071727706
antelope,antelope11,prefire,2020,PIJE,LIVE,1.32565156884998,9,90,13.2565156884998,36.42174,5.36472630791622
antelope,antelope12,prefire,2020,PIJE,LIVE,1.3080559010963,23,230,13.080559010963,93.07778,5.29351910391059
antelope,antelope13,prefire,2020,PIJE,LIVE,0.805588393983907,5,50,8.05588393983907,20.2343,3.26010344807771
antelope,antelope14,prefire,2020,PIJE,LIVE,0.541080429718587,3,30,5.41080429718587,12.14058,2.18967674781096
antelope,antelope15,prefire,2020,PIJE,LIVE,1.07515432242151,3,30,10.7515432242151,12.14058,4.35099902123469
antelope,antelope16,prefire,2020,PIJE,DEAD,0.0448627284914256,1,10,0.448627284914256,4.04686,0.181553181422811
antelope,antelope16,prefire,2020,PIJE,LIVE,0.253992268255591,3,30,2.53992268255591,12.14058,1.02787115071282
antelope,antelope17,prefire,2020,PIJE,LIVE,0.13854423602331,1,10,1.3854423602331,4.04686,0.560669126993292
antelope,antelope18,prefire,2020,PIJE,LIVE,0.239292756229444,2,20,2.39292756229444,8.09372,0.968384283474689
antelope,antelope19,prefire,2020,PIJE,LIVE,0.707377495243709,4,40,7.07377495243709,16.18744,2.86265769040196
bearmountain,bm1,postfire,2021,CADE27,DEAD,0.28586608192075,2,20,2.8586608192075,8.09372,1.1568600122818
bearmountain,bm1,postfire,2021,CADE27,LIVE,0.484183830567586,4,40,4.84183830567586,16.18744,1.95942417657074
bearmountain,bm1,postfire,2021,PIPO,LIVE,0.254592312452427,2,20,2.54592312452427,8.09372,1.03029944557123
bearmountain,bm1,prefire,2019,CADE27,DEAD,0.283470617522387,3,30,2.83470617522387,12.14058,1.14716590322665
bearmountain,bm1,prefire,2019,CADE27,LIVE,0.465558113122615,4,40,4.65558113122615,16.18744,1.88404850567139
bearmountain,bm1,prefire,2019,PIPO,LIVE,0.242472047994877,2,20,2.42472047994877,8.09372,0.981250432148549
bearmountain,bm10,postfire,2021,CADE27,LIVE,0.278176248502925,3,30,2.78176248502925,12.14058,1.12574033301655
bearmountain,bm10,postfire,2021,PIPO,LIVE,1.07273293988375,4,40,10.7273293988375,16.18744,4.34120002509796
bearmountain,bm10,prefire,2019,CADE27,DEAD,0.00580880481648753,1,10,0.0580880481648753,4.04686,0.0235074198596507
bearmountain,bm10,prefire,2019,CADE27,LIVE,0.282342785759749,3,30,2.82342785759749,12.14058,1.1426017259797
bearmountain,bm10,prefire,2019,PIPO,LIVE,1.06606962186549,4,40,10.6606962186549,16.18744,4.31423450994257
bearmountain,bm11,postfire,2021,CADE27,DEAD,0.0987269053335494,4,40,0.987269053335494,16.18744,0.399533964118128
bearmountain,bm11,postfire,2021,CADE27,LIVE,0.0936076801045249,2,20,0.936076801045249,8.09372,0.378817176307798
bearmountain,bm11,postfire,2021,PIPO,LIVE,0.0317308711994203,1,10,0.317308711994203,4.04686,0.128410393422086
bearmountain,bm11,prefire,2019,CADE27,DEAD,0.149994555847481,7,70,1.49994555847481,28.32802,0.607006968276938
bearmountain,bm11,prefire,2019,CADE27,LIVE,0.0838404685445142,2,20,0.838404685445142,8.09372,0.339290638534053
bearmountain,bm11,prefire,2019,PIPO,LIVE,0.0292552961883916,1,10,0.292552961883916,4.04686,0.118392087932954
bearmountain,bm12,postfire,2021,ABCO,DEAD,0.143012366174878,2,20,1.43012366174878,8.09372,0.578751024178467
bearmountain,bm12,postfire,2021,CADE27,DEAD,1.01956148422174,2,20,10.1956148422174,8.09372,4.12602258803761
bearmountain,bm12,postfire,2021,PILA,LIVE,0.82033581529802,1,10,8.2033581529802,4.04686,3.31978419749695
bearmountain,bm12,postfire,2021,PIPO,LIVE,0.543671458259635,1,10,5.43671458259635,4.04686,2.20016227757259
bearmountain,bm12,prefire,2019,ABCO,DEAD,0.205011697193473,2,20,2.05011697193473,8.09372,0.829653636904376
