plot_id,time,fuel_size,mass,treatment_type
springs23,postburn_mass,mass_10hr,0.695355146,control
springs23,postburn_mass,mass_100hr,0.276698415,control
springs23,postburn_mass,mass_cwd_sound,0,control
springs23,postburn_mass,mass_cwd_rotten,0,control
springs23,postburn_mass,total_fuel,1.015651607,control
springs24,preburn_mass,mass_1hr,0.007266341,control
springs24,preburn_mass,mass_10hr,0.208606544,control
springs24,preburn_mass,mass_100hr,0.553396829,control
springs24,preburn_mass,mass_cwd_sound,0.196171796,control
springs24,preburn_mass,mass_cwd_rotten,0,control
springs24,preburn_mass,total_fuel,0.96544151,control
springs24,postburn_mass,mass_1hr,0.021799023,control
springs24,postburn_mass,mass_10hr,0.417213088,control
springs24,postburn_mass,mass_100hr,0.276698415,control
springs24,postburn_mass,mass_cwd_sound,0,control
springs24,postburn_mass,mass_cwd_rotten,0,control
springs24,postburn_mass,total_fuel,0.715710525,control
springs25,preburn_mass,mass_1hr,0.101728774,control
springs25,preburn_mass,mass_10hr,1.251639263,control
springs25,preburn_mass,mass_100hr,0.276698415,control
springs25,preburn_mass,mass_cwd_sound,0,control
springs25,preburn_mass,mass_cwd_rotten,1.372259441,control
springs25,preburn_mass,total_fuel,3.002325892,control
springs25,postburn_mass,mass_1hr,0,control
springs25,postburn_mass,mass_10hr,0.278142059,control
springs25,postburn_mass,mass_100hr,0.830095244,control
springs25,postburn_mass,mass_cwd_sound,0,control
springs25,postburn_mass,mass_cwd_rotten,0,control
springs25,postburn_mass,total_fuel,1.108237302,control
springs26,preburn_mass,mass_1hr,0.061763898,2010rx
springs26,preburn_mass,mass_10hr,1.80792338,2010rx
springs26,preburn_mass,mass_100hr,1.383492073,2010rx
springs26,preburn_mass,mass_cwd_sound,0.745830079,2010rx
springs26,preburn_mass,mass_cwd_rotten,0,2010rx
springs26,preburn_mass,total_fuel,3.999009431,2010rx
springs26,postburn_mass,mass_1hr,0.036331705,2010rx
springs26,postburn_mass,mass_10hr,0.417213088,2010rx
springs26,postburn_mass,mass_100hr,0.553396829,2010rx
springs26,postburn_mass,mass_cwd_sound,0.58976284,2010rx
springs26,postburn_mass,mass_cwd_rotten,0,2010rx
springs26,postburn_mass,total_fuel,1.596704462,2010rx
springs27,preburn_mass,mass_1hr,0.112628285,2010rx
springs27,preburn_mass,mass_10hr,1.112568234,2010rx
springs27,preburn_mass,mass_100hr,0,2010rx
springs27,preburn_mass,mass_cwd_sound,0,2010rx
springs27,preburn_mass,mass_cwd_rotten,0,2010rx
springs27,preburn_mass,total_fuel,1.225196519,2010rx
springs27,postburn_mass,mass_1hr,0.010899511,2010rx
springs27,postburn_mass,mass_10hr,0.278142059,2010rx
springs27,postburn_mass,mass_100hr,0,2010rx
springs27,postburn_mass,mass_cwd_sound,0,2010rx
springs27,postburn_mass,mass_cwd_rotten,0,2010rx
springs27,postburn_mass,total_fuel,0.28904157,2010rx
springs28,preburn_mass,mass_1hr,0.021799023,2010rx
springs28,preburn_mass,mass_10hr,0.069535515,2010rx
springs28,preburn_mass,mass_100hr,1.936888902,2010rx
springs28,preburn_mass,mass_cwd_sound,0,2010rx
springs28,preburn_mass,mass_cwd_rotten,0,2010rx
springs28,preburn_mass,total_fuel,2.02822344,2010rx
springs28,postburn_mass,mass_1hr,0,2010rx
springs28,postburn_mass,mass_10hr,0.069535515,2010rx
springs28,postburn_mass,mass_100hr,0,2010rx
springs28,postburn_mass,mass_cwd_sound,0,2010rx
springs28,postburn_mass,mass_cwd_rotten,0,2010rx
springs28,postburn_mass,total_fuel,0.069535515,2010rx
springs29,preburn_mass,mass_1hr,0.014532682,2010rx
springs29,preburn_mass,mass_10hr,0.973497205,2010rx
springs29,preburn_mass,mass_100hr,1.660190488,2010rx
springs29,preburn_mass,mass_cwd_sound,0.166746027,2010rx
springs29,preburn_mass,mass_cwd_rotten,0,2010rx
springs29,preburn_mass,total_fuel,2.814966401,2010rx
springs29,postburn_mass,mass_1hr,0.010899511,2010rx
springs29,postburn_mass,mass_10hr,0.834426176,2010rx
springs29,postburn_mass,mass_100hr,0,2010rx
springs29,postburn_mass,mass_cwd_sound,0,2010rx
springs29,postburn_mass,mass_cwd_rotten,0,2010rx
springs29,postburn_mass,total_fuel,0.845325687,2010rx
springs3,preburn_mass,mass_1hr,0.014532682,control
springs3,preburn_mass,mass_10hr,0.695355146,control
springs3,preburn_mass,mass_100hr,1.660190488,control
springs3,preburn_mass,mass_cwd_sound,0,control
springs3,preburn_mass,mass_cwd_rotten,0,control
springs3,preburn_mass,total_fuel,2.370078316,control
springs3,postburn_mass,mass_1hr,0.00363317,control
springs3,postburn_mass,mass_10hr,0.208606544,control
springs3,postburn_mass,mass_100hr,0.276698415,control
springs3,postburn_mass,mass_cwd_sound,0,control
springs3,postburn_mass,mass_cwd_rotten,0,control
springs3,postburn_mass,total_fuel,0.488938129,control
springs30,preburn_mass,mass_1hr,0.00363317,2010rx
springs30,preburn_mass,mass_10hr,1.04303272,2010rx
springs30,preburn_mass,mass_100hr,0.830095244,2010rx
springs30,preburn_mass,mass_cwd_sound,0.048288442,2010rx
springs30,preburn_mass,mass_cwd_rotten,0,2010rx
springs30,preburn_mass,total_fuel,1.925049576,2010rx
springs30,postburn_mass,mass_1hr,0.00363317,2010rx
springs30,postburn_mass,mass_10hr,0.278142059,2010rx
springs30,postburn_mass,mass_100hr,0,2010rx
springs30,postburn_mass,mass_cwd_sound,0,2010rx
springs30,postburn_mass,mass_cwd_rotten,0,2010rx
springs30,postburn_mass,total_fuel,0.281775229,2010rx
springs4,preburn_mass,mass_1hr,0.047231216,control
springs4,preburn_mass,mass_10hr,0.347677573,control
springs4,preburn_mass,mass_100hr,1.936888902,control
springs4,preburn_mass,mass_cwd_sound,0.109403502,control
springs4,preburn_mass,mass_cwd_rotten,0.035316582,control
springs4,preburn_mass,total_fuel,2.476517776,control
springs4,postburn_mass,mass_1hr,0.018165852,control
springs4,postburn_mass,mass_10hr,0.278142059,control
springs4,postburn_mass,mass_100hr,0.830095244,control
springs4,postburn_mass,mass_cwd_sound,0,control
springs4,postburn_mass,mass_cwd_rotten,0,control
springs4,postburn_mass,total_fuel,1.126403155,control
