site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton16,nr,prefire,,abma,live,TR,TOV,7,
BurtonSP,2019,burton16,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton17,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton2,ag,prefire,,abma,dead,TR,TOV,0.5,
BurtonSP,2019,burton2,ag,prefire,,abma,live,TR,TOV,4,
BurtonSP,2019,burton2,ag,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton3,ag,prefire,,abma,live,TR,TOV,40,
BurtonSP,2019,burton3,ag,prefire,,abma,live,TR,TSA,1,
BurtonSP,2019,burton3,ag,prefire,,abma,live,TR,TSE,1,
BurtonSP,2019,burton4,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton5,ag,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton6,ag,prefire,,abma,live,TR,TOV,15,
BurtonSP,2019,burton6,ag,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton6,ag,prefire,,abma,dead,TR,TSA,tr,
BurtonSP,2019,burton6,ag,prefire,,abma,dead,TR,TOV,1,
BurtonSP,2019,burton7,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton7,nr,prefire,,abma,live,TR,TOV,4,
BurtonSP,2019,burton8,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton8,nr,prefire,,abma,live,TR,TOV,2,
BurtonSP,2019,burton9,nr,prefire,,abma,live,TR,TSE,tr,
BurtonSP,2019,burton9,nr,prefire,,abma,live,TR,TOV,,
BurtonSP,2019,burton11,nr,prefire,,abma ,live,TR,TOV,8.5,
BurtonSP,2019,burton19,nr,prefire,,acmgla,live,TR,TSE,tr,
BurtonSP,2019,burton3,ag,prefire,,acmgla,live,TR,TSE,tr,
BurtonSP,2019,burton3,ag,prefire,,achnatherum,live,GR,,tr,
BurtonSP,2019,burton12,nr,prefire,,amut,live,FB,,0.5,
BurtonSP,2019,burton16,nr,prefire,,amut,live,SH,SL,tr,
BurtonSP,2019,burton16,nr,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton18,nr,prefire,,amut,live,SH,SL,0.5,
BurtonSP,2019,burton18,nr,prefire,,amut,live,SH,SM,tr,
BurtonSP,2019,burton20,nr,prefire,,amut,live,SH,SL,tr,
