site,year,pre_post_fire,plotid,obs,species,status,lifeform,layer_code,percent,notes,,,
frenchmeadows,2020,prefire,FM051,vs,ABCO,live,TR,TOV,29,H,,,
frenchmeadows,2020,prefire,FM051,vs,ABCO,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM043,vs,ABCO,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM043,vs,ABCO,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM043,vs,ABCO,live,TR,TOV,37,H,,,
frenchmeadows,2020,prefire,FM043,,ABCO,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM042,vs,ABCO,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM042,vs,ABCO,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM042,vs,ABCO,live,TR,TOV,11,H,,,
frenchmeadows,2020,prefire,FM041,vs,ABCO,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM041,vs,ABCO,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM041,vs,ABCO,live,TR,TOV,52,H,,,
frenchmeadows,2020,prefire,FM041,vs,ABCO,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM064,vs,ABCO,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM064,vs,ABCO,live,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM064,vs,ABCO,live,TR,TOV,15,H,,,
frenchmeadows,2020,prefire,FM064,vs,ABCO,dead,TR,TOV,tr,H,,,
frenchmeadows,2020,prefire,FM063,vs,ABCO,live,TR,TSE,tr,L,,,
frenchmeadows,2020,prefire,FM063,vs,ABCO,live,TR,TSA,1,M,,,
frenchmeadows,2020,prefire,FM063,vs,ABCO,dead,TR,TSA,tr,M,,,
frenchmeadows,2020,prefire,FM063,vs,ABCO,live,TR,TOV,28,H,,,
frenchmeadows,2020,prefire,FM063,vs,ABCO,dead,TR,TOV,1,H,,,
frenchmeadows,2020,prefire,FM039,km,abies,dead,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM039,km,abies,dead,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM055,km,ABMA,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM055,km,ABMA,live,TR,TSA,1,,,,
frenchmeadows,2020,prefire,FM055,km,ABMA,dead,TR,TOV,1.5,,,,
frenchmeadows,2020,prefire,FM055,km,ABMA,dead,TR,TSA,tr,,,,
frenchmeadows,2020,prefire,FM040,km,ABMA,live,TR,TSE,0.25,,,,
frenchmeadows,2020,prefire,FM040,km,ABMA,live,TR,TSA,0.5,,,,
frenchmeadows,2020,prefire,FM040,km,ABMA,live,TR,TOV,3,,,,
frenchmeadows,2020,prefire,FM040,km,ABMA,dead,TR,TOV,0.5,,,,
frenchmeadows,2020,prefire,FM039,km,ABMA,live,TR,TSE,5,,,,
frenchmeadows,2020,prefire,FM039,km,ABMA,live,TR,TSA,7,,,,
frenchmeadows,2020,prefire,FM039,km,ABMA,live,TR,TOV,,,,,
frenchmeadows,2020,prefire,FM039,km,ABMA,dead,TR,TOV,1,,,,
frenchmeadows,2020,prefire,FM047,km,ABMA,live,TR,TOV,10,,,,
frenchmeadows,2020,prefire,FM057,km,ABMA,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM057,km,ABMA,dead,TR,TOV,1.5,,,,
frenchmeadows,2020,prefire,FM069,km,ABMA,live,TR,TSE,5,,,,
frenchmeadows,2020,prefire,FM069,km,ABMA,live,TR,TSA,4,,,,
frenchmeadows,2020,prefire,FM069,km,ABMA,live,TR,TOV,6,,,,
frenchmeadows,2020,prefire,FM068,km,ABMA,live,TR,TSE,tr,,,,
frenchmeadows,2020,prefire,FM062,km,ABMA,live,TR,TSE,0.5,,,,
frenchmeadows,2020,prefire,FM062,km,ABMA,live,TR,TSA,3,,,,
frenchmeadows,2020,prefire,FM062,km,ABMA,live,TR,TOV,13,,,,
