pre_post_fire,year,site,plotid,obs,species,status,lifeform,layer_code,percent,notes
prefire,2019,slypark,hcp6,ag,cein,live,SH,SM,15,
prefire,2019,slypark,hcp6,ag,cein,live,SH,SL,15,
prefire,2019,slypark,hcp7,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,hcp8,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,hcp9,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi1,ag,cein,live,SH,SL,tr,resprouting
prefire,2019,slypark,spi1,ag,cein,live,SH,SM,tr,
prefire,2019,slypark,spi10,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi11,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi11,ag,cein,live,SH,SM,tr,
prefire,2019,slypark,spi2,ag,cein,live,SH,SL,tr,very grazed in areas resprouting 
prefire,2019,slypark,spi3,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi5,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi7,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi7,ag,cein,live,SH,SM,tr,
prefire,2019,slypark,spi8,ag,cein,live,SH,SM,tr,
prefire,2019,slypark,spi8,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi9,ag,cein,live,SH,SL,tr,
prefire,2019,slypark,spi9,ag,cein,live,SH,SM,tr,
prefire,2019,slypark,hcp10,ag,chfo,live,FB,,27,
prefire,2019,slypark,hcp11,ag,chfo,live,FB,,25,
prefire,2019,slypark,hcp2,ag,chfo,live,FB,,tr,
prefire,2019,slypark,hcp3,ag,chfo,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,chfo,live,FB,,3,
prefire,2019,slypark,hcp5,ag,chfo,live,FB,,50,
prefire,2019,slypark,hcp6,ag,chfo,live,FB,,30,
prefire,2019,slypark,hcp7,ag,chfo,live,FB,,55,
prefire,2019,slypark,hcp8,ag,chfo,live,FB,,80,
prefire,2019,slypark,hcp9,ag,chfo,live,FB,,35,
prefire,2019,slypark,spi10,ag,chfo,live,FB,,1,
prefire,2019,slypark,spi11,ag,chfo,live,FB,,tr,
prefire,2019,slypark,spi3,ag,chfo,live,FB,,tr,
prefire,2019,slypark,spi5,ag,chfo,live,FB,,tr,
prefire,2019,slypark,spi7,ag,chfo,live,FB,,40,
prefire,2019,slypark,spi8,ag,chfo,live,FB,,45,
prefire,2019,slypark,spi9,ag,chfo,live,FB,,90,
prefire,2019,slypark,spi2,ag,cioc,live,FB,,tr,cersium
prefire,2019,slypark,spi3,ag,cioc,live,FB,,tr,
prefire,2019,slypark,spi4,ag,cioc,live,FB,,tr,large specimen outside plot
prefire,2019,slypark,spi5,ag,cioc,live,FB,,tr,
prefire,2019,slypark,spi6,ag,cioc,live,FB,,tr,
prefire,2019,slypark,spi3,ag,cirvul,live,FB,,tr,
prefire,2019,slypark,spi4,ag,cirvul,live,FB,,tr,
prefire,2019,slypark,spi3,ag,claparpar,live,FB,,tr,Claytonia parviflora subsp. parviflora
prefire,2019,slypark,spi6,ag,claparpar,live,FB,,tr,
prefire,2019,slypark,hcp10,ag,claparpar,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,claparpar,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,claparpar,live,FB,,tr,
prefire,2019,slypark,spi11,ag,claparpar,live,FB,,tr,
prefire,2019,slypark,hcp11,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp5,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp7,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp8,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp9,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi10,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi11,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi2,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi3,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi4,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi5,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi6,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi7,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi8,ag,clarho,live,FB,,tr,
prefire,2019,slypark,spi9,ag,clarho,live,FB,,tr,
prefire,2019,slypark,hcp6,ag,coar,live,FB,,tr,
prefire,2019,slypark,hcp4,ag,coco,live,FB,,tr,
prefire,2019,slypark,spi6,ag,coco,live,TR,TSA,tr,
prefire,2019,slypark,spi6,ag,coco,live,TR,TSE,tr,
