plotid,obs,species,status,lifeform,layer_code,percent,modal_ht_m,notes,site,pre_post_fire,postTime,year
MOD009,zmz,abco,dead,TR,TOV,3,na,,modoc,postfire,1yr,2022
MOD009,zmz,abco,live,TR,TOV,9,na,,modoc,postfire,1yr,2022
MOD009,zmz,abco,dead,TR,TSA,tr,na,,modoc,postfire,1yr,2022
MOD009,zmz,abco,dead,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD009,zmz,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD010,TP,abco,dead,TR,TOV,10,na,,modoc,postfire,1yr,2022
MOD010,TP,abco,dead,TR,TSA,tr,na,,modoc,postfire,1yr,2022
MOD010,TP,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD010,TP,abco,live,TR,TOV,3,na,,modoc,postfire,1yr,2022
MOD011,TP,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD011,TP,abco,live,TR,TOV,10,na,,modoc,postfire,1yr,2022
MOD012,zmz,abco,dead,TR,TOV,tr,na,,modoc,postfire,1yr,2022
MOD012,zmz,abco,live,TR,TOV,30,na,,modoc,postfire,1yr,2022
MOD012,zmz,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD012,zmz,abco,dead,TR,TSA,tr,na,,modoc,postfire,1yr,2022
MOD012,zmz,abco,dead,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",abco,live,TR,TOV,35,27,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",abco,live,TR,TSE,tr,0.1,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",abco,live,TR,TSA,tr,1.75,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",abco,dead,TR,TSE,tr,0.2,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",abco,dead,TR,TOV,tr,na,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,dead,TR,TSA,tr,2.5,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,dead,TR,TSE,tr,0.5,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,live,TR,TSA,tr,3.6,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,live,TR,TSE,tr,0.08,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,live,TR,TOV,35,34,,modoc,postfire,1yr,2022
MOD014,"tp,zmz",abco,dead,TR,TOV,tr,27,,modoc,postfire,1yr,2022
MOD015,"ZMZ, TP, MM",abco,live,TR,TOV,5,19,,modoc,postfire,1yr,2022
MOD015,"ZMZ, TP, MM",abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD018,"tp, bk,kw",abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD018,"tp, bk,kw",abco,dead,TR,TOV,2,na,,modoc,postfire,1yr,2022
MOD019,ZMZ,Abco,live,TR,TOV,2,na,,modoc,postfire,1yr,2022
MOD020,"tp,zmz",abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD020,"tp,zmz",abco,live,TR,TSA,tr,na,,modoc,postfire,1yr,2022
MOD021,ZMZ,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD022,ZMZ,abco,live,TR,TOV,8,na,,modoc,postfire,1yr,2022
MOD022,ZMZ,abco,dead,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD022,ZMZ,abco,live,TR,TSE,tr,na,,modoc,postfire,1yr,2022
MOD023,"TP, ZMZ",ABCO,live,TR,TOV,10,na,,modoc,postfire,1yr,2022
MOD023,"TP, ZMZ",ABCO,live,TR,TSE,tr,0.1,,modoc,postfire,1yr,2022
MOD024,"TP, ZMZ",ABCO,live,TR,TOV,3,22,,modoc,postfire,1yr,2022
MOD024,"TP, ZMZ",ABCO,live,TR,TSE,tr,0.05,,modoc,postfire,1yr,2022
MOD016,"TP, ZMZ",agapar,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD020,"tp,zmz",agapar,live,FB,na,tr,na,sp list says urticifolia,modoc,postfire,1yr,2022
MOD010,TP,agoseris,live,FB,na,tr,na,TRP: removed question mark,modoc,postfire,1yr,2022
MOD016,"TP, ZMZ",agoseris,live,FB,na,tr,na,TRP: removed question mark,modoc,postfire,1yr,2022
MOD018,"tp, bk,kw",agoseris,live,FB,na,tr,na,"hawkweed leaf, chickory tribe",modoc,postfire,1yr,2022
MOD020,"tp,zmz",agoseris,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD011,TP,ameuta,live,SH,na,tr,0.15,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",ameuta,live,SH,na,tr,0.2,,modoc,postfire,1yr,2022
MOD016,"TP, ZMZ",ameuta,live,SH,na,tr,0.4,,modoc,postfire,1yr,2022
MOD019,ZMZ,ameuta,live,SH,na,tr,0.12,,modoc,postfire,1yr,2022
MOD020,"tp,zmz",ameuta,live,SH,na,tr,0.4,,modoc,postfire,1yr,2022
MOD017,zmz,antarg,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD021,ZMZ,antarg,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD022,ZMZ,antarg,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD019,zmz,APOAND,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD019,ZMZ,APOAND,live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD023,"TP, ZMZ",APOAND,Live,FB,na,tr,na,,modoc,postfire,1yr,2022
MOD009,zmz,arcpat,live,SH,na,tr,0.12,,modoc,postfire,1yr,2022
MOD010,TP,arcpat,live,SH,na,tr,0.1,,modoc,postfire,1yr,2022
MOD012,zmz,arcpat,dead,SH,na,tr,0.6,,modoc,postfire,1yr,2022
MOD012,zmz,arcpat,live,SH,na,tr,0.15,,modoc,postfire,1yr,2022
MOD013,"TP, ZMZ",arcpat,live,SH,na,tr,0.1,TRP: dead shrub in PD not noted here,modoc,postfire,1yr,2022
