site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,ARAHOL,live,FB,,,,,,,,,,,,,,,
springsfire,2019,prefire,springs38,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,boechera,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,boechera,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,boechera,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,boechera,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,artr,live,SH,SM,5,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,artr,live,SH,SL,10,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,artr,live,SH,SL,,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,artr,live,SH,SM,,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,artr,live,SH,SL,4,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,artr,live,SH,SM,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,artr,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,artr,live,SH,SM,0.2,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,artr,live,SH,SL,2.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,artr,live,SH,SM,2.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,artr,live,SH,SL,10,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,artr,live,SH,SM,5,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,artr,dead,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,artr,live,SH,SL,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,artr,live,SH,SM,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,artr,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,artr,live,SH,SL,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,artr,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,artr,dead,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,baglemushroom,live,OTHER,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,baglemushroom,live,OTHER,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,boragespp,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,calumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,calumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",calumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs10,"nr, ag",calumb ,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,casapp,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,casapp,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,mimnan,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,mimnan,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,mimnan,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,mimnan,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs4,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs10,"nr, ag",elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,elci,live,GR,,1.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,elci,live,GR,,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,elci,live,GR,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,elci,live,GR,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs15,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs21,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,elci,live,GR,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,elci,live,GR,,0.1,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,elci,live,GR,,0.15,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,elci,live,GR,,0.15,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,elci,live,GR,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs37,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs38,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,elci,live,GR,,0.25,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,elci,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs4,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,ELYELY,live,GR,,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,ELYELY,live,GR,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs10,"nr, ag",ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,ELYELY,live,GR,,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,ELYELY,live,GR,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,ELYELY,live,GR,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs15,nr,ELYELY,live,GR,,,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs21,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,ELYELY,live,GR,,0.4,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,ELYELY,live,GR,,0.1,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,ELYELY,live,GR,,0.25,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,ELYELY,live,GR,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,ELYELY,live,GR,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs37,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs38,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,ELYELY,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,ELYELY,live,GR,,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,ELYELY,live,GR,,0.75,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,ELYMUL,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,ELYMUL,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,eridav,live,FB,,tr,like nudum two balls,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,eridis,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,ERILAN,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,erinud,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,erinud,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,erinud,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,erinud,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,erinud,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,erisuf,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,erisuf,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs21,nr,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,erisuf,live,SH,SM,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,erisuf,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,eriumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",eriumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,eriumb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,erycap,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs4,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs10,"nr, ag",gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs15,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,gaydif,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,gaydif,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs21,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs37,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs37,nr,gaydif,dead,FB,,,,,,,,,,,,,,,
springsfire,2019,prefire,springs38,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs38,nr,gaydif,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,gaydif,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,gaydif,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs40,nr,gaydif,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,gaydif ,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,gayram,live,FB,,tr,most likely diffusum....,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,gayram,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,gayram,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,gayram,live,FB,,tr,woody spp,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,gayram,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,gayram,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,grass19,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,grass19,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,grass19,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,grass19,live,GR,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,liapun,live,SH,SL,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs4,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs10,"nr, ag",liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,liapun,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,liapun,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,liapun,dead,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs15,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,liapun,live,SH,SL,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,liapun,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,liapun,dead,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,liapun,live,SH,SL,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,liapun,live,SH,SL,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,liapun,live,SH,SL,2,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,liapun,live,SH,SL,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,luparb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,luparb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,luparb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,luparb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,luparb,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,luparg,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,luparg,live,FB,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,luparg,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",luparg,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,luparg,live,FB,,11,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,luparg,live,FB,,12,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,luparg,live,FB,,15,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,luparg,live,FB,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs27,nr,luparg,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,luparg,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,luparg,live,FB,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,luparg ,live,FB,,1,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,luparg ,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,luparg ,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,luparg ,live,FB,,0.5,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,luparg ,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs39,nr,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs13,ag,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs16,nr,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,luplep,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,mimnan,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs30,nr,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs19,nr,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,penspe,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,phabol,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs4,ag,phahas,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs6,ag,phahas,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,phahas,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,phahas,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",phahas,live,FB,,tr,,,,,,,,,,,,,
