site,year,pre_post_fire,plot_id,observer,species,status,lifeform,layerCode,percent,notes,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,antros,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,BOEPLA,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,BOEPLA,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs28,nr,BOEPLA,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs29,nr,BOEPLA,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs5,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs1,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs2,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs3,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs7,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs8,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs9,"nr, ag",ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs11,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs12,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs14,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs15,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs17,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs18,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs20,nr,ARAHOL,dead,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs21,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs22,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs23,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs24,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,springs25,ag,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
springsfire,2019,prefire,spring26,nr,ARAHOL,live,FB,,tr,,,,,,,,,,,,,
