year,pre_post_fire,site,plot_id,observer,species,status,lifeform,layerCode,percent,notes
2020,prefire,SugarPineSP,sugarpine1,ag,abco,live,TR,TOV,18,
2020,prefire,SugarPineSP,sugarpine1,ag,abco,dead,TR,TOV,3.5,
2020,prefire,SugarPineSP,sugarpine1,ag,abco,live,TR,TSA,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,abco,live,TR,TSE,1.5,
2020,prefire,SugarPineSP,sugarpine2,vs,abco,live,TR,TSE,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,adbi,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,adbi,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,allcam,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,amut,live,SH,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,antennaria,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,cade,live,TR,TOV,5,
2020,prefire,SugarPineSP,sugarpine1,ag,cade,live,TR,TSE,2.5,
2020,prefire,SugarPineSP,sugarpine1,ag,cade,dead,TR,TOV,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,cade,live,TR,TOV,15,
2020,prefire,SugarPineSP,sugarpine2,vs,cade,live,TR,TOV,2,
2020,prefire,SugarPineSP,sugarpine1,ag,carex1,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,carex2,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,carex4,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,casapp,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,cassem,live,SH,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,cele,live,SH,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,cirand,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,claytonia,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,collinsia,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,collinsia,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,cormac,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,taroff,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,deldep,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,epiang,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,epiang,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,mimmos,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,mimmos,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,fravir,live,FB,,,
2020,prefire,SugarPineSP,sugarpine1,ag,PSECAN,live,FB,,tr,Pseudognaphalium canescens
2020,prefire,SugarPineSP,sugarpine2,vs,PSECAN,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,goob,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,hairystemgrass,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,hiehor,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,hiehor,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,kelgal,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,ACMNEV,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,lupine1,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,lupinespp,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,mysteryforb1,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,orchidspp,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,osmber,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,pico,dead,TR,TOV,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,pico,live,TR,TSE,0.5,
2020,prefire,SugarPineSP,sugarpine2,vs,pije,live,TR,TOV,28,
2020,prefire,SugarPineSP,sugarpine2,vs,pije,live,TR,TSE,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,plagio,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,plagio,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,potgla,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,pteand,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,pteaqu,live,FERN ,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,riro,live,SH,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,riro,live,SH,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,salsco,live,SH,,1.5,
2020,prefire,SugarPineSP,sugarpine2,vs,salsco,live,SH,,1,
2020,prefire,SugarPineSP,sugarpine1,ag,sarsan,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,senecio,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine1,ag,sidgla,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,sidgla,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,symo,live,SH,,1,
2020,prefire,SugarPineSP,sugarpine2,vs,tallbrome,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,thinbrome,live,GR,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,violob,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,viopur,live,FB,,tr,
2020,prefire,SugarPineSP,sugarpine2,vs,wyemol,live,FB,,tr,
