site,plotid,pre_post_fire,postTime,obs,year,species,status,lifeform,layer_code,percent,notes,collected,pic
Bouverie,BOUV010,prefire,,km,2021,carex2,live,GR,,tr,,,
RioLindo,RIO001,prefire,,km,2021,carex2,live,GR,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,carex3,live,GR,,0.25,,,
Bouverie,BOUV009,prefire,,km,2021,carex3,live,GR,,3,,,
Bouverie,BOUV010,prefire,,km,2021,carex3,live,GR,,1,,,
Bouverie,BOUV012,prefire,,km,2021,carex3,live,GR,,tr,,,x
Bouverie,BOUV011,prefire,,km,2021,carpycpyc,live,FB,,tr,,x,x
Bouverie,BOUV004,prefire,,km,2021,carpycpyc,live,FB,,0.25,,,
Bouverie,BOUV006,prefire,,km,2021,carpycpyc,live,FB,,23,,,
Bouverie,BOUV009,prefire,,km,2021,carpycpyc,live,FB,,tr,,,
Bouverie,BOUV005,prefire,,km,2021,chlpom,live,FB,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,chlpom,live,FB,,tr,,,
RioLindo,RIO002,prefire,,km,2021,chlpom,live,FB,,0.25,,,
Bouverie,BOUV010,prefire,,km,2021,corcor,live,SH,,0.5,corylus cornuta,,
Bouverie,BOUV001,prefire,,km,2021,cotpan,live,SH,,tr,,,
RioLindo,RIO001,prefire,,km,2021,cotpan,live,SH,,tr,cotoneaster pannosus?,,
RioLindo,RIO003,prefire,,km,2021,cotpan,live,SH,,tr,,,
RioLindo,RIO008,prefire,,km,2021,cotpan,live,SH,,0.25,,,
RioLindo,RIO009,prefire,,km,2021,cotpan,live,SH,,tr,,,
Bouverie,BOUV001,prefire,,km,2021,cynech,live,GR,,1,,,
Bouverie,BOUV003,prefire,,km,2021,cynech,live,GR,,0.75,,,
Bouverie,BOUV004,prefire,,km,2021,cynech,live,GR,,5,,,
Bouverie,BOUV005,prefire,,km,2021,cynech,live,GR,,3,,,
Bouverie,BOUV006,prefire,,km,2021,cynech,live,GR,,3,,,
Bouverie,BOUV007,prefire,,km,2021,cynech,live,GR,,tr,,,
Bouverie,BOUV008,prefire,,km,2021,cynech,live,GR,,3,,,
Bouverie,BOUV009,prefire,,km,2021,cynech,live,GR,,1,,,
Bouverie,BOUV010,prefire,,km,2021,cynech,live,GR,,tr,,,
Bouverie,BOUV011,prefire,,km,2021,cynech,live,GR,,5,,,
Bouverie,BOUV012,prefire,,km,2021,cynech,live,GR,,4,,,
RioLindo,RIO002,prefire,,km,2021,cynech,live,GR,,4,,,
RioLindo,RIO006,prefire,,km,2021,cynech,live,GR,,11,,,
RioLindo,RIO007,prefire,,km,2021,cynech,live,GR,,tr,,,
RioLindo,RIO008,prefire,,km,2021,cynech,live,GR,,0.25,,,
RioLindo,RIO009,prefire,,km,2021,cynech,live,GR,,4,,,
RioLindo,RIO007,prefire,,km,2021,cysfra,live,FERN ,,tr,cystopteris fragilis,,
Bouverie,BOUV003,prefire,,km,2021,diccapcap,live,FB,,tr,,,
Bouverie,BOUV005,prefire,,km,2021,diccapcap,live,FB,,tr,dichelostemma capitatum var capitatum,,
Bouverie,BOUV006,prefire,,km,2021,diccapcap,live,FB,,tr,,,
Bouverie,BOUV009,prefire,,km,2021,diccapcap,live,FB,,tr,,,
Bouverie,BOUV011,prefire,,km,2021,diccapcap,live,FB,,tr,,,
Bouverie,BOUV003,prefire,,km,2021,dryarg,live,FERN ,,tr,,,
Bouverie,BOUV007,prefire,,km,2021,dryarg,live,FERN ,,0.25,,,
Bouverie,BOUV009,prefire,,km,2021,dryarg,live,FERN ,,0.5,,,
Bouverie,BOUV010,prefire,,km,2021,dryarg,live,FERN ,,0.25,,,
RioLindo,RIO001,prefire,,km,2021,dryarg,live,FERN ,,2,,,
RioLindo,RIO003,prefire,,km,2021,dryarg,live,FERN ,,0.5,,,
