site,year,plot_id,obs,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BlissSP,2019,bliss11,ms,prefire,,cade,live,TR,TOV,2,
BlissSP,2019,bliss12,ms,prefire,,cade,live,TR,TOV,tr,
BlissSP,2019,bliss12,ms,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss13,ms,prefire,,cade,live,TR,TOV,2,
BlissSP,2019,bliss13,ms,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss2,ag,prefire,,cade,dead,TR,TOV,tr,
BlissSP,2019,bliss2,ag,prefire,,cade,live,TR,TOV,5,
BlissSP,2019,bliss2,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss3,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss4,ag,prefire,,cade,live,TR,TOV,3,
BlissSP,2019,bliss5,ag,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss6,nr,prefire,,cade,dead,TR,TOV,tr,
BlissSP,2019,bliss7,nr,prefire,,cade,live,TR,TSE,tr,
BlissSP,2019,bliss15,ag,prefire,,calumb,live,FB,,tr,
BlissSP,2019,bliss2,ag,prefire,,ceco,live,SH,SL,0.5,
BlissSP,2019,bliss3,ag,prefire,,ceco,live,SH,SL,20,
BlissSP,2019,bliss3,ag,prefire,,ceco,live,SH,SM,15,
BlissSP,2019,bliss5,ag,prefire,,ceco,live,SH,SL,37,
BlissSP,2019,bliss5,ag,prefire,,ceco,live,SH,SM,29,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,SL,31,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,SM,28,
BlissSP,2019,bliss8,nr,prefire,,ceco,live,SH,ST,1,
BlissSP,2019,bliss9,nr,prefire,,ceco,live,SH,SL,4,
BlissSP,2019,bliss9,nr,prefire,,ceco,live,SH,SM,3,
BlissSP,2019,bliss9,nr,prefire,,cein,live,SH,SL,4,
BlissSP,2019,bliss9,nr,prefire,,cein,live,SH,SM,1,
BlissSP,2019,bliss12,ms,prefire,,cepr,live,SH,SL,2,
BlissSP,2019,bliss13,ms,prefire,,cepr,live,SH,SL,1,
BlissSP,2019,bliss2,ag,prefire,,cepr,live,SH,SL,tr,
BlissSP,2019,bliss9,nr,prefire,,cepr,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,ceve,live,SH,SL,tr,
BlissSP,2019,bliss10,ms,prefire,,ceve,live,SH,SM,tr,
BlissSP,2019,bliss11,ms,prefire,,ceve,live,SH,SL,tr,
BlissSP,2019,bliss11,ms,prefire,,ceve,live,SH,SM,tr,
BlissSP,2019,bliss12,ms,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss12,ms,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,live,SH,SL,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,live,SH,SM,4,
BlissSP,2019,bliss13,ms,prefire,,ceve,dead,SH,SL,tr,
BlissSP,2019,bliss13,ms,prefire,,ceve,dead,SH,SM,tr,
BlissSP,2019,bliss14,ms,prefire,,ceve,live,SH,SL,21,
