site,year,pre_post_fire,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
bearmountain,2019,prefire,,BM12,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM12,nr,tallgrass3,live,GR,,tr,
bearmountain,2019,prefire,,BM12,nr,unkfuzzy,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,arcvis,live,SH,SL,tr,
bearmountain,2019,prefire,,BM13,nr,arcvis,live,SH,SM,tr,
bearmountain,2019,prefire,,BM13,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,aster3,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,cade,live,TR,TOV,2,
bearmountain,2019,prefire,,BM13,nr,chafol,live,SH,SL,95,
bearmountain,2019,prefire,,BM13,nr,chafol,live,SH,SM,40,
bearmountain,2019,prefire,,BM13,nr,commonforb,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,elcap,live,SH,SL,tr,
bearmountain,2019,prefire,,BM13,nr,elcap,live,SH,SM,tr,
bearmountain,2019,prefire,,BM13,nr,fattopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,grass2,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,grass6,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,hairstrand,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,hiealb,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,iris,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,pipo,live,TR,TOV,6,
bearmountain,2019,prefire,,BM13,nr,pipo,live,TR,TSE,0.5,
bearmountain,2019,prefire,,BM13,nr,pipo,dead,TR,TOV,tr,
bearmountain,2019,prefire,,BM13,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,quke,live,TR,TRE,0.5,
bearmountain,2019,prefire,,BM13,nr,smallFgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,softarrow,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,tighttopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM13,nr,tinyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,unkhairyflw,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,unkWforb,live,FB,,tr,
bearmountain,2019,prefire,,BM13,nr,waxyfb,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,arcvis,live,SH,SL,1,
bearmountain,2019,prefire,,BM14,nr,arcvis,live,SH,SM,tr,
bearmountain,2019,prefire,,BM14,nr,aster2,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,cade,dead,TR,TOV,tr,
bearmountain,2019,prefire,,BM14,nr,cade,live,TR,TOV,5,
bearmountain,2019,prefire,,BM14,nr,chafol,live,SH,SL,28,
bearmountain,2019,prefire,,BM14,nr,chafol,live,SH,SM,5,
bearmountain,2019,prefire,,BM14,nr,commonforb,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,diskflw,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,droopygrass,live,GR,,tr,
bearmountain,2019,prefire,,BM14,nr,elcap,live,SH,SL,1,
bearmountain,2019,prefire,,BM14,nr,elcap,live,SH,SM,tr,
bearmountain,2019,prefire,,BM14,nr,fattopgrass,live,GR,,tr,
bearmountain,2019,prefire,,BM14,nr,fbsmellyseeds,,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,gayophytum,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,grass3,live,GR,,tr,
bearmountain,2019,prefire,,BM14,nr,grassspecies,live,GR,,tr,
bearmountain,2019,prefire,,BM14,nr,longflower,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,pipo,live,TR,TOV,5,
bearmountain,2019,prefire,,BM14,nr,pipo,live,TR,TSE,tr,
bearmountain,2019,prefire,,BM14,nr,puffspike,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,quke,live,TR,TRE,2,
bearmountain,2019,prefire,,BM14,nr,tallflower,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,unkblackseeds,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,unkflw1,live,FB,,tr,
bearmountain,2019,prefire,,BM14,nr,unkthickgram,live,GR,,tr,
bearmountain,2019,prefire,,BM15,nr,4forb,live,FB,,tr,
bearmountain,2019,prefire,,BM15,nr,arcvis,live,SH,SL,2,
bearmountain,2019,prefire,,BM15,nr,arcvis,live,SH,SM,1.5,
bearmountain,2019,prefire,,BM15,nr,aster2,live,FB,,tr,
