site,plot_id,year,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff_depth_cm,litter_depth_cm,sum_d2_1000s_cm2,sum_d2_1000r_cm2
springsfire,springs25,2019,270,0,2,2,4,11.3,1,5,0,0,1.5,0,0
springsfire,springs26,2019,0,0,2,2,4,11.3,5,9,1,3.5,2,41.57866684,0
springsfire,springs26,2019,180,0,2,2,4,11.3,4,8,3,1,2.75,75.32984934,0
springsfire,springs26,2019,90,0,2,2,4,11.3,8,2,0,1.5,1.525,22.31995536,0
springsfire,springs26,2019,270,0,2,2,4,11.3,0,7,1,3.525,2.025,13.98872202,0
springsfire,springs27,2019,0,0,2,2,4,11.3,2,4,0,0.05,1,0,0
springsfire,springs27,2019,180,0,2,2,4,11.3,9,11,0,1,3,0,0
springsfire,springs27,2019,90,0,2,2,4,11.3,1,1,0,3,3.5,0,0
springsfire,springs27,2019,270,0,2,2,4,11.3,19,0,0,2.525,1.525,0,0
springsfire,springs28,2019,0,0,2,2,4,11.3,0,0,0,0,2,0,0
springsfire,springs28,2019,180,0,2,2,4,11.3,5,1,6,0,3,0,0
springsfire,springs28,2019,90,0,2,2,4,11.3,1,0,1,0,1.5,0,0
springsfire,springs28,2019,270,0,2,2,4,11.3,0,0,0,0,1,0,0
springsfire,springs29,2019,0,0,2,2,4,11.3,1,8,1,0.025,2.5,0,0
springsfire,springs29,2019,180,0,2,2,4,11.3,1,0,3,0.05,3.5,34.25493149,0
springsfire,springs29,2019,90,0,2,2,4,11.3,2,4,0,0.025,2.025,0,0
springsfire,springs29,2019,270,0,2,2,4,11.3,0,2,2,0,0.275,0,0
springsfire,springs3,2019,0,0,2,2,4,11.3,3,8,0,4.5,1,0,0
springsfire,springs3,2019,180,0,2,2,4,11.3,0,0,0,0.025,0.525,0,0
springsfire,springs3,2019,90,0,2,2,4,11.3,0,1,6,0,3,0,0
springsfire,springs3,2019,270,0,2,2,4,11.3,1,1,0,0,2,0,0
springsfire,springs30,2019,0,0,2,2,4,11.3,0,0,2,1.5,3.5,0,0
springsfire,springs30,2019,180,0,2,2,4,11.3,1,8,1,4.5,3.5,9.91998016,0
springsfire,springs30,2019,90,0,2,2,4,11.3,0,0,0,1,1,0,0
springsfire,springs30,2019,270,0,2,2,4,11.3,0,7,0,1,4,0,0
springsfire,springs31,2019,0,0,2,2,4,11.3,0,1,0,1.025,2.75,0,0
springsfire,springs31,2019,180,0,2,2,4,11.3,2,5,0,1.025,2,0,0
springsfire,springs31,2019,90,0,2,2,4,11.3,1,4,0,0,2,0,0
springsfire,springs31,2019,270,0,2,2,4,11.3,0,7,1,0,0.05,0,0
springsfire,springs37,2019,0,0,2,2,4,11.3,0,1,0,1.5,0.525,0,0
springsfire,springs37,2019,180,0,2,2,4,11.3,8,1,0,4,2,0,0
springsfire,springs37,2019,90,0,2,2,4,11.3,4,14,1,6,3.5,0,0
springsfire,springs37,2019,270,0,2,2,4,11.3,0,0,0,0.525,1.5,0,0
springsfire,springs38,2019,0,0,2,2,4,11.3,5,1,0,4,2.5,0,0
springsfire,springs38,2019,180,0,2,2,4,11.3,0,1,2,0,1,7.59498481,0
springsfire,springs38,2019,90,0,2,2,4,11.3,2,1,0,0,1.5,0,0
springsfire,springs38,2019,270,0,2,2,4,11.3,0,5,0,0,2,0,0
springsfire,springs39,2019,0,0,2,2,4,11.3,0,0,1,0,3.75,0,0
springsfire,springs39,2019,180,0,2,2,4,11.3,0,0,0,0.025,2.25,0,0
springsfire,springs39,2019,90,0,2,2,4,11.3,0,0,0,0,0.05,0,0
springsfire,springs39,2019,270,0,2,2,4,11.3,11,0,0,0.5,1,0,0
springsfire,springs4,2019,0,0,2,2,4,11.3,2,1,1,0,0.05,12.55497489,9.673530653
springsfire,springs4,2019,180,0,2,2,4,11.3,6,2,0,0.025,0.525,0,0
springsfire,springs4,2019,90,0,2,2,4,11.3,0,0,0,1.5,2,0,0
springsfire,springs4,2019,270,0,2,2,4,11.3,5,2,6,0,1,9.91998016,0
springsfire,springs40,2019,0,0,2,2,4,11.3,3,2,0,1,1.025,0,0
springsfire,springs40,2019,180,0,2,2,4,11.3,1,0,0,1.5,3.025,0,0
springsfire,springs40,2019,90,0,2,2,4,11.3,4,4,0,0,0.025,0,0
springsfire,springs40,2019,270,0,2,2,4,11.3,5,0,0,0,0.05,0,0
springsfire,springs5,2019,0,0,2,2,4,11.3,1,1,13,9,0.025,130.3547393,0
springsfire,springs5,2019,180,0,2,2,4,11.3,1,0,0,0,0.05,0,0
springsfire,springs5,2019,90,39,2,2,4,11.3,0,1,0,2,2.5,0,0
springsfire,springs5,2019,270,28,2,2,4,11.3,0,0,2,0.025,4,0,61.999876
springsfire,springs6 ,2019,0,0,2,2,4,11.3,3,1,1,0,0.75,0,0
springsfire,springs6 ,2019,180,0,2,2,4,11.3,0,0,0,0,0.25,0,0
springsfire,springs6 ,2019,90,0,2,2,4,11.3,4,8,8,0.5,2.5,0,0
springsfire,springs6 ,2019,270,0,2,2,4,11.3,11,1,1,0,0.05,0,0
springsfire,springs7,2019,0,0,2,2,4,11.3,8,0,2,3.75,0.775,0,0
springsfire,springs7,2019,180,0,2,2,4,11.3,28,4,1,9,5.5,0,0
springsfire,springs7,2019,90,0,2,2,4,11.3,4,4,2,0,0.05,0,0
springsfire,springs7,2019,270,0,2,2,4,11.3,4,2,0,0,0.025,0,0
springsfire,springs8,2019,0,0,2,2,4,11.3,8,5,1,2,4,0,0
springsfire,springs8,2019,180,0,2,2,4,11.3,7,4,5,2,4,0,0
springsfire,springs8,2019,90,0,2,2,4,11.3,0,7,1,1.25,2.25,0,0
springsfire,springs8,2019,270,0,2,2,4,11.3,1,1,1,0,0.05,0,0
springsfire,springs9,2019,0,0,2,2,4,11.3,0,4,4,0,1,0,0
springsfire,springs9,2019,180,0,2,2,4,11.3,4,0,0,0,1,0,0
springsfire,springs9,2019,90,0,2,2,4,11.3,9,9,1,5,2.5,22.31995536,991.998016
springsfire,springs9,2019,270,0,2,2,4,11.3,4,0,0,0.05,2.5,0,0
