plotid_time,antros,BOEPLA,ARAHOL,boechera,artr,boragespp,calumb,casapp,mimnan,elci,ELYELY,ELYMUL,eridav,eridis,ERILAN,erinud,erisuf,eriumb,erycap,gaydif,gayram,grass19,liapun,luparb,luparg,luplep,penspe,phabol,phahas,purtri,rice,steexi,steten,symrot,ANTROS,ARTR,boechera1,boechera2,boechera3,BROTEC,carex,carex1,carex2,cryptanthasmall,cryptanthatall,MIMNAN,ELYGLA,ERIDIS,ERINUD,ERISPU,ERISUF,ERIUMB,ERIWIL,ERYCAP,GAYDIF,GAYRAM,LIAPUN,LUPARB,LUPARG,LUPDUR,lupine,LUPLEP,mycroseris,PENPAT,penstemon,PHAHAS,PRUNUS,PURTRI,RIVI,SPEARV,STEEXI,stipa,stipa1,stipa2,SYMROT
springs28 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,2,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0.05,0,0,0.05,0,0.05,0,0.05,0.05,0,0.05,0,0.05
springs25 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,1,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0
springs11 postfire,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0.1,0,10,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0
springs6 postfire,0,0,0,0,0,0,0.05,0,0,0,0.5,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.1,0,0,0,0,0,0,0,0,0.05,0,12,0,0.05,0,0,0,0,0
springs9 postfire,0,0,0,0,0,0,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.1,0,0,0.05,0,0,0,0,0,0.05,0,8.05,0,0.05,0,0,0,0,0
springs10 postfire,0,0,0,0,0,0,0.05,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
springs2 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0.05,0.05,0,0.05,0,0
springs5 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.05,0,0
springs7 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0
springs19 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05,0,0,0,0.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0.05,0.05,0,0.05,0.05,0
springs20 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05,0,0
springs22 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,3,0,0,0,0,0.05,0,0.05,0,0.1,0,0.05,0.05,0,0,0,0
springs24 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0.05,0.05,0,0,0
springs30 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,1,0,0,0,0,0.05,0,0,0,0,0,0.05,1,0,0.05,0,0.05
springs35 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
springs37 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0
