plotid_time,antros,BOEPLA,ARAHOL,boechera,artr,boragespp,calumb,casapp,mimnan,elci,ELYELY,ELYMUL,eridav,eridis,ERILAN,erinud,erisuf,eriumb,erycap,gaydif,gayram,grass19,liapun,luparb,luparg,luplep,penspe,phabol,phahas,purtri,rice,steexi,steten,symrot,ANTROS,ARTR,boechera1,boechera2,boechera3,BROTEC,carex,carex1,carex2,cryptanthasmall,cryptanthatall,MIMNAN,ELYGLA,ERIDIS,ERINUD,ERISPU,ERISUF,ERIUMB,ERIWIL,ERYCAP,GAYDIF,GAYRAM,LIAPUN,LUPARB,LUPARG,LUPDUR,lupine,LUPLEP,mycroseris,PENPAT,penstemon,PHAHAS,PRUNUS,PURTRI,RIVI,SPEARV,STEEXI,stipa,stipa1,stipa2,SYMROT
springs21 prefire,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs22 prefire,0,0,0.05,0,5,0,0,0,0,0.5,0.05,0,0,0,0,0,0.1,0,0,0.05,0,0,0.05,0,1,0,0.05,0,0.05,2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs23 prefire,0,0,0.05,0.05,15,0,0,0,0,0.1,0.4,0.05,0,0.05,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0.05,3,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs24 prefire,0,0,0.05,0.05,2,0,0,0,0,0.15,0.1,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0,0,20,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs25 prefire,0,0,0.05,0,0,0,0,0,0.05,0.15,0.25,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.5,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs26 prefire,0,0,0.05,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs27 prefire,0,0,0.05,0.05,0,0,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0.05,0,0,2,0,0.05,0,0,0,0,1.05,2,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs38 prefire,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs13 prefire,0,0,0,0,0.1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,15,0.05,0,0,0.05,2.5,2,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs16 prefire,0,0,0,0,6,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,1,0,0,0.05,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs39 prefire,0,0,0,0,0.1,0,0,0,0,0.25,0.75,0,0,0.05,0,0,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs40 prefire,0,0,0,0,1.05,0,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs6 prefire,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0.05,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs10 prefire,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs30 prefire,0,0,0,0,0,0,0,0.05,0,0.5,0.5,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0.5,0.05,0.05,0,0,1.05,1.05,0.05,0.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs19 prefire,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0.05,0,0.05,16,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs4 prefire,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs20 prefire,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs37 prefire,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springs12 postfire,0,0,0,0.05,0,0,0,0,0,0,4,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0.05,0,0.05,0,14,0,0,0,0,0.05,0,0.05,0,0.05,0.05,0.05,0.05,0,0,0,0
springs33 postfire,0,0,0,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,1,0,0,0
springs38 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0
springs1 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0.1,0,0,0,0,0
springs8 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,2,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,2,0,0.05,0.05,0.05,0,0,0
springs13 postfire,0,0,0,0,0,0,0,0.05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,2,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0,0.75,0.05,0.05,0.05,0.05,0,0,0
springs16 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0.05,0,0,0,0,0.1,0,0.1,0,0,0.05,0,0,0,0,0,0,0,6,0,0,0.05,0,0,0,0
springs17 postfire,0,0,0,0.05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,3,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0.05,0,0,0,0.05,0,1,0,0.05,0.05,0,0,0,0
springs23 postfire,0,0,0,0,0,0,0,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05,0.05,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,2.05,0,0,0.05,0,0,0,0
springs39 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0
springs40 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,1,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
springs41 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0.05,0,0,0
springs42 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.05,39,0.05,0.05,0,0,0,0,0
springs44 postfire,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,15,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0
springs45 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0,59,0.05,0.05,0,0,0,0,0
springs46 postfire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.05,0,0,0
springs47 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.05,0,0,0
springs48 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0,0,19,0,0,0,1,0,0,0
springs49 postfire,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,3,0,0,0,0,0,0,0
springs50 postfire,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,7,0.05,0.05,0,0,0,0,0
springs51 postfire,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,0,0,0,0,4,0.05,0.05,0,0,0,0,0
springs14 postfire,0,0,0,0.05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.05,0,0.5,0,0,0,0,0.05,0,0.05,0,0.05,0,0,0.05,0.05,0,0,0
