plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha,plotid
springs28 prefire na,live,pije,1.751670382,28,24.26428571,61.8,7.9,3.466071429,8.494642857,1.389285714,113.31208,7.088764803,springs28 prefire na
springs29 postfire 1yr,live,PIJE,0.733244584,5,42.6,53.4,31.8,5.3,14.6,1.4,20.2343,2.967338176,springs29 postfire 1yr
springs29 prefire na,live,pije,0.710506522,5,41.94,52.8,31.6,5.86,14.84,1.34,20.2343,2.875320422,springs29 prefire na
springs3 prefire na,live,pije,1.455929489,10,40.65,72.2,27.2,3.6,11.88,,40.4686,5.891942813,springs3 prefire na
springs3 prefire na,stump,pije,,5,,,,,,,20.2343,,springs3 prefire na
springs30 postfire 1yr,dead,PIJE,0.058994398,8,9.55,12.5,7.8,,4.625,0.5625,32.37488,0.238742068,springs30 postfire 1yr
springs30 postfire 1yr,dead,PIJE ,0.012271846,1,12.5,12.5,12.5,,5,0.5,4.04686,0.049662444,springs30 postfire 1yr
springs30 postfire 1yr,live,PICO,0.102353874,1,36.1,36.1,36.1,7,16,1,4.04686,0.414211799,springs30 postfire 1yr
springs30 postfire 1yr,live,PIJE,1.508083854,16,27.0875,100.7,10,5.3625,9.3125,0.7625,64.74976,6.103004226,springs30 postfire 1yr
springs30 postfire 1yr,live,PIJE ,0.131438739,3,21.83333333,34.2,13,5,9.333333333,0.7,12.14058,0.531914175,springs30 postfire 1yr
springs30 prefire na,live,pico,0.101222901,1,35.9,35.9,35.9,4,13.5,1.75,4.04686,0.409634908,springs30 prefire na
springs30 prefire na,live,pije,1.776897371,32,20.10625,101,7.7,2.4640625,7.0359375,0.6753125,129.49952,7.190854896,springs30 prefire na
springs31 postfire 1yr,dead,PIJE,0.10052154,5,15.88,18.3,12.7,,7.32,1.28,20.2343,0.4067966,springs31 postfire 1yr
springs31 postfire 1yr,live,PICO,0.074506011,1,30.8,30.8,30.8,6.5,14.9,1.5,4.04686,0.301515397,springs31 postfire 1yr
springs31 postfire 1yr,live,PIJE,1.48640608,15,34.48666667,50.8,18.8,6.313333333,13.84666667,2.926666667,60.7029,6.015277307,springs31 postfire 1yr
springs33 postfire 1yr,live,PIJE,1.298659005,6,52.23333333,59.8,43.9,4.166666667,16.21666667,1.416666667,24.28116,5.25549118,springs33 postfire 1yr
springs34 postfire 1yr,live,PIJE,0.668569401,4,43.725,61,20.4,3.025,14.5,1.2,16.18744,2.705606767,springs34 postfire 1yr
springs35 postfire 1yr,live,PICO,0.420950639,3,41.9,49.7,37.1,1.9,11.16666667,0,12.14058,1.703528303,springs35 postfire 1yr
springs35 postfire 1yr,live,PIJE,0.604345823,4,37.575,75.2,16.6,5.4,11.875,1.075,16.18744,2.445702936,springs35 postfire 1yr
springs35 prefire na,live,PICO,,3,,,,2.7,12.93333333,0.7,12.14058,,springs35 prefire na
springs35 prefire na,live,PIJE,,4,,,,2.075,9.525,0.25,16.18744,,springs35 prefire na
springs37 postfire 1yr,dead,PIJE,0.048416655,3,13.8,18.6,9.1,,4.866666667,1.433333333,12.14058,0.195935425,springs37 postfire 1yr
springs37 postfire 1yr,live,PICO,0.336005901,2,45.2,55,35.4,2.5,16,0.05,8.09372,1.359768839,springs37 postfire 1yr
springs37 postfire 1yr,live,PIJE,2.296742205,11,48.51818182,87.7,17.3,5.436363636,16.33636364,1.427272727,44.51546,9.294594161,springs37 postfire 1yr
springs37 prefire na,live,pico,0.507141804,3,45.3,59.2,36,1.2,14.73333333,0.103333333,12.14058,2.052331882,springs37 prefire na
springs37 prefire na,live,pije,2.223508539,13,41.25384615,87.5,9.5,4.915384615,13.98461538,1.329230769,52.60918,8.998227766,springs37 prefire na
springs37 prefire na,stump,pico,,1,,,,,,,4.04686,,springs37 prefire na
springs37 prefire na,stump,pije,,2,,,,,,,8.09372,,springs37 prefire na
springs38 postfire 1yr,dead,PICO,0.241922269,1,55.5,55.5,55.5,,16,1.3,4.04686,0.979025555,springs38 postfire 1yr
springs38 postfire 1yr,live,PIJE,1.934466307,8,54.7875,65.7,44,9.3375,19.1375,3.5625,32.37488,7.828514319,springs38 postfire 1yr
springs38 prefire na,dead,pico,0.237582944,1,55,55,55,,15,2,4.04686,0.961464914,springs38 prefire na
springs38 prefire na,live,pije,1.923879925,8,54.625,65.3,43.8,8.25,18.7875,3.325,32.37488,7.785672714,springs38 prefire na
springs38 prefire na,stump,pije,,18,,,,,,,72.84348,,springs38 prefire na
springs39 postfire 1yr,dead,PICO,0.218956442,1,52.8,52.8,52.8,,13,0,4.04686,0.886086065,springs39 postfire 1yr
springs39 postfire 1yr,live,PICO,0.137885287,1,41.9,41.9,41.9,6,12.3,1,4.04686,0.558002452,springs39 postfire 1yr
springs39 postfire 1yr,live,PIJE,0.735091251,3,55.71666667,60,50.5,5,18.66666667,1.866666667,12.14058,2.974811381,springs39 postfire 1yr
springs39 prefire na,dead,pico,0.238447668,1,55.1,55.1,55.1,,13.7,0.01,4.04686,0.964964329,springs39 prefire na
springs39 prefire na,live,pico,0.141862543,1,42.5,42.5,42.5,7.4,13,0.5,4.04686,0.574097852,springs39 prefire na
springs39 prefire na,live,pije,0.72906548,3,55.5,59.5,50.5,5.233333333,18.5,1.833333333,12.14058,2.950425929,springs39 prefire na
