plot_id,litter_duff,depth_cm
springs1,mean_litter,0.40625
springs1,mean_duff,0.50625
springs11,mean_litter,1.0125
springs11,mean_duff,0.13125
springs12,mean_litter,0.2875
springs12,mean_duff,0
springs13,mean_litter,1.4375
springs13,mean_duff,0.2625
springs14,mean_litter,1.33125
springs14,mean_duff,0.00625
springs16,mean_litter,1.51875
springs16,mean_duff,0
springs17,mean_litter,0.78125
springs17,mean_duff,0
springs18,mean_litter,0.98125
springs18,mean_duff,0.00625
springs19,mean_litter,1.06875
springs19,mean_duff,0.1875
springs2,mean_litter,1.2625
springs2,mean_duff,0.2625
springs20,mean_litter,0.64375
springs20,mean_duff,0
springs21,mean_litter,0.88125
springs21,mean_duff,0.38125
springs22,mean_litter,1.36875
springs22,mean_duff,0.025
springs23,mean_litter,1.2625
springs23,mean_duff,0.75
springs24,mean_litter,0.76875
springs24,mean_duff,0.00625
springs25,mean_litter,0.4
springs25,mean_duff,0
springs26,mean_litter,0.40625
springs26,mean_duff,1.125
springs27,mean_litter,0.78125
springs27,mean_duff,0.125
springs28,mean_litter,0.4125
springs28,mean_duff,0.25
springs29,mean_litter,0.2875
springs29,mean_duff,0.5
springs3,mean_litter,0.76875
springs3,mean_duff,0.625
springs30,mean_litter,0.2875
springs30,mean_duff,0.75
springs4,mean_litter,1.5125
springs4,mean_duff,0.13125
