plot_id,fuel_size,mass
fm10-1,mass_1hr,0.185880881337349
fm10-1,mass_10hr,1.60440230911486
fm10-1,mass_100hr,2.49820428754909
fm10-1,mass_cwd_sound,4.61409942309446
fm10-1,mass_cwd_rotten,8.27676791199769
fm10-10,mass_1hr,0.574040937073171
fm10-10,mass_10hr,5.00655705365854
fm10-10,mass_100hr,0.830095243902439
fm10-10,mass_cwd_sound,0.193153768666868
fm10-10,mass_cwd_rotten,22.569203001262
fm10-11,mass_1hr,0.504375020246122
fm10-11,mass_10hr,3.77736662153805
fm10-11,mass_100hr,3.06187926197977
fm10-11,mass_cwd_sound,24.5861026184817
fm10-11,mass_cwd_rotten,13.5256961182188
fm10-12,mass_1hr,0.430990928819085
fm10-12,mass_10hr,1.33954332379328
fm10-12,mass_100hr,1.68327243383239
fm10-12,mass_cwd_sound,10.1897595442669
fm10-12,mass_cwd_rotten,6.52006911379783
fm10-13,mass_1hr,0.276120957073171
fm10-13,mass_10hr,0.695355146341463
fm10-13,mass_100hr,1.38349207317073
fm10-13,mass_cwd_sound,0.627749748167322
fm10-13,mass_cwd_rotten,0.273886007914348
fm10-14,mass_1hr,0.341518025853659
fm10-14,mass_10hr,1.87745889512195
fm10-14,mass_100hr,1.66019048780488
fm10-14,mass_cwd_sound,
fm10-14,mass_cwd_rotten,3.4201798178395
fm10-15,mass_1hr,0.536765301132017
fm10-15,mass_10hr,2.1552147273721
fm10-15,mass_100hr,2.57283419011549
fm10-15,mass_cwd_sound,3.76039215638454
fm10-15,mass_cwd_rotten,14.5107172452525
fm10-2,mass_1hr,1.10537452726502
fm10-2,mass_10hr,4.25956582576458
fm10-2,mass_100hr,2.54247441157228
fm10-2,mass_cwd_sound,2.36950136079451
fm10-2,mass_cwd_rotten,
fm10-3,mass_1hr,0.483211674878049
fm10-3,mass_10hr,2.71188507073171
fm10-3,mass_100hr,2.21358731707317
fm10-3,mass_cwd_sound,0.301802763541982
fm10-3,mass_cwd_rotten,30.3673940675942
fm10-4,mass_1hr,0.623038974972633
fm10-4,mass_10hr,4.85543955909196
fm10-4,mass_100hr,1.42065832814873
fm10-4,mass_cwd_sound,0.697298445034485
fm10-4,mass_cwd_rotten,4.46617329716437
fm10-5,mass_1hr,0.257955104634146
fm10-5,mass_10hr,3.61584676097561
fm10-5,mass_100hr,3.5970793902439
fm10-5,mass_cwd_sound,
fm10-5,mass_cwd_rotten,29.088504857085
fm10-6,mass_1hr,0.773865313902439
fm10-6,mass_10hr,5.35423462682927
fm10-6,mass_100hr,1.93688890243902
fm10-6,mass_cwd_sound,6.17186651443352
fm10-6,mass_cwd_rotten,17.0375205088537
fm10-7,mass_1hr,0.490478015853659
fm10-7,mass_10hr,1.18210374878049
fm10-7,mass_100hr,3.32038097560976
fm10-7,mass_cwd_sound,2.74338712059661
fm10-7,mass_cwd_rotten,21.2007010051881
fm10-8,mass_1hr,0.370583389756098
fm10-8,mass_10hr,1.66885235121951
fm10-8,mass_100hr,1.93688890243902
fm10-8,mass_cwd_sound,0.854101820823808
fm10-8,mass_cwd_rotten,3.53788289562088
fm10-9,mass_1hr,0.192558035853659
fm10-9,mass_10hr,1.39071029268293
fm10-9,mass_100hr,1.38349207317073
fm10-9,mass_cwd_sound,19.3153768666868
fm10-9,mass_cwd_rotten,20.521078907037
fm19-1,mass_1hr,0.294286809512195
fm19-1,mass_10hr,2.71188507073171
fm19-1,mass_100hr,2.49028573170732
fm19-1,mass_cwd_sound,7.46660037002862
fm19-1,mass_cwd_rotten,10.5055655721692
fm19-10,mass_1hr,0.532145275056821
fm19-10,mass_10hr,1.75852095278199
fm19-10,mass_100hr,1.74939368140076
fm19-10,mass_cwd_sound,22.9768609488559
fm19-10,mass_cwd_rotten,13.4164196716935
fm19-11,mass_1hr,0.473211665846111
fm19-11,mass_10hr,1.82597430342777
fm19-11,mass_100hr,3.77831361055296
fm19-11,mass_cwd_sound,3.71692709842673
fm19-11,mass_cwd_rotten,
fm19-12,mass_1hr,0.655906798818631
fm19-12,mass_10hr,4.8937170184616
fm19-12,mass_100hr,3.66887665743949
fm19-12,mass_cwd_sound,1.23130684000258
fm19-12,mass_cwd_rotten,2.82815789813093
fm19-13,mass_1hr,0.357943076592767
fm19-13,mass_10hr,2.78309631365692
fm19-13,mass_100hr,3.69153490277446
fm19-13,mass_cwd_sound,1.82739393701051
fm19-13,mass_cwd_rotten,25.5966785490494
fm19-14,mass_1hr,0.129042097947141
fm19-14,mass_10hr,1.19959096918506
fm19-14,mass_100hr,0.28079169846587
fm19-14,mass_cwd_sound,0.885112854333949
fm19-14,mass_cwd_rotten,
fm19-15,mass_1hr,0.341639714942055
fm19-15,mass_10hr,3.9800584124836
fm19-15,mass_100hr,5.37347233766477
fm19-15,mass_cwd_sound,13.7840180315265
fm19-15,mass_cwd_rotten,14.2614040147319
fm19-16,mass_1hr,1.0653814468447
fm19-16,mass_10hr,6.18994684052508
fm19-16,mass_100hr,5.21603499283001
fm19-16,mass_cwd_sound,3.4862621833777
fm19-16,mass_cwd_rotten,2.42979515273945
fm19-17,mass_1hr,0.101728773658537
fm19-17,mass_10hr,0.278142058536585
fm19-17,mass_100hr,0
fm19-17,mass_cwd_sound,
fm19-17,mass_cwd_rotten,0.144865326500151
fm19-18,mass_1hr,0.161880937213481
fm19-18,mass_10hr,1.97161430453264
fm19-18,mass_100hr,3.6425647371185
fm19-18,mass_cwd_sound,6.77939530444417
fm19-18,mass_cwd_rotten,3.42503485867205
fm19-19,mass_1hr,0.373058589040649
fm19-19,mass_10hr,3.03980006950898
fm19-19,mass_100hr,4.21956636348514
fm19-19,mass_cwd_sound,5.97391522784787
fm19-19,mass_cwd_rotten,19.1966104894865
fm19-2,mass_1hr,0.398183589561553
fm19-2,mass_10hr,2.56402925406845
fm19-2,mass_100hr,2.26730768333619
