site,plotid,fuelType,prefire_,postfire_immediate,consumption_immediate
bearmountain,bm1,mass_1hr,0.0681696102983567,0.113616017163928,-0.0454464068655711
bearmountain,bm1,mass_10hr,0.631443737210871,1.05240622868478,-0.420962491473914
bearmountain,bm1,mass_100hr,1.53407101897158,0.767035509485788,0.767035509485788
bearmountain,bm1,mass_cwd_sound,1.27092745967355,0,1.27092745967355
bearmountain,bm1,mass_cwd_rotten,0,0,0
bearmountain,bm1,total_fine,2.2336843664808,1.9330577553345,0.300626611146303
bearmountain,bm1,total_cwd,1.27092745967355,0,1.27092745967355
bearmountain,bm1,total_fuel,11.6221374138039,10.4383327091135,1.18380470469039
bearmountain,bm1,duff_load,1.04012379453312,1.64019521445607,-0.600071419922954
bearmountain,bm1,litter_load,7.07740179311643,6.86507973932293,0.212322053793493
bearmountain,bm1,litter_depth_cm,1.875,1.81875,0.0562499999999999
bearmountain,bm1,duff_depth_cm,0.1625,0.25625,-0.09375
bearmountain,bm10,mass_1hr,0.032032271323862,0.032032271323862,0
bearmountain,bm10,mass_10hr,0.238564249221088,0,0.238564249221088
bearmountain,bm10,mass_100hr,0.695361581190462,2.78144632476185,-2.08608474357139
bearmountain,bm10,mass_cwd_sound,13.2767945875338,12.6135901114866,0.663204476047142
bearmountain,bm10,mass_cwd_rotten,0,0.91004046909816,-0.91004046909816
bearmountain,bm10,total_fine,0.965958101735412,2.81347859608571,-1.8475204943503
bearmountain,bm10,total_cwd,13.2767945875338,13.5236305805848,-0.246835993051018
bearmountain,bm10,total_fuel,20.0794232517426,19.2150197403752,0.864403511367438
bearmountain,bm10,duff_load,2.28810221995789,0.442858494185397,1.84524372577249
bearmountain,bm10,litter_load,3.54856834251557,2.43505206951931,1.11351627299627
bearmountain,bm10,litter_depth_cm,1.8125,1.24375,0.56875
bearmountain,bm10,duff_depth_cm,0.3875,0.075,0.3125
bearmountain,bm11,mass_1hr,0.239553184361972,0.239553184361972,0
bearmountain,bm11,mass_10hr,0.20511529201099,0.307672938016486,-0.102557646005495
bearmountain,bm11,mass_100hr,0.781436148783575,0.781436148783575,0
bearmountain,bm11,mass_cwd_sound,1.78639570832723,8.31096819924428,-6.52457249091705
bearmountain,bm11,mass_cwd_rotten,0,0,0
bearmountain,bm11,total_fine,1.22610462515654,1.32866227116203,-0.102557646005495
bearmountain,bm11,total_cwd,1.78639570832723,8.31096819924428,-6.52457249091705
bearmountain,bm11,total_fuel,11.7231093895354,12.935852372316,-1.21274298278056
bearmountain,bm11,duff_load,1.66500703636217,0.121829783148451,1.54317725321372
bearmountain,bm11,litter_load,7.04560201968946,3.17439211876118,3.87120990092827
bearmountain,bm11,litter_depth_cm,1.70625,0.76875,0.9375
bearmountain,bm11,duff_depth_cm,0.25625,0.01875,0.2375
bearmountain,bm12,mass_1hr,0.803057014693511,0.108889086738103,0.694167927955408
bearmountain,bm12,mass_10hr,1.88589425661357,1.50871540529085,0.377178851322714
bearmountain,bm12,mass_100hr,5.76044645155616,0.576044645155616,5.18440180640054
bearmountain,bm12,mass_cwd_sound,123.626454998626,26.3908566949049,97.2355983037214
bearmountain,bm12,mass_cwd_rotten,2.3333211033556,0,2.3333211033556
bearmountain,bm12,total_fine,8.44939772286324,2.19364913718457,6.25574858567866
bearmountain,bm12,total_cwd,125.959776101982,26.3908566949049,99.568919407077
bearmountain,bm12,total_fuel,141.562199401982,29.819767976354,111.742431425628
bearmountain,bm12,duff_load,4.63475399350931,0.0353798014771703,4.59937419203214
bearmountain,bm12,litter_load,2.51827158362782,1.19988234278737,1.31838924084045
bearmountain,bm12,litter_depth_cm,2.125,1.0125,1.1125
bearmountain,bm12,duff_depth_cm,0.81875,0.00625,0.8125
bearmountain,bm13,mass_1hr,0.0643300158335087,0.102928025333614,-0.0385980095001053
bearmountain,bm13,mass_10hr,0.328860086020409,0.767340200714288,-0.438480114693879
bearmountain,bm13,mass_100hr,0,0,0
bearmountain,bm13,mass_cwd_sound,8.99237350856463,20.0015336768536,-11.009160168289
bearmountain,bm13,mass_cwd_rotten,0,0,0
bearmountain,bm13,total_fine,0.393190101853918,0.870268226047902,-0.477078124193984
bearmountain,bm13,total_cwd,8.99237350856463,20.0015336768536,-11.009160168289
bearmountain,bm13,total_fuel,21.0080197335592,22.9914707510201,-1.98345101746094
bearmountain,bm13,duff_load,2.41961281457364,0.0390260131382845,2.38058680143535
bearmountain,bm13,litter_load,9.20284330856703,2.08064283498037,7.12220047358666
bearmountain,bm13,litter_depth_cm,2.875,0.65,2.225
bearmountain,bm13,duff_depth_cm,0.3875,0.00625,0.38125
bearmountain,bm14,mass_1hr,0.0767063957179299,0.268472385012755,-0.191765989294825
bearmountain,bm14,mass_10hr,0.20051173006887,0.501279325172175,-0.300767595103305
bearmountain,bm14,mass_100hr,0.793980406012031,0.793980406012031,0
bearmountain,bm14,mass_cwd_sound,0,10.5538808244464,-10.5538808244464
bearmountain,bm14,mass_cwd_rotten,0,2.70889997338236,-2.70889997338236
bearmountain,bm14,total_fine,1.07119853179883,1.56373211619696,-0.49253358439813
bearmountain,bm14,total_cwd,0,13.2627807978288,-13.2627807978288
bearmountain,bm14,total_fuel,4.93249065262345,17.5558191367449,-12.6233284841215
bearmountain,bm14,duff_load,1.80983217949847,0.123397648602168,1.6864345308963
bearmountain,bm14,litter_load,2.05145994132615,2.605908574117,-0.554448632790851
bearmountain,bm14,litter_depth_cm,0.4625,0.5875,-0.125
bearmountain,bm14,duff_depth_cm,0.275,0.01875,0.25625
