site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
antelope,Antelope08,2020,prefire,"",Antelope08 prefire NA,90,1.5,0.75,3.925,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope08 prefire 
antelope,Antelope09,2020,prefire,"",Antelope09 prefire NA,0,4.7,3.15,4.9,0.0470694152266219,0.112608120865014,0,0,0,0.159677536091636,0,0.159677536091636,antelope Antelope09 prefire 
antelope,Antelope09,2020,prefire,"",Antelope09 prefire NA,180,5.7,0.9,1,0.023534707613311,0.450432483460057,0.448094598597808,0,0,0.922061789671176,0,0.922061789671176,antelope Antelope09 prefire 
antelope,Antelope09,2020,prefire,"",Antelope09 prefire NA,270,0.5,0.75,0.4,0.0294183845166387,0.112608120865014,0,0,0,0.142026505381653,0,0.142026505381653,antelope Antelope09 prefire 
antelope,Antelope09,2020,prefire,"",Antelope09 prefire NA,90,5,3.2,1.35,0.0117673538066555,0,0,0,0,0.0117673538066555,0,0.0117673538066555,antelope Antelope09 prefire 
antelope,Antelope10,2020,prefire,"",Antelope10 prefire NA,0,13.75,4.75,0.15,0.00588367690332774,0.225216241730029,0.448094598597808,0,8.76568408698468,0.679194517231164,3.54885995424481,4.22805447147597,antelope Antelope10 prefire 
antelope,Antelope10,2020,prefire,"",Antelope10 prefire NA,180,17.15,20.25,14.4,0,0,0,0,4.47228779948198,0,1.81064283379837,1.81064283379837,antelope Antelope10 prefire 
antelope,Antelope10,2020,prefire,"",Antelope10 prefire NA,270,0.1,0,5.85,0,0,0,0,0,0,0,0,antelope Antelope10 prefire 
antelope,Antelope10,2020,prefire,"",Antelope10 prefire NA,90,1.9,0.5,8.9,0,0,0,0,0,0,0,0,antelope Antelope10 prefire 
antelope,Antelope11,2020,prefire,"",Antelope11 prefire NA,0,0.5,1.85,2.5,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope11 prefire 
antelope,Antelope11,2020,prefire,"",Antelope11 prefire NA,180,3.5,3.45,4.1,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope11 prefire 
antelope,Antelope11,2020,prefire,"",Antelope11 prefire NA,270,1.6,1.1,0.15,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope11 prefire 
antelope,Antelope11,2020,prefire,"",Antelope11 prefire NA,90,0.9,0.75,5.85,0,0,0,0,0,0,0,0,antelope Antelope11 prefire 
antelope,Antelope12,2020,prefire,"",Antelope12 prefire NA,0,7.65,2.25,10.4,0.00588367690332774,0,0.448094598597808,0,0,0.453978275501136,0,0.453978275501136,antelope Antelope12 prefire 
antelope,Antelope12,2020,prefire,"",Antelope12 prefire NA,180,3.45,0.75,6.6,0.0294183845166387,1.23868932951516,0.896189197195616,0,0,2.16429691122741,0,2.16429691122741,antelope Antelope12 prefire 
antelope,Antelope12,2020,prefire,"",Antelope12 prefire NA,270,10.1,1.75,16.5,0,0,0,1.75727444420462,0,0,0.71144714340268,0.71144714340268,antelope Antelope12 prefire 
antelope,Antelope12,2020,prefire,"",Antelope12 prefire NA,90,14.65,2.25,8.65,0,0,0,0,0,0,0,0,antelope Antelope12 prefire 
antelope,Antelope13,2020,prefire,"",Antelope13 prefire NA,0,1.15,1.35,0.4,0,0,1.34428379579342,0,0,1.34428379579342,0,1.34428379579342,antelope Antelope13 prefire 
antelope,Antelope13,2020,prefire,"",Antelope13 prefire NA,180,2,2.1,3.85,0.00588367690332774,0.112608120865014,0,1.66600326462335,0,0.118491797768342,0.674495248835366,0.792987046603708,antelope Antelope13 prefire 
antelope,Antelope13,2020,prefire,"",Antelope13 prefire NA,270,0.15,0,4.9,0.00588367690332774,0,0,0,0,0.00588367690332774,0,0.00588367690332774,antelope Antelope13 prefire 
antelope,Antelope13,2020,prefire,"",Antelope13 prefire NA,90,2.75,5.25,5,0.0117673538066555,0.337824362595043,1.34428379579342,0,0,1.69387551219512,0,1.69387551219512,antelope Antelope13 prefire 
antelope,Antelope14,2020,prefire,"",Antelope14 prefire NA,0,12,1.75,34.85,0,0.112608120865014,0,0,0,0.112608120865014,0,0.112608120865014,antelope Antelope14 prefire 
antelope,Antelope14,2020,prefire,"",Antelope14 prefire NA,180,2.1,1,2.4,0.023534707613311,0.225216241730029,0.896189197195616,0,0,1.14494014653896,0,1.14494014653896,antelope Antelope14 prefire 
antelope,Antelope14,2020,prefire,"",Antelope14 prefire NA,270,2.15,1.25,12.5,0.0411857383232942,0.337824362595043,0,2.25013881394345,0,0.379010100918337,0.910987374066174,1.28999747498451,antelope Antelope14 prefire 
antelope,Antelope14,2020,prefire,"",Antelope14 prefire NA,90,18.9,2.75,26.5,0.0117673538066555,0.112608120865014,0.896189197195616,0,5.98830209232679,1.02056467186729,2.42441380256145,3.44497847442874,antelope Antelope14 prefire 
antelope,Antelope15,2020,prefire,"",Antelope15 prefire NA,0,0.6,1.5,1.75,0.00588367690332774,0.112608120865014,0,0,0,0.118491797768342,0,0.118491797768342,antelope Antelope15 prefire 
