site_plotid,SG_plot_x1h,SG_plot_x10h,SG_plot_x100h,SG_plot_x1000s
antelope_antelope01,0.53,0.55,0.55,0.47
antelope_antelope02,0.53,0.55,0.55,0.47
antelope_antelope03,0.53,0.55,0.55,0.47
antelope_antelope04,0.5629416772868405,0.5747062579651303,0.5445097204521934,0.47
antelope_antelope05,0.53,0.55,0.55,0.47
antelope_antelope06,0.53,0.55,0.55,0.47
antelope_antelope07,0.53,0.55,0.55,0.47
antelope_antelope08,0.53,0.55,0.55,0.47
antelope_antelope09,0.53,0.55,0.55,0.47
antelope_antelope10,0.53,0.55,0.55,0.47
antelope_antelope11,0.53,0.55,0.55,0.47
antelope_antelope12,0.53,0.55,0.55,0.47
antelope_antelope13,0.53,0.55,0.55,0.47
antelope_antelope14,0.53,0.55,0.55,0.47
antelope_antelope15,0.53,0.55,0.55,0.47
antelope_antelope16,0.53,0.55,0.55,0.47
antelope_antelope17,0.53,0.55,0.55,0.47
antelope_antelope18,0.53,0.55,0.55,0.47
antelope_antelope19,0.53,0.55,0.55,0.47
bearmountain_bm1,0.5696615917477375,0.5665538639159124,0.5127693195795624,0.44587704741138734
bearmountain_bm1,0.5697261983467408,0.5665753994489136,0.5128769972445679,0.44602779614239507
bearmountain_bm10,0.5561775340095615,0.5620591780031872,0.49029589001593576,0.4144142460223101
bearmountain_bm10,0.556281671338007,0.5620938904460023,0.49046945223001165,0.4146572331220163
bearmountain_bm11,0.572405160853709,0.5674683869512362,0.5173419347561816,0.4522787086586542
bearmountain_bm11,0.5722396838844984,0.5674132279614994,0.5170661398074974,0.4518925957304963
bearmountain_bm12,0.5740566404945449,0.5780424803709086,0.5040566404945448,0.41804248037090863
bearmountain_bm12,0.5738117374720255,0.5778588031040192,0.5038117374720256,0.4178588031040192
bearmountain_bm13,0.5638373586312606,0.5646124528770868,0.5030622643854343,0.4322871701396081
bearmountain_bm13,0.5670480876132544,0.5656826958710848,0.5084134793554241,0.4397788710975937
bearmountain_bm14,0.5744652118565639,0.5681550706188546,0.520775353094273,0.4570854943319822
bearmountain_bm14,0.5747196263601746,0.5682398754533915,0.5211993772669578,0.45767912817374085
bearmountain_bm15,0.5557873046646065,0.5619291015548689,0.489645507774344,0.41350371088408167
bearmountain_bm15,0.5562292512645153,0.5620764170881718,0.4903820854408587,0.4145349196172022
bearmountain_bm16,0.5499576676112383,0.5582656683347401,0.5332562929579163,0.46010895484143255
