site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
antelope,antelope07,2020,prefire,"",litter_load,1.15934823956443
antelope,antelope07,2020,prefire,"",litter_depth_cm,0.8
antelope,antelope07,2020,prefire,"",duff_depth_cm,0.6625
antelope,antelope07,2020,prefire,"",fuel_depth_cm,1.9375
antelope,antelope08,2020,prefire,"",mass_1hr,0.0229233416515427
antelope,antelope08,2020,prefire,"",mass_10hr,1.090300448049
antelope,antelope08,2020,prefire,"",mass_100hr,2.07887288112523
antelope,antelope08,2020,prefire,"",mass_cwd_sound,0
antelope,antelope08,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope08,2020,prefire,"",total_fine,3.19209667082577
antelope,antelope08,2020,prefire,"",total_cwd,0
antelope,antelope08,2020,prefire,"",total_fuel,81.2804648911071
antelope,antelope08,2020,prefire,"",duff_load,76.09573843353
antelope,antelope08,2020,prefire,"",litter_load,1.99262978675136
antelope,antelope08,2020,prefire,"",litter_depth_cm,1.375
antelope,antelope08,2020,prefire,"",duff_depth_cm,11.0125
antelope,antelope08,2020,prefire,"",fuel_depth_cm,5.76875
antelope,antelope09,2020,prefire,"",mass_1hr,0.217771745689655
antelope,antelope09,2020,prefire,"",mass_10hr,0.594709335299456
antelope,antelope09,2020,prefire,"",mass_100hr,0.692957627041742
antelope,antelope09,2020,prefire,"",mass_cwd_sound,0
antelope,antelope09,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope09,2020,prefire,"",total_fine,1.50543870803085
antelope,antelope09,2020,prefire,"",total_cwd,0
antelope,antelope09,2020,prefire,"",total_fuel,31.8708295360708
antelope,antelope09,2020,prefire,"",duff_load,27.4670202291289
antelope,antelope09,2020,prefire,"",litter_load,2.89837059891107
antelope,antelope09,2020,prefire,"",litter_depth_cm,2
antelope,antelope09,2020,prefire,"",duff_depth_cm,3.975
antelope,antelope09,2020,prefire,"",fuel_depth_cm,1.9125
antelope,antelope10,2020,prefire,"",mass_1hr,0.0114616708257713
antelope,antelope10,2020,prefire,"",mass_10hr,0.198236445099819
antelope,antelope10,2020,prefire,"",mass_100hr,0.692957627041742
antelope,antelope10,2020,prefire,"",mass_cwd_sound,0
antelope,antelope10,2020,prefire,"",mass_cwd_rotten,33.9558596598301
antelope,antelope10,2020,prefire,"",total_fine,0.902655742967332
antelope,antelope10,2020,prefire,"",total_cwd,33.9558596598301
antelope,antelope10,2020,prefire,"",total_fuel,100.931346248986
antelope,antelope10,2020,prefire,"",duff_load,56.8342745621597
antelope,antelope10,2020,prefire,"",litter_load,9.23855628402904
antelope,antelope10,2020,prefire,"",litter_depth_cm,6.375
antelope,antelope10,2020,prefire,"",duff_depth_cm,8.225
antelope,antelope10,2020,prefire,"",fuel_depth_cm,7.325
antelope,antelope11,2020,prefire,"",mass_1hr,0.0114616708257713
antelope,antelope11,2020,prefire,"",mass_10hr,0.198236445099819
antelope,antelope11,2020,prefire,"",mass_100hr,0
antelope,antelope11,2020,prefire,"",mass_cwd_sound,0
antelope,antelope11,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope11,2020,prefire,"",total_fine,0.20969811592559
antelope,antelope11,2020,prefire,"",total_cwd,0
antelope,antelope11,2020,prefire,"",total_fuel,14.0287729072142
antelope,antelope11,2020,prefire,"",duff_load,11.2286560685118
antelope,antelope11,2020,prefire,"",litter_load,2.59041872277677
antelope,antelope11,2020,prefire,"",litter_depth_cm,1.7875
antelope,antelope11,2020,prefire,"",duff_depth_cm,1.625
antelope,antelope11,2020,prefire,"",fuel_depth_cm,3.15
antelope,antelope12,2020,prefire,"",mass_1hr,0.0687700249546279
antelope,antelope12,2020,prefire,"",mass_10hr,1.090300448049
antelope,antelope12,2020,prefire,"",mass_100hr,2.07887288112523
antelope,antelope12,2020,prefire,"",mass_cwd_sound,4.41356461702777
antelope,antelope12,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope12,2020,prefire,"",total_fine,3.23794335412886
antelope,antelope12,2020,prefire,"",total_cwd,4.41356461702777
antelope,antelope12,2020,prefire,"",total_fuel,72.1179391769189
antelope,antelope12,2020,prefire,"",duff_load,61.9303569317151
antelope,antelope12,2020,prefire,"",litter_load,2.53607427404719
antelope,antelope12,2020,prefire,"",litter_depth_cm,1.75
antelope,antelope12,2020,prefire,"",duff_depth_cm,8.9625
antelope,antelope12,2020,prefire,"",fuel_depth_cm,10.5375
antelope,antelope13,2020,prefire,"",mass_1hr,0.0458466833030853
antelope,antelope13,2020,prefire,"",mass_10hr,0.396472890199637
antelope,antelope13,2020,prefire,"",mass_100hr,4.15774576225045
