site,plotid,year,pre_post_fire,postTime,fuelType,mass_mgha
antelope,ANTELOPE06,2020,prefire,NA,litter_load,2.9436576395190555
antelope,ANTELOPE06,2020,prefire,NA,litter_depth_cm,2.03125
antelope,ANTELOPE06,2020,prefire,NA,duff_depth_cm,4.125
antelope,ANTELOPE06,2020,prefire,NA,fuel_depth_cm,17.8625
antelope,ANTELOPE07,2020,prefire,NA,mass_1hr,0.03438501247731397
antelope,ANTELOPE07,2020,prefire,NA,mass_10hr,0.09911822254990926
antelope,ANTELOPE07,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE07,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE07,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE07,2020,prefire,NA,total_fine,0.13350323502722322
antelope,ANTELOPE07,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE07,2020,prefire,NA,total_fuel,5.870688179446461
antelope,ANTELOPE07,2020,prefire,NA,duff_load,4.577836704854809
antelope,ANTELOPE07,2020,prefire,NA,litter_load,1.1593482395644281
antelope,ANTELOPE07,2020,prefire,NA,litter_depth_cm,0.8
antelope,ANTELOPE07,2020,prefire,NA,duff_depth_cm,0.6625
antelope,ANTELOPE07,2020,prefire,NA,fuel_depth_cm,1.9375
antelope,ANTELOPE08,2020,prefire,NA,mass_1hr,0.02292334165154265
antelope,ANTELOPE08,2020,prefire,NA,mass_10hr,1.0903004480490017
antelope,ANTELOPE08,2020,prefire,NA,mass_100hr,2.0788728811252266
antelope,ANTELOPE08,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE08,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE08,2020,prefire,NA,total_fine,3.192096670825771
antelope,ANTELOPE08,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE08,2020,prefire,NA,total_fuel,81.28046489110707
antelope,ANTELOPE08,2020,prefire,NA,duff_load,76.09573843352995
antelope,ANTELOPE08,2020,prefire,NA,litter_load,1.9926297867513605
antelope,ANTELOPE08,2020,prefire,NA,litter_depth_cm,1.375
antelope,ANTELOPE08,2020,prefire,NA,duff_depth_cm,11.0125
antelope,ANTELOPE08,2020,prefire,NA,fuel_depth_cm,5.76875
antelope,ANTELOPE09,2020,prefire,NA,mass_1hr,0.21777174568965516
antelope,ANTELOPE09,2020,prefire,NA,mass_10hr,0.5947093352994556
antelope,ANTELOPE09,2020,prefire,NA,mass_100hr,0.9239435027223231
antelope,ANTELOPE09,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE09,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE09,2020,prefire,NA,total_fine,1.7364245837114338
antelope,ANTELOPE09,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE09,2020,prefire,NA,total_fuel,32.10181541175135
antelope,ANTELOPE09,2020,prefire,NA,duff_load,27.46702022912885
antelope,ANTELOPE09,2020,prefire,NA,litter_load,2.8983705989110704
antelope,ANTELOPE09,2020,prefire,NA,litter_depth_cm,2
antelope,ANTELOPE09,2020,prefire,NA,duff_depth_cm,3.9749999999999996
antelope,ANTELOPE09,2020,prefire,NA,fuel_depth_cm,1.9125
antelope,ANTELOPE10,2020,prefire,NA,mass_1hr,0.011461670825771323
antelope,ANTELOPE10,2020,prefire,NA,mass_10hr,0.19823644509981853
