site,plotid,fuelType,prefire_NA,postfire_immediate,consumption_immediate
bearmountain,BM01,mass_1hr,0.07749961713483661,0.129166028558061,-0.051666411423224395
bearmountain,BM01,mass_10hr,0.6701672585630062,1.1169454309383438,-0.44677817237533757
bearmountain,BM01,mass_100hr,1.1848485799531119,0.5924242899765559,0.5924242899765559
bearmountain,BM01,mass_cwd_sound,0.3397379264148814,0,0.3397379264148814
bearmountain,BM01,mass_cwd_rotten,0,0,0
bearmountain,BM01,total_fine,1.9325154556509547,1.8385357494729608,0.0939797061779939
bearmountain,BM01,total_cwd,0.3397379264148814,0,0.3397379264148814
bearmountain,BM01,total_fuel,5.873088407027574,5.982277056308339,-0.10918864928076477
bearmountain,BM01,duff_load,1.072510433978758,1.6912664535818869,-0.618756019603129
bearmountain,BM01,litter_load,2.5283245909829803,2.4524748532534906,0.07584973772948977
bearmountain,BM01,litter_depth_cm,1.875,1.81875,0.05624999999999991
bearmountain,BM01,duff_depth_cm,0.1625,0.2562500000000001,-0.09375000000000008
bearmountain,BM02,mass_1hr,0.2798863493592838,0.030836909501741543,0.24904943985754227
bearmountain,BM02,mass_10hr,0.2369695868136301,0.2369695868136299,1.942890293094024e-16
bearmountain,BM02,mass_100hr,0.6279725131405647,1.2559450262811294,-0.6279725131405647
bearmountain,BM02,mass_cwd_sound,0.4597218384324377,0,0.4597218384324377
bearmountain,BM02,mass_cwd_rotten,0,0,0
bearmountain,BM02,total_fine,1.144828449313479,1.523751522596502,-0.3789230732830229
bearmountain,BM02,total_cwd,0.4597218384324377,0,0.4597218384324377
bearmountain,BM02,total_fuel,8.557853194303057,4.304263833064344,4.253589361238713
bearmountain,BM02,duff_load,2.6954120170033353,1.2321883506300961,1.4632236663732392
bearmountain,BM02,litter_load,4.2578908895538055,1.5483239598377474,2.709566929716058
bearmountain,BM02,litter_depth_cm,3.4375,1.25,2.1875
bearmountain,BM02,duff_depth_cm,0.4375,0.2,0.2375
bearmountain,BM03,mass_1hr,0.06229416251184609,0.012458832502369213,0.04983533000947688
bearmountain,BM03,mass_10hr,0.5803473707838148,0.34820842247028894,0.23213894831352588
bearmountain,BM03,mass_100hr,8.868654289379453,1.5650566393022567,7.303597650077196
bearmountain,BM03,mass_cwd_sound,8.55332916733262,4.99244951398458,3.5608796533480405
bearmountain,BM03,mass_cwd_rotten,0.39031182041501417,0,0.39031182041501417
bearmountain,BM03,total_fine,9.511295822675114,1.9257238942749146,7.585571928400199
bearmountain,BM03,total_cwd,8.9436409877476315,4.99244951398458,3.9511914737630516
bearmountain,BM03,total_fuel,50.39348332479666,10.724657496819972,39.66882582797669
bearmountain,BM03,duff_load,11.7630949151099,0.7129148433399936,11.050180071769907
bearmountain,BM03,litter_load,20.17545159926401,3.0935692452204826,17.08188235404353
bearmountain,BM03,litter_depth_cm,6.5625,1.00625,5.55625
bearmountain,BM03,duff_depth_cm,2.0625,0.125,1.9375
bearmountain,BM04,mass_1hr,0.29580807485821586,0.09412075109125051,0.20168732376696535
bearmountain,BM04,mass_10hr,0.33933012238597293,0.4524401631812974,-0.11311004079532444
bearmountain,BM04,mass_100hr,0,0,0
bearmountain,BM04,mass_cwd_sound,0.8998791255511625,0,0.8998791255511625
bearmountain,BM04,mass_cwd_rotten,0,0,0
bearmountain,BM04,total_fine,0.6351381972441889,0.546560914272548,0.0885772829716408
bearmountain,BM04,total_cwd,0.8998791255511625,0,0.8998791255511625
bearmountain,BM04,total_fuel,20.197162357059323,2.3792124051624373,17.817949951896885
bearmountain,BM04,duff_load,14.685325276988284,0.8135914280879935,13.87173384890029
bearmountain,BM04,litter_load,3.976819757275692,1.019060062801896,2.957759694473796
bearmountain,BM04,litter_depth_cm,3,0.7687500000000002,2.2312499999999997
bearmountain,BM04,duff_depth_cm,2.2562499999999996,0.125,2.1312499999999996
bearmountain,BM05,mass_1hr,0.3435597098727243,0.09815991710649263,0.24539979276623164
bearmountain,BM05,mass_10hr,0.659877115780874,0.21995903859362467,0.4399180771872494
bearmountain,BM05,mass_100hr,3.4976937128986583,0.582948952149776,2.9147447607488823
bearmountain,BM05,mass_cwd_sound,0,2.821081827742009,-2.821081827742009
bearmountain,BM05,mass_cwd_rotten,0,2.132237218475899,-2.132237218475899
bearmountain,BM05,total_fine,4.501130538552257,0.901067907849894,3.6000626307023627
bearmountain,BM05,total_cwd,0,4.953319046217907,-4.953319046217907
bearmountain,BM06,mass_1hr,0.1311034018916875,0.11059692343758004,0.02050647845410747
bearmountain,BM06,mass_10hr,1.6712101198208786,0.1041666206896552,1.5670434991312234
bearmountain,BM06,mass_100hr,4.944230959165154,0,4.944230959165154
bearmountain,BM06,mass_cwd_sound,7.8890502646033704,0.427558614265294,7.461491650338076
bearmountain,BM06,mass_cwd_rotten,0.8210035093072934,0,0.8210035093072934
