site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,notes,project,observer,offset_dist_direction,burnpile_ht_m,ID,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth,sum_d2_1000r_cm2,sum_d2_1000s_cm2,plot_id_time
Antelope,Antelope08,2020,prefire,NA,90,0,2,2,4,11.3,0,1,0,0,1.5,0.25,3,0,7.6,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,1.5,0.75,3.925,Antelope_Antelope08_2020_prefire_NA_90,0,0,Antelope08 prefire NA
Antelope,Antelope09,2020,prefire,NA,0,0,2,2,3,11.3,8,1,0,2.4,6.3,4.8,7,0,5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,4.7,3.15,4.9,Antelope_Antelope09_2020_prefire_NA_0,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,NA,180,0,2,2,3,11.3,4,4,1,3.2,1.8,1.2,8.2,0,0.8,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,5.699999999999999,0.9,1,Antelope_Antelope09_2020_prefire_NA_180,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,NA,270,0,2,2,3,11.3,5,1,0,0,1.5,0.3,1,0,0.5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.5,0.75,0.4,Antelope_Antelope09_2020_prefire_NA_270,0,0,Antelope09 prefire NA
Antelope,Antelope09,2020,prefire,NA,90,0,2,2,3,11.3,2,0,0,2.7,6.4,1.5,7.3,0,1.2,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,5,3.2,1.35,Antelope_Antelope09_2020_prefire_NA_90,0,0,Antelope09 prefire NA
Antelope,Antelope10,2020,prefire,NA,0,0,2,2,4,11.3,1,2,1,0,9.5,0,27.5,0,0.3,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,13.75,4.75,0.15,Antelope_Antelope10_2020_prefire_NA_0,2401,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,NA,180,0,2,2,4,11.3,0,0,0,1,27,8.5,33.3,13.5,20.3,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,17.15,20.25,14.4,Antelope_Antelope10_2020_prefire_NA_180,1225,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,NA,270,0,2,2,4,11.3,0,0,0,0,0,0,0.2,0,11.7,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,0.1,0,5.85,Antelope_Antelope10_2020_prefire_NA_270,0,0,Antelope10 prefire NA
Antelope,Antelope10,2020,prefire,NA,90,0,2,2,4,11.3,0,0,0,0,1,8,3.8,0,9.8,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,1.9,0.5,8.9,Antelope_Antelope10_2020_prefire_NA_90,0,0,Antelope10 prefire NA
Antelope,Antelope11,2020,prefire,NA,0,34,2,2,3,11.3,0,1,0,0.5,0.3,1,0.5,3.4,4,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.5,1.8499999999999999,2.5,Antelope_Antelope11_2020_prefire_NA_0,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,NA,180,27,2,2,3,11.3,1,0,0,0,6.9,4,7,0,4.2,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,3.5,3.45,4.1,Antelope_Antelope11_2020_prefire_NA_180,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,NA,270,0,2,2,3,11.3,0,1,0,0.5,2.2,0,2.7,0,0.3,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,1.6,1.1,0.15,Antelope_Antelope11_2020_prefire_NA_270,0,0,Antelope11 prefire NA
Antelope,Antelope11,2020,prefire,NA,90,0,2,2,3,11.3,0,0,0,0,1.5,5.4,1.8,0,6.3,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.9,0.75,5.85,Antelope_Antelope11_2020_prefire_NA_90,0,0,Antelope11 prefire NA
Antelope,Antelope12,2020,prefire,NA,0,0,2,2,4,11.3,1,0,1,0,4,4.5,15.3,0.5,16.3,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,7.65,2.25,10.4,Antelope_Antelope12_2020_prefire_NA_0,0,0,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,NA,180,0,2,2,4,11.3,5,11,2,0,1.5,4.5,6.9,0,8.7,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,3.45,0.75,6.6,Antelope_Antelope12_2020_prefire_NA_180,0,0,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,NA,270,0,2,2,4,11.3,0,0,0,2,3.5,5,18.2,0,28,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,10.1,1.75,16.5,Antelope_Antelope12_2020_prefire_NA_270,0,361,Antelope12 prefire NA
Antelope,Antelope12,2020,prefire,NA,90,0,2,2,4,11.3,0,0,0,0,4.5,6,29.3,0,11.3,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,14.65,2.25,8.65,Antelope_Antelope12_2020_prefire_NA_90,0,0,Antelope12 prefire NA
Antelope,Antelope13,2020,prefire,NA,0,0,2,2,3,11.3,0,0,3,0,2.7,0.3,2.3,0,0.5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,1.15,1.35,0.4,Antelope_Antelope13_2020_prefire_NA_0,0,0,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,NA,180,0,2,2,3,11.3,1,1,0,0,4.2,3.7,4,0,4,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,2,2.1,3.85,Antelope_Antelope13_2020_prefire_NA_180,0,342.25,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,NA,270,0,2,2,3,11.3,1,0,0,0,0,4.8,0.3,0,5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.15,0,4.9,Antelope_Antelope13_2020_prefire_NA_270,0,0,Antelope13 prefire NA
Antelope,Antelope13,2020,prefire,NA,90,0,2,2,3,11.3,2,3,3,0,5,3,5.5,5.5,7,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,2.75,5.25,5,Antelope_Antelope13_2020_prefire_NA_90,0,0,Antelope13 prefire NA
Antelope,Antelope14,2020,prefire,NA,0,0,2,2,4,11.3,0,1,0,1.5,3.5,6.5,22.5,0,63.2,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,12,1.75,34.85,Antelope_Antelope14_2020_prefire_NA_0,0,0,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,NA,180,0,2,2,4,11.3,4,2,2,0,2,0,4.2,0,4.8,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,2.1,1,2.4,Antelope_Antelope14_2020_prefire_NA_180,0,0,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,NA,270,0,2,2,4,11.3,7,3,0,0,1.5,2.5,4.3,1,22.5,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,2.15,1.25,12.5,Antelope_Antelope14_2020_prefire_NA_270,0,462.25,Antelope14 prefire NA
Antelope,Antelope14,2020,prefire,NA,90,0,2,2,4,11.3,2,1,2,1,4.5,20,36.8,1,33,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,18.9,2.75,26.5,Antelope_Antelope14_2020_prefire_NA_90,1640.25,0,Antelope14 prefire NA
Antelope,Antelope15,2020,prefire,NA,0,0,2,2,3,11.3,1,1,0,0,2.7,2,1.2,0.3,1.5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.6,1.5,1.75,Antelope_Antelope15_2020_prefire_NA_0,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,NA,180,0,2,2,3,11.3,0,1,0,0.3,2.7,2.6,3,0,2.8,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,1.65,1.35,2.7,Antelope_Antelope15_2020_prefire_NA_180,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,NA,270,0,2,2,3,11.3,0,1,1,0,0,2,0.3,0,3.4,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.15,0,2.7,Antelope_Antelope15_2020_prefire_NA_270,0,0,Antelope15 prefire NA
Antelope,Antelope15,2020,prefire,NA,90,0,2,2,3,11.3,1,1,0,3.7,4.8,7.3,5.2,4.5,8,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,4.45,4.65,7.65,Antelope_Antelope15_2020_prefire_NA_90,0,0,Antelope15 prefire NA
Antelope,Antelope16,2020,prefire,NA,0,0,2,2,4,11.3,1,2,0,0,3.5,0.5,70.2,0,23.8,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,35.1,1.75,12.15,Antelope_Antelope16_2020_prefire_NA_0,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,NA,180,0,2,2,4,11.3,1,0,0,0,0.5,0,23.2,0,5.8,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,11.6,0.25,2.9,Antelope_Antelope16_2020_prefire_NA_180,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,NA,270,0,2,2,4,11.3,4,2,0,6,2,0.25,3.7,0,12.8,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,4.85,1,6.525,Antelope_Antelope16_2020_prefire_NA_270,0,0,Antelope16 prefire NA
Antelope,Antelope16,2020,prefire,NA,90,0,2,2,4,11.3,0,0,0,0,1.5,2,24.8,0,65.3,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,12.4,0.75,33.65,Antelope_Antelope16_2020_prefire_NA_90,0,1056.25,Antelope16 prefire NA
Antelope,Antelope17,2020,prefire,NA,0,0,2,2,3,11.3,1,1,0,0,0.1,0.1,0.3,0,0.5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.15,0.05,0.3,Antelope_Antelope17_2020_prefire_NA_0,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,NA,180,0,2,2,3,11.3,22,0,0,0,1.1,0,3.7,0,4,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,1.85,0.55,2,Antelope_Antelope17_2020_prefire_NA_180,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,NA,270,0,2,2,3,11.3,2,0,2,4.2,3.4,0.3,7.3,0,15,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,5.75,1.7,7.65,Antelope_Antelope17_2020_prefire_NA_270,0,0,Antelope17 prefire NA
Antelope,Antelope17,2020,prefire,NA,90,0,2,2,3,11.3,3,0,0,0,0,1.2,0.2,0,2.2,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.1,0,1.7000000000000002,Antelope_Antelope17_2020_prefire_NA_90,0,0,Antelope17 prefire NA
Antelope,Antelope18,2020,prefire,NA,0,0,2,2,4,11.3,5,3,0,0,1,1.5,13.5,7,22,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,6.75,4,11.75,Antelope_Antelope18_2020_prefire_NA_0,0,1106.5,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,NA,180,0,2,2,4,11.3,1,0,0,0,3.5,0.5,56.8,0,38.7,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,28.4,1.75,19.6,Antelope_Antelope18_2020_prefire_NA_180,0,0,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,NA,270,0,2,2,4,11.3,0,1,3,1,8.5,3,12.7,0.25,10,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,6.85,4.375,6.5,Antelope_Antelope18_2020_prefire_NA_270,676,0,Antelope18 prefire NA
Antelope,Antelope18,2020,prefire,NA,90,0,2,2,4,11.3,0,0,0,0,5.5,1.5,12.5,0,38.2,NA,NA,CPFMP,pm,NA,NA,NA,NA,NA,6.25,2.75,19.85,Antelope_Antelope18_2020_prefire_NA_90,676,900,Antelope18 prefire NA
Antelope,Antelope19,2020,prefire,NA,0,0,2,2,3,11.3,6,4,0,0,2,2.7,1.8,0,3,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.9,1,2.85,Antelope_Antelope19_2020_prefire_NA_0,0,0,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,NA,180,0,2,2,3,11.3,2,5,0,0,0.8,0.5,1.1,3.2,1.2,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.55,2,0.85,Antelope_Antelope19_2020_prefire_NA_180,0,342.25,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,NA,270,0,2,2,3,11.3,0,1,0,0,0,2.4,0.8,3.2,4.5,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.4,1.6,3.45,Antelope_Antelope19_2020_prefire_NA_270,0,0,Antelope19 prefire NA
Antelope,Antelope19,2020,prefire,NA,90,0,2,2,3,11.3,11,1,0,0.2,1.1,3.7,1,0.3,1.8,NA,NA,CPFMP,mm,NA,NA,NA,NA,NA,0.6,0.7000000000000001,2.75,Antelope_Antelope19_2020_prefire_NA_90,0,0,Antelope19 prefire NA
BearMountain,BM1,2019,postfire,immediate,0,0,2,2,4,11.3,0,2,0,2,3,NA,0,4,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,1,3.5,NA,BearMountain_BM1_2019_postfire_immediate_0,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,immediate,180,0,2,2,4,11.3,3,3,1,0,0.05,NA,0.05,1.5,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.025,0.775,NA,BearMountain_BM1_2019_postfire_immediate_180,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,immediate,270,0,2,2,4,11.3,2,1,0,0,1,NA,0,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0,1.5,NA,BearMountain_BM1_2019_postfire_immediate_270,0,0,BM1 postfire immediate
BearMountain,BM1,2019,postfire,immediate,90,0,2,2,4,11.3,5,4,0,0,2,NA,0,1,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0,1.5,NA,BearMountain_BM1_2019_postfire_immediate_90,0,0,BM1 postfire immediate
BearMountain,BM1,2019,prefire,NA,0,0,2,2,4,11.3,0,3,0,0.5,3,NA,0.05,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.275,2.5,NA,BearMountain_BM1_2019_prefire_NA_0,0,121,BM1 prefire NA
BearMountain,BM1,2019,prefire,NA,180,0,2,2,4,11.3,0,0,2,0.05,0,NA,0.05,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.05,1,NA,BearMountain_BM1_2019_prefire_NA_180,0,0,BM1 prefire NA
BearMountain,BM1,2019,prefire,NA,270,0,2,2,4,11.3,3,0,0,0.05,2,NA,0.05,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.05,2,NA,BearMountain_BM1_2019_prefire_NA_270,0,0,BM1 prefire NA
BearMountain,BM1,2019,prefire,NA,90,0,2,2,4,11.3,3,3,0,0.05,2,NA,0.5,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.275,2,NA,BearMountain_BM1_2019_prefire_NA_90,0,0,BM1 prefire NA
BearMountain,BM1,2021,postfire,2yr,90,0,2,2,3,11.3,0,1,0,0,0.5,0.6,0,0.5,0.3,NA,NA,CPFMP,mv,NA,NA,NA,NA,NA,0,0.5,0.44999999999999996,BearMountain_BM1_2021_postfire_2yr_90,0,0,BM1 postfire 2yr
BearMountain,BM1,2021,postfire,2yr,0,0,2,2,3,11.3,0,4,1,0,4.7,3.6,0,2,2.3,NA,NA,CPFMP,mv,NA,NA,NA,NA,NA,0,3.35,2.95,BearMountain_BM1_2021_postfire_2yr_0,0,0,BM1 postfire 2yr
BearMountain,BM1,2021,postfire,2yr,180,0,2,2,3,11.3,3,0,0,0,1.1,0.7,0,0.7,1.4,NA,NA,CPFMP,mv,NA,NA,NA,NA,NA,0,0.9,1.0499999999999998,BearMountain_BM1_2021_postfire_2yr_180,0,0,BM1 postfire 2yr
BearMountain,BM1,2021,postfire,2yr,270,0,2,2,3,11.3,1,2,0,0,4,2.8,0,3.1,3.5,NA,NA,CPFMP,mv,NA,NA,NA,NA,NA,0,3.55,3.15,BearMountain_BM1_2021_postfire_2yr_270,0,0,BM1 postfire 2yr
BearMountain,BM10,2019,postfire,immediate,0,0,2,2,4,11.3,0,0,2,0.05,2.5,NA,0,2,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.025,2.25,NA,BearMountain_BM10_2019_postfire_immediate_0,100,0,BM10 postfire immediate
BearMountain,BM10,2019,postfire,immediate,180,0,2,2,4,11.3,0,0,1,0,1.5,NA,0,0.05,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0,0.775,NA,BearMountain_BM10_2019_postfire_immediate_180,0,0,BM10 postfire immediate
BearMountain,BM10,2019,postfire,immediate,270,0,2,2,4,11.3,0,0,0,0.05,1,NA,0.5,1,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.275,1,NA,BearMountain_BM10_2019_postfire_immediate_270,0,1241,BM10 postfire immediate
BearMountain,BM10,2019,postfire,immediate,90,0,2,2,4,11.3,2,0,1,0,0,NA,0,1.9,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0,0.95,NA,BearMountain_BM10_2019_postfire_immediate_90,0,0,BM10 postfire immediate
BearMountain,BM10,2019,prefire,NA,0,0,2,2,4,11.3,0,1,0,0.05,2,NA,0.05,2.5,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.05,2.25,NA,BearMountain_BM10_2019_prefire_NA_0,0,110.25,BM10 prefire NA
BearMountain,BM10,2019,prefire,NA,180,0,2,2,4,11.3,0,0,0,2,3,NA,0,1,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,1,2,NA,BearMountain_BM10_2019_prefire_NA_180,0,196,BM10 prefire NA
BearMountain,BM10,2019,prefire,NA,270,0,2,2,4,11.3,2,0,0,0,2,NA,0,3,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0,2.5,NA,BearMountain_BM10_2019_prefire_NA_270,0,0,BM10 prefire NA
BearMountain,BM10,2019,prefire,NA,90,0,2,2,4,11.3,0,1,1,0,1,NA,1,0,NA,NA,NA,CPFMP,"RH, MS",NA,NA,NA,NA,NA,0.5,0.5,NA,BearMountain_BM10_2019_prefire_NA_90,0,1000,BM10 prefire NA
