site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsHA
antelope,antelope07,2020,prefire,"",duff_depth_cm,0.6625
antelope,antelope07,2020,prefire,"",fuel_depth_cm,1.9375
antelope,antelope08,2020,prefire,"",mass_1hr,0.0252615225
antelope,antelope08,2020,prefire,"",mass_10hr,1.20151109375
antelope,antelope08,2020,prefire,"",mass_100hr,2.290917915
antelope,antelope08,2020,prefire,"",mass_cwd_sound,0
antelope,antelope08,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope08,2020,prefire,"",total_fine,3.51769053125
antelope,antelope08,2020,prefire,"",total_cwd,0
antelope,antelope08,2020,prefire,"",total_fuel,89.57107231
antelope,antelope08,2020,prefire,"",duff_load,83.85750375375
antelope,antelope08,2020,prefire,"",litter_load,2.195878025
antelope,antelope08,2020,prefire,"",litter_depth_cm,1.375
antelope,antelope08,2020,prefire,"",duff_depth_cm,11.0125
antelope,antelope08,2020,prefire,"",fuel_depth_cm,5.76875
antelope,antelope09,2020,prefire,"",mass_1hr,0.23998446375
antelope,antelope09,2020,prefire,"",mass_10hr,0.6553696875
antelope,antelope09,2020,prefire,"",mass_100hr,0.763639305
antelope,antelope09,2020,prefire,"",mass_cwd_sound,0
antelope,antelope09,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope09,2020,prefire,"",total_fine,1.65899345625
antelope,antelope09,2020,prefire,"",total_cwd,0
antelope,antelope09,2020,prefire,"",total_fuel,35.12165414875
antelope,antelope09,2020,prefire,"",duff_load,30.2686562925
antelope,antelope09,2020,prefire,"",litter_load,3.1940044
antelope,antelope09,2020,prefire,"",litter_depth_cm,2
antelope,antelope09,2020,prefire,"",duff_depth_cm,3.975
antelope,antelope09,2020,prefire,"",fuel_depth_cm,1.9125
antelope,antelope10,2020,prefire,"",mass_1hr,0.01263076125
antelope,antelope10,2020,prefire,"",mass_10hr,0.2184565625
antelope,antelope10,2020,prefire,"",mass_100hr,0.763639305
antelope,antelope10,2020,prefire,"",mass_cwd_sound,0
antelope,antelope10,2020,prefire,"",mass_cwd_rotten,9.35483933628318
antelope,antelope10,2020,prefire,"",total_fine,0.99472662875
antelope,antelope10,2020,prefire,"",total_cwd,9.35483933628318
antelope,antelope10,2020,prefire,"",total_fuel,83.1618255575332
antelope,antelope10,2020,prefire,"",duff_load,62.6313705675
antelope,antelope10,2020,prefire,"",litter_load,10.180889025
antelope,antelope10,2020,prefire,"",litter_depth_cm,6.375
antelope,antelope10,2020,prefire,"",duff_depth_cm,8.225
antelope,antelope10,2020,prefire,"",fuel_depth_cm,7.325
antelope,antelope11,2020,prefire,"",mass_1hr,0.01263076125
antelope,antelope11,2020,prefire,"",mass_10hr,0.2184565625
antelope,antelope11,2020,prefire,"",mass_100hr,0
antelope,antelope11,2020,prefire,"",mass_cwd_sound,0
antelope,antelope11,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope11,2020,prefire,"",total_fine,0.23108732375
antelope,antelope11,2020,prefire,"",total_cwd,0
antelope,antelope11,2020,prefire,"",total_fuel,15.45970774375
antelope,antelope11,2020,prefire,"",duff_load,12.3739789875
antelope,antelope11,2020,prefire,"",litter_load,2.8546414325
antelope,antelope11,2020,prefire,"",litter_depth_cm,1.7875
antelope,antelope11,2020,prefire,"",duff_depth_cm,1.625
antelope,antelope11,2020,prefire,"",fuel_depth_cm,3.15
antelope,antelope12,2020,prefire,"",mass_1hr,0.0757845675
antelope,antelope12,2020,prefire,"",mass_10hr,1.20151109375
antelope,antelope12,2020,prefire,"",mass_100hr,2.290917915
antelope,antelope12,2020,prefire,"",mass_cwd_sound,1.21593705199115
antelope,antelope12,2020,prefire,"",mass_cwd_rotten,0
