site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
Antelope,Antelope10,prefire,NA,litter_depth_cm,6.375
Antelope,Antelope10,prefire,NA,duff_depth_cm,8.225
Antelope,Antelope10,prefire,NA,fuel_depth_cm,7.325
Antelope,Antelope11,prefire,NA,mass_1hr,0.00147091922583193
Antelope,Antelope11,prefire,NA,mass_10hr,0.0563040604325072
Antelope,Antelope11,prefire,NA,mass_100hr,0
Antelope,Antelope11,prefire,NA,total_fine,0.0577749796583391
Antelope,Antelope11,prefire,NA,total_cwd,0
Antelope,Antelope11,prefire,NA,total_fuel,0.0577749796583391
Antelope,Antelope11,prefire,NA,litter_depth_cm,1.7875
Antelope,Antelope11,prefire,NA,duff_depth_cm,1.625
Antelope,Antelope11,prefire,NA,fuel_depth_cm,3.15
Antelope,Antelope12,prefire,NA,mass_1hr,0.00882551535499161
Antelope,Antelope12,prefire,NA,mass_10hr,0.309672332378789
Antelope,Antelope12,prefire,NA,mass_100hr,0.336070948948356
Antelope,Antelope12,prefire,NA,total_fine,0.654568796682137
Antelope,Antelope12,prefire,NA,total_cwd,0.17786178585067
Antelope,Antelope12,prefire,NA,total_fuel,0.832430582532807
Antelope,Antelope12,prefire,NA,litter_depth_cm,1.75
Antelope,Antelope12,prefire,NA,duff_depth_cm,8.9625
Antelope,Antelope12,prefire,NA,fuel_depth_cm,10.5375
Antelope,Antelope13,prefire,NA,mass_1hr,0.00588367690332774
Antelope,Antelope13,prefire,NA,mass_10hr,0.112608120865014
Antelope,Antelope13,prefire,NA,mass_100hr,0.672141897896712
Antelope,Antelope13,prefire,NA,total_fine,0.790633695665054
Antelope,Antelope13,prefire,NA,total_cwd,0.168623812208842
Antelope,Antelope13,prefire,NA,total_fuel,0.959257507873895
Antelope,Antelope13,prefire,NA,litter_depth_cm,2.175
Antelope,Antelope13,prefire,NA,duff_depth_cm,1.5125
Antelope,Antelope13,prefire,NA,fuel_depth_cm,3.5375
Antelope,Antelope14,prefire,NA,mass_1hr,0.0191219499358151
Antelope,Antelope14,prefire,NA,mass_10hr,0.197064211513775
Antelope,Antelope14,prefire,NA,mass_100hr,0.448094598597808
Antelope,Antelope14,prefire,NA,total_fine,0.664280760047398
Antelope,Antelope14,prefire,NA,total_cwd,0.833850294156907
Antelope,Antelope14,prefire,NA,total_fuel,1.4981310542043
