site_plotid,sec_plot_x1h,sec_plot_x10h,sec_plot_x100h,sec_plot_x1000h
antelope_antelope01,1.03,1.03,1.04,1.05
antelope_antelope02,1.03,1.03,1.04,1.05
antelope_antelope03,1.03,1.03,1.04,1.05
antelope_antelope04,1.0272548602261,1.02450972045219,1.03176458067829,1.05
antelope_antelope05,1.03,1.03,1.04,1.05
antelope_antelope06,1.03,1.03,1.04,1.05
antelope_antelope07,1.03,1.03,1.04,1.05
antelope_antelope08,1.03,1.03,1.04,1.05
antelope_antelope09,1.03,1.03,1.04,1.05
antelope_antelope10,1.03,1.03,1.04,1.05
antelope_antelope11,1.03,1.03,1.04,1.05
antelope_antelope12,1.03,1.03,1.04,1.05
antelope_antelope13,1.03,1.03,1.04,1.05
antelope_antelope14,1.03,1.03,1.04,1.05
antelope_antelope15,1.03,1.03,1.04,1.05
antelope_antelope16,1.03,1.03,1.04,1.05
antelope_antelope17,1.03,1.03,1.04,1.05
antelope_antelope18,1.03,1.03,1.04,1.05
antelope_antelope19,1.03,1.03,1.04,1.05
bearmountain_bm1,1.02,1.02344613608409,1.02655386391591,1.04276931957956
bearmountain_bm1,1.02,1.02342460055109,1.02657539944891,1.04287699724457
bearmountain_bm10,1.02,1.02794082199681,1.02205917800319,1.02029589001594
bearmountain_bm10,1.02,1.027906109554,1.022093890446,1.02046945223001
bearmountain_bm11,1.02,1.02253161304876,1.02746838695124,1.04734193475618
bearmountain_bm11,1.02,1.0225867720385,1.0274132279615,1.0470661398075
bearmountain_bm12,1.03202832024727,1.03601416012364,1.02601416012364,1.02202832024727
bearmountain_bm12,1.03190586873601,1.03595293436801,1.02595293436801,1.02190586873601
bearmountain_bm13,1.02,1.02538754712291,1.02461245287709,1.03306226438543
bearmountain_bm13,1.02,1.02431730412892,1.02568269587108,1.03841347935542
bearmountain_bm14,1.02,1.02184492938115,1.02815507061885,1.05077535309427
bearmountain_bm14,1.02,1.02176012454661,1.02823987545339,1.05119937726696
bearmountain_bm15,1.02192910155487,1.02807089844513,1.02,1.01192910155487
bearmountain_bm15,1.02207641708817,1.02792358291183,1.02,1.01207641708817
bearmountain_bm16,1.02516066260702,1.02657366905824,1.03374765615579,1.04777430513686
bearmountain_bm16,1.02439285762749,1.0270981995447,1.03168751571029,1.04208043278647
bearmountain_bm18,1.02067527778695,1.0203309041741,1.02899381803895,1.0556443679817
bearmountain_bm18,1.02062068024118,1.02045646300773,1.02892285675108,1.05523496399661
bearmountain_bm19,1.02,1.02114401100509,1.02885598899491,1.05427994497454
bearmountain_bm19,1.02,1.02104002250781,1.02895997749219,1.05479988746095
bearmountain_bm2,1.02,1.02660512725219,1.02339487274781,1.02697436373906
bearmountain_bm2,1.02,1.02650002146952,1.02349997853048,1.02749989265242
bearmountain_bm20,1.02,1.02168467743511,1.02831532256489,1.05157661282447
bearmountain_bm20,1.02,1.02157127188021,1.02842872811979,1.05214364059894
bearmountain_bm21,1.02,1.02,1.03,1.06
bearmountain_bm21,1.02,1.02,1.03,1.06
bearmountain_bm22,1.02,1.03,1.02,1.01
bearmountain_bm22,1.02215783810702,1.02784216189298,1.02,1.01215783810702
bearmountain_bm24,1.02,1.0260878935864,1.0239121064136,1.02956053206798
bearmountain_bm24,1.02,1.0241332173731,1.0258667826269,1.03933391313451
bearmountain_bm25,1.02,1.03,1.02,1.01
bearmountain_bm25,1.02,1.03,1.02,1.01
bearmountain_bm3,1.02826726605094,1.02,1.03,1.04346546789812
bearmountain_bm3,1.02756004940411,1.02,1.03,1.04487990119177
bearmountain_bm4,1.02,1.02450957329614,1.02549042670386,1.03745213351931
bearmountain_bm4,1.02,1.02365785451759,1.02634214548241,1.04171072741204
bearmountain_bm5,1.02127643044581,1.02530170107069,1.0234218684835,1.02838577286333
bearmountain_bm5,1.02,1.02,1.03,1.06
bearmountain_bm6,1.02,1.02,1.03,1.06
bearmountain_bm6,1.02,1.02,1.03,1.06
bearmountain_bm7,1.02,1.02337187669078,1.02662812330922,1.04314061654611
bearmountain_bm7,1.02,1.02319134553111,1.02680865446889,1.04404327234444
bearmountain_bm8,1.02,1.02286077513238,1.02713922486763,1.04569612433812
blisssp_bliss1,1.03,1.02,1.02,1.01
blisssp_bliss10,1.03388293696616,1.02776587393231,1.02328887261856,1.01717180958472
blisssp_bliss11,1.03036330943224,1.02249839513699,1.02390686197727,1.01781372395455
blisssp_bliss12,1.03912352809161,1.03902243585987,1.03067428744491,1.03134857488982
blisssp_bliss13,1.03266866798754,1.02606489171742,1.02339622372988,1.01788378107329
blisssp_bliss14,1.03250298760423,1.02600060244618,1.02449224207967,1.01898448415935
blisssp_bliss15,1.03260720076331,1.02893087772162,1.03004015315332,1.03008030630663
blisssp_bliss2,1.03064981275781,1.02448811876152,1.02383830600371,1.02317928953685
blisssp_bliss3,1.03,1.02183256540635,1.0236651308127,1.01795721253945
blisssp_bliss4,1.03162710619867,1.02983363901316,1.02820653281449,1.0362822055527
blisssp_bliss5,1.03678626271038,1.03538018184768,1.03040157556423,1.03080315112847
blisssp_bliss6,1.03456855773962,1.03108996213772,1.02834103027696,1.02681528133354
blisssp_bliss7,1.03148795658865,1.02734821144138,1.03023255311682,1.03102247779488
blisssp_bliss8,1.03,1.02094950035818,1.02189900071636,1.01379800143272
blisssp_bliss9,1.03351796066506,1.02703592133011,1.02351796066506,1.01703592133011
bouverie_bouv001,1.03,1.02,1.02,1.02
bouverie_bouv002,1.03,1.02,1.02,1.02
bouverie_bouv003,1.03,1.02,1.02364224114913,1.02728448229825
bouverie_bouv004,1.03,1.02,1.02,1.02
bouverie_bouv005,1.03,1.02,1.03,1.04
bouverie_bouv006,1.03,1.02,1.02,1.02
bouverie_bouv007,1.03,1.02,1.02680144279187,1.03360288558374
bouverie_bouv008,1.03,1.02,1.02,1.02
bouverie_bouv009,1.03,1.02,1.02436168601631,1.02872337203263
bouverie_bouv010,1.03,1.02,1.02587588456373,1.03175176912746
bouverie_bouv011,1.03,1.02,1.02,1.02
bouverie_bouv012,1.03,1.02,1.02,1.02
burtonsp_burton07,1.03,1.02314442959678,1.02407050087737,1.02035936007093
burtonsp_burton08,1.03,1.02,1.01719636301287,1.00719636301287
burtonsp_burton09,1.03,1.02,1.01617536797811,1.00617536797811
burtonsp_burton1,1.03,1.02,1.01788312836984,1.00788312836984
burtonsp_burton10,1.03,1.02074483685916,1.02148967371831,1.01297934743662
burtonsp_burton11,1.03,1.02,1.02,1.01328139477925
burtonsp_burton12,1.02858732524094,1.02532607963097,1.03206483402101,1.03836769231921
burtonsp_burton13,1.03057080175263,1.02238455922051,1.02305671318314,1.01625487044369
burtonsp_burton14,1.03150024772886,1.02446783925974,1.0235712079895,1.0180061433224
burtonsp_burton14,1.03147269796257,1.0243950838094,1.0235755225953,1.02146553489166
burtonsp_burton15,1.03140494649788,1.02568098513404,1.02527574151199,1.02379338981768
burtonsp_burton16,1.03,1.02069825408302,1.02073350378674,1.01774089129059
burtonsp_burton17,1.03,1.02,1.02,1.01
burtonsp_burton18,1.03,1.0240664608487,1.0281329216974,1.02626584339481
burtonsp_burton19,1.02997271385833,1.02290885618626,1.02584499851418,1.02784838966998
burtonsp_burton2,1.03,1.02,1.01814961896918,1.00814961896918
burtonsp_burton20,1.02996066971607,1.02,1.02003933028393,1.01019665141963
burtonsp_burton21,1.03,1.02364024120142,1.02728048240284,1.02473994996015
burtonsp_burton22,1.03,1.02254966951419,1.02509933902839,1.02530268012771
burtonsp_burton23,1.02892558448273,1.02092338477746,1.02131311607148,1.02049871983798
burtonsp_burton24,1.02803575576096,1.02801476482914,1.03799377389732,1.05188028051177
burtonsp_burton25,1.03,1.02697916546186,1.03395833092371,1.03791666184743
burtonsp_burton26,1.03,1.0248458908318,1.0296917816636,1.02938356332719
burtonsp_burton27,1.03,1.02965132420542,1.03930264841085,1.0486052968217
burtonsp_burton28,1.03,1.02596881239722,1.03193762479443,1.03387524958886
burtonsp_burton3,1.02993712953224,1.02,1.01477521761987,1.0050895699587
burtonsp_burton30,1.03,1.02839531194567,1.03679062389133,1.04358124778267
burtonsp_burton31,1.03,1.02,1.01963897321334,1.00963897321334
burtonsp_burton32,1.03,1.02,1.02,1.01
burtonsp_burton33,1.03,1.03,1.04,1.05
burtonsp_burton34,1.03,1.02149483605691,1.02298967211382,1.01597934422765
burtonsp_burton35,1.03,1.0290624513312,1.03812490266241,1.04624980532482
burtonsp_burton37,1.0300573497126,1.0300573497126,1.0399426502874,1.0498853005748
burtonsp_burton38,1.03,1.02132471870382,1.02264943740764,1.01529887481527
burtonsp_burton39,1.03,1.02193420291313,1.02260452380754,1.0164729296338
burtonsp_burton4,1.0299605464253,1.0232561654228,1.0265517844203,1.0232219295647
burtonsp_burton40,1.03,1.02,1.01953877958963,1.00953877958963
burtonsp_burton41,1.03,1.02138061399724,1.01841835405647,1.01117958205094
burtonsp_burton42,1.03,1.02549389735907,1.03098779471814,1.03197558943629
burtonsp_burton43,1.03,1.02265434695003,1.02530869390007,1.02061738780014
burtonsp_burton44,1.03,1.02291419741101,1.02582839482201,1.02165678964402
burtonsp_burton45,1.03150338821597,1.0232731682866,1.02203617192528,1.01407234385056
burtonsp_burton46,1.02926766904277,1.02769061749515,1.03611356594753,1.04442412476674
burtonsp_burton47,1.03,1.02,1.02,1.01
burtonsp_burton5,1.02939727482838,1.02492312687571,1.02916999724033,1.03202987684984
burtonsp_burton6,1.03,1.02,1.01780933187549,1.00780933187549
burtonsp_burton7,1.03,1.02291542501072,1.02371157311586,1.01954242313731
burtonsp_burton8,1.03,1.02,1.01718812905616,1.00718812905616
burtonsp_burton9,1.03,1.02,1.02,1.01380614113109
calaveras_bigtrees01,1.02993012325762,1.02,1.02006987674239,1.01038674179457
calaveras_bigtrees02,1.02317223760929,1.02,1.02682776239071,1.04413881195356
calaveras_bigtrees03,1.02642447470892,1.02,1.02357552529108,1.02891693316407
calaveras_bigtrees04,1.02531585814109,1.02,1.02468414185891,1.03342070929454
calaveras_bigtrees05,1.02191627474194,1.02488267599575,1.02703359874619,1.04229358161803
calaveras_bigtrees06,1.02480057517496,1.02708904638347,1.02543927530599,1.03283583062437
calaveras_bigtrees07,1.02997408180805,1.02,1.02002591819195,1.01012959095973
calaveras_bigtrees08,1.03662550548649,1.03458993334803,1.02796442786154,1.02793723928565
calaveras_bigtrees09,1.02837032854452,1.02090385246096,1.02253352391643,1.02131184089073
calaveras_bigtrees10,1.03642691002564,1.03285382005128,1.02642691002564,1.02318602739993
calaveras_bigtrees11,1.02,1.02394511340185,1.02605488659815,1.04027443299077
calaveras_bigtrees12,1.02708971865779,1.02101514457551,1.0218951367667,1.01998651854966
calaveras_bigtrees13,1.02280791860966,1.02695031132366,1.02024177006668,1.01120885033341
calaveras_bigtrees14,1.02035139282224,1.0256177163686,1.02403089080916,1.0301544540458
calaveras_bigtrees15,1.02922298381868,1.0200448312544,1.02082184743572,1.01404199029701
calaveras_bigtrees17,1.02982627751663,1.02641051891819,1.02658424140155,1.03330542863049
calaveras_bigtrees18,1.02953420400183,1.02,1.02046579599817,1.01232897999085
calaveras_bigtrees19,1.02899948771362,1.02,1.02100051228638,1.01500256143188
calaveras_bigtrees20,1.02082645389826,1.02285502324161,1.02631852286014,1.0415926143007
calaveras_bigtrees21,1.03830489774913,1.03660979549826,1.02830489774913,1.02660979549826
calaveras_bigtrees22,1.03743316462449,1.03486632924897,1.02743316462449,1.02486632924897
calaveras_bigtrees23,1.02483329020924,1.02225854670629,1.02112927335315,1.01225854670629
calaveras_bigtrees24,1.02406427685723,1.02,1.02,1.01
calaveras_bigtrees25,1.02812306957378,1.02,1.02187693042622,1.01981271142113
calaveras_bigtrees27,1.0254525459671,1.02,1.0245474540329,1.0327372701645
calaveras_bigtrees28,1.02994968648652,1.02,1.02005031351348,1.01025156756741
calaveras_bigtrees29,1.04,1.04,1.03,1.03
calaveras_bigtrees30,1.02033815144501,1.02,1.02966184855499,1.05830924277494
calaveras_bigtrees32,1.0238524782676,1.02527715270804,1.02087036902436,1.01435184512181
calaveras_bigtrees33,1.02,1.02,1.03,1.06
calaveras_bigtrees34,1.02323653211355,1.02099368046442,1.02775714835087,1.04793809832152
calaveras_bigtrees35,1.03743359490013,1.03536418252505,1.02793058762492,1.02660666433703
calaveras_bigtrees36,1.02086741929788,1.02,1.02913258070212,1.05591677578868
caples_1,1.02785838217753,1.02619773296616,1.0345370837548,1.045499020977
caples_1,1.02828988449476,1.02422376577977,1.03015764706478,1.03544564064529
