site,plotid,fuelType,prefire_,postfire_immediate,consumption_immediate
bearmountain,BM1,mass_1hr,0.00882551535499161,0.0147091922583193,-0.00588367690332774
bearmountain,BM1,mass_10hr,0.168912181297521,0.281520302162536,-0.112608120865014
bearmountain,BM1,mass_100hr,0.224047299298904,0.112023649649452,0.112023649649452
bearmountain,BM1,total_fine,0.401784995951417,0.408253144070307,-0.00646814811889007
bearmountain,BM1,total_cwd,0.0596157232352661,0,0.0596157232352661
bearmountain,BM1,total_fuel,0.461400719186683,0.408253144070307,0.053147575116376
bearmountain,BM1,litter_depth_cm,1.875,1.81875,0.0562499999999999
bearmountain,BM1,duff_depth_cm,0.1625,0.25625,-0.09375
bearmountain,BM10,mass_1hr,0.00294183845166387,0.00294183845166387,0
bearmountain,BM10,mass_10hr,0.0563040604325072,0,0.0563040604325072
bearmountain,BM10,mass_100hr,0.112023649649452,0.448094598597808,-0.336070948948356
bearmountain,BM10,total_fine,0.171269548533623,0.451036437049472,-0.279766888515849
bearmountain,BM10,total_cwd,0.643578830380714,0.648382576674464,-0.00480374629375069
bearmountain,BM10,total_fuel,0.814848378914337,1.09941901372394,-0.2845706348096
bearmountain,BM10,litter_depth_cm,1.8125,1.24375,0.56875
bearmountain,BM10,duff_depth_cm,0.3875,0.075,0.3125
bearmountain,BM11,mass_1hr,0.0338311421941345,0.0338311421941345,0
bearmountain,BM11,mass_10hr,0.0563040604325072,0.0844560906487607,-0.0281520302162536
bearmountain,BM11,mass_100hr,0.112023649649452,0.112023649649452,0
bearmountain,BM11,total_fine,0.202158852276094,0.230310882492347,-0.0281520302162536
bearmountain,BM11,total_cwd,0.0832649357583469,0.387379028047339,-0.304114092288992
bearmountain,BM11,total_fuel,0.285423788034441,0.617689910539686,-0.332266122505245
bearmountain,BM11,litter_depth_cm,1.70625,0.76875,0.9375
bearmountain,BM11,duff_depth_cm,0.25625,0.01875,0.2375
bearmountain,BM12,mass_1hr,0.0867842343240841,0.0117673538066555,0.0750168805174287
bearmountain,BM12,mass_10hr,0.422280453243804,0.337824362595043,0.0844560906487608
bearmountain,BM12,mass_100hr,1.12023649649452,0.112023649649452,1.00821284684507
bearmountain,BM12,total_fine,1.62930118406241,0.46161536605115,1.16768581801126
bearmountain,BM12,total_cwd,5.85071663982467,1.22877366734507,4.6219429724796
bearmountain,BM12,total_fuel,7.48001782388708,1.69038903339622,5.78962879049085
bearmountain,BM12,litter_depth_cm,2.125,1.0125,1.1125
bearmountain,BM12,duff_depth_cm,0.81875,0.00625,0.8125
bearmountain,BM13,mass_1hr,0.00735459612915967,0.0117673538066555,-0.0044127576774958
bearmountain,BM13,mass_10hr,0.0844560906487607,0.197064211513775,-0.112608120865014
bearmountain,BM13,mass_100hr,0,0,0
bearmountain,BM13,total_fine,0.0918106867779204,0.208831565320431,-0.11702087854251
bearmountain,BM13,total_cwd,0.426178517343018,0.947939268633487,-0.521760751290469
bearmountain,BM13,total_fuel,0.517989204120938,1.15677083395392,-0.638781629832979
bearmountain,BM13,litter_depth_cm,2.875,0.65,2.225
bearmountain,BM13,duff_depth_cm,0.3875,0.00625,0.38125
bearmountain,BM14,mass_1hr,0.0117673538066555,0.0411857383232942,-0.0294183845166387
bearmountain,BM14,mass_10hr,0.0563040604325072,0.140760151081268,-0.0844560906487607
bearmountain,BM14,mass_100hr,0.112023649649452,0.112023649649452,0
bearmountain,BM14,total_fine,0.180095063888615,0.293969539054014,-0.113874475165399
bearmountain,BM14,total_cwd,0,0.59603405937077,-0.59603405937077
bearmountain,BM14,total_fuel,0.180095063888615,0.890003598424784,-0.709908534536169
bearmountain,BM14,litter_depth_cm,0.4625,0.5875,-0.125
bearmountain,BM14,duff_depth_cm,0.275,0.01875,0.25625
bearmountain,BM15,mass_1hr,0.0279474652908068,0.044127576774958,-0.0161801114841513
bearmountain,BM15,mass_10hr,0.337824362595043,0.422280453243804,-0.0844560906487608
bearmountain,BM15,mass_100hr,0,0.336070948948356,-0.336070948948356
bearmountain,BM15,total_fine,0.36577182788585,0.802478978967118,-0.436707151081268
bearmountain,BM15,total_cwd,0.0596157232352661,0.269995176305172,-0.210379453069906
bearmountain,BM15,total_fuel,0.425387551121116,1.07247415527229,-0.647086604151174
bearmountain,BM15,litter_depth_cm,1.3875,1.06875,0.31875
bearmountain,BM15,duff_depth_cm,0.38125,0.33125,0.05
bearmountain,BM16,mass_1hr,0.0205928691616471,0.0367729806457984,-0.0161801114841513
bearmountain,BM16,mass_10hr,0.563040604325072,0.168912181297521,0.39412842302755
bearmountain,BM16,mass_100hr,0.56011824824726,0.56011824824726,0
bearmountain,BM16,total_fine,1.14375172173398,0.76580341019058,0.377948311543399
bearmountain,BM16,total_cwd,1.03288428386483,0,1.03288428386483
bearmountain,BM16,total_fuel,2.17663600559881,0.76580341019058,1.41083259540823
bearmountain,BM16,litter_depth_cm,4,1.4375,2.5625
bearmountain,BM16,duff_depth_cm,0.38125,0.39375,-0.0125
bearmountain,BM17,mass_1hr,0.0323602229683026,0.00147091922583193,0.0308893037424706
bearmountain,BM17,mass_10hr,0.337824362595043,0.0844560906487607,0.253368271946282
bearmountain,BM17,mass_100hr,1.12023649649452,0.672141897896712,0.448094598597808
bearmountain,BM17,total_fine,1.49042108205787,0.758068907771305,0.73235217428656
bearmountain,BM17,total_cwd,2.44420031037243,2.10403594974357,0.340164360628863
bearmountain,BM17,total_fuel,3.93462139243029,2.86210485751487,1.07251653491542
bearmountain,BM17,litter_depth_cm,1.69375,0.81875,0.875
