site_plotid,coef_plot_litter,coef_plot_duff,coef_plot_litterduff
antelope_antelope01,0.358,1.707,1.496
antelope_antelope02,0.358,1.707,1.496
antelope_antelope03,0.358,1.707,1.496
antelope_antelope04,0.5084336596099046,1.9499448699904482,1.765572725797311
antelope_antelope05,0.358,1.707,1.496
antelope_antelope06,0.358,1.707,1.496
antelope_antelope07,0.358,1.707,1.496
antelope_antelope08,0.358,1.707,1.496
antelope_antelope09,0.358,1.707,1.496
antelope_antelope10,0.358,1.707,1.496
antelope_antelope11,0.358,1.707,1.496
antelope_antelope12,0.358,1.707,1.496
antelope_antelope13,0.358,1.707,1.496
antelope_antelope14,0.358,1.707,1.496
antelope_antelope15,0.358,1.707,1.496
antelope_antelope16,0.358,1.707,1.496
antelope_antelope17,0.358,1.707,1.496
antelope_antelope18,0.358,1.707,1.496
antelope_antelope19,0.358,1.707,1.496
bearmountain_bm1,0.3330186160684386,1.6300744642737541,1.489256079112178
bearmountain_bm1,0.3332059752055482,1.6308239008221928,1.490098118452521
bearmountain_bm10,0.2939148486277282,1.4736593945109129,1.3135138599246177
bearmountain_bm10,0.2942168468802203,1.4748673875208809,1.3148711164386913
bearmountain_bm11,0.340974966475756,1.661899865903024,1.5250139297933403
bearmountain_bm11,0.3404950832650454,1.6599803330601814,1.5228572132946294
bearmountain_bm12,0.29283964834618137,1.3983915039258181,1.2065376954560008
bearmountain_bm12,0.2926682162304179,1.398428239379196,1.2068070887807718
bearmountain_bm13,0.3161283400306558,1.5625133601226229,1.4133469074940967
bearmountain_bm13,0.3254394540784379,1.5997578163137516,1.4551934085594165
bearmountain_bm14,0.3469491143840351,1.6857964575361404,1.5518632611972152
bearmountain_bm14,0.34768691644450644,1.6887476657780258,1.5551791302276097
bearmountain_bm15,0.2927831835273586,1.4691327341094342,1.3084278707953703
bearmountain_bm15,0.29406482866709416,1.4742593146683765,1.314187908147515
bearmountain_bm16,0.3481265125708428,1.6786365262872303,1.5026949663873146
bearmountain_bm16,0.3372670965065494,1.636964813482963,1.4619925534052791
bearmountain_bm18,0.36012113368531234,1.7384845347412494,1.6110616467926107
bearmountain_bm18,0.35902877183273263,1.7341150873309306,1.6061522963976835
bearmountain_bm19,0.3530471042556994,1.7101884170227977,1.579269169700902
bearmountain_bm19,0.3539518041820545,1.7138072167282183,1.5833351199446362
bearmountain_bm2,0.3055353929059642,1.5201415716238569,1.3657395244394486
bearmountain_bm2,0.30644981321520337,1.523799252860813,1.3698491605418908
bearmountain_bm20,0.3483433063145765,1.6913732252583058,1.5581291122873497
bearmountain_bm20,0.34932993464215445,1.6953197385686178,1.562563269483706
bearmountain_bm21,0.363,1.75,1.624
bearmountain_bm21,0.363,1.75,1.624
bearmountain_bm22,0.276,1.402,1.233
bearmountain_bm22,0.2947731915310928,1.4770927661243711,1.3173714699845667
