plotID_fuel,time_fire,mass_tonsHA
antelope antelope14 mass_10hr,prefire_,0.76459796875
antelope antelope14 mass_100hr,prefire_,3.05455722
antelope antelope14 mass_cwd_sound,prefire_,1.55697202848451
antelope antelope14 mass_cwd_rotten,prefire_,4.23173613384956
antelope antelope14 total_fine,prefire_,3.983355085
antelope antelope14 total_cwd,prefire_,5.78870816233407
antelope antelope14 total_fuel,prefire_,79.3816754460841
antelope antelope14 duff_load,prefire_,66.91467098625
antelope antelope14 litter_load,prefire_,2.6949412125
antelope antelope14 litter_depth_cm,prefire_,1.6875
antelope antelope14 duff_depth_cm,prefire_,8.7875
antelope antelope14 fuel_depth_cm,prefire_,19.0625
antelope antelope15 mass_1hr,prefire_,0.0252615225
antelope antelope15 mass_10hr,prefire_,0.436913125
antelope antelope15 mass_100hr,prefire_,1.01818574
antelope antelope15 mass_cwd_sound,prefire_,0
antelope antelope15 mass_cwd_rotten,prefire_,0
antelope antelope15 total_fine,prefire_,1.4803603875
antelope antelope15 total_cwd,prefire_,0
antelope antelope15 total_fuel,prefire_,17.51500967625
antelope antelope15 duff_load,prefire_,13.04027016375
antelope antelope15 litter_load,prefire_,2.994379125
antelope antelope15 litter_depth_cm,prefire_,1.875
antelope antelope15 duff_depth_cm,prefire_,1.7125
antelope antelope15 fuel_depth_cm,prefire_,3.7
antelope antelope16 mass_1hr,prefire_,0.0757845675
antelope antelope16 mass_10hr,prefire_,0.436913125
antelope antelope16 mass_100hr,prefire_,0
antelope antelope16 mass_cwd_sound,prefire_,3.55771055724557
antelope antelope16 mass_cwd_rotten,prefire_,0
antelope antelope16 total_fine,prefire_,0.5126976925
antelope antelope16 total_cwd,prefire_,3.55771055724557
antelope antelope16 total_fuel,prefire_,127.308514158496
antelope antelope16 duff_load,prefire_,121.74091634625
antelope antelope16 litter_load,prefire_,1.4971895625
antelope antelope16 litter_depth_cm,prefire_,0.9375
antelope antelope16 duff_depth_cm,prefire_,15.9875
antelope antelope16 fuel_depth_cm,prefire_,13.80625
antelope antelope17 mass_1hr,prefire_,0.353661315
antelope antelope17 mass_10hr,prefire_,0.10922828125
antelope antelope17 mass_100hr,prefire_,2.03637148
antelope antelope17 mass_cwd_sound,prefire_,0
antelope antelope17 mass_cwd_rotten,prefire_,0
antelope antelope17 total_fine,prefire_,2.49926107625
antelope antelope17 total_cwd,prefire_,0
antelope antelope17 total_fuel,prefire_,18.36149658
antelope antelope17 duff_load,prefire_,14.94395923875
antelope antelope17 litter_load,prefire_,0.918276265
antelope antelope17 litter_depth_cm,prefire_,0.575
antelope antelope17 duff_depth_cm,prefire_,1.9625
antelope antelope17 fuel_depth_cm,prefire_,2.9125
antelope antelope18 mass_1hr,prefire_,0.0757845675
antelope antelope18 mass_10hr,prefire_,0.436913125
antelope antelope18 mass_100hr,prefire_,2.290917915
antelope antelope18 mass_cwd_sound,prefire_,6.75838696626106
antelope antelope18 mass_cwd_rotten,prefire_,3.48807026548673
antelope antelope18 total_fine,prefire_,2.8036156075
antelope antelope18 total_cwd,prefire_,10.2464572317478
antelope antelope18 total_fuel,prefire_,110.043421539248
antelope antelope18 duff_load,prefire_,91.85299786875
antelope antelope18 litter_load,prefire_,5.14035083125
antelope antelope18 litter_depth_cm,prefire_,3.21875
antelope antelope18 duff_depth_cm,prefire_,12.0625
antelope antelope18 fuel_depth_cm,prefire_,14.425
antelope antelope19 mass_1hr,prefire_,0.23998446375
antelope antelope19 mass_10hr,prefire_,1.20151109375
antelope antelope19 mass_100hr,prefire_,0
antelope antelope19 mass_cwd_sound,prefire_,1.1527824267146
antelope antelope19 mass_cwd_rotten,prefire_,0
antelope antelope19 total_fine,prefire_,1.4414955575
antelope antelope19 total_cwd,prefire_,1.1527824267146
antelope antelope19 total_fuel,prefire_,9.3743441329646
antelope antelope19 duff_load,prefire_,4.66403823375
antelope antelope19 litter_load,prefire_,2.116027915
antelope antelope19 litter_depth_cm,prefire_,1.325
antelope antelope19 duff_depth_cm,prefire_,0.6125
antelope antelope19 fuel_depth_cm,prefire_,2.475
bearmountain bm1 mass_1hr,postfire_immediate,0.125204850914648
bearmountain bm1 mass_10hr,postfire_immediate,1.15975166401063
