site_plotid,qmd_plot_x1h,qmd_plot_x10h,qmd_plot_x100h,qmd_plot_x1000h
antelope_antelope01,0.15,1.25,17.31,135.49
antelope_antelope02,0.15,1.25,17.31,135.49
antelope_antelope03,0.15,1.25,17.31,135.49
antelope_antelope04,0.13352916135657977,1.2939222363824538,15.731544630005562,133.97193770503145
antelope_antelope05,0.15,1.25,17.31,135.49
antelope_antelope06,0.15,1.25,17.31,135.49
antelope_antelope07,0.15,1.25,17.31,135.49
antelope_antelope08,0.15,1.25,17.31,135.49
antelope_antelope09,0.15,1.25,17.31,135.49
antelope_antelope10,0.15,1.25,17.31,135.49
antelope_antelope11,0.15,1.25,17.31,135.49
antelope_antelope12,0.15,1.25,17.31,135.49
antelope_antelope13,0.15,1.25,17.31,135.49
antelope_antelope14,0.15,1.25,17.31,135.49
antelope_antelope15,0.15,1.25,17.31,135.49
antelope_antelope16,0.15,1.25,17.31,135.49
antelope_antelope17,0.15,1.25,17.31,135.49
antelope_antelope18,0.15,1.25,17.31,135.49
antelope_antelope19,0.15,1.25,17.31,135.49
bearmountain_bm1,0.15790749692496273,1.3764918103544508,16.18792986469836,118.47647593816544
bearmountain_bm1,0.15767060606195063,1.3758888154304199,16.17750666672583,118.53124079858725
bearmountain_bm10,0.20734904196494136,1.5023430159107598,18.36335784645742,107.04648966210493
bearmountain_bm10,0.20696720509397437,1.5013710675119347,18.34655702413487,107.13476340418393
bearmountain_bm11,0.14784774353640048,1.350885165365383,15.74530071560162,120.80210801699396
bearmountain_bm11,0.14845449242350583,1.3524296170780148,15.771997666634256,120.66183870609315
bearmountain_bm12,0.1638442386400017,1.4998583987636378,15.901857928909177,142.53187819714077
bearmountain_bm12,0.1645177219519296,1.500470656319936,15.937062738396317,142.11731860577135
bearmountain_bm13,0.17926301835204442,1.4308513194415677,17.127572807489955,113.5394676664319
bearmountain_bm13,0.16749034541806695,1.400884515609625,16.609575198394946,116.26109560016869
bearmountain_bm14,0.1402942231925993,1.331658022672071,15.412945820474366,122.54834458374725
bearmountain_bm14,0.13936137001269294,1.3292834873050368,15.371900280558489,122.76400327797471
bearmountain_bm15,0.2087798828964432,1.505985156463674,18.4263148474435,106.71570525403136
bearmountain_bm15,0.20715941203011087,1.5018603215311912,18.35501412932488,107.09032865522073
bearmountain_bm16,0.15102505878451702,1.3040821928132158,16.643719989750387,127.9042712453274
bearmountain_bm16,0.16293733397176058,1.3425710007993266,17.054992765998968,123.98442304722357
bearmountain_bm18,0.12363994591512249,1.2892653168748576,14.680157620265392,126.39851068525854
bearmountain_bm18,0.12502109308505047,1.2927809642164918,14.740928095742218,126.0792145713378
bearmountain_bm19,0.1325841210560122,1.3120323081425764,15.073701326464537,124.33078001405099
bearmountain_bm19,0.13144024758590803,1.309120630218675,15.023370893779953,124.59522276263962
bearmountain_bm2,0.1926563997740682,1.4649435630612646,17.716881590059,110.44316139768586
bearmountain_bm2,0.19150023616468548,1.4620006011464723,17.66601039124616,110.71044540301861
bearmountain_bm20,0.13853145178616766,1.3271709681829722,15.335383878591378,122.95586528252505
bearmountain_bm20,0.13728399068233343,1.3239956126459398,15.28049559002267,123.24425560862056
bearmountain_bm21,0.12,1.28,14.52,127.24
bearmountain_bm21,0.12,1.28,14.52,127.24
bearmountain_bm22,0.23,1.56,19.36,101.81
bearmountain_bm22,0.20626378082275626,1.4995805330033798,18.315606356201275,107.29738230615736
bearmountain_bm24,0.1869668294504518,1.450461020419332,17.466540495819878,111.75848660977283
bearmountain_bm24,0.16546539110407832,1.3957300864467448,16.520477208579443,116.7292282202117
bearmountain_bm25,0.23,1.56,19.36,101.81
bearmountain_bm25,0.23,1.56,19.36,101.81
bearmountain_bm3,0.07039640369436732,1.354405394458449,12.469718019367182,84.62224350741059
bearmountain_bm3,0.07463970357532385,1.3480404446370142,12.64510774778005,88.26794532179908
bearmountain_bm4,0.1696053062575135,1.4062680522918525,16.702633475330593,115.7721551079221
bearmountain_bm4,0.16023639969351422,1.3824199264925818,16.290401586514626,117.93807596176305
bearmountain_bm5,0.1783187117775801,1.4284476299792948,17.086023318213524,113.75777417723762
bearmountain_bm5,0.12,1.28,14.52,127.24
bearmountain_bm6,0.12,1.28,14.52,127.24
bearmountain_bm6,0.12,1.28,14.52,127.24
bearmountain_bm7,0.15709064359856084,1.3744125473417914,16.151988318336677,118.66531757535087
bearmountain_bm7,0.1551048008422266,1.3693576748711223,16.06461123705797,119.12440831438343
bearmountain_bm8,0.15146852645612632,1.3601017037065035,15.904615164069558,119.96504883837008
blisssp_bliss1,0.08,1.32,11.56,162.56
blisssp_bliss10,0.09671987655981543,1.3743611175261878,12.63402419273655,168.6706712905979
blisssp_bliss11,0.0938556716365771,1.3126838981436926,12.653249790306662,158.01666499513
blisssp_bliss12,0.12192177010298275,1.4423017355459449,13.87616657285357,166.8110227670653
blisssp_bliss13,0.09358489491953578,1.360999130537266,12.289329650902932,163.38571887668087
blisssp_bliss14,0.09697434108097092,1.3480794357951535,12.645023120557152,161.60962344002988
blisssp_bliss15,0.11644413641825838,1.3304854773212762,14.231449968605371,154.314110671386
blisssp_bliss2,0.0953532240148412,1.3450398448388667,12.491929173448948,158.490986256755
blisssp_bliss3,0.09282795784445855,1.3071720421555415,12.613725108651952,157.59924544500726
blisssp_bliss4,0.11282613125794536,1.3756766198604562,13.541703137989384,154.3628389730453
blisssp_bliss5,0.11979864583000754,1.4023540829567986,13.990586301111037,162.38991289872945
blisssp_bliss6,0.1122105991270517,1.3702898817453026,13.681788490106399,161.21764789491908
blisssp_bliss7,0.11975699630139577,1.3075930320455715,14.631391460813695,150.19094620285637
blisssp_bliss8,0.086646502507254,1.3133534974927457,12.105962705953006,159.989702530409
blisssp_bliss9,0.09407184266022492,1.3692514493107872,12.281181936336527,165.00850062287915
bouverie_bouv001,0.12,1.28,14.52,127.24
bouverie_bouv002,0.12,1.28,14.52,127.24
bouverie_bouv003,0.09814655310523746,1.3127801703421453,13.616724195016491,108.46424687624987
bouverie_bouv004,0.12,1.28,14.52,127.24
bouverie_bouv005,0.06,1.37,12.04,75.69
bouverie_bouv006,0.12,1.28,14.52,127.24
bouverie_bouv007,0.07919134324879194,1.3412129851268122,12.833242187616733,92.17856240792041
bouverie_bouv008,0.12,1.28,14.52,127.24
bouverie_bouv009,0.09382988390211834,1.3192551741468228,13.438301867954225,104.75550858590333
bouverie_bouv010,0.08474469261763146,1.3328829610735529,13.062780628195434,96.94981507398168
bouverie_bouv011,0.12,1.28,14.52,127.24
bouverie_bouv012,0.12,1.28,14.52,127.24
burtonsp_burton07,0.10644772380978532,1.2979889928225665,14.406238710116838,166.77475074143203
burtonsp_burton08,0.08560727397426966,1.32,12.8721021099791,178.64446539519253
burtonsp_burton09,0.08764926404377578,1.3199999999999998,13.349927786243532,184.50191390957082
burtonsp_burton1,0.08423374326031029,1.32,12.55069592291261,174.7044925422001
burtonsp_burton10,0.08521385801408853,1.3147861419859117,11.988281194014416,160.5437266222661
burtonsp_burton11,0.08656278955850943,1.32,13.095692756691207,181.38536184858432
burtonsp_burton12,0.12293325645307437,1.2770667435469258,15.040647516493063,143.15273518994167
burtonsp_burton13,0.09098389701731288,1.3192905345299917,12.39171389556166,159.5925968986277
burtonsp_burton14,0.09799985221641523,1.33073206158984,13.115497867294463,164.5872765163347
burtonsp_burton14,0.09763170931169814,1.330469956286148,13.068259547329234,164.23050654531139
burtonsp_burton15,0.11220124454690147,1.3195716060022773,15.016104391031227,174.36461561966212
burtonsp_burton16,0.08621378733974906,1.3151122214188578,12.271782147250772,164.47348232132958
burtonsp_burton17,0.08,1.32,11.56,162.56
burtonsp_burton18,0.10846522594091504,1.2915347740590848,13.898214988003735,151.55209048256327
burtonsp_burton19,0.10052987981733631,1.2995288621295213,13.254414620596856,154.75785292599105
burtonsp_burton2,0.08370076206163723,1.3200000000000003,12.425978322423113,173.17563597380644
burtonsp_burton20,0.08015732113570129,1.3198426788642987,11.571641764041896,162.42108543717575
burtonsp_burton21,0.10548168840992699,1.2945183115900731,13.653138690815432,152.70586706776112
burtonsp_burton22,0.09784768659936134,1.3021523134006372,13.02605997066182,155.65804462507535
burtonsp_burton23,0.08915328651057391,1.3221031964943155,12.318117341609803,157.13552712981385
burtonsp_burton24,0.14396033076014392,1.2560396692398559,16.749906071511518,133.9263209552185
burtonsp_burton25,0.12885415823299676,1.2711458417670032,15.573020140567591,143.667399094754
burtonsp_burton26,0.11392123582258956,1.2860787641774105,14.346387228284142,149.44217351832145
burtonsp_burton27,0.14755926943797007,1.2524407305620295,17.109511418118966,136.43386537591635
burtonsp_burton28,0.1217816867805129,1.278218313219487,14.992067128399274,146.40242484073593
burtonsp_burton3,0.09044956476025637,1.3207544456131801,13.987280070586982,192.01985599520387
burtonsp_burton30,0.1387671836196688,1.2612328163803312,16.387304368758507,139.8338905630795
burtonsp_burton31,0.08072205357331252,1.3200000000000003,11.728960536155128,164.63121067504693
burtonsp_burton32,0.08,1.32,11.56,162.56
burtonsp_burton33,0.15,1.25,17.31,135.49
burtonsp_burton34,0.090463852398384,1.309536147601616,12.4195307327244,158.5134787939392
burtonsp_burton35,0.14343715931842865,1.2565628406815708,16.77090951544235,138.02794424643042
burtonsp_burton37,0.1498279508621998,1.251204343964601,17.288780606337973,135.68516107197797
burtonsp_burton38,0.08927303092672628,1.3107269690732737,12.321713254695375,158.97398646876456
burtonsp_burton39,0.09606718442934234,1.3064605796080921,13.263663459809223,164.57500385553834
burtonsp_burton4,0.10295097225839417,1.2970490277416054,13.44397337622063,153.60621017463683
burtonsp_burton40,0.08092244082074475,1.3199999999999994,11.775851152054276,165.20602149430636
burtonsp_burton41,0.09835004585663448,1.3103357020193644,14.386318051392868,183.73774569178659
burtonsp_burton42,0.1184572815134998,1.2815427184865003,14.718990981466055,147.68801984899375
burtonsp_burton43,0.09858042865023689,1.3014195713497632,13.086249496269458,155.37468280625842
burtonsp_burton44,0.1003993818770429,1.2996006181229571,13.235663511328525,154.6712676084064
burtonsp_burton45,0.08787829584645816,1.3391826920410328,12.021369900699709,162.88523544777055
burtonsp_burton46,0.13676364629495924,1.2632363537050408,16.198875023050494,139.15490549969974
burtonsp_burton47,0.08,1.32,11.56,162.56
burtonsp_burton5,0.11581440115216121,1.292770813929422,14.535509326813624,148.17826817154787
burtonsp_burton6,0.084381336249021055,1.32,12.585232682270927,175.12786303031692
burtonsp_burton7,0.10464652888623682,1.2995920249249355,14.228190972980336,166.8262361033193
burtonsp_burton8,0.08562374188767738,1.32,12.875955601716509,178.69170360480257
burtonsp_burton9,0.08761228226217185,1.3199999999999998,13.341274049348215,184.39583166903998
calaveras_bigtrees01,0.08032402362456245,1.319675976375437,11.58397774821762,162.2738871395113
calaveras_bigtrees01,0.08042893930011767,1.3195710606998827,11.59174150820871,162.18124659799616
calaveras_bigtrees02,0.10731104956284525,1.2926889504371548,13.58101766765055,138.44434323600765
calaveras_bigtrees02,0.10731104956284525,1.2926889504371548,13.58101766765055,138.44434323600765
calaveras_bigtrees03,0.09845932799896204,1.301540672001038,12.925990271923192,146.26041337691652
calaveras_bigtrees04,0.09557881689922632,1.3044211831007737,12.712832450542749,148.80390467798316
calaveras_bigtrees04,0.09873656743563075,1.301263432564368,12.94650599023667,146.0156109543378
calaveras_bigtrees05,0.15863868954988306,1.39792870997957,16.121136392131987,122.90554770000074
calaveras_bigtrees05,0.15263041379193848,1.3803057077842174,15.868547706087005,123.74744641601686
calaveras_bigtrees06,0.12,1.40323839342675,13.896961455453653,156.18732930046104
calaveras_bigtrees06,0.1576705774638833,1.4088687785251994,16.01077300474546,126.27789139562535
calaveras_bigtrees07,0.08010694462895578,1.3198930553710442,11.567913902542728,162.465567892632
calaveras_bigtrees07,0.08010367276778772,1.3198963272322124,11.56767178481629,162.46845694604346
calaveras_bigtrees08,0.11087184641021648,1.3925587795671177,13.321617358581719,159.5948644326771
calaveras_bigtrees08,0.11185771144616116,1.4194516886861253,13.253628679680478,165.27275989077899
calaveras_bigtrees09,0.09001973326241652,1.3178308339771052,12.261771282596799,155.55658654532496
calaveras_bigtrees09,0.09013409566572787,1.31800057648288,12.268797792290348,155.52233762962413
calaveras_bigtrees10,0.09396658802722174,1.3530624797088575,12.355769449348664,161.2741082379713
calaveras_bigtrees10,0.1070364694971621,1.4086479109643286,12.975849930456896,165.85977302240497
calaveras_bigtrees11,0.16237693120978514,1.3878685521703624,16.384584973230545,117.44322399395602
calaveras_bigtrees11,0.1633962474202984,1.3904631752516687,16.42943488649313,117.20757661910737
calaveras_bigtrees12,0.10888731454428971,1.3473940207214117,13.221434593259964,147.39960827931725
calaveras_bigtrees12,0.104851054564021,1.3347395838808258,13.06398032781962,147.8951054263682
calaveras_bigtrees13,0.1865439656492977,1.490013314818194,17.10415339255388,119.32567066377055
calaveras_bigtrees13,0.18522175012164382,1.4858403915011476,17.05280677219341,119.48292683324013
calaveras_bigtrees14,0.18038930876562895,1.4387016296097337,17.134962447018854,114.1952667228048
calaveras_bigtrees15,0.08326570635998219,1.3167342936400181,11.801662270638683,159.67638128413577
calaveras_bigtrees15,0.08328738974288372,1.317116091546702,11.80122701889827,159.75200812883187
calaveras_bigtrees17,0.10633696560621704,1.3513577046574758,13.217256844082502,152.85629636276002
calaveras_bigtrees18,0.08186318399268303,1.3181368160073168,11.697875615458543,160.91480853446086
calaveras_bigtrees19,0.08400204914550148,1.3159979508544986,11.856151636767109,159.0261906045222
calaveras_bigtrees20,0.14809944006464607,1.363246466357982,15.657200895053872,122.89871106523144
calaveras_bigtrees21,0.1132195909965188,1.4362685684878158,13.262504038571588,168.34020883339429
calaveras_bigtrees22,0.10973265849793842,1.4240643047427854,13.083798748019351,167.73348257864143
calaveras_bigtrees23,0.12229299227600793,1.3106258943684232,15.254291766542169,166.58210958975616
calaveras_bigtrees24,0.11561433885663255,1.2962571074289118,14.82464772852465,165.61096169538484
calaveras_bigtrees25,0.08921995886494356,1.3107800411350565,12.242276956005824,154.41877632225484
calaveras_bigtrees27,0.09818981613159891,1.301810183868401,12.90604639373832,146.49839235579816
calaveras_bigtrees28,0.0802012540539311,1.3197987459460683,11.574892799990899,162.38229267037872
calaveras_bigtrees29,0.12,1.46,13.61,169.52
calaveras_bigtrees29,0.12,1.46,13.61,169.52
calaveras_bigtrees30,0.11621163785066291,1.283788362149337,14.239661200949055,130.58512377786462
calaveras_bigtrees30,0.11864739421995199,1.2813526057800473,14.419907172276444,128.43435090378225
calaveras_bigtrees32,0.1667037132517409,1.4587259412027853,16.068593089090527,127.44499613304494
calaveras_bigtrees32,0.16263876671804012,1.4431701888954973,15.933808343481951,127.42715390461322
calaveras_bigtrees33,0.12,1.28,14.52,127.24
calaveras_bigtrees34,0.1130020156985644,1.2869979843014356,14.002149161693765,133.41922013816765
calaveras_bigtrees34,0.11360010245870233,1.295343021721041,14.001195120813051,134.9917500307411
calaveras_bigtrees35,0.11102597722371221,1.4242161762160683,13.172198094386925,166.93094126387274
calaveras_bigtrees35,0.11172235049969045,1.4265552922257985,13.208383632087125,167.02904636673819
calaveras_bigtrees36,0.11754581192082414,1.2824541880791764,14.338390082140988,129.40704807391236
caples_1,0.1319506020530205,1.2680493979469796,15.757615330994803,138.218542711633
caples_1,0.11640682247935058,1.2835931775206495,14.494859512918717,145.0861380696474
caples_1,0.13313598015259187,1.2668640198474082,15.872859043050042,138.84947482084277
caples_10,0.12,1.28,14.52,127.24
caples_100,0.11600141557287448,1.2839985844271256,14.224104752392712,130.77075004915184
caples_100,0.12,1.28,14.52,127.24
caples_101,0.1613287917918675,1.4216185365777383,16.030314737163067,124.3808395249624
caples_102,0.12,1.28,14.52,127.24
caples_102,0.11803555404651608,1.2819644459534834,14.374630999442186,128.97460577692618
caples_103,0.11006406284977668,1.3102932186344975,13.741818936306581,144.45170889488716
caples_103,0.11098084046548483,1.3088341407814272,13.81197325248864,143.48867629355976
caples_104,0.10733516979392571,1.2936892648202702,13.813725725597852,151.63252544185968
caples_105,0.08466058170028185,1.3153394182997182,11.904883045820858,158.44470635865113
caples_105,0.08554402034285864,1.3144559796571416,11.97025750537154,157.66463003725582
caples_106,0.1088706635475873,1.291129336452413,13.700181021464708,137.29587367360045
caples_107,0.0889083417255549,1.3110916582744452,12.291756641742008,159.1150169927033
caples_108,0.09628698969812026,1.3037130103018797,12.897859868059879,156.2615884124555
caples_109,0.08,1.32,11.56,162.56
caples_11,0.1318560998612849,1.2681439001387151,15.741476264641555,137.74456935625875
caples_11,0.11788473581470935,1.2821152641852922,14.585870172525345,142.6624560835209
caples_110,0.08754532884888608,1.3321549191161628,12.955625681332538,173.94932725482505
caples_111,0.12,1.409923911648682,13.863162446664997,157.75768324725706
caples_111,0.11764502148577524,1.4039114426997346,13.731196132120623,157.8717088378569
caples_112,0.08181552515190346,1.3200000000000003,11.984832885545408,167.76783389823507
caples_113,0.12220505747361086,1.300371383258203,15.261304587809136,139.65255665893883
caples_114,0.12092369480393733,1.346427703819071,15.469690253107709,123.29129095025604
