site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
antelope,ANTELOPE06,2020,prefire,NA,litter_load,1.312792682618373
antelope,ANTELOPE06,2020,prefire,NA,litter_depth_cm,2.03125
antelope,ANTELOPE06,2020,prefire,NA,duff_depth_cm,4.125
antelope,ANTELOPE06,2020,prefire,NA,fuel_depth_cm,17.8625
antelope,ANTELOPE07,2020,prefire,NA,mass_1hr,0.015334797146904087
antelope,ANTELOPE07,2020,prefire,NA,mass_10hr,0.04420407982598139
antelope,ANTELOPE07,2020,prefire,NA,mass_100hr,0
antelope,ANTELOPE07,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE07,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE07,2020,prefire,NA,total_fine,0.05953887697288547
antelope,ANTELOPE07,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE07,2020,prefire,NA,total_fuel,2.618170122925941
antelope,ANTELOPE07,2020,prefire,NA,duff_load,2.0415928971064345
antelope,ANTELOPE07,2020,prefire,NA,litter_load,0.5170383488466207
antelope,ANTELOPE07,2020,prefire,NA,litter_depth_cm,0.8
antelope,ANTELOPE07,2020,prefire,NA,duff_depth_cm,0.6625
antelope,ANTELOPE07,2020,prefire,NA,fuel_depth_cm,1.9375
antelope,ANTELOPE08,2020,prefire,NA,mass_1hr,0.010223198097936058
antelope,ANTELOPE08,2020,prefire,NA,mass_10hr,0.48624487808579525
antelope,ANTELOPE08,2020,prefire,NA,mass_100hr,0.9271217786321326
antelope,ANTELOPE08,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE08,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE08,2020,prefire,NA,total_fine,1.423589854815864
antelope,ANTELOPE08,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE08,2020,prefire,NA,total_fuel,36.24891635370295
antelope,ANTELOPE08,2020,prefire,NA,duff_load,33.936666836806964
antelope,ANTELOPE08,2020,prefire,NA,litter_load,0.8886596620801293
antelope,ANTELOPE08,2020,prefire,NA,litter_depth_cm,1.375
antelope,ANTELOPE08,2020,prefire,NA,duff_depth_cm,11.0125
antelope,ANTELOPE08,2020,prefire,NA,fuel_depth_cm,5.76875
antelope,ANTELOPE09,2020,prefire,NA,mass_1hr,0.09712038193039255
antelope,ANTELOPE09,2020,prefire,NA,mass_10hr,0.2652244789558883
antelope,ANTELOPE09,2020,prefire,NA,mass_100hr,0.4120541238365035
antelope,ANTELOPE09,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE09,2020,prefire,NA,mass_cwd_rotten,0
antelope,ANTELOPE09,2020,prefire,NA,total_fine,0.7743989847227843
antelope,ANTELOPE09,2020,prefire,NA,total_cwd,0
antelope,ANTELOPE09,2020,prefire,NA,total_fuel,14.316552239477941
antelope,ANTELOPE09,2020,prefire,NA,duff_load,12.249557382638606
antelope,ANTELOPE09,2020,prefire,NA,litter_load,1.2925958721165518
antelope,ANTELOPE09,2020,prefire,NA,litter_depth_cm,2
antelope,ANTELOPE09,2020,prefire,NA,duff_depth_cm,3.9749999999999996
antelope,ANTELOPE09,2020,prefire,NA,fuel_depth_cm,1.9125
antelope,ANTELOPE10,2020,prefire,NA,mass_1hr,0.005111599048968029
antelope,ANTELOPE10,2020,prefire,NA,mass_10hr,0.08840815965196278
antelope,ANTELOPE10,2020,prefire,NA,mass_100hr,0.3090405928773775
antelope,ANTELOPE10,2020,prefire,NA,mass_cwd_sound,0
antelope,ANTELOPE10,2020,prefire,NA,mass_cwd_rotten,3.7858516132267033
