site,Plot ID,year,species_id,status,lifeform,layer_code,percent,notes
slypark,hcp2,2019,cade,live,TR,TSE,tr,
slypark,hcp3,2019,cade,live,TR,TSE,tr,
slypark,hcp4,2019,cade,live,TR,TOV,5,
slypark,hcp4,2019,cade,live,TR,TSE,tr,
slypark,hcp5,2019,cade,live,TR,TSE,tr,
slypark,hcp7,2019,cade,live,TR,TSE,tr,
slypark,hcp8,2019,cade,live,TR,TSE,tr,
slypark,hcp9,2019,cade,live,TR,TOV,15,
slypark,hcp9,2019,cade,live,TR,TSE,tr,
slypark,spi1,2019,cade,live,TR,TOV,tr,
slypark,spi1,2019,cade,live,TR,TSA,tr,
slypark,spi1,2019,cade,dead,TR,TSE,,
slypark,spi1,2019,cade,live,TR,TSE,1.5,
slypark,spi10,2019,cade,live,TR,TSE,1,
slypark,spi10,2019,cade,live,TR,TSA,20,
slypark,spi11,2019,cade,live,TR,TOV,12,
slypark,spi11,2019,cade,live,TR,TSA,tr,
slypark,spi11,2019,cade,live,TR,TSE,2,
slypark,spi2,2019,cade,live,TR,TSE,tr,
slypark,spi3,2019,cade,live,TR,TSE,tr,
slypark,spi4,2019,cade,live,TR,TOV,,
slypark,spi4,2019,cade,live,TR,TSE,,
slypark,spi5,2019,cade,live,TR,TOV,33,
slypark,spi5,2019,cade,live,TR,TSE,tr,
slypark,spi6,2019,cade,live,TR,TOV,35,
slypark,spi6,2019,cade,live,TR,TSE,tr,
slypark,spi7,2019,cade,live,TR,TSE,tr,
slypark,spi7,2019,cade,live,TR,TSA,tr,
slypark,spi8,2019,cade,live,TR,TSA,tr,
slypark,spi8,2019,cade,live,TR,TSE,tr,
slypark,spi9,2019,cade,live,TR,TSA,tr,
slypark,spi9,2019,cade,live,TR,TSE,tr,
slypark,hcp6,2019,caoc,live,FB,,tr,
slypark,hcp4,2019,capr,live,FB,,tr,
slypark,hcp9,2019,capr,live,FB,,tr,
slypark,spi2,2019,capr,live,FB,,tr,
slypark,spi6,2019,capr,live,FB,,tr,
slypark,hcp10,2019,cein,live,SH,SL,tr,
slypark,hcp11,2019,cein,live,SH,SL,tr,
slypark,hcp11,2019,cein,live,SH,SL,tr,
slypark,hcp5,2019,cein,live,SH,SM,2,
slypark,hcp5,2019,cein,live,SH,SL,2,
slypark,hcp6,2019,cein,live,SH,ST,tr,
slypark,hcp6,2019,cein,live,SH,SM,15,
slypark,hcp6,2019,cein,live,SH,SL,15,
slypark,hcp7,2019,cein,live,SH,SL,tr,
slypark,hcp8,2019,cein,live,SH,SL,tr,
slypark,hcp9,2019,cein,live,SH,SL,,
slypark,spi1,2019,cein,live,SH,SL,tr,resprouting
slypark,spi1,2019,cein,live,SH,SM,tr,
slypark,spi10,2019,cein,live,SH,SL,tr,
slypark,spi11,2019,cein,live,SH,SL,tr,
slypark,spi11,2019,cein,live,SH,SM,tr,
slypark,spi2,2019,cein,live,SH,SL,tr,very grazed in areas resprouting 
slypark,spi3,2019,cein,live,SH,SL,tr,
slypark,spi5,2019,cein,live,SH,SL,tr,
slypark,spi7,2019,cein,live,SH,SL,tr,
slypark,spi7,2019,cein,live,SH,SM,tr,
slypark,spi8,2019,cein,live,SH,SM,tr,
slypark,spi8,2019,cein,live,SH,SL,tr,
slypark,spi9,2019,cein,live,SH,SL,tr,
slypark,spi9,2019,cein,live,SH,SM,tr,
slypark,spi3,2019,civu,live,FB,,tr,
slypark,spi4,2019,civu,live,FB,,,
slypark,hcp10,2019,chfo,live,FB,,27,
slypark,hcp11,2019,chfo,live,FB,,25,
slypark,hcp2,2019,chfo,live,FB,,tr,
slypark,hcp3,2019,chfo,live,FB,,tr,
slypark,hcp4,2019,chfo,live,FB,,3,
slypark,hcp5,2019,chfo,live,FB,,50,
slypark,hcp6,2019,chfo,live,FB,,30,
slypark,hcp7,2019,chfo,live,FB,,55,
slypark,hcp8,2019,chfo,live,FB,,80,
slypark,hcp9,2019,chfo,live,FB,,35,
slypark,spi10,2019,chfo,live,FB,,1,
slypark,spi11,2019,chfo,live,FB,,tr,
slypark,spi3,2019,chfo,live,FB,,tr,
slypark,spi5,2019,chfo,live,FB,,tr,
slypark,spi7,2019,chfo,live,FB,,40,
slypark,spi8,2019,chfo,live,FB,,45,
slypark,spi9,2019,chfo,live,FB,,90,
slypark,spi2,2019,cioc,live,FB,,tr,cersium
slypark,spi3,2019,cioc,live,FB,,tr,
slypark,spi4,2019,cioc,live,FB,,,large specimen outside plot
slypark,spi5,2019,cioc,live,FB,,tr,
slypark,spi6,2019,cioc,live,FB,,tr,
slypark,spi3,2019,clpe,live,FB,,tr,
slypark,spi6,2019,clpe,live,FB,,tr,
slypark,hcp10,2019,clpe,live,FB,,tr,
slypark,hcp11,2019,clpe,live,FB,,tr,
slypark,hcp6,2019,clpe,live,FB,,tr,
slypark,spi11,2019,clpe,live,FB,,tr,
slypark,hcp11,2019,clrh,live,FB,,tr,
slypark,hcp5,2019,clrh,live,FB,,tr,
slypark,hcp6,2019,clrh,live,FB,,tr,
slypark,hcp7,2019,clrh,live,FB,,tr,
slypark,hcp8,2019,clrh,live,FB,,tr,
slypark,hcp9,2019,clrh,live,FB,,tr,
slypark,spi10,2019,clrh,live,FB,,tr,
slypark,spi11,2019,clrh,live,FB,,tr,
slypark,spi2,2019,clrh,live,FB,,tr,
slypark,spi3,2019,clrh,live,FB,,tr,
slypark,spi4,2019,clrh,live,FB,,tr,
slypark,spi5,2019,clrh,live,FB,,tr,
slypark,spi6,2019,clrh,live,FB,,tr,
slypark,spi7,2019,clrh,live,FB,,tr,
slypark,spi8,2019,clrh,live,FB,,tr,
slypark,spi9,2019,clrh,live,FB,,tr,
slypark,hcp6,2019,coar,live,FB,,tr,
slypark,hcp4,2019,coco,live,FB,,tr,
slypark,spi6,2019,coco,live,TR,TSA,tr,
slypark,spi6,2019,coco,live,TR,TSE,tr,
slypark,spi2,2019,cogr,live,FB,,tr,
slypark,spi3,2019,cogr,live,FB,,tr,
slypark,spi4,2019,cogr,live,FB,,tr,
slypark,spi5,2019,cogr,live,FB,,tr,
slypark,spi6,2019,cogr,live,FB,,tr,
slypark,hcp11,2019,cohe,live,FB,,tr,
slypark,hcp2,2019,cohe,live,FB,,tr,
slypark,hcp3,2019,cohe,live,FB,,tr,
slypark,hcp6,2019,cohe,live,FB,,tr,
slypark,hcp9,2019,cohe,live,FB,,tr,
slypark,spi11,2019,cohe,live,FB,,tr,
slypark,spi3,2019,cohe,live,FB,,tr,
slypark,spi4,2019,cohe,live,FB,,,
slypark,spi5,2019,cohe,live,FB,,tr,
slypark,spi6,2019,cohe,live,FB,,tr,
slypark,spi7,2019,cohe,live,FB,,tr,
slypark,spi8,2019,cohe,live,FB,,tr,
slypark,spi9,2019,cohe,live,FB,,tr,
slypark,hcp1,2019,conu,live,TR,TOV,3,
slypark,hcp3,2019,conu,live,TR,TSE,tr,
slypark,hcp3,2019,conu,live,FB,,tr,
slypark,hcp4,2019,conu,live,TR,,tr,
slypark,spi1,2019,conu,live,TR,TSA,tr,
slypark,spi1,2019,conu,live,TR,TSE,tr,
slypark,spi3,2019,conu,live,TR,TSE,tr,
slypark,spi4,2019,conu,live,TR,TSE,tr,
slypark,spi6,2019,conu,live,TR,TSA,tr,
slypark,spi6,2019,conu,live,TR,TSE,tr,
slypark,spi8,2019,conu,live,TR,TSE,tr,
slypark,spi8,2019,conu,live,TR,TSA,tr,
slypark,hcp6,2019,copa,live,FB,,tr,check
slypark,hcp10,2019,cyec,live,GR,,tr,
slypark,hcp11,2019,cyec,live,GR,,tr,
slypark,hcp5,2019,cyec,live,GR,,tr,
slypark,hcp6,2019,cyec,live,GR,,tr,
slypark,hcp7,2019,cyec,live,GR,,tr,
slypark,hcp7,2019,cyec,live,GR,,tr,
slypark,hcp8,2019,cyec,live,GR,,tr,
slypark,hcp9,2019,cyec,live,GR,,tr,
slypark,spi10,2019,cyec,live,GR,,tr,
slypark,spi11,2019,cyec,live,GR,,4,
slypark,spi2,2019,cyec,live,GR,,tr,
slypark,spi3,2019,cyec,live,GR,,tr,
slypark,spi4,2019,cyec,live,GR,,tr,
slypark,spi7,2019,cyec,live,GR,,tr,
slypark,spi8,2019,cyec,live,GR,,tr,
slypark,spi9,2019,cyec,live,GR,,tr,
slypark,hcp8,2019,deadunk,dead,FB,,tr,
slypark,hcp1,2019,diho,live,FB,,tr,
slypark,hcp10,2019,diho,live,FB,,tr,
slypark,hcp3,2019,diho,live,FB,,tr,
slypark,hcp4,2019,diho,live,GR,,tr,
slypark,spi4,2019,diho,live,FB,,tr,
slypark,hcp9,2019,dimu,live,FB,,tr,
slypark,hcp10,2019,dimu,live,FB,,tr,
slypark,hcp11,2019,dimu,live,FB,,tr,
slypark,hcp5,2019,dimu,live,FB,,tr,
slypark,hcp6,2019,dimu,live,FB,,tr,
slypark,hcp7,2019,dimu,live,FB,,tr,
slypark,hcp8,2019,dimu,live,FB,,tr,
slypark,spi10,2019,dimu,live,FB,,tr,
slypark,spi3,2019,dypu,live,FB,,tr,
slypark,spi4,2019,dypu,live,FB,,tr,
slypark,hcp10,2019,elgl,live,GR,,tr,
slypark,hcp11,2019,elgl,live,GR,,tr,
slypark,hcp3,2019,elgl,live,GR,,tr,
slypark,hcp4,2019,elgl,live,GR,,tr,
slypark,hcp5,2019,elgl,live,GR,,tr,
slypark,hcp6,2019,elgl,live,GR,,tr,
slypark,hcp7,2019,elgl,live,FB,,tr,
slypark,hcp8,2019,elgl,live,GR,,tr,
slypark,hcp9,2019,elgl,live,GR,,tr,
slypark,spi10,2019,elgl,live,GR,,tr,
slypark,spi11,2019,elgl,live,GR,,tr,
slypark,spi4,2019,elgl,live,GR,,tr,
slypark,spi5,2019,elgl,live,GR,,tr,
slypark,spi6,2019,elgl,live,GR,,tr,
slypark,spi7,2019,elgl,live,GR,,tr,
slypark,spi8,2019,elgl,live,GR,,tr,
slypark,spi9,2019,elgl,live,GR,,tr,
slypark,hcp11,2019,elsi,live,GR,,tr,
slypark,hcp7,2019,elsi,live,GR,,tr,
slypark,hcp8,2019,elsi,live,GR,,tr,
slypark,hcp9,2019,elsi,live,GR,,tr,
slypark,spi11,2019,elsi,live,GR,,tr,
slypark,spi3,2019,elsi,live,GR,,tr,
slypark,spi3,2019,elsi,live,GR,,tr,
slypark,spi4,2019,elsi,live,GR,,tr,
slypark,spi6,2019,elsi,live,GR,,tr,
slypark,spi7,2019,elsi,live,GR,,tr,
slypark,spi9,2019,elsi,live,GR,,tr,
slypark,hcp5,2019,elymuslike,live,GR,,tr,
slypark,hcp10,2019,erla,live,FB,,tr,
slypark,hcp11,2019,erla,live,FB,,tr,
slypark,hcp5,2019,erla,live,FB,,tr,
slypark,hcp6,2019,erla,live,FB,,tr,
slypark,hcp7,2019,erla,live,FB,,tr,
slypark,hcp9,2019,erla,live,FB,,tr,
slypark,spi10,2019,erla,live,FB,,tr,
slypark,spi3,2019,erla,live,FB,,tr,
slypark,spi3,2019,erla,live,FB,,tr,
slypark,spi4,2019,erla,live,FB,,tr,
slypark,spi5,2019,erla,live,FB,,tr,
slypark,hcp5,2019,fritspp,dead,FB,,tr,
slypark,hcp1,2019,frvi,live,FB,,tr,
slypark,spi1,2019,frvi,live,FB,,tr,
slypark,spi3,2019,frvi,live,FB,,tr,
slypark,spi6,2019,frvi,live,FB,,tr,
slypark,hcp1,2019,gaap,live,FB,,tr,
slypark,hcp10,2019,gaap,live,FB,,tr,
slypark,hcp11,2019,gaap,live,FB,,tr,
slypark,hcp2,2019,gaap,live,FB,,tr,
slypark,hcp3,2019,gaap,live,FB,,tr,
slypark,hcp6,2019,gaap,live,FB,,tr,
slypark,hcp7,2019,gaap,live,FB,,tr,
slypark,hcp7,2019,gaap,live,FB,,tr,
