plot_id,status,species_id,stand_ba
hcp1,live,abco,70
hcp1,dead,abco,10
hcp1,live,cade,200
hcp1,live,pipo,20
hcp1,dead,quke,20
hcp1,live,psme,10
hcp10,live,cade,35
hcp10,live,pipo,200
hcp10,live,quke,10
hcp10,live,psme,25
hcp11,live,psme,35
hcp11,live,quke,35
hcp11,live,pipo,20
hcp11,dead,quke,5
hcp11,live,cade,5
hcp2,live,cade,120
hcp2,live,quke,40
hcp2,dead,quke,20
hcp2,live,pipo,60
hcp2,live,abco,60
hcp3,live,cade,80
hcp3,live,pipo,140
hcp3,live,psme,80
hcp3,live,abco,20
hcp4,live,abco,10
hcp4,live,pipo,120
hcp4,live,cade,120
hcp4,live,psme,80
hcp5,live,pipo,160
hcp5,live,pipo,160
hcp6,live,pipo,90
hcp6,live,psme,20
hcp6,live,psme,20
hcp6,live,pipo,90
hcp7,live,pipo,160
hcp7,live,pipo,160
hcp8,live,pipo,120
hcp8,live,pipo,120
hcp9,live,cade,40
hcp9,live,quke,140
hcp9,live,pipo,20
spi1,live,pipo,140
spi1,live,abco,20
spi1,live,cade,20
spi10,live,pipo,180
spi2,live,pipo,320
spi3,live,psme,10
spi3,live,cade,50
spi3,dead,pipo,10
spi3,live,quke,10
spi4,live,cade,30
spi4,live,pisme,30
spi4,live,abco,20
spi5,live,cade,100
spi5,live,pipo,20
spi6,live,cade,80
spi6,live,abco,20
spi6,live,pisme,40
spi6,dead,quke,20
spi7,live,pipo,200
spi7,live,psme,20
spi8,live,pipo,120
spi8,live,quke,20
spi9,live,pipo,180
