site,year,Plot ID,azimuth,slope,x1h_length,x10h_length,x100h_length,x1000h_length,1hr,10hr,100hr,duff1,litter1,duff2,litter2,notes
,,,,%,m,m,m,m,count,count,count,cm,cm,cm,cm,
bearmtn,2089,BM18,E,,2,2,4,11.3,0,9,2,0,2,0,8,
bearmtn,2090,BM18,W,,2,2,4,11.3,4,0,0,0,2,0,2,
bearmtn,2091,BM19,N,,2,2,4,11.3,12,5,0,2,3,tr,1,
bearmtn,2092,BM19,S,,2,2,4,11.3,0,5,0,tr,2,1,2,
bearmtn,2093,BM19,E,,2,2,4,11.3,1,2,0,0,2,5,3,
bearmtn,2094,BM19,W,,2,2,4,11.3,0,0,0,0,2,0,1,
bearmtn,2095,BM20,N,21,2,2,4,11.3,3,2,0,1,1,tr,1,
bearmtn,2096,BM20,S,20,2,2,4,11.3,12,4,1,tr,tr,0,3,
bearmtn,2097,BM20,E,,2,2,4,11.3,2,2,0,2,2,3,5,
bearmtn,2098,BM20,W,,2,2,4,11.3,0,4,1,tr,1,2,2,
bearmtn,2099,BM21,N,,2,2,4,11.3,2,0,4,tr,tr,0,1,
bearmtn,2100,BM21,S,,2,2,4,11.3,23,0,0,2,2,4,5,
bearmtn,2101,BM21,E,,2,2,4,11.3,7,0,0,0,3,0,2,
bearmtn,2102,BM21,W,,2,2,4,11.3,7,1,0,0,tr,0,2,
bearmtn,2103,BM22,N,,2,2,4,11.3,1,0,1,tr,6,1,1,
bearmtn,2104,BM22,S,,2,2,4,11.3,9,6,0,1,2,7,3,
bearmtn,2105,BM22,E,,2,2,4,11.3,4,2,1,0,7,0,4,
bearmtn,2106,BM22,W,,2,2,4,11.3,0,7,3,0,tr,tr,3,
bearmtn,2107,BM23,N,,2,2,4,11.3,7,8,10,tr,4,3,2.5,
bearmtn,2108,BM23,S,,2,2,4,11.3,0,3,7,3,3,6,5,
bearmtn,2109,BM23,E,,2,2,4,11.3,2,2,14,1,4,5,3,
bearmtn,2110,BM23,W,,2,2,4,11.3,0,2,5,tr,1,tr,3,
bearmtn,2111,BM24,N,,2,2,4,11.3,5,2,0,tr,2.5,tr,1.5,
bearmtn,2112,BM24,S,,2,2,4,11.3,22,11,4,tr,tr,0,tr,
bearmtn,2113,BM24,E,,2,2,4,11.3,3,2,0,0,7,0,13.5,
bearmtn,2114,BM24,W,,2,2,4,11.3,1,2,1,0,4,0,4,
bearmtn,2115,BM25,N,,2,2,4,11.3,13,9,0,0,6,0,4,
bearmtn,2116,BM25,S,,2,2,4,11.3,14,6,5,2,4,0,2,
bearmtn,2117,BM25,E,,2,2,4,11.3,7,9,2,tr,2,1,3,
bearmtn,2118,BM25,W,,2,2,4,11.3,16,13,1,0,1,1,3,
bearmtn,2119,BM26,N,,2,2,4,11.3,4,2,1,1,1.5,tr,2,
bearmtn,2120,BM26,S,,2,2,4,11.3,2,2,0,tr,2.5,1,4,
bearmtn,2121,BM26,E,,2,2,4,11.3,12,5,2,0,2,3,2,
bearmtn,2122,BM26,W,,2,2,4,11.3,8,6,1,0,4,tr,2,
bearmtn,2123,BM27,N,,2,2,4,11.3,7,3,0,0.5,2,0.5,1,
bearmtn,2124,BM27,S,,2,2,4,11.3,5,5,2,tr,2,tr,3,
bearmtn,2125,BM27,E,,2,2,4,11.3,0,2,1,0,2,0,2,
bearmtn,2126,BM27,W,,2,2,4,11.3,0,2,1,0,4,0,2,
