site,month,day,year,plot_id,X,Y,burn,FireSeverity,NearestRegen1_dist,NearestRegen1_az,NearestRegen1_spp,NearestSeedSource1_dist,NearestSeedSource1_az,NearestSeedSource1_spp,NearestSeedSource2_dist,NearestSeedSource2_az,NearestSeedSource2_spp,NearestSeedSource3_dist,NearestSeedSource3_az,NearestSeedSource3_spp,slope,aspect,shape_horiz,shape_vert,slope_position,cga,fuelmodel,domveg,Wtree_dist,Wtree_azimuth,Wtree_Tag,totveg,tot_all,tot_ht,dt_all,dt_ht,tov,tov_ht,tsa,tsa_ht,tse,tse_ht,tre,tre_ht,tos,tos_ht,ds,ds_ht,st,st_ht,sm,sm_ht,sl,sl_ht,tof,tof_ht,tog,tog_ht,baresoil,litter,wood,cones,bedrock,smrock,rock,ash,basalveg,moss,road,totground,Photos,NOTES
,,,,,,,,,m,degree,,m,degree,,m,degree,,m,degree,,%,degree,,,,%,,,m,degree,,%,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,%,m,,,,,,,,,,,,,,
bearmtn,9,21,2019,BM15,246541,4191966,no,,,,,,,,,,,,,,21,35,LL,CV,SU,100,9,"pipo, cade, quke",7.9,19,989,70,15,13.1,tr,3.5,15,13.1,0,-,tr,0.3,5,1.5,52,,0,-,0,-,22,0.65,52,0.25,1,0.2,1.5,0.3,4,93.5,1.5,tr,0,tr,0.5,0,0.5,tr,0,100,yes,plot boundary 10 m from hand line :/
bearmtn,9,21,2019,BM16,246279,4191831,no,,,,,,,,,,,,,,15,317,LL,LL,SH,100,9,"pipo, cade, quke",2.2,73,990,98,30,19,2,13,28,19,0,-,tr,0.07,tr,1.5,70.5,0.35,0,-,0,-,30.5,0.45,70.5,1,1,0.25,3,0.4,2,93,3,0.5,0,tr,0,0,1.5,0,0,100,yes,"trees id as pipo but hybridization is likely. both prickly and gentle cones were found, jeffery smell was light"
bearmtn,9,22,2019,BM17,245726,4192433,no,,,,,21,259,pipo,,,,,,,32,270,LL,LL,BS,100,9,"pipo,quke,cade",,,no live trees,65,2,3.5,2,3.5,tr,3.5,tr,2.5,3,0.75,4,2.5,50,0.35,0,-,0,-,45,1.25,50,0.4,4,0.5,4,0.4,4,91.5,4,tr,0,tr,tr,0,0.5,0,0,100,yes,"no witness tree due to no live tree in plot, no tagged tree"
bearmtn,9,22,2019,BM18,246012,4191930,no,,,,,14.1,156,psme,37.5,358,pila,,,,21,299,LL,LL,BS,100,9,"cade,quke,pipo",3,19,991,70,33.5,16,3.5,6,30,16,tr,2.5,2,0.65,0.5,1.5,30,,0,-,0,-,25,0.75,30,0.3,1.5,0.35,2,0.75,1,96,1.5,tr,0,tr,tr,0,1.5,tr,0,100,yes,
bearmtn,9,22,2019,BM19,246005,4192251,no,,,,,,,,,,,,,,19,199,LL,LL,SH,100,9,"pipo,cade,quke",5.6,32,992,73,21,117.1,3,42.75,18,117.1,0,-,1.5,1,0,-,45,0.3,0,-,0,-,43,0.75,45,0.3,3,0.35,3,0.8,4,90,4,tr,0,tr,tr,0,2,0,0,100,yes,
bearmtn,9,22,2019,BM20,246161,4191702,no,,,,,29,208,quke,,,,,,,21,176,LL,LL,SH,100,9,"pipo,cade,quke",10.3,95,993,94.5,13,21,0,-,13,21,tr,2.5,tr,0.1,tr,1.5,80,0.4,0,-,0,-,70,0.45,80,0.4,0.5,0.35,1,0.7,4,92,3,tr,0,tr,tr,0,1,0,0,100,yes,
bearmtn,9,22,2019,BM21,245936,4191653,no,,,,,,,,,,,,,,13,231,LL,LL,FS,100,9,"pipo,quke,cade",7.3,79,994,97,19,9,6,7,13,9,0,-,tr,0.075,2,1.72,75,,0,-,0,-,0,0.5,75,0.3,tr,0.4,1,0.5,2,97,0.5,tr,0,tr,tr,0,0.5,tr,0,100,yes,
bearmtn,9,24,2019,BM22,245561,4193262,no,,15,305,pipo,,,,,,,,,,24,220,LL,LL,SH,99,9,"quch,pipo,cade",5,81,995,95,30,5.5,10,5.5,20,5.5,0,-,tr,0.4,24,1.75,62,,12,2.5,0,-,40,0.8,50,0.35,1,0.55,1,0.2,1,93.4,3,tr,0,tr,1,0,1.5,tr,0,99.9,yes,polygon is higher severity
bearmtn,9,24,2019,BM23,245735,4193211,no,,,,,116,276,pipo,,,,,,,10,202,LL,LL,BS,100,9,"pipo,quch,quke,",,,no trees,33.5,0,0,0,-,0,-,tr,2.4,3,0.75,0,-,23.5,0.5,0,-,0,-,21.5,1,23.5,0.35,1.5,0.55,5.5,1.3,3.5,90,3.5,tr,0,tr,0,,1,0,0,98,yes,no witness tree due to no tov/no pila seed source seen from plot 
bearmtn,9,24,2019,BM24,245892,4192913,no,,,,,,,,,,,,,,16,221,LL,BR,BS,100,9,"pipo,cade,quke",5.3,59,996,70,14,11,1,9,13,1,0,-,0.5,1,0.5,1,56,,0,-,0,-,54,0.45,56,0.35,0.5,0.4,2.5,0.8,3,90.5,6,tr,0,tr,0.5,0,,tr,0,100,yes,
bearmtn,9,24,2019,BM25,245212,4192765,no,,,,,13.5,276,psme,22,109,cade,16,274,abco,14,184,LL,BR,BS,100,9,"pipo,cade,psme",7.4,158,997,99,7,17.5,2,17.5,5,17.5,5.5,2.5,30,1,10,3,48,,0,-,0,-,42.5,0.55,48,0.4,tr,0.55,0.5,0.55,0.5,89,10,tr,0,tr,0,0,0.5,0,0,100,yes,
bearmtn,9,25,2019,BM26,245483,4192975,no,,,,,,,,,,,,,,23,214,LL,BR,BS,100,9,"quke,sasc,pipo",,,no live trees,40,12.5,3,8,15.5,0,0,0,-,tr,1,12.5,3,22.5,0.75,0.5,0.45,0,-,19.5,0.75,22,0.35,2,0.45,2,0.25,2.5,93,3,tr,0,tr,0,0,1.5,0,0,100,yes,no witness tree due to no live tree in plot
bearmtn,9,25,2019,BM27,245466,4192664,no,,,,,,,,,,,,,,10,235,LL,BR,BS,100,9,"cade,sasc,pipo",,,no live trees,37,5,11.25,3,11.25,0,11.25,0,-,10,1,6.5,2.5,9.5,0.75,0,-,0,-,6.5,1,9.5,0.5,3,0.45,3,0.45,4,87.5,7.5,tr,0,tr,0,0,1,0,0,100,yes,no witness tree due to no live tree in plot/cow trail going through  south west end of plot (could behave as fire line)
